contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),CDA,SP (Socialistische Partij),Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),50PLUS,Partij voor de Dieren,OPA,JEZUS LEEFT
,Lelystad,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau School De Triangel,0995::SB28,8243 KW,1590,681,2,3,1,0,0,614,71,0,0,1,0,0,0,685,119,58,127,64,93,60,37,25,6,42,37,11,2
,Lelystad,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau Buurtcentrum De Windhoek,0995::SB29,8244 BJ,1290,805,1,2,0,0,0,749,60,0,0,0,1,0,0,809,112,80,182,48,121,87,28,35,3,58,39,10,2
,Lelystad,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau Tennispark I.T.L.,0995::SB30,8243 MX,719,412,3,0,0,0,0,376,39,0,0,0,0,0,0,415,104,31,53,56,41,55,21,14,5,19,6,7,0
,Lelystad,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau School De Tjotter,0995::SB31,8245 ER,2019,1107,2,1,0,0,0,988,122,0,0,0,0,0,0,1110,308,109,123,113,88,104,54,57,21,61,56,10,3
,Lelystad,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau Groenhorst College,0995::SB32,8232 MB,1154,594,1,1,0,0,0,525,71,0,0,0,0,0,0,596,131,36,75,83,65,67,26,13,13,38,40,4,3
,Lelystad,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau School De Lispeltuut,0995::SB33,8226 TA,1864,764,2,0,0,0,0,678,88,0,0,0,0,0,0,766,171,75,116,91,58,81,36,37,8,53,28,8,2
,Lelystad,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau Stadhuis Lelystad,0995::SB34,8232 ZX,814,741,1,1,0,0,1,683,59,0,0,0,0,0,0,743,83,111,99,63,114,82,29,40,2,74,38,5,1
,Lelystad,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau Kerkcentrum Lichtbron,0995::SB35,8226 TA,1242,885,0,4,0,0,0,794,95,0,0,0,0,0,0,889,216,57,104,97,65,102,87,30,15,58,48,5,1
,Lelystad,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau School De Meander (M.O),0995::SB36,8219 AT,1379,528,1,3,0,0,0,470,62,0,0,0,0,0,0,532,162,30,65,66,31,64,42,20,9,18,17,4,0
,Lelystad,PS2015_Flevoland,Provinciale Staten Flevoland 2015,,Flevoland,2015-03-18,Stembureau School De Sluis,0995::SB37,8244 AE,1316,352,0,2,1,0,0,316,37,0,0,1,0,0,0,353,78,27,62,25,52,38,12,14,0,23,17,4,0
