contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,DE FEESTPARTIJ (DFP),Vrij en Sociaal Nederland
Utrecht,Utrechtse Heuvelrug,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Ark,1581::SB206,,747,380,0,1,0,0,6,349,26,0,0,0,0,0,381,,,105,34,37,76,19,5,9,17,23,2,10,0,13,1,4,0,17,0,0,0,1,0,1,0,0,0,3,3,0,0,0
Utrecht,Utrechtse Heuvelrug,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kerkgebouw De Ark,1581::SB305,,1350,868,3,0,0,0,88,783,0,0,0,0,0,0,871,,,216,67,57,195,54,18,26,42,38,1,60,1,34,2,15,0,26,2,0,0,1,0,9,1,1,0,0,0,0,2,0
Utrecht,Utrechtse Heuvelrug,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Allemanswaard 15 maart,1581::SB301,,0,317,0,0,0,0,2,287,28,0,0,0,0,0,317,,,77,31,51,38,13,17,17,26,10,2,10,0,3,0,6,0,12,0,0,0,1,0,2,1,0,0,0,0,0,0,0
Utrecht,Utrechtse Heuvelrug,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Allemanswaard 16 maart,1581::SB302,,0,302,1,0,0,0,3,271,29,0,0,0,0,0,303,,,53,38,45,40,8,18,18,18,11,7,14,0,9,1,4,2,7,0,0,0,0,2,2,0,0,0,1,0,0,2,2
Utrecht,Utrechtse Heuvelrug,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Allemanswaard 17 maart,1581::SB303,,1077,1384,2,0,0,0,8,1225,154,1,0,1,0,0,1387,,,321,188,99,199,68,73,57,40,59,11,58,11,83,3,46,2,34,0,3,0,4,4,8,1,0,0,2,6,0,1,3
Utrecht,Utrechtse Heuvelrug,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Scoutinggroep Zuylensteyn,1581::SB306,,1456,160,0,0,0,0,0,139,21,0,0,0,0,0,160,,,47,13,12,29,3,6,3,7,10,0,5,0,5,0,5,0,10,0,0,0,0,1,4,0,0,0,0,0,0,0,0
Utrecht,Utrechtse Heuvelrug,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Buurthucht,1581::SB307,,1364,920,0,0,0,0,9,770,141,0,0,0,0,0,920,,,133,88,85,41,18,23,14,86,28,7,289,0,40,2,22,0,13,0,0,1,0,2,24,1,0,1,2,0,0,0,0
Utrecht,Utrechtse Heuvelrug,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Michaëlhuis,1581::SB404,,1304,996,0,0,0,0,8,879,109,0,0,0,0,0,996,,,241,100,94,139,33,40,40,46,47,8,74,2,45,2,24,2,29,0,3,0,0,1,21,2,0,1,0,1,0,1,0
Utrecht,Utrechtse Heuvelrug,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Zenner DSF,1581::SB406,,1528,485,2,0,0,0,2,442,43,0,0,0,0,0,487,,,151,25,25,84,18,19,11,24,36,0,21,2,24,1,18,1,13,0,1,0,0,0,6,1,0,0,0,4,0,0,0
Utrecht,Utrechtse Heuvelrug,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Cultuurhuis de Binder 15 maart,1581::SB401,,0,451,0,1,0,1,1,414,36,0,1,0,0,0,451,,,119,44,57,59,21,19,39,20,22,6,11,0,9,0,13,1,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Utrecht,Utrechtse Heuvelrug,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Cultuurhuis de Binder 16 maart,1581::SB402,,0,362,0,0,0,2,2,336,26,0,0,2,0,0,364,,,78,38,44,51,17,19,22,13,28,2,9,4,9,1,13,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Utrecht,Utrechtse Heuvelrug,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Cultuurhuis de Binder 17 maart,1581::SB403,,1496,1539,3,3,0,2,2,1395,150,0,0,2,0,0,1547,,,395,178,115,234,75,67,61,54,88,12,39,10,82,13,45,7,29,2,2,2,1,4,12,2,0,2,3,4,0,1,0
Utrecht,Utrechtse Heuvelrug,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Cultuurhuis Pléiade 15 maart,1581::SB501,,0,486,2,0,0,0,5,420,63,0,0,0,0,0,488,,,157,31,56,85,20,20,34,16,24,2,3,0,2,0,19,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Utrecht,Utrechtse Heuvelrug,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Cultuurhuis Pléiade 16 maart,1581::SB502,,0,476,3,1,0,1,0,430,51,0,0,1,0,0,481,,,124,41,52,74,18,30,24,17,31,2,14,5,12,0,15,0,12,0,1,0,0,2,2,0,0,0,0,0,0,0,0
Utrecht,Utrechtse Heuvelrug,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Cultuurhuis Pléiade 17 maart,1581::SB503,,1653,1557,3,2,0,0,13,1377,172,0,0,0,0,0,1562,,,416,115,82,347,108,56,40,53,92,9,28,4,87,8,26,4,55,5,1,0,1,8,2,4,0,0,3,2,0,1,0
Utrecht,Utrechtse Heuvelrug,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Ludenkapel,1581::SB504,,1658,1345,1,4,0,0,4,1204,143,1,0,1,0,0,1351,,,353,53,61,420,69,33,34,32,95,7,16,1,44,5,38,0,71,0,2,0,0,4,2,1,0,0,0,1,0,1,2
Utrecht,Utrechtse Heuvelrug,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Steinheim,1581::SB505,,1704,955,0,4,0,0,2,856,100,0,1,0,0,0,958,,,209,96,71,160,41,55,38,48,48,6,38,11,52,4,25,2,30,2,2,0,2,4,7,0,1,1,0,1,0,0,1
Utrecht,Utrechtse Heuvelrug,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Tenniscenter Heuvelrug,1581::SB507,,1794,417,0,0,0,0,5,365,47,0,0,0,0,0,417,,,146,20,41,87,21,4,6,25,12,3,4,0,13,1,6,0,26,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Utrecht,Utrechtse Heuvelrug,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau MRC Aardenburg,1581::SB506,,1192,179,0,0,0,0,2,160,17,0,0,0,0,0,179,,,51,19,14,44,11,2,9,2,9,0,0,1,5,0,3,0,6,0,0,0,0,1,0,0,0,1,0,1,0,0,0
Utrecht,Utrechtse Heuvelrug,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Basisschool de Kring,1581::SB105,,1785,894,1,0,0,0,4,800,91,0,0,0,0,0,895,,,174,43,50,254,85,33,28,38,53,5,15,12,30,1,14,2,34,1,4,0,1,9,3,3,0,0,1,1,0,0,0
Utrecht,Utrechtse Heuvelrug,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De CultuurHoek,1581::SB106,,1345,549,0,1,0,0,2,507,41,0,0,0,0,0,550,,,51,23,12,142,95,20,19,13,64,1,4,28,17,4,11,0,28,1,2,1,2,5,2,0,0,0,1,2,0,0,1
Utrecht,Utrechtse Heuvelrug,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Mixed Hockey Club Maarn,1581::SB207,,833,331,0,0,0,0,3,309,19,0,0,0,0,0,331,,,106,7,24,91,32,5,14,10,11,2,2,0,7,0,5,1,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Utrecht,Utrechtse Heuvelrug,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Muziekgebouw Ons Genoegen,1581::SB304,,459,144,0,0,0,0,1,143,0,0,0,0,0,0,144,,,32,14,12,20,3,8,10,11,2,1,3,0,5,0,11,0,4,0,2,0,1,1,3,1,0,0,0,0,0,0,0
Utrecht,Utrechtse Heuvelrug,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Muziekgebouw EMM,1581::SB405,,1333,358,2,0,0,0,4,318,38,0,0,0,0,0,360,,,103,28,23,65,15,12,11,12,22,2,17,0,14,1,5,0,15,0,1,0,2,0,9,0,0,0,0,1,0,0,0
Utrecht,Utrechtse Heuvelrug,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Bartiméus,1581::SB508,,89,77,0,0,0,0,0,70,7,0,0,0,0,0,77,,,13,3,10,10,6,8,2,7,9,2,3,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
