contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,U-Buntu Connected Front,"Blanco (Zeven, A.J.L.B.)",Wij zijn Nederland,Modern Nederland,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Prinsekerk,0599::SB48,3039 LN,1188,753,0,0,1,0,4,708,42,0,0,1,0,0,754,113,9,19,271,94,12,35,18,52,1,3,3,10,24,8,1,66,2,2,2,1,5,2,0,0,0,0,0,0,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stadsarchief,0599::SB56,3032 CG,1271,958,1,6,0,0,1,891,73,0,0,0,0,0,965,174,33,21,222,118,42,51,8,47,3,3,23,28,49,21,5,73,21,4,0,1,6,0,2,0,0,0,1,1,0,1,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Open Hof Ommoord,0599::SB61,3069 EA,1554,1297,3,12,0,0,2,1157,153,0,0,0,0,0,1312,212,210,52,178,66,93,64,42,70,15,3,47,98,31,66,9,16,4,8,1,1,5,0,0,0,0,0,1,5,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Basisschool De Pionier,0599::SB63,3067 WL,1194,507,2,2,0,0,0,453,58,0,0,0,0,0,511,67,49,24,65,39,35,32,7,19,4,4,38,45,30,20,8,5,7,3,0,1,1,0,1,1,0,0,1,1,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymnastieklokaal Merkelbachstraat,0599::SB64,3067 AL,1139,885,1,16,0,0,3,804,95,0,0,0,0,0,902,118,126,28,131,58,64,49,23,42,2,7,48,56,39,40,5,24,10,4,0,2,3,3,0,1,0,0,0,2,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau LCC Romeynshof,0599::SB65,3068 JL,1090,815,2,7,1,4,1,740,78,0,5,0,0,0,819,123,148,21,99,37,69,44,16,48,10,13,30,45,18,38,9,22,11,4,0,0,1,2,1,1,2,1,2,0,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Kralingen,0599::SB66,3061 CR,932,650,1,5,0,1,5,567,83,0,1,0,0,0,655,96,55,16,113,59,22,29,6,31,1,1,78,29,21,19,2,38,19,4,1,1,3,4,1,0,0,0,0,1,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Basisschool De Kleine Prins,0599::SB69,3067 XC,1157,855,0,6,0,0,2,772,87,0,0,0,0,0,861,153,93,43,155,70,36,41,28,60,9,5,20,51,10,40,9,20,1,2,2,0,2,1,1,0,2,0,0,1,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dijckhove,0599::SB76,3015 AA,1062,637,1,0,0,1,4,592,41,0,1,0,0,0,637,102,17,26,190,71,24,35,10,33,1,1,9,17,23,14,2,53,1,3,1,0,3,0,0,0,0,1,0,0,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Bethelkerk Overschie,0599::SB78,3043 TN,814,701,3,0,0,1,0,629,76,0,0,1,0,0,705,130,137,32,87,51,42,33,19,23,10,5,2,58,5,31,7,17,0,2,1,0,4,2,0,0,0,1,0,2,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Hillegondakerk,0599::SB80,3054 NB,1155,1132,1,0,0,0,0,999,134,0,0,0,0,0,1133,362,57,59,299,55,25,26,25,51,2,4,2,41,8,50,2,46,2,0,2,0,9,2,1,0,0,0,0,2,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Vrijeschool Vredehof,0599::SB81,3062 EP,1112,409,0,0,0,1,2,366,42,0,0,1,0,0,410,90,7,20,113,43,10,13,6,17,0,1,2,11,10,9,0,44,3,0,1,0,1,1,1,0,0,0,0,6,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Basisschool Park16Hoven,0599::SB82,3045 BJ,1262,1373,0,5,0,1,0,1182,197,0,0,1,0,0,1379,378,51,47,451,77,25,54,35,46,3,4,25,48,6,51,3,49,8,0,0,0,3,1,4,2,1,0,0,1,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Rijnmond Multicultureel Centrum,0599::SB84,3025 EJ,1080,463,2,4,0,0,2,390,77,0,0,0,0,0,469,34,18,6,60,27,21,34,4,9,2,0,181,10,16,4,0,8,26,1,0,0,1,0,0,0,0,1,0,0,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Speeltuin Botu,0599::SB86,3025 NV,1015,392,0,6,0,2,0,354,47,1,0,3,0,0,401,37,21,10,49,35,15,23,12,15,2,1,102,10,28,4,3,5,17,1,0,0,1,0,0,0,0,1,0,0,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkgebouw Rendierhof,0599::SB88,3064 AX,1236,732,0,3,0,4,3,667,69,0,0,4,0,0,739,118,119,31,101,34,38,30,29,37,4,24,11,55,5,47,8,20,3,5,0,1,4,1,1,2,1,0,0,2,1,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Oranjekerk,0599::SB89,3051 LS,1159,1618,2,5,0,5,2,1489,129,0,5,0,0,0,1620,224,124,52,393,179,81,65,50,125,8,14,9,84,29,52,8,86,6,5,1,2,11,3,5,0,0,0,1,0,1,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Basisschool Tarcisius,0599::SB90,3051 HE,1201,992,5,1,0,0,0,917,81,0,0,0,0,0,998,201,31,37,368,84,32,46,11,55,1,4,5,28,9,22,0,48,0,2,0,0,3,0,0,0,0,0,1,3,1,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal Corverstraat,0599::SB93,3025 TA,899,434,1,3,0,0,0,358,81,1,0,1,0,0,439,38,24,4,45,42,16,24,6,10,1,0,128,11,21,10,5,11,33,0,0,0,1,0,1,1,0,0,2,0,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymnastieklokaal Adenstraat,0599::SB94,3067 MN,1129,660,2,3,0,0,0,598,67,0,0,0,0,0,665,118,84,22,95,38,48,36,22,19,11,8,25,38,22,41,1,13,6,2,1,1,1,2,0,0,1,0,1,3,0,1,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal Korne,0599::SB95,3068 GN,1066,797,1,1,0,0,0,714,85,0,0,0,0,0,799,116,103,23,112,63,56,51,15,36,8,2,45,60,47,27,5,12,1,1,2,4,4,2,1,0,0,0,0,1,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Huis van de Wijk Pier 80,0599::SB96,3026 TV,1140,917,2,24,0,1,1,779,162,0,1,0,0,0,942,39,46,6,89,75,38,48,22,39,4,7,328,22,42,9,2,15,73,3,0,1,5,0,0,0,0,0,0,2,2,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymnastieklokaal Korfmakerstraat,0599::SB97,3026 XG,1196,584,0,6,0,0,0,501,89,0,0,0,0,0,590,37,27,11,88,41,33,37,35,25,2,2,142,12,37,11,0,17,16,3,0,0,3,0,1,0,1,1,0,2,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Lommerrijk,0599::SB98,3054 AB,1163,602,2,0,0,0,3,557,43,0,1,0,1,0,603,191,27,28,155,25,10,25,8,26,4,5,2,27,3,31,3,26,1,0,0,0,0,0,1,1,0,0,0,3,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Huis van de Wijk De Hoekstee,0599::SB99,3151 CJ,967,817,2,2,0,0,1,709,111,0,0,0,0,0,821,196,172,27,103,22,48,22,10,30,6,3,10,94,1,39,12,5,0,1,2,2,1,7,0,0,0,1,0,3,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Nieuw Zernike,0599::SB100,3068 JB,1208,834,1,0,0,2,0,766,71,0,0,2,0,0,837,130,148,48,104,45,69,59,13,30,15,2,21,64,8,50,5,9,0,2,3,1,2,1,1,1,0,0,1,1,1,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Pompgebouw De Esch,0599::SB102,3063 HC,1215,1056,1,8,0,0,2,955,108,0,0,0,0,0,1065,166,79,31,227,87,66,69,26,57,8,3,40,41,34,37,6,42,11,5,3,2,8,3,0,0,1,0,2,1,1,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Mr. Jacques Dutilhhuis,0599::SB103,3055 VD,797,430,1,1,0,0,2,391,39,0,0,0,0,0,432,138,35,22,113,12,5,6,7,21,0,0,2,15,3,25,0,20,2,2,0,0,1,0,0,0,0,0,0,1,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Buurt- en Speeltuinvereniging Terbregge,0599::SB104,3056 LR,1186,681,0,3,0,0,0,625,59,0,0,0,0,0,684,168,91,23,114,38,38,23,20,32,3,3,29,37,3,29,1,17,4,1,0,1,3,3,0,0,0,0,0,0,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Recreatiecentrum Zevenkampse Ring,0599::SB105,3068 HG,1022,969,1,5,0,2,3,844,130,0,0,2,0,0,977,157,157,34,115,66,65,57,16,35,8,3,62,70,41,38,10,8,9,4,0,0,2,1,2,1,1,0,3,4,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymnastieklokaal Fresiastraat,0599::SB107,3053 VH,1174,636,0,3,0,0,0,578,61,0,0,0,0,0,639,86,84,27,98,38,49,50,17,44,6,1,35,26,16,15,2,18,10,0,1,1,7,1,0,2,0,1,0,1,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Huis van de Wijk Oriënt,0599::SB110,3067 MC,1166,707,3,6,0,1,3,651,63,0,0,1,0,0,717,94,117,24,68,37,69,50,22,28,8,8,49,44,34,19,4,8,7,3,0,1,2,1,0,2,0,0,2,3,0,3,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sport010,0599::SB112,3068 SB,1251,459,2,0,0,0,1,408,52,0,0,0,0,0,461,74,59,20,59,27,25,28,25,20,3,8,29,33,8,19,6,8,3,0,1,0,4,0,0,0,0,0,0,0,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Huis van de Wijk De Hoekstee,0599::SB113,3151 CJ,926,914,0,0,0,0,1,811,103,0,0,1,0,1,915,228,160,46,90,24,39,27,6,33,8,4,10,106,8,59,29,12,0,1,0,1,9,6,0,2,2,0,1,3,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal Burg. de J. de Jonglaan,0599::SB114,3042 NC,837,999,2,4,0,5,0,882,128,0,0,5,0,0,1010,130,131,34,172,53,75,57,17,33,14,3,98,56,28,24,3,19,35,7,1,1,2,0,0,0,1,2,0,3,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymnastieklokaal Nieuwe Ommoordseweg,0599::SB115,3068 BS,1042,677,1,3,0,2,3,605,77,1,0,4,0,1,685,139,108,21,105,31,24,33,16,27,2,21,13,55,5,43,5,13,3,2,1,1,2,2,1,1,0,1,0,2,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Voetbalvereniging VOB,0599::SB117,3043 XM,1120,496,0,3,0,1,0,428,74,2,0,3,0,0,502,60,191,13,40,20,16,15,14,21,7,1,9,51,5,23,0,5,2,2,0,0,0,0,0,1,0,0,0,0,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Huis van de Wijk De Kip,0599::SB118,3011 RS,1234,1531,3,8,0,2,10,1417,122,5,0,7,0,0,1549,260,74,58,399,152,55,83,25,96,4,4,36,54,63,44,4,87,7,5,3,6,4,1,1,1,1,1,2,1,0,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentelocatie Noord,0599::SB120,3037 BT,1217,1016,3,13,0,4,5,890,141,0,0,4,0,0,1036,102,67,16,175,109,30,54,10,63,2,1,177,32,56,12,3,47,38,5,0,1,6,2,0,1,0,0,5,1,1,0,,
Rotterdam,Rotterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal basisschool De Kleine Prins,0599::SB121,3066 JG,1115,1276,1,2,0,5,1,1147,136,0,0,5,0,0,1284,264,155,39,244,79,73,67,23,61,9,5,26,69,40,74,8,22,4,0,1,2,3,1,2,2,0,0,1,2,0,0,,
