contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,"Blanco (Zeven, A.J.L.B.)"
Arnhem,Berkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau OBS De Driesprong,1859::SB11,7261 SN,1112,755,1,0,0,0,2,651,103,0,0,0,0,0,756,207,46,111,68,19,27,24,13,10,3,8,0,26,1,20,2,12,0,0,1,0,2,148,0,1,0,1,3,0,2
Arnhem,Berkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal 't Rikkenhage stembureau 2,1859::SB12,7261 NL,1319,645,0,0,0,0,0,586,59,0,0,0,0,0,645,165,54,58,103,21,52,21,6,20,13,1,2,30,1,15,0,18,1,2,1,0,1,58,0,0,0,0,2,0,0
Arnhem,Berkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Zalencentrum de Huve,1859::SB13,7151 BD,1925,890,4,2,0,0,4,815,77,0,0,0,0,0,896,225,86,78,125,48,74,36,5,27,8,7,3,52,1,15,4,13,0,4,0,0,1,68,0,0,2,0,4,0,4
Arnhem,Berkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Oude Mattheüs,1859::SB14,7151 BD,1250,639,0,1,0,0,6,573,61,0,0,0,0,0,640,118,81,68,88,32,56,25,6,22,5,1,2,41,1,19,0,16,0,0,0,1,2,48,2,2,1,0,1,0,1
Arnhem,Berkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Voormalige RK Basisschool De Regenboog,1859::SB15,7151 XV,1455,1073,2,0,0,0,3,985,87,0,0,0,0,0,1075,168,150,102,129,41,107,76,9,35,10,5,19,77,5,29,7,17,0,4,0,0,3,71,0,1,0,0,7,0,1
Arnhem,Berkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Pickerhal kantine,1859::SB16,7151 BW,1398,678,1,1,0,0,1,632,47,0,0,0,0,0,680,133,79,71,112,29,68,32,7,15,3,1,2,32,3,16,2,11,0,0,1,3,3,53,0,0,0,0,2,0,0
Arnhem,Berkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau AvB Sports / Voormalige Hemstea Kerk,1859::SB17,7152 BD,1328,1335,4,0,0,0,1,1213,124,0,1,0,0,0,1338,240,129,195,192,57,106,63,20,43,11,5,1,89,2,44,5,18,0,1,1,3,2,102,0,0,0,0,5,0,1
Arnhem,Berkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Centrum d'n Hof,1859::SB18,7157 AL,1248,889,0,0,0,0,4,791,94,0,0,0,0,0,889,196,59,158,95,35,50,36,16,37,14,4,0,38,5,17,2,12,0,0,0,3,3,107,0,0,0,0,2,0,0
Arnhem,Berkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal de Sonders 1 (zaal),1859::SB19,7156 MH,1073,1058,3,1,0,0,1,957,104,0,0,0,0,0,1062,216,65,256,60,11,37,13,5,9,6,0,0,29,0,30,1,10,0,1,0,5,1,301,1,0,0,0,1,0,0
Arnhem,Berkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal de Sonders 2 (kantine VIOS),1859::SB20,7156 MH,1261,726,0,1,0,0,0,650,77,0,0,0,0,0,727,129,44,190,50,3,28,6,3,3,3,0,0,27,0,16,0,7,0,1,0,0,1,213,0,0,0,0,0,0,2
Arnhem,Berkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Grote Kerk,1859::SB21,7161 DP,1356,826,1,1,0,0,0,766,62,0,0,0,0,0,828,178,104,109,109,24,67,59,20,19,11,2,2,46,1,16,3,17,0,2,0,0,2,31,0,0,0,0,2,0,2
Arnhem,Berkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Olde Mölle,1859::SB22,7161 MH,1348,855,1,0,0,0,1,791,64,0,0,0,0,0,856,188,115,114,106,33,67,42,8,13,3,4,1,44,2,34,6,7,0,0,0,0,3,58,0,0,0,2,4,0,1
Arnhem,Berkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Natuurpark Kronenkamp,1859::SB23,7161 HR,1401,930,0,2,0,1,6,850,77,0,0,1,0,0,933,201,152,77,137,28,71,48,10,13,12,2,2,66,3,25,7,15,0,3,0,5,2,46,0,1,1,0,3,0,0
Arnhem,Berkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sportzaal Oranjelaan,1859::SB24,7161 CT,1371,898,0,1,0,0,0,830,69,0,0,0,0,0,899,188,131,126,118,18,73,39,18,23,9,2,0,51,1,20,2,18,0,1,0,2,4,51,1,0,0,0,1,0,1
Arnhem,Berkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau voormalig Hameland gebouw,1859::SB25,7161 BX,1374,593,0,1,0,0,1,539,54,0,0,0,0,0,594,125,117,72,64,15,45,28,11,17,5,0,3,18,1,15,4,9,0,2,0,3,2,33,0,0,0,1,2,0,1
Arnhem,Berkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpsaccommodatie Rietmolen,1859::SB26,7165 AL,834,629,0,0,0,0,1,575,53,0,0,0,0,0,629,144,75,183,48,10,17,9,6,12,10,2,0,21,0,9,2,11,0,0,1,0,1,67,0,0,0,0,1,0,0
Arnhem,Berkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeenschaphuis 't Haarhoes,1859::SB27,7161 MX,755,509,1,0,0,0,1,469,40,0,0,0,0,0,510,146,46,62,51,7,17,26,4,12,0,0,0,26,1,10,1,12,0,0,0,2,1,81,0,1,0,0,0,0,3
Arnhem,Berkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Pickerhal sporthal,1859::SB28,7151 BW,1454,711,0,0,0,0,1,643,67,0,0,0,0,0,711,139,85,103,92,23,50,46,9,13,6,1,5,54,1,14,0,7,0,1,0,1,3,56,1,0,0,0,1,0,0
Arnhem,Berkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Café-Restaurant De Tapperij,1859::SB29,7261 BB,1530,901,0,0,0,0,15,791,95,0,0,0,0,0,901,273,81,73,140,43,40,38,11,20,11,0,2,38,0,30,7,13,0,0,1,0,4,69,2,1,0,0,2,0,2
Arnhem,Berkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis,1859::SB47,7271 AX,0,352,1,0,0,0,2,316,35,0,0,0,0,0,353,70,31,78,34,20,27,45,5,15,2,0,0,3,0,9,1,6,0,0,1,0,0,4,0,0,0,0,1,0,0
Arnhem,Berkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis,1859::SB48,7271 AX,0,330,0,0,0,0,3,300,27,0,0,0,0,0,330,72,29,63,44,12,26,21,8,7,5,0,0,9,0,8,0,7,0,0,0,0,1,18,0,0,0,0,0,0,0
Arnhem,Berkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Zalencentrum de Huve,1859::SB49,7151 BD,0,510,1,0,0,1,0,468,42,0,1,0,0,0,510,79,43,119,52,13,45,78,14,21,5,0,0,9,0,5,0,7,0,0,0,1,1,17,1,0,0,0,0,0,0
Arnhem,Berkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Zalencentrum de Huve,1859::SB50,7151 BD,0,503,1,0,0,0,3,450,51,0,0,0,0,0,504,109,29,93,60,12,60,56,8,13,6,1,0,22,1,7,0,5,0,0,0,1,0,19,1,0,0,0,0,0,0
Arnhem,Berkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Natuurpark Kronenkamp,1859::SB51,7161 HR,0,293,0,0,0,0,0,269,24,0,0,0,0,0,293,57,36,44,33,6,23,41,12,12,3,0,1,6,0,6,0,6,0,0,0,1,0,6,0,0,0,0,0,0,0
Arnhem,Berkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Natuurpark Kronenkamp,1859::SB52,7161 HR,0,348,1,2,0,0,0,314,37,0,0,0,0,0,351,85,33,51,37,10,42,36,5,10,2,1,1,13,0,9,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0
Arnhem,Berkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Café-Restaurant De Tapperij,1859::SB53,7261 BB,0,366,0,1,0,0,3,346,18,0,0,0,0,0,367,78,25,55,68,21,33,41,12,9,1,1,0,7,0,4,1,5,0,0,0,0,1,4,0,0,0,0,0,0,0
Arnhem,Berkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Café-Restaurant De Tapperij,1859::SB54,7261 BB,0,410,1,1,0,0,3,369,40,0,0,0,0,0,412,105,31,51,58,20,31,31,11,11,3,2,1,8,0,12,3,4,0,0,0,1,0,27,0,0,0,0,0,0,0
Arnhem,Berkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau briefstembureau 01 (10-16 maart),1859::SB100,7271 AX,0,3728,3,2,0,1,0,0,0,0,0,1,0,0,3734,859,180,1088,292,76,249,603,72,74,75,15,3,12,0,30,2,14,0,2,0,1,0,79,0,2,0,0,0,0,0
Arnhem,Berkelland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau 02 (17 maart),1859::SB101,7271 HA,0,155,0,1,0,0,0,0,0,0,0,0,0,0,156,36,9,42,13,3,6,24,2,3,0,2,1,4,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0
