contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),Vrij en Sociaal Nederland,De Groenen,Partij voor de Republiek
Leeuwarden,Smallingerland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Tienersoos Place 2 B (Dr.vaart),0090::SB17,9204 LM,0,983,1,4,0,3,3,900,88,0,0,3,0,0,991,253,94,70,177,43,45,53,62,32,4,18,1,82,2,9,4,11,0,2,0,0,4,10,0,2,0,2,3,0,0,0
Leeuwarden,Smallingerland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkcentrum De Skammel,0090::SB18,9205 DE,0,1669,0,1,0,0,1,1525,145,1,0,1,0,0,1671,245,182,159,225,86,140,123,113,76,13,37,9,147,10,22,3,30,1,5,0,6,6,18,1,1,1,0,8,0,0,2
Leeuwarden,Smallingerland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis 't Bynt Boornbergum,0090::SB20,9212 PK,0,1200,0,2,0,0,1,1098,103,0,0,0,0,0,1202,202,81,145,172,55,65,64,122,38,9,37,0,107,1,13,2,15,0,5,0,2,5,52,0,0,0,3,5,0,0,0
Leeuwarden,Smallingerland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Lokaliteit De Nije Kompe Dr.comp.,0090::SB21,9222 NA,0,708,1,2,0,2,0,630,83,0,0,2,0,0,713,82,91,98,51,28,45,54,53,24,14,18,0,89,3,13,2,2,0,1,0,2,1,29,1,2,1,2,0,1,0,1
Leeuwarden,Smallingerland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis De Huchte Houtigehage,0090::SB22,9223 LB,0,497,0,1,0,0,0,408,90,0,0,0,0,0,498,62,144,33,34,17,59,44,15,10,6,2,0,43,0,9,3,0,0,1,0,0,1,11,0,0,0,1,2,0,0,0
Leeuwarden,Smallingerland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis Op 'e Jister Nijega,0090::SB23,9217 RL,0,325,0,0,0,0,0,288,37,0,0,0,0,0,325,54,28,61,21,7,21,10,25,5,3,11,0,31,2,4,1,6,0,2,0,0,2,30,0,0,0,0,1,0,0,0
Leeuwarden,Smallingerland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis De Wringe Opeinde,0090::SB24,9218 PP,0,990,2,1,0,0,2,902,89,0,0,0,0,0,993,183,98,157,106,25,47,67,99,26,7,32,0,77,1,27,1,7,0,2,0,1,1,17,0,0,1,3,5,0,0,0
Leeuwarden,Smallingerland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau MFC Oudega,0090::SB25,9216 WE,0,967,4,0,0,0,2,875,94,0,0,0,0,0,971,120,83,220,93,29,74,57,66,25,2,12,0,86,0,28,0,10,0,0,0,1,2,53,2,1,1,0,2,0,0,0
Leeuwarden,Smallingerland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis It Werflân,0090::SB26,9221 TD,0,831,1,1,0,0,1,758,74,0,0,0,0,0,833,121,78,134,84,25,75,84,62,33,12,7,0,68,0,10,4,7,0,2,0,1,0,21,2,0,0,1,0,0,0,0
Leeuwarden,Smallingerland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Naturij,0090::SB28,9204 WS,0,969,0,4,0,0,0,888,85,0,0,0,0,0,973,162,71,92,165,52,55,51,114,33,3,20,4,84,4,19,1,26,0,4,0,2,0,3,2,1,1,0,0,0,0,0
Leeuwarden,Smallingerland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis De Tike,0090::SB29,9219 VM,0,201,1,0,0,0,0,180,22,0,0,0,0,0,202,31,22,42,13,6,13,10,14,4,3,5,0,10,0,6,0,1,1,0,0,3,0,17,0,0,0,0,0,0,0,0
Leeuwarden,Smallingerland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau It Polderhûs,0090::SB30,9215 VZ,0,238,0,0,0,0,1,214,23,0,0,0,0,0,238,37,14,30,31,8,16,18,22,3,2,5,0,17,0,8,0,1,0,1,0,1,0,23,1,0,0,0,0,0,0,0
Leeuwarden,Smallingerland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Kakelhof,0090::SB31,9218 PA,0,520,0,0,0,0,0,470,50,0,0,0,0,0,520,98,58,62,71,12,33,29,45,9,4,25,0,35,2,12,1,13,0,1,0,0,1,7,1,0,0,0,1,0,0,0
Leeuwarden,Smallingerland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal De Drait,0090::SB32,9204 CM,0,1031,2,0,0,0,3,927,103,0,0,0,0,0,1033,187,82,94,173,63,81,68,80,28,6,14,1,94,3,11,2,17,2,5,1,3,5,8,1,0,0,1,1,0,0,0
Leeuwarden,Smallingerland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal De Waring,0090::SB34,9207 DD,0,1693,0,0,0,15,0,1575,134,1,0,16,0,0,1709,311,174,167,244,80,119,107,138,49,13,24,1,135,4,33,6,26,3,6,0,2,8,20,5,0,1,4,13,0,0,0
Leeuwarden,Smallingerland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Trefpunt de Holdert,0090::SB39,9203 DH,0,716,2,2,0,2,2,669,51,0,0,2,0,0,722,99,100,72,80,35,52,43,48,28,9,12,2,82,4,12,6,9,1,2,2,1,2,9,0,1,0,2,2,1,0,0
Leeuwarden,Smallingerland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Watersportvereniging Drachten/De Veenhoop,0090::SB40,9213 VP,0,509,1,0,0,0,2,461,47,0,0,0,0,0,510,139,19,43,123,26,9,30,34,13,1,9,0,23,2,13,1,14,0,0,1,0,0,3,0,0,1,0,2,3,0,0
Leeuwarden,Smallingerland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Tennisvereniging Drachten,0090::SB41,9207 AB,0,1151,0,0,0,2,5,1053,95,0,0,2,0,0,1153,266,91,160,177,55,58,41,99,32,7,18,3,87,3,15,3,17,0,1,0,2,3,8,2,1,0,1,1,0,0,0
Leeuwarden,Smallingerland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Het gemeentehuis (Trouwzaal),0090::SB50,9203 RM,0,719,0,0,0,1,1,659,60,0,0,1,0,0,720,112,64,139,66,17,72,89,63,29,6,11,0,30,1,6,0,3,0,2,0,0,0,2,0,4,2,0,1,0,0,0
Leeuwarden,Smallingerland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sportcentrum Drachten,0090::SB51,9202 LC,0,223,0,0,0,0,0,209,14,0,0,0,0,0,223,30,18,22,23,11,29,45,24,2,0,8,0,2,0,4,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Leeuwarden,Smallingerland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau MOS - Brede School De Drait (A),0090::SB52,9204 JT,0,593,1,0,0,1,0,550,45,0,0,1,0,0,595,99,40,93,79,27,49,94,55,15,3,10,0,7,0,5,2,5,0,1,0,1,1,3,0,0,0,0,4,0,0,0
Leeuwarden,Smallingerland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Tennisvereniging Drachten,0090::SB53,9207 AB,0,286,0,0,0,0,4,266,16,0,0,0,0,0,286,30,20,59,42,9,27,32,28,13,0,8,0,10,1,3,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Leeuwarden,Smallingerland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Het gemeentehuis (Trouwzaal),0090::SB55,9203 RM,0,750,3,1,0,5,1,689,69,0,0,5,0,0,759,132,93,96,58,17,73,94,79,23,4,16,5,37,2,7,1,6,0,1,0,0,0,0,1,0,0,0,3,2,0,0
Leeuwarden,Smallingerland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sportcentrum Drachten,0090::SB56,9202 LC,0,276,1,0,0,0,0,245,32,0,0,0,0,0,277,27,42,35,30,9,44,28,22,2,4,3,5,19,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leeuwarden,Smallingerland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau MOS - Brede School De Drait (A),0090::SB57,9204 JT,0,542,2,0,1,0,6,500,39,0,0,1,0,0,545,93,41,79,63,19,51,76,52,12,3,9,1,24,0,8,0,8,0,0,0,0,0,2,0,0,0,0,0,0,1,0
Leeuwarden,Smallingerland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Tennisvereniging Drachten,0090::SB58,9207 AB,0,272,2,0,0,0,0,252,22,0,0,0,0,0,274,40,23,41,35,9,33,34,19,7,6,1,0,12,1,2,0,3,0,0,0,0,0,2,0,0,1,0,3,0,0,0
Leeuwarden,Smallingerland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau,0090::SB80,,0,4136,3,118,0,0,0,0,0,0,0,0,0,0,4260,508,225,1195,255,79,287,794,489,76,44,76,0,36,0,29,3,12,0,3,0,0,0,8,1,9,0,4,0,0,0,3
