contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,"Blanco (Zeven, A.J.L.B.)",Wij zijn Nederland,Modern Nederland
Dordrecht,Rijswijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stervoorde,0603::SB21,2286 BA,1257,931,1,8,3,0,0,821,116,0,3,0,0,0,937,281,104,58,116,46,36,32,15,33,8,7,67,44,8,38,6,13,5,0,0,2,3,2,2,2,0,2,1,0,0
Dordrecht,Rijswijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeenschappelijke ruimte  t Hoekje,0603::SB22,2286 GA,1128,517,2,4,0,0,0,461,62,0,0,0,0,0,523,119,100,29,71,23,26,20,3,21,3,4,16,35,0,16,12,8,4,3,0,0,1,0,0,1,0,0,2,0,0
Dordrecht,Rijswijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Marimbahal,0603::SB23,2287 EH,1369,857,7,4,0,0,3,797,68,0,0,0,0,0,868,173,168,37,81,42,63,33,15,34,11,3,37,78,11,21,12,17,5,5,0,0,2,1,2,1,0,2,3,0,0
Dordrecht,Rijswijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau CBS Melodie,0603::SB24,2287 BS,1198,490,3,3,0,0,0,433,63,0,0,0,0,0,496,96,75,31,64,12,32,17,14,11,5,8,42,40,8,11,10,5,6,1,0,0,0,1,1,0,0,0,0,0,0
Dordrecht,Rijswijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Buurthuis De Drassige Driehoek,0603::SB25,2288 CN,1586,449,0,1,0,1,0,388,61,0,1,0,0,0,449,89,21,25,131,33,20,28,20,30,1,4,0,12,0,7,4,21,0,0,0,0,1,1,1,0,0,0,0,0,0
Dordrecht,Rijswijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kunstgebouw,0603::SB26,2289 BE,1196,876,0,0,0,0,0,817,59,0,0,0,0,0,876,217,87,55,181,57,44,63,14,48,7,1,6,25,3,29,3,28,1,1,0,0,2,2,1,0,0,0,1,0,0
Dordrecht,Rijswijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Prog.Bureau RijswijkBuiten,0603::SB27,2286 KC,483,427,0,0,0,0,1,379,47,0,0,0,0,0,427,152,22,24,77,36,1,7,19,10,1,1,8,26,2,13,0,15,0,0,6,0,6,1,0,0,0,0,0,0,0
Dordrecht,Rijswijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Bibliotheek Rijswijk,0603::SB28,2288 AG,1227,474,0,1,0,0,2,431,42,0,0,0,0,0,475,110,48,20,78,33,20,19,7,25,3,5,21,21,4,12,12,16,5,5,0,1,4,1,0,1,0,2,0,0,1
Dordrecht,Rijswijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Rijswijks Lyceum,0603::SB30,2284 GA,1313,378,2,2,0,0,0,355,27,0,0,0,0,0,382,77,51,19,58,24,18,16,11,13,5,2,22,18,6,12,4,15,0,1,0,1,4,0,1,0,0,0,0,0,0
Dordrecht,Rijswijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Schoolgebouw,0603::SB31,2286 KC,592,1512,3,1,0,4,0,1327,185,0,4,0,0,0,1512,448,119,67,365,87,31,27,33,51,5,5,78,68,6,49,9,31,20,1,1,0,4,1,0,4,0,0,1,1,0
Dordrecht,Rijswijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Best Western,0603::SB32,2288 AE,960,380,0,0,0,0,1,350,29,0,0,0,0,0,380,103,38,26,50,19,17,21,7,25,3,3,5,20,3,15,6,12,1,2,0,0,3,1,0,0,0,0,0,0,0
Dordrecht,Rijswijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Rijswijkse Schouwburg,0603::SB33,2283 GM,1412,1342,3,7,0,2,3,1238,113,0,0,2,0,0,1354,290,176,70,230,61,79,45,19,61,16,5,38,92,22,33,21,46,11,5,3,3,6,4,0,0,0,0,5,1,0
Dordrecht,Rijswijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Informatiecentrum in de Bogaard,0603::SB34,2284 DE,1352,232,0,1,0,0,1,213,19,0,0,0,0,0,233,38,47,9,36,16,18,9,3,14,1,0,6,22,2,2,2,1,3,0,0,0,0,1,0,0,0,0,2,0,0
Dordrecht,Rijswijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Amicitia,0603::SB50,,0,422,0,0,0,0,13,369,40,0,0,0,0,0,422,104,25,38,99,24,22,37,6,23,3,3,0,3,2,4,4,10,0,1,0,0,0,1,0,0,0,0,13,0,0
Dordrecht,Rijswijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stadhuis,0603::SB51,,0,558,1,1,0,12,2,514,56,0,0,12,0,0,572,146,87,55,67,15,31,43,17,19,7,1,7,19,5,21,7,8,0,0,0,0,1,1,1,0,0,0,0,0,0
Dordrecht,Rijswijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal de Schilp,0603::SB52,,0,577,1,24,0,1,2,559,42,0,0,1,0,0,603,150,114,50,80,16,36,40,10,23,3,3,5,12,0,14,9,7,0,0,1,0,1,0,0,1,0,0,2,0,0
Dordrecht,Rijswijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Schoolgebouw,0603::SB53,,0,156,1,0,0,25,0,115,17,0,25,0,0,0,132,37,8,20,18,11,11,11,3,9,2,0,7,6,1,5,1,3,1,0,1,0,0,0,0,1,0,0,0,0,0
Dordrecht,Rijswijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Amicitia,0603::SB60,,0,320,0,0,0,0,2,289,29,0,0,0,0,0,320,68,21,20,77,38,10,25,7,17,3,1,3,6,0,3,1,18,0,0,0,0,1,0,0,0,0,0,1,0,0
Dordrecht,Rijswijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stadhuis,0603::SB61,,0,412,0,6,0,11,2,378,49,0,0,11,0,0,429,83,69,47,41,21,20,34,2,12,2,4,17,10,10,11,6,12,1,3,1,0,2,0,0,1,0,0,3,0,0
Dordrecht,Rijswijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal de Schilp,0603::SB62,,0,538,1,0,0,5,1,480,63,0,0,5,0,0,544,142,84,41,78,15,29,24,4,12,13,3,25,15,0,25,11,12,0,3,0,0,0,0,1,0,0,0,1,0,0
Dordrecht,Rijswijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Schoolgebouw,0603::SB63,,0,226,0,0,0,0,0,199,27,0,0,0,0,0,226,77,30,8,40,9,3,8,3,6,4,0,9,10,0,6,0,9,2,0,0,0,1,1,0,0,0,0,0,0,0
Dordrecht,Rijswijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau 1 (15 en 16 maart),0603::SB81,,0,3111,1,4,0,2,0,3122,0,0,0,2,0,0,3120,903,383,505,280,61,163,316,96,115,106,25,4,27,2,59,22,15,1,2,1,1,0,3,3,16,0,0,1,0,1
Dordrecht,Rijswijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau 2 (15 en 16 maart),0603::SB82,,0,538,4,4,0,2,0,548,0,0,0,2,0,0,548,144,71,85,50,15,26,46,8,31,9,1,2,11,0,20,7,4,0,0,0,0,1,2,2,2,0,1,0,0,0
Dordrecht,Rijswijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau 6 (17 maart),0603::SB96,,0,176,0,0,0,0,0,176,0,0,0,0,0,0,176,41,20,22,22,4,15,12,10,8,4,0,4,3,0,2,0,4,0,0,0,0,1,0,1,2,0,0,1,0,0
