contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,DE FEESTPARTIJ (DFP),Vrij en Sociaal Nederland
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkcentrum De Koppeling,0355::SB11,3704 KS,1472,1504,8,1,0,3,0,1265,251,0,0,3,0,0,1516,257,105,62,291,117,56,51,35,77,13,21,225,53,11,21,5,53,36,2,1,2,1,3,2,0,1,2,1,0,0,0
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau St. Kerkelijk Centrum Zeist-West,0355::SB12,3704 KB,1814,1546,3,4,1,0,3,1397,152,0,1,0,0,0,1552,273,101,82,299,133,80,67,84,77,10,23,126,72,13,28,3,46,17,5,1,0,0,0,0,1,0,1,2,0,0,2
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau CBS Nije-Kroost,0355::SB13,3704 EG,1683,1145,3,2,0,1,1,1032,118,0,0,1,0,0,1151,273,84,66,226,101,34,51,75,50,5,30,38,35,4,16,4,36,7,3,0,2,5,0,0,0,0,0,0,0,0,0
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau VSO Heuvelrug college,0355::SB14,3704 GN,2135,873,3,3,0,0,1,771,107,0,0,0,0,0,879,153,84,40,174,75,32,37,34,49,6,8,77,30,7,13,2,23,15,0,1,1,1,4,0,0,0,0,7,0,0,0
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkcentrum 't Noorderpunt,0355::SB15,3706 AH,1109,1142,1,2,0,0,6,1065,73,0,1,0,1,0,1144,155,88,50,198,144,55,68,35,66,7,12,67,45,31,16,1,77,7,3,1,2,3,3,1,1,1,1,3,1,0,0
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Geref. Kerk Vrijgemaakt De Ark,0355::SB16,3702 SB,1286,1013,0,2,0,0,1,918,96,0,0,0,0,0,1015,234,113,56,212,71,37,29,42,53,7,33,14,42,4,24,4,21,0,1,1,1,8,2,1,0,0,1,1,0,1,0
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sionskerk A,0355::SB17,3705 BP,1778,821,0,1,0,0,3,761,58,0,0,0,0,0,822,177,39,43,252,87,31,37,23,34,5,15,6,16,1,8,3,35,1,0,0,0,2,1,4,0,0,0,1,0,0,0
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkservicepunt Noord,0355::SB18,3705 HD,1773,1018,1,5,0,1,2,929,94,0,0,1,0,0,1025,186,133,58,178,89,39,30,34,56,9,15,64,46,9,22,7,20,9,3,0,2,5,1,1,0,1,0,1,0,0,0
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Zeister Tennisclub Shot,0355::SB19,3707 CE,1301,642,1,1,0,0,7,569,68,0,0,0,0,0,644,285,12,38,163,18,4,7,36,17,0,10,0,6,2,14,2,22,0,0,0,0,1,0,2,0,0,1,1,0,0,1
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Flex@Work,0355::SB20,3706 AP,1333,1267,2,3,0,0,6,1180,86,0,0,0,0,0,1272,176,89,58,204,172,51,60,30,82,8,4,70,62,37,16,2,96,11,9,4,6,9,4,1,1,1,0,3,0,0,1
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stichting Spel en dans,0355::SB21,3705 KJ,1050,260,1,2,0,0,1,238,24,0,0,0,0,0,263,32,24,12,51,26,14,16,2,18,1,1,15,8,6,4,0,14,6,5,0,2,3,0,0,0,0,0,0,0,0,0
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau speeltuin- en belangenvereniging kindervreugd,0355::SB22,3705 XD,983,544,0,0,0,0,3,487,54,0,0,0,0,0,544,77,57,17,129,53,26,22,24,41,1,5,18,41,1,12,0,10,0,1,0,0,3,2,1,0,1,0,1,0,0,1
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Adra Share & Care,0355::SB23,3712 AD,575,405,1,0,1,0,1,371,33,0,1,0,0,0,405,114,33,26,80,12,7,17,13,27,5,7,0,25,2,8,0,21,3,0,0,2,1,0,0,0,0,0,0,0,1,1
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Tennisvereniging Bosch en Duin,0355::SB24,3735 MS,1648,693,1,1,0,0,6,605,84,0,0,0,0,0,695,334,26,49,115,29,1,10,9,33,0,4,0,24,0,30,1,24,0,1,0,1,2,0,0,0,0,0,0,0,0,0
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dolderse Sportclub DOSC,0355::SB25,3734 EJ,976,546,1,1,1,0,4,496,47,0,1,0,0,0,547,141,49,24,140,31,29,11,5,29,5,4,2,22,2,11,4,30,0,2,0,0,1,1,2,0,0,1,0,0,0,0
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Maria Christinakerk Den Dolder,0355::SB26,3734 BG,1743,1029,3,0,0,0,3,942,87,0,0,0,0,0,1032,281,94,59,198,78,45,27,8,83,11,3,12,44,5,17,3,49,1,2,1,1,1,4,0,0,0,0,1,0,1,0
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis 't Trefpunt,0355::SB27,3711 BP,1397,1116,0,2,0,1,5,1025,89,0,0,1,0,0,1119,283,77,94,215,82,52,57,15,79,12,5,1,52,0,27,4,44,0,3,0,1,3,4,0,0,1,1,2,0,2,0
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkgebouw 't Lichtpunt,0355::SB28,3707 BM,1375,1178,1,3,0,0,9,1051,122,0,0,0,0,0,1182,329,79,105,268,66,47,32,45,45,3,15,17,40,7,33,4,30,2,3,0,1,5,0,1,0,0,0,1,0,0,0
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Hotel theater Figi,0355::SB29,3701 HS,764,609,1,0,0,0,7,555,48,0,0,0,0,0,610,168,40,40,167,38,8,21,24,23,0,5,3,19,4,8,2,35,0,1,0,2,0,0,0,0,0,1,0,0,0,0
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Abrona  't Lichtpunt,0355::SB30,3712 XJ,1416,817,0,0,0,0,1,740,76,0,0,0,0,0,817,159,111,45,166,70,15,18,50,53,0,6,6,47,4,22,3,31,0,3,0,1,4,0,1,0,0,0,1,0,1,0
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sionskerk B,0355::SB31,3705 BP,1299,839,1,0,0,0,3,763,75,1,0,1,0,0,841,212,27,62,237,77,24,23,28,45,2,24,7,19,2,7,2,38,0,0,0,0,1,1,0,0,0,0,1,0,0,0
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Evangelische Broedergemeente Zeist,0355::SB32,3703 CB,1273,604,0,0,0,0,3,547,54,0,0,0,0,0,604,124,13,38,176,64,11,28,32,35,2,17,1,14,2,10,1,31,1,0,0,0,0,1,1,0,1,0,0,0,0,1
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kasteel Kerckebosch,0355::SB33,3708 AA,812,824,3,1,0,0,4,759,65,0,0,0,0,0,828,171,38,55,213,74,23,32,22,52,4,14,8,26,8,19,2,43,1,2,1,3,7,4,1,0,1,0,0,0,0,0
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Oude Bethesda,0355::SB34,3734 CN,1109,671,0,0,0,0,2,596,73,0,0,0,0,0,671,220,35,37,166,39,10,15,4,41,1,5,0,25,3,25,0,35,0,0,2,1,1,0,0,0,4,0,0,0,0,2
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Restaurant Jagershuys,0355::SB35,3707 HW,982,733,0,0,0,0,5,708,20,0,0,0,0,0,733,252,14,56,206,48,3,18,11,43,0,2,2,12,4,10,3,36,2,5,0,1,2,0,1,1,0,0,0,0,0,1
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau NoorderLichtgemeente,0355::SB36,3707 AE,1252,636,0,2,0,0,4,572,62,0,0,0,0,0,638,176,42,37,152,47,26,22,19,36,0,6,0,21,4,14,1,23,0,2,1,1,4,1,0,0,0,0,1,0,0,0
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kerckebosch school,0355::SB37,3708 GA,0,381,1,0,0,0,1,342,39,0,0,0,0,0,382,106,9,23,115,24,5,11,17,14,1,11,9,10,0,9,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dijnselburg A 15 maart,0355::SB38,3705 GK,0,246,1,0,0,0,0,230,17,0,0,0,0,0,247,73,29,26,40,12,10,22,9,6,5,1,2,5,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dijnselburg A 16 maart,0355::SB39,3705 GK,0,204,1,1,0,0,2,191,13,0,0,0,0,0,206,52,29,11,21,16,18,11,9,11,3,1,2,11,1,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dijnselburg B 15 maart,0355::SB40,3705 GK,0,311,0,0,0,0,0,288,23,0,0,0,0,0,311,90,28,33,47,13,14,26,8,13,4,7,6,7,0,4,0,8,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dijnselburg B 16 maart,0355::SB41,3705 GK,0,204,1,0,0,0,0,189,16,0,0,0,0,0,205,51,24,16,25,14,13,22,7,15,0,1,1,7,3,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Binnenbos 15 maart,0355::SB42,3708 DL,0,480,0,1,0,0,0,449,32,0,0,0,0,0,481,130,19,40,118,20,25,28,25,23,7,10,2,6,2,12,1,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Binnenbos 16 maart,0355::SB43,3708 DL,0,388,1,0,0,0,2,353,34,0,0,0,0,0,389,88,37,45,71,22,11,26,19,25,3,3,5,10,0,9,1,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Oude voedselbank 15 maart,0355::SB44,3703 AJ,0,312,0,0,0,0,0,286,26,0,0,0,0,0,312,61,16,35,68,27,10,28,21,12,3,13,0,2,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Oude voedselbank 16 maart,0355::SB45,3703 AJ,0,241,2,0,0,0,0,223,20,0,0,0,0,0,243,47,27,10,42,20,12,28,8,12,0,6,1,11,1,4,1,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau St. Kerkelijk centrum Zeist-west 15 maart,0355::SB46,3704 KB,0,694,0,0,0,0,0,633,61,0,0,0,0,0,694,132,41,85,120,46,46,73,46,29,7,6,19,11,1,11,0,15,0,0,0,3,1,1,0,0,0,0,0,0,0,1
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau St. Kerkelijk centrum Zeist-west 16 maart,0355::SB47,3704 KB,0,509,0,1,0,0,0,458,52,0,0,0,0,0,510,92,43,56,74,35,33,34,27,30,5,4,30,7,4,12,1,16,0,0,0,0,0,1,0,0,1,0,1,0,1,2
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Flex@Work 15 maart,0355::SB48,3706 AH,0,277,0,0,0,0,0,260,17,0,0,0,0,0,277,48,20,29,50,19,17,23,22,10,5,5,8,3,0,7,1,7,0,1,1,0,0,0,0,0,0,0,0,0,0,1
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Flex@Work 16 maart,0355::SB49,3706 AH,0,238,0,0,0,0,0,220,18,0,0,0,0,0,238,44,20,20,38,17,19,15,8,16,1,1,14,3,4,4,1,10,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Speeltuin- en belangenvereniging kindervreugd 15 maart,0355::SB50,3705 XD,0,177,0,0,0,0,0,165,12,0,0,0,0,0,177,30,23,9,26,11,15,22,11,13,2,4,2,2,0,3,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Speeltuin- en belangenvereniging kindervreugd 16 maart,0355::SB51,3705 XD,0,126,0,0,0,0,0,110,16,0,0,0,0,0,126,25,22,15,11,5,7,6,1,14,3,2,4,2,1,2,1,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Maria Christina kerk 15 maart,0355::SB52,3734 BG,0,443,0,1,0,0,1,413,30,0,0,0,0,0,444,138,26,64,74,15,23,37,15,20,3,5,1,2,0,13,0,4,0,0,1,0,1,0,0,1,0,0,0,0,0,0
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Maria Christina kerk 16 maart,0355::SB53,3734 BG,0,298,0,0,0,0,1,271,26,0,0,0,0,0,298,86,25,39,52,11,13,25,5,12,7,2,2,3,1,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Mobiel stembureau A,0355::SB54,,0,58,1,0,0,0,0,58,1,0,0,0,0,0,59,9,4,17,1,2,4,5,5,3,0,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau 1,0355::SB55,,0,4097,7,7,0,0,0,0,0,0,0,0,0,0,4113,1068,312,651,538,155,190,393,225,157,78,127,12,24,3,72,1,63,2,0,0,0,5,2,4,12,1,1,0,0,1,0
Utrecht,Zeist,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau 2,0355::SB56,,0,91,0,0,0,0,0,0,0,0,0,0,0,0,91,21,11,13,14,3,2,13,1,3,1,0,4,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
