contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,Partij van de Eenheid,Vrij en Sociaal Nederland,De Groenen,Partij voor de Republiek,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Sporthal Oostenburg,0363::SB14,1018 ND,620,206,0,2,0,0,0,177,31,0,0,0,0,0,208,14,11,1,43,36,11,12,1,17,0,0,12,1,25,2,0,17,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau De Vinse School,0363::SB15,1015 HP,1018,894,2,2,0,4,6,830,66,0,0,4,0,0,902,92,53,8,227,110,43,68,5,96,4,0,7,42,46,10,1,63,0,6,1,0,6,0,2,0,0,1,0,1,0,0,0,2,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Doubletree by Hilton,0363::SB16,1011 DK,991,442,0,2,0,0,2,411,31,0,0,0,0,0,444,83,5,7,134,39,18,29,2,38,1,0,4,8,28,7,0,35,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Lil' Amsterdam,0363::SB17,1012AB,0,393,0,3,0,0,3,376,17,0,0,0,0,0,396,30,15,5,102,54,17,39,8,31,1,0,9,9,41,4,1,21,3,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Park Plaza Victoria Amsterdam Hotel,0363::SB18,1012TM,1068,131,0,0,0,0,2,128,1,0,0,0,0,0,131,13,3,4,41,10,3,7,0,8,0,0,2,7,16,3,0,9,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Tent Appeltjesmarkt,0363::SB19,1016 VC,1026,861,0,4,3,0,3,813,52,0,0,3,0,0,868,138,23,13,246,62,41,45,3,88,5,2,15,35,40,6,2,81,1,7,2,1,4,0,1,0,0,0,0,0,0,0,0,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau De Bazel,0363::SB20,1017HL,960,436,0,2,0,0,1,397,40,0,0,0,0,0,438,78,6,14,128,47,7,30,2,31,0,0,5,9,18,9,1,45,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Hard Rock Hotel Amsterdam American,0363::SB21,1017 PN,663,723,0,3,0,0,4,665,57,0,0,0,0,0,726,116,12,22,244,58,22,38,9,50,1,1,8,22,38,15,1,53,1,4,1,0,4,1,1,0,1,0,0,0,0,0,0,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau De Zuiderkerk,0363::SB22,1011 WB,1032,484,2,1,0,0,1,449,37,0,0,0,0,0,487,46,16,12,123,75,26,38,4,51,0,1,1,9,31,7,1,39,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Motivaction International BV,0363::SB23,1015 ZL,845,723,0,1,0,2,4,669,53,0,0,2,0,0,726,109,15,19,189,71,25,44,5,67,2,2,9,37,37,5,2,73,1,3,1,2,3,0,0,0,0,1,0,0,0,0,0,1,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Het Claverhuis,0363::SB24,1016 TX,759,1463,6,2,0,8,9,1358,112,0,0,8,0,0,1479,199,45,18,473,152,69,88,6,142,3,0,5,47,72,13,3,109,3,10,0,0,4,0,0,0,0,0,1,1,0,0,0,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Huis van de Buurt De Boomsspijker,0363::SB25,1011 EC,973,665,0,3,0,0,2,610,56,0,0,0,0,0,668,53,36,9,154,112,31,42,7,83,1,0,1,28,41,11,1,43,0,5,1,1,2,3,0,0,0,0,0,0,0,0,0,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Kerk De Duif,0363::SB26,1017 LD,915,1364,2,4,0,9,7,1268,104,0,0,9,0,0,1379,250,18,27,475,115,33,65,10,103,1,1,1,30,62,23,0,136,0,6,1,0,0,1,2,4,0,0,0,0,0,0,0,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Kerk De Duif,0363::SB27,1017 LD,925,1535,1,3,0,0,4,1429,106,0,0,0,0,0,1539,259,21,30,549,144,34,73,10,128,0,2,3,31,58,17,1,160,0,2,1,0,5,1,2,1,0,0,1,0,0,0,0,2,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Level Eleven,0363::SB28,1012AB,723,113,0,0,0,0,1,101,11,0,0,0,0,0,113,13,0,0,26,10,2,11,0,17,0,0,6,0,11,2,0,11,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Posthoornkerk,0363::SB29,1013 EX,829,1169,2,5,0,0,5,1092,79,0,0,0,0,0,1176,117,37,20,323,148,52,99,6,115,3,0,14,32,77,13,1,90,1,9,1,0,7,1,1,0,0,0,0,0,0,1,0,1,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Posthoornkerk,0363::SB30,1013 EX,831,1144,2,4,0,1,4,1071,76,0,0,1,0,0,1151,102,49,15,302,151,47,91,11,127,0,0,5,39,67,12,3,107,0,4,0,1,7,0,0,0,0,0,1,0,0,2,0,1,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Tent Funenpark,0363::SB31,1018 AK,845,1316,2,4,0,0,0,1222,102,0,0,2,0,2,1324,106,36,26,366,195,53,101,9,122,2,0,50,30,87,9,1,93,14,5,0,2,6,0,0,0,0,0,1,0,1,1,0,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau De Beurs van Berlage,0363::SB32,1012 ZJ,1027,1033,1,4,0,0,9,974,55,0,0,0,0,0,1038,146,15,32,324,109,22,38,15,89,1,1,15,25,70,11,2,97,3,8,3,0,3,1,0,0,0,0,1,1,0,0,0,1,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau De Roode Bioscoop,0363::SB33,1013 HP,940,1365,0,3,0,0,7,1270,94,0,0,3,0,0,1371,120,33,26,372,184,62,83,9,134,5,0,20,39,140,12,1,111,2,6,0,1,2,0,1,0,0,1,0,0,0,0,0,1,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Crea Cultureel Studentencentrum,0363::SB34,1018 WV,645,507,3,1,0,0,3,482,26,0,0,0,0,0,511,40,8,4,157,68,14,38,3,57,1,1,3,9,36,6,0,52,0,1,1,0,3,0,3,0,0,0,0,0,0,1,0,1,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Doopsgezinde Singelkerk,0363::SB35,1017 AW,596,326,0,0,0,0,3,304,19,0,0,0,0,0,326,57,14,10,89,24,7,12,2,23,0,2,2,15,20,2,0,44,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gemeentepand Jodenbreestraat,0363::SB36,1011 NH,910,707,4,2,0,0,7,656,50,0,0,0,0,0,713,77,23,14,194,99,24,42,8,59,0,2,9,16,65,9,2,51,1,5,2,2,1,0,0,0,0,0,0,1,0,1,0,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Sporthal Oostenburg,0363::SB37,1018 ND,616,234,2,1,0,0,2,215,20,0,0,0,0,0,237,23,9,2,49,38,11,18,5,11,1,0,10,6,28,3,0,14,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Stichting Arcam,0363::SB39,1011 VX,984,591,1,1,0,9,3,560,39,0,0,9,0,0,602,49,10,13,171,80,30,59,9,57,1,0,2,16,36,4,0,44,0,1,1,1,5,0,0,0,0,0,0,0,1,0,0,1,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Doopsgezinde Singelkerk,0363::SB40,1017AW,795,342,2,2,0,0,2,321,23,0,0,0,0,0,346,68,10,8,97,25,9,14,4,33,0,0,0,16,15,5,0,33,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Allard Pierson,0363::SB41,1012 GC,904,494,0,0,0,0,2,461,31,0,0,0,0,0,494,61,9,19,159,59,10,34,2,37,1,1,3,14,28,12,0,38,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Akhnaton,0363::SB42,1012 PV,821,325,2,1,0,0,2,307,19,0,0,0,0,0,328,33,12,8,89,30,13,10,2,46,1,0,2,18,23,6,0,28,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau De Witte Boei,0363::SB43,1018 LT,1006,719,1,6,0,0,1,669,56,0,0,0,0,0,726,55,39,10,107,105,54,68,11,60,3,1,43,28,76,8,0,30,6,0,0,1,6,2,0,1,0,0,1,2,0,2,0,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Oosterkerk,0363::SB44,1018 LS,670,755,0,2,0,0,3,702,52,0,0,0,0,0,757,56,20,12,172,127,44,74,6,75,4,0,14,17,65,6,0,51,0,6,0,1,3,0,0,1,0,0,0,0,0,0,0,1,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau NH Caransa,0363::SB45,1017 CT,782,314,1,3,0,0,2,290,26,0,0,0,0,0,318,69,11,7,82,24,7,12,2,21,1,0,1,17,20,0,0,30,6,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Sporthal Oostenburg,0363::SB46,1018 ND,612,136,0,0,0,0,3,119,14,0,0,0,0,0,136,13,7,3,30,16,10,8,0,7,0,0,11,0,14,2,0,12,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Lil' Amsterdam,0363::SB48,1012AB,0,436,1,1,0,0,3,402,33,0,0,0,0,0,438,35,14,15,113,61,16,23,4,29,2,0,13,8,43,1,0,42,6,2,0,2,2,0,1,0,0,0,1,1,0,1,0,1,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Crea Cultureel Studentencentrum,0363::SB49,1018 WV,672,591,0,0,0,0,0,542,49,0,0,0,0,0,591,62,6,10,164,103,23,50,4,53,1,0,0,13,45,5,1,42,1,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau De Waalse Kerk,0363::SB50,1012 JZ,635,425,2,0,0,0,5,396,26,0,0,0,0,0,427,42,8,5,130,50,12,30,6,39,2,2,0,8,29,3,0,45,3,3,1,2,2,1,0,1,0,0,1,0,0,0,0,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau De Zuiderkerk,0363::SB52,1011WB,1033,561,2,0,0,1,2,523,39,0,0,1,0,0,564,43,20,10,151,71,47,37,6,57,2,2,3,9,38,7,1,46,0,2,2,0,1,0,1,1,0,1,0,0,0,0,1,2,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Lancaster Hotel,0363::SB53,1018 DH,897,520,0,2,0,0,1,484,37,0,0,0,0,0,522,60,15,8,175,57,26,34,6,54,1,0,6,12,15,4,0,40,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,3,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Sportstudio 79,0363::SB54,1013 JB,890,992,2,4,0,0,3,919,77,1,0,1,0,0,999,105,29,5,293,148,39,48,5,113,4,0,15,30,55,7,1,84,1,4,0,0,4,0,1,0,0,0,1,0,0,0,0,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Pathé de Munt,0363::SB55,1017HD,1037,339,2,3,0,0,7,311,26,0,0,0,0,0,344,68,8,11,84,41,8,11,0,26,0,1,3,8,19,5,1,36,2,1,0,0,4,0,0,0,0,0,1,0,0,1,0,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Scheepvaartsmuseum,0363::SB57,1018KK,967,1381,5,3,0,3,15,1307,70,0,0,3,0,0,1392,115,35,27,437,235,34,95,15,124,1,2,10,14,97,13,2,106,5,7,1,1,1,1,2,1,0,0,0,0,0,0,0,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau NH Collection Barbizon Palace,0363::SB58,1012AD,966,300,2,2,0,0,6,287,10,0,1,0,0,0,303,34,11,7,73,36,13,20,6,19,1,0,1,7,20,6,1,31,0,6,2,0,0,0,0,0,0,0,1,0,0,0,1,4,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Keizersgracht Kerk,0363::SB59,1017 EM,647,649,2,1,0,3,5,624,26,0,0,3,0,0,655,148,18,23,200,53,15,21,6,45,0,1,1,18,17,6,2,65,0,4,1,0,5,0,0,0,0,0,0,0,0,0,0,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Stichting De Oude Gracht,0363::SB60,1016 DZ,908,455,0,0,0,0,4,427,24,0,0,0,0,0,455,73,9,9,131,42,13,26,7,35,0,4,0,12,20,5,4,55,0,4,0,0,2,0,0,0,0,2,0,0,0,1,0,1,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Room Mate Aitana,0363::SB61,1013 MM,1076,359,0,0,0,0,0,326,33,0,0,0,0,0,359,54,11,13,93,45,10,22,6,27,1,0,10,8,15,9,0,31,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Het Bushuis,0363::SB63,1012 CX,941,375,0,1,0,0,4,350,22,0,0,0,0,0,376,43,15,9,106,56,6,20,1,31,0,0,2,5,24,5,0,44,0,4,1,0,2,0,0,1,0,0,0,0,0,0,0,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau UvA - locatie P.C. Hoofthuis,0363::SB64,1012 VB,740,351,1,1,0,0,2,319,32,0,0,0,0,0,353,57,4,7,97,49,9,21,0,30,1,1,5,10,32,2,0,19,4,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau De Rode Hoed,0363::SB66,1015 CV,757,541,0,1,0,0,4,501,37,0,0,0,0,0,542,89,9,16,184,52,16,46,2,39,1,0,0,18,18,4,0,45,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Noorderkerk,0363::SB67,1015 NA,720,1464,4,3,0,0,11,1367,93,0,0,0,0,0,1471,139,48,30,451,170,49,90,13,153,4,2,5,46,71,17,1,153,0,9,0,1,11,0,0,0,0,0,0,1,0,0,0,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Museumwerf 't Kromhout,0363::SB68,1018 WJ,1080,697,0,1,1,0,3,641,53,0,1,0,0,0,697,45,12,6,198,111,28,80,2,89,4,0,4,12,42,4,0,55,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Museumwerf 't Kromhout,0363::SB69,1018 WJ,1045,629,0,0,0,3,2,595,35,0,0,3,0,0,632,37,4,8,181,115,29,59,5,65,1,1,3,9,37,4,0,63,1,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau OBS De Witte Olifant,0363::SB70,1011 DB,678,372,2,2,0,0,2,371,2,0,1,0,0,0,375,37,15,2,94,47,21,36,4,32,0,0,1,10,23,0,2,43,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Westerkerk,0363::SB71,1016GW,726,1329,2,0,0,2,10,1257,68,2,0,4,0,0,1335,155,34,23,423,160,55,99,8,130,4,0,9,33,55,15,1,107,0,6,2,0,6,0,2,0,0,0,0,0,0,1,1,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau De Melkweg,0363::SB72,1017 PH,734,1136,0,3,0,3,12,1055,69,0,3,0,0,0,1136,130,21,16,341,145,33,49,5,101,1,0,4,26,112,19,1,113,1,9,2,2,0,0,1,1,0,0,2,0,0,0,1,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau WeWork,0363::SB73,1017 XD,904,670,3,4,0,1,4,641,33,0,0,1,0,0,678,128,19,17,192,76,18,31,3,40,1,1,9,23,25,11,1,59,3,5,2,0,4,0,0,2,0,0,0,0,0,0,0,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Oosterkerk,0363::SB74,1018LS,669,889,2,4,0,4,2,865,32,0,0,4,0,0,899,52,29,14,221,164,44,75,4,94,5,0,27,13,63,9,0,61,2,6,0,0,2,0,1,0,0,1,0,0,1,0,0,1,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Westerkerk,0363::SB75,1016 GW,967,1497,0,7,0,0,9,1439,56,0,0,0,0,0,1504,201,34,39,477,176,45,109,4,131,2,3,0,28,67,20,1,143,2,2,1,1,7,2,0,0,0,0,1,0,0,0,0,1,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Room Mate Aitana,0363::SB76,1013 MM,1076,350,0,1,0,0,1,318,32,0,0,0,0,0,351,48,9,3,120,22,8,33,2,21,2,1,10,6,21,6,1,28,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau De Rode Hoed,0363::SB77,1015 CV,758,495,1,0,1,0,3,455,39,0,0,1,0,0,497,94,9,14,172,37,11,30,2,45,0,1,1,13,13,2,1,44,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Dominicuskerk,0363::SB78,1012TS,987,409,1,0,0,0,6,384,20,0,0,0,0,0,410,46,13,10,112,45,15,40,1,33,1,1,0,9,29,6,0,39,0,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,
Amsterdam,Amsterdam,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Dominicuskerk,0363::SB79,1012TS,1007,384,2,3,0,1,4,369,17,0,0,1,0,0,390,60,6,9,100,58,13,26,1,42,3,2,0,11,16,1,1,33,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,
