contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,"Blanco (Zeven, A.J.L.B.)",DE FEESTPARTIJ (DFP),Wij zijn Nederland
Den Helder,Hollands Kroon,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau MFA woensdag 17-3-2021,1911::SB22,1761 VM,0,1133,1,1,0,0,0,1034,101,0,0,0,0,0,1135,314,106,94,168,47,79,43,18,32,17,3,1,95,1,36,5,20,0,6,0,2,7,21,4,0,3,0,8,0,0,3,0
Den Helder,Hollands Kroon,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Rijvereniging Bucephalus woensdag 17-3-2021,1911::SB24,1768 BL,0,658,3,3,0,0,0,597,67,0,0,0,0,0,664,138,71,53,101,34,30,33,8,46,2,0,0,37,3,27,4,31,0,2,2,1,6,24,2,1,0,0,2,0,0,0,0
Den Helder,Hollands Kroon,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis De Nieuwe Horn woensdag 17-3-2021,1911::SB26,1767 CJ,0,648,0,0,0,1,2,596,49,0,1,0,0,0,647,126,111,37,82,30,41,38,4,24,4,0,2,63,6,24,9,14,0,0,2,1,4,19,1,0,0,0,1,0,4,1,0
Den Helder,Hollands Kroon,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijksteunpunt De Kroon woensdag 17-3-2021,1911::SB28,1775 BX,0,461,1,1,0,0,2,420,41,0,0,0,0,0,463,117,43,64,55,10,37,19,18,8,2,8,0,26,0,14,5,2,0,0,0,1,1,28,0,0,0,2,0,0,0,1,0
Den Helder,Hollands Kroon,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Café de Vriendschap woensdag 17-3-2021,1911::SB31,1735 GG,0,1414,2,4,0,0,3,1271,146,0,0,0,0,0,1420,449,149,238,156,41,52,32,9,45,20,4,0,88,2,45,8,16,0,2,2,0,3,45,0,1,0,1,4,0,0,2,0
Den Helder,Hollands Kroon,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau MFA maandag 15-3-2021,1911::SB32,1761 VM,0,505,0,1,0,1,5,460,42,0,0,1,0,0,507,134,60,87,54,7,35,46,13,10,2,2,0,29,0,12,0,7,0,0,0,0,1,2,2,0,0,0,0,0,2,0,0
Den Helder,Hollands Kroon,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau MFA dinsdag 16-3-2021,1911::SB33,1761 VM,0,478,2,0,0,2,0,432,50,0,0,2,0,0,482,140,52,68,57,12,35,26,7,9,9,0,0,26,3,15,3,4,0,0,0,0,1,5,0,1,2,0,2,0,0,1,0
Den Helder,Hollands Kroon,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Tree (vm. Ankerkerk) maandag 15-3-2021,1911::SB34,1777 EC,0,382,0,0,0,9,3,336,34,0,9,0,0,0,373,84,59,50,31,13,31,25,5,15,5,11,0,17,1,12,2,3,0,0,0,1,1,9,0,6,0,1,0,0,0,0,0
Den Helder,Hollands Kroon,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Tree (vm. Ankerkerk) dinsdag 16-3-2021,1911::SB35,1777 EC,0,435,0,0,0,0,0,391,44,0,0,0,0,0,435,88,78,30,57,14,21,25,9,18,5,1,0,33,0,29,5,6,0,1,1,1,0,7,0,3,0,0,2,0,0,0,1
Den Helder,Hollands Kroon,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Samenstroom Kerk maandag 15-3-2021,1911::SB36,1771 AD,0,479,0,0,0,0,0,429,50,0,0,0,0,0,479,120,66,86,41,8,36,36,25,4,3,6,0,22,2,7,2,5,0,0,0,1,1,0,1,3,0,1,3,0,0,0,0
Den Helder,Hollands Kroon,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Samenstroom Kerk dinsdag 16-3-2021,1911::SB37,1771 AD,0,450,0,0,0,0,1,408,41,0,0,0,0,0,450,107,58,77,36,9,36,26,14,16,2,9,0,31,2,14,1,3,0,1,0,0,1,6,0,1,0,0,0,0,0,0,0
Den Helder,Hollands Kroon,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis Prins Maurits woensdag 17-3-2021,1911::SB38,1733 AE,0,1425,2,1,0,1,1,1263,165,0,0,1,0,0,1429,396,132,140,231,61,72,62,7,46,10,3,1,98,3,52,8,36,0,3,1,8,4,40,0,4,0,0,5,0,1,1,0
Den Helder,Hollands Kroon,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis Prins Maurits maandag 15-3-2021,1911::SB39,1733 AE,0,426,0,3,0,0,0,387,42,0,0,0,0,0,429,111,52,49,61,15,32,42,5,14,6,0,0,15,1,10,0,2,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0
Den Helder,Hollands Kroon,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis Prins Maurits dinsdag 16-3-2021,1911::SB40,1733 AE,0,489,0,1,0,0,2,433,55,0,0,0,0,0,490,130,53,48,77,10,37,30,5,24,5,0,0,25,0,20,1,10,0,0,0,0,0,11,0,0,0,0,0,0,1,2,0
Den Helder,Hollands Kroon,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Veerburg woensdag 17-3-2021,1911::SB41,1761 ZA,0,1556,4,1,0,1,3,1407,152,0,0,1,0,0,1562,364,227,136,181,56,116,62,19,48,22,9,7,142,4,51,13,25,0,4,0,6,10,26,4,0,5,1,8,1,8,1,0
Den Helder,Hollands Kroon,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Jongerencentrum De Aap woensdag 17-3-2021,1911::SB42,1764 NL,0,1598,2,3,0,0,0,1438,165,0,0,0,0,0,1603,569,173,222,171,39,52,36,24,32,18,7,2,102,2,53,9,25,0,2,2,8,3,31,5,0,1,1,8,0,0,1,0
Den Helder,Hollands Kroon,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Niedorphal woensdag 17-3-2021,1911::SB43,1731 LT,0,724,1,2,0,1,0,639,89,0,0,1,0,0,728,239,77,75,86,15,32,18,11,19,6,3,1,56,0,27,4,15,0,0,1,1,2,33,0,1,0,0,0,0,2,0,0
Den Helder,Hollands Kroon,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Cultuurhuis de Kolk woensdag 17-3-2021,1911::SB44,1732 LL,0,467,4,1,0,0,2,439,31,0,0,0,0,0,472,116,61,26,56,8,33,27,0,25,5,1,1,30,1,10,3,12,0,0,0,0,3,40,1,2,1,0,3,0,0,2,0
Den Helder,Hollands Kroon,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Brandweerkazerne woensdag 17-3-2021,1911::SB45,1771 SC,0,805,0,2,0,1,6,706,94,0,1,0,0,0,806,196,141,81,68,29,37,15,19,10,5,4,0,80,1,34,9,19,0,1,0,1,5,40,1,1,3,0,2,0,1,1,1
Den Helder,Hollands Kroon,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Vikingschip woensdag 17-3-2021,1911::SB46,1779 BJ,0,1215,2,1,0,1,9,1134,76,0,0,1,0,0,1219,270,246,78,113,25,80,48,13,42,14,4,4,119,1,64,8,15,0,7,0,0,3,42,3,8,1,0,3,0,4,0,0
Den Helder,Hollands Kroon,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Rijvereniging Wironruiters woensdag 17-3-2021,1911::SB47,1777 JG,0,1108,1,1,0,0,1,964,144,0,1,0,1,0,1109,267,149,91,117,31,75,33,9,36,14,4,3,103,0,55,12,25,0,2,0,6,8,50,0,11,3,0,3,0,1,0,0
Den Helder,Hollands Kroon,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Samenstroom Kerk woensdag 17-3-2021,1911::SB48,1771 AD,0,581,3,0,0,0,1,541,41,0,1,0,1,0,583,152,77,83,68,7,26,18,25,16,4,5,0,39,0,14,5,9,0,1,0,2,3,22,1,1,0,1,1,0,0,1,0
Den Helder,Hollands Kroon,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstem TELBUREAU woensdag 17-3-2021,1911::SB50,1761 BK,0,3244,7,1,0,20,0,3272,0,0,0,20,0,0,3272,873,297,675,231,58,287,408,100,73,83,10,1,23,2,51,7,18,0,1,0,2,4,16,3,19,1,0,1,0,0,0,0
