contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,"Blanco (Zeven, A.J.L.B.)",DE FEESTPARTIJ (DFP),Wij zijn Nederland
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gymzaal Noorderven,0479::SB110,1504 AL,2089,982,5,4,6,0,0,857,128,0,6,0,0,0,985,,,154,98,46,136,62,53,100,11,46,15,2,159,36,14,20,0,11,4,2,0,2,2,1,0,0,1,0,5,0,2,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau De Paaskerk,0479::SB111,1501 TN,1148,754,2,2,0,0,2,701,55,0,0,0,0,0,758,,,93,121,20,85,73,50,50,9,49,9,2,35,70,24,18,4,13,2,7,1,3,3,3,0,0,0,1,4,2,3,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Stembureau CBS Tamarinde,INGANG J.C. VAN WESSEMSTR",0479::SB112,1501 VR,1280,782,2,3,0,0,2,745,40,0,0,0,0,0,787,,,105,129,25,135,52,56,51,7,54,15,3,9,56,9,24,4,25,0,11,1,2,0,3,0,0,1,0,4,0,1,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Wijkcentrum Dirk Prins,0479::SB113,1501 RM,944,547,3,1,0,0,1,481,69,0,0,0,0,0,551,,,78,89,19,90,34,49,35,9,14,10,2,32,48,14,7,1,7,2,0,0,0,0,2,1,0,0,1,2,0,0,1,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Buurthuis de Kolk,0479::SB114,1502 VP,1103,763,1,1,0,1,1,679,86,0,0,1,0,0,766,,,123,97,37,122,37,64,80,9,26,6,0,43,41,11,31,1,18,3,2,0,1,3,2,0,2,0,0,1,0,2,1,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Hikari,0479::SB115,1503 XH,1374,653,2,6,0,0,0,596,65,0,0,0,0,0,661,,,78,103,23,90,43,55,46,9,40,7,3,67,28,24,6,4,4,4,2,1,0,0,0,0,1,1,3,3,1,5,2,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Stembureau Sporthal de Struijck, INGANG PROF.STRUIJCKENSTRAAT",0479::SB116,1502 RV,1506,875,2,2,0,0,0,817,62,0,0,0,0,0,879,,,102,150,32,126,62,86,71,7,49,9,2,43,50,27,19,3,12,4,5,1,0,6,1,1,1,0,1,1,0,2,2,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau De Noorderkerk,0479::SB117,1502 DJ,1945,1065,0,7,0,0,1,938,133,0,0,0,0,0,1072,,,147,116,34,136,74,86,69,23,45,9,3,125,73,32,22,6,16,20,7,0,1,5,5,3,0,0,2,2,0,3,1,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Basisschool Kogerveld,0479::SB118,1508 AW,1042,495,1,4,0,0,1,452,47,0,0,0,0,0,500,,,80,54,18,64,26,40,27,14,14,11,3,47,35,13,13,6,6,11,0,0,2,3,0,1,1,0,0,5,0,0,1,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gymzaal Veldbloemenweg,0479::SB119,1508 WV,1270,936,0,13,0,9,76,779,85,0,9,0,0,0,940,,,104,102,46,108,62,92,73,16,32,18,1,110,75,25,17,5,8,3,8,1,2,5,0,0,1,1,2,6,4,2,6,1
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Buurtcentrum de Bovenkruier,0479::SB120,1509 KP,1699,754,1,1,0,0,1,687,68,0,0,0,0,0,756,,,172,93,23,104,43,52,56,10,42,17,3,10,51,5,25,4,16,0,0,3,0,4,5,0,2,0,1,9,0,2,2,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Sporthal de Tref,0479::SB121,1509 KR,1831,1980,2,5,0,0,2,1781,204,0,0,0,0,0,1987,,,374,321,71,315,96,147,106,50,83,18,7,24,179,21,55,18,39,4,7,0,3,12,5,3,2,0,2,8,5,3,2,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Stembureau Speeltuinvereniging ""Het Havenkwartier""",0479::SB123,1506 PK,1706,995,2,1,0,3,2,901,92,0,3,0,0,0,995,,,199,171,34,152,55,72,61,12,55,9,1,13,75,10,29,7,20,0,2,0,6,5,1,0,1,0,0,4,0,1,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Het Zaantheater,0479::SB124,1506 BB,1213,964,1,1,0,0,2,886,78,0,0,0,0,0,966,,,168,83,17,203,96,56,66,12,79,16,2,10,46,26,20,5,36,3,4,1,3,4,0,1,2,0,0,2,0,3,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Pathé Bioscoop,0479::SB125,1506 TX,948,925,1,2,0,0,2,849,77,0,0,0,0,0,928,,,126,83,25,182,94,53,61,5,64,3,1,35,74,36,16,4,27,10,6,2,5,4,2,0,0,1,0,4,1,1,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Het Tolhuys aan de Zaan,0479::SB126,1506 GG,1384,702,4,2,0,0,0,650,58,0,0,0,0,0,708,,,127,87,24,100,62,44,50,5,70,6,2,19,31,14,14,6,24,2,1,0,0,2,1,1,1,0,0,5,0,3,1,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Atletiekvereniging Zaanland,0479::SB127,1506 JA,2181,923,0,0,0,0,4,842,76,0,1,0,0,0,922,,,175,67,33,208,90,56,75,11,60,10,4,14,40,14,15,4,28,4,2,1,2,5,0,2,0,0,0,0,0,1,2,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Regio College,0479::SB128,1507 EK,1300,666,1,0,0,0,5,593,69,0,0,0,0,0,667,,,116,64,15,109,50,44,45,9,28,7,0,46,45,16,18,1,20,3,5,1,8,3,5,1,2,0,0,2,0,2,1,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Buurtcentrum De Zeskanter,0479::SB129,1507 JE,1892,888,2,3,0,0,0,795,98,0,0,0,0,0,893,,,213,101,33,131,60,69,47,28,23,16,4,21,66,15,28,6,12,1,4,0,1,2,3,0,1,1,0,2,0,0,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gymzaal Meverstraat,0479::SB130,1507 XE,1369,1235,2,0,0,5,1,1106,135,0,0,5,0,0,1242,,,244,139,51,220,75,94,85,22,50,20,4,26,96,18,39,5,26,4,0,1,4,3,2,0,1,0,0,2,1,2,1,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau De Volleyhal,0479::SB131,1507 JE,1661,1015,2,1,0,13,1,932,98,0,0,13,0,0,1031,,,207,128,60,159,61,76,63,29,30,18,7,32,55,11,25,9,19,7,2,3,0,4,4,1,2,0,0,1,0,1,1,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Brandweerkazerne Houtveldweg,0479::SB132,1507 AJ,1936,1300,1,1,0,0,2,1160,140,0,0,0,0,0,1302,,,234,175,45,194,121,98,90,14,73,20,2,26,83,24,25,6,19,7,5,3,3,3,6,3,1,0,0,9,1,5,4,1
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Stadhuis van Zaanstad,0479::SB133,1506 MZ,650,833,8,6,0,0,9,765,73,0,0,0,0,0,847,,,103,72,21,161,69,36,65,12,50,4,1,49,63,58,9,4,26,10,3,1,3,5,1,0,0,0,0,1,1,5,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Best Western Zaan Inn,0479::SB134,1507 EB,1668,1203,2,2,9,0,1,1090,125,0,0,9,0,0,1216,,,253,112,48,241,87,62,81,13,41,11,2,56,59,44,28,8,34,7,4,2,2,4,2,0,0,0,0,0,0,1,1,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Cultureel Centrum Bullekerk,0479::SB135,1506 ED,694,635,1,0,0,0,0,586,50,0,0,0,0,0,636,,,104,53,26,112,71,41,52,5,51,7,2,16,28,12,11,2,29,0,3,1,0,3,2,1,0,0,0,1,0,0,2,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Cultureel Centrum Bullekerk,0479::SB136,1506 ED,694,596,1,4,0,0,0,543,58,0,0,0,0,0,601,,,75,45,22,134,52,48,44,6,39,7,1,12,49,9,12,3,26,2,1,1,2,3,0,1,1,0,0,0,0,1,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Buurthuis De Doorbraak,0479::SB137,1501 NS,826,439,1,0,0,0,0,402,38,0,0,0,0,0,440,,,61,61,14,57,35,27,27,5,27,7,2,13,47,10,12,7,14,2,5,0,1,2,0,0,0,0,0,0,0,3,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Zaandamse Operette Vereniging Czaar Peter,0479::SB138,1502 VC,605,322,1,2,2,0,1,297,29,0,0,2,0,0,327,,,44,41,10,40,23,31,26,2,9,3,0,34,18,14,5,3,8,2,6,0,0,0,0,0,0,0,1,1,0,1,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Kerk van de Nazarener,0479::SB201,1541 CD,1822,1480,2,5,0,1,0,1369,119,0,0,1,0,0,1488,,,282,167,68,238,100,108,90,44,80,23,10,33,89,23,42,7,33,2,6,0,3,12,8,1,1,0,0,8,0,2,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Buurthuis Het BrandtWeer,0479::SB202,1541 EK,1690,1279,4,1,0,1,2,1196,87,0,0,1,0,0,1285,,,237,175,45,173,76,83,80,16,94,11,8,36,104,20,32,7,31,10,6,1,3,7,9,5,2,2,2,2,0,1,1,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Buurtcentrum De Vuister,0479::SB203,1541 WR,1192,766,1,2,0,1,0,699,71,0,0,1,0,0,770,,,141,84,34,125,60,58,56,24,44,12,2,9,44,16,22,2,14,5,0,0,4,6,1,1,0,0,0,1,0,0,1,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Buurtcentrum De Vuister,0479::SB204,1541 WR,1191,672,0,0,0,0,0,617,55,0,0,0,0,0,672,,,129,75,39,83,49,59,46,19,44,8,0,3,39,13,24,1,15,3,3,1,1,6,3,2,0,1,2,1,0,3,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Stembureautent tegenover Westerkoogweg 62,0479::SB205,,1402,993,0,4,0,1,1,901,96,1,0,1,0,0,998,,,205,93,49,169,65,53,75,23,61,14,16,8,75,7,23,2,23,1,11,0,3,5,3,2,0,1,0,2,1,1,1,1
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Basisschool de Golfbreker,0479::SB206,1541 RT,1298,656,1,3,0,0,0,583,77,0,0,0,0,0,660,,,133,65,37,154,25,46,40,16,28,2,0,3,48,2,15,2,19,0,3,1,2,5,3,1,0,1,0,1,0,4,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Apostolisch Genootschap,0479::SB301,1544 RV,1213,664,1,4,0,1,1,608,62,1,0,2,0,0,671,,,118,75,26,114,43,43,52,11,38,4,4,17,49,11,13,7,19,2,4,0,1,3,2,2,1,1,0,2,0,2,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Apostolisch Genootschap,0479::SB302,1544 RV,1214,637,2,1,0,0,0,601,39,0,0,0,0,0,640,,,101,81,19,120,50,56,48,3,36,9,3,9,32,4,20,4,21,1,2,1,1,4,4,1,2,0,0,3,0,1,1,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gymzaal Fortuinweg,0479::SB303,1544 VX,2580,1311,2,3,0,3,7,1179,133,0,0,3,0,0,1319,,,250,148,43,211,86,113,75,27,61,18,5,60,68,28,39,13,26,10,3,2,5,1,2,2,2,0,2,10,0,1,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Stembureautent Guisveld (plein John Lennonstraat),0479::SB304,,1745,1466,4,5,0,2,2,1330,145,0,0,2,0,0,1477,,,364,173,65,233,84,89,100,18,74,23,4,33,81,11,43,8,34,3,7,1,2,5,3,0,0,1,0,3,0,2,1,1
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gymzaal Goudastraat,0479::SB401,1521 TP,2094,1071,6,0,0,1,1,981,94,0,1,0,0,0,1076,,,207,130,43,174,70,97,37,17,75,14,9,15,83,17,19,6,30,2,5,1,3,6,7,0,1,0,0,1,0,1,0,1
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Buurtcentrum De Lorzie,0479::SB402,1521 HS,2278,1543,1,11,0,1,2,1434,118,0,1,0,0,0,1554,,,251,244,53,207,70,128,97,24,93,22,2,49,136,33,46,10,22,7,5,3,1,11,10,4,0,1,0,7,0,4,3,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gymzaal Anemoonstraat,0479::SB403,1521 WN,749,302,1,0,0,1,0,273,28,0,2,0,1,0,301,,,41,44,12,43,12,30,19,3,13,5,2,10,22,14,10,0,1,0,1,0,2,3,3,3,0,3,0,3,0,2,1,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gymzaal Anemoonstraat,0479::SB404,1521 WN,749,301,1,1,0,0,0,280,23,0,0,0,0,0,303,,,48,55,14,31,15,45,18,2,10,6,0,12,18,3,7,3,2,0,0,0,1,2,1,2,0,3,1,0,1,0,1,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Evean Amandelbloesem,0479::SB405,1521 XH,1475,696,0,0,0,1,590,57,48,0,1,0,0,0,695,,,116,118,36,72,35,61,50,18,36,9,4,10,67,13,10,4,7,0,0,0,5,2,2,2,1,7,0,9,0,1,0,1
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Stembureau Dorpshuis ""De Noorddam""",0479::SB406,1525 PA,602,446,1,1,0,0,0,406,42,0,0,0,0,0,448,,,117,72,8,71,17,38,19,8,24,4,1,0,30,3,13,1,10,2,1,0,0,1,4,0,0,0,0,0,0,1,1,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau De Wormerveerse Vermaning,0479::SB407,1521 DM,1303,592,4,1,0,0,14,542,41,0,0,0,0,0,597,,,116,65,25,121,37,37,27,6,50,5,4,2,30,7,14,10,18,0,4,0,2,4,4,0,0,1,0,2,0,1,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Stembureau St. Petrusparochie, INGANG KERK",0479::SB501,1561 HD,1656,1404,6,3,0,2,3,1406,2,0,2,0,0,0,1411,,,268,167,98,246,88,119,73,22,94,15,1,9,87,18,26,5,29,1,6,2,3,6,5,1,0,1,1,7,1,3,1,1
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Dependance basisschool de Hoeksteen,0479::SB502,1561 TT,2333,1710,3,2,0,2,1,1549,167,0,0,2,0,0,1717,,,462,193,100,329,62,79,51,18,69,12,5,25,138,10,65,4,51,1,0,1,8,5,14,1,0,1,1,2,0,2,1,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gymzaal Braillestraat,0479::SB503,1561 JP,1720,928,3,1,0,6,2,860,76,0,0,6,0,0,938,,,210,127,53,141,51,91,47,10,48,13,1,18,49,3,20,5,14,0,6,0,1,4,6,1,1,0,0,3,0,4,1,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau De Durghorstplantsoen,0479::SB504,1561 DB,1909,839,2,3,0,0,2,781,61,0,0,0,0,0,844,,,143,136,41,103,36,97,44,11,65,9,1,4,69,6,30,3,13,2,5,0,0,3,4,0,1,2,1,5,0,3,2,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gymzaal Jupiterstraat 139 Evenaar,0479::SB505,1562 WP,1197,1404,2,0,0,5,1,1310,100,0,0,5,0,0,1411,,,275,216,86,198,55,134,95,21,58,14,10,29,93,12,30,10,28,5,4,1,3,7,9,2,0,3,0,4,0,2,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Odd Fellow Huis,0479::SB506,1562 RR,1564,706,0,1,0,0,1,649,59,2,0,2,0,0,709,,,147,83,44,100,44,66,43,18,30,7,3,19,38,0,24,4,14,1,1,0,1,0,7,1,0,0,0,4,0,5,1,1
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Basisschool de Hoeksteen,0479::SB507,1561 TZ,1714,654,0,1,0,0,1,602,52,0,0,0,0,0,655,,,126,98,35,118,30,47,25,11,24,6,2,13,58,2,12,9,5,6,6,0,1,2,5,3,2,3,1,2,0,2,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Buurtcentrum de Pelikaan,0479::SB508,1562 AJ,1197,577,1,3,0,0,0,528,53,0,0,0,0,0,581,,,81,84,14,76,38,47,37,6,32,10,0,42,46,10,18,1,8,5,2,0,3,3,7,0,0,0,0,2,1,3,1,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Kantine vv Assendelft,0479::SB601,1566 BA,1686,1023,1,1,0,2,1,913,113,0,0,2,0,0,1027,,,276,163,80,143,29,46,43,13,35,6,10,2,68,5,38,4,13,0,1,0,3,0,38,3,1,1,0,1,0,1,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Brandweerkazerne Assendelft,0479::SB602,1566 BE,1764,1359,2,0,0,2,0,1230,134,0,0,3,1,0,1364,,,326,230,77,193,43,92,74,13,51,12,5,12,107,8,39,8,17,5,6,0,1,2,24,1,3,1,1,5,0,2,1,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Tennisvereniging Overdan,0479::SB603,1566 LK,1770,1191,2,2,0,1,3,1089,104,0,0,1,0,0,1196,,,339,149,96,196,47,57,46,11,36,10,7,2,82,2,40,5,21,0,3,1,1,4,29,1,0,0,0,2,0,2,1,1
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Buurtcentrum A3,0479::SB604,1566 BR,1164,627,4,3,0,0,1,581,52,0,0,0,0,0,634,,,126,88,36,107,26,29,40,3,31,9,4,5,75,3,20,2,12,0,1,0,0,1,5,0,0,0,0,3,0,0,1,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gymzaal de Springplank,0479::SB605,1566 KL,1126,871,2,1,0,0,0,808,66,0,0,0,0,0,874,,,242,121,48,130,40,56,45,7,29,14,2,6,61,3,24,5,21,0,1,0,0,4,6,0,1,0,0,4,0,0,1,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gymzaal Blauwe Ring 90a (Octant),0479::SB606,1566 MZ,1359,935,1,1,0,0,0,853,83,0,1,0,0,0,936,,,247,123,42,163,35,45,43,6,29,12,3,31,53,8,44,3,16,3,2,2,6,7,4,2,0,1,0,4,0,0,1,0
