contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),"Blanco (Zeven, A.J.L.B.)",DE FEESTPARTIJ (DFP)
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau De Ontmoeting,1960::SB12,4191 AD,1288,272,0,1,0,0,0,240,33,0,0,0,0,0,273,65,24,21,33,13,7,13,16,5,0,31,4,20,1,8,2,3,0,0,0,1,4,0,0,0,0,0,1,0,0
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau De Morgenster,1960::SB13,4191 DN,1246,1000,1,2,0,0,1,880,121,0,1,0,0,0,1002,199,145,62,124,35,36,28,43,22,9,159,12,57,4,26,3,18,7,1,1,2,1,3,2,0,0,0,0,0,1
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau De Randhorst,1960::SB14,4191 NN,1306,614,0,1,0,0,1,539,75,0,0,0,0,0,615,131,88,35,68,19,13,20,19,11,3,116,0,48,0,24,2,7,0,2,0,1,1,6,0,0,0,0,0,0,0
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gereformeerde Kerk,1960::SB15,4191 GR,1023,826,1,0,0,1,5,739,84,0,0,1,0,0,828,177,110,96,105,22,34,27,33,9,8,121,1,33,0,22,3,10,3,2,1,4,2,2,0,1,0,0,0,0,0
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Dorpshuis Tricht,1960::SB16,4196 AC,1665,1302,0,3,0,1,7,1168,129,0,1,0,0,0,1304,270,172,110,153,67,62,42,56,39,15,150,7,78,2,26,2,29,2,0,0,1,3,9,0,2,1,2,1,0,1
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Stembureau Buurthuis ""de Heerlijckheyt""",1960::SB17,4155 BD,269,226,0,0,0,0,1,209,16,0,0,0,0,0,226,54,21,26,34,3,11,8,6,16,0,10,0,12,0,1,0,4,0,0,0,0,3,15,1,0,0,0,1,0,0
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Mr. Aafjesschool,1960::SB18,4194 RR,1618,1237,1,1,0,0,2,1101,136,0,0,0,0,0,1239,365,155,103,171,34,40,29,50,16,11,106,11,67,1,40,2,18,2,1,1,3,2,4,1,0,1,0,1,1,1
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Dorpshuis Meteren,1960::SB19,4194 TH,721,642,0,1,0,0,0,559,84,0,0,0,0,0,643,161,112,47,55,10,19,18,20,10,3,90,2,54,2,17,1,6,0,0,0,0,0,15,0,0,0,0,0,0,0
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau De Betuwepoort,1960::SB20,4152 EG,696,547,1,0,0,0,1,491,56,0,0,0,0,0,548,145,81,57,66,6,20,15,11,21,4,29,1,40,0,18,0,14,0,1,0,0,4,10,1,1,0,0,2,0,0
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau De Pluk,1960::SB21,4191 SG,1148,1067,2,0,0,0,0,931,138,0,0,0,0,0,1069,306,117,69,118,28,30,20,45,32,4,168,3,51,3,22,2,24,2,1,0,4,7,5,1,0,0,1,3,1,0
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Het Stroomhuis,1960::SB22,4182 CA,799,440,1,1,0,0,0,364,77,0,1,0,1,0,441,99,41,38,49,10,3,7,7,24,4,118,0,10,1,11,0,11,0,0,0,0,0,4,1,0,0,2,0,0,0
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Dorpshuis De Koeldert,1960::SB23,4181 CK,1293,1048,0,1,0,0,1,885,163,0,0,0,0,0,1049,179,197,51,52,9,43,28,33,10,4,352,2,46,0,11,5,9,0,1,0,1,1,10,0,0,0,0,2,1,1
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Dorpshuis Tuil,1960::SB24,4176 BH,765,566,1,1,0,0,0,503,65,0,0,0,0,0,568,173,87,37,51,13,19,22,11,11,0,60,3,37,0,17,2,11,0,0,0,1,0,8,0,0,0,0,2,1,0
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Burcht van Haeften,1960::SB25,4175 HA,2112,1212,1,1,0,0,2,1043,169,0,0,0,0,0,1214,240,211,117,115,34,51,33,71,22,9,111,11,95,1,49,7,15,1,0,0,0,2,11,0,0,1,0,5,0,0
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Dorpshuis De Biskamp,1960::SB26,4174 GW,775,594,0,0,0,0,1,523,70,0,0,0,0,0,594,130,96,69,36,5,24,20,35,14,4,71,3,46,0,12,6,7,0,0,0,1,2,5,0,4,0,0,4,0,0
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Hervormd Centrum Maranatha,1960::SB27,4184 EC,891,618,2,1,0,0,1,548,72,0,0,0,0,0,621,176,104,66,69,15,20,18,13,19,6,40,0,33,0,15,0,3,0,2,0,1,0,10,0,0,0,0,6,2,0
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Dorpshuis Est,1960::SB28,4185 NA,440,439,0,1,0,0,2,400,38,0,0,0,0,0,440,145,45,56,43,5,12,5,18,5,6,48,0,28,0,8,0,2,0,0,0,1,2,9,0,0,0,0,1,0,0
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Dorpshuis Toevershof,1960::SB29,4064 CK,1243,833,1,0,0,0,1,716,115,0,2,0,2,0,832,229,131,93,111,34,26,40,16,22,4,10,0,48,3,21,2,22,0,1,0,2,2,9,0,1,0,0,0,5,1
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau MFC Huis op Hemert,1960::SB30,4061 AR,1367,794,1,0,0,1,1,705,88,0,1,0,0,0,794,249,121,61,96,32,25,19,5,32,5,24,0,47,3,24,7,17,1,0,0,1,4,12,3,0,1,2,1,1,1
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Dorpshuis EMM,1960::SB31,4147 BJ,2541,1508,0,1,0,0,2,1348,159,0,0,0,0,0,1509,342,194,137,175,55,56,51,146,39,11,118,8,88,0,32,6,17,1,2,0,0,8,14,1,0,1,0,5,1,0
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Dorpshuis de Poort,1960::SB33,4171 AH,2168,1576,1,0,0,0,2,1339,236,0,0,0,0,0,1577,349,209,302,121,26,39,76,129,24,18,48,10,132,1,41,4,13,0,1,0,0,3,25,1,1,0,0,3,0,0
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Dorpshuis De Krakeling,1960::SB34,4161 AL,1965,1341,1,0,0,0,2,1184,156,0,0,0,0,0,1342,365,188,131,144,36,51,78,71,36,19,26,2,83,3,55,3,23,1,0,0,0,5,19,0,0,0,0,0,1,1
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Stichting het dorpshuis Spijk,1960::SB35,4212 CX,728,552,1,0,0,0,0,488,65,0,0,0,0,0,553,150,63,24,53,11,28,13,42,14,7,52,0,43,1,16,0,11,0,3,0,0,2,15,0,0,0,3,1,0,0
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Dorpshuis de Koels,1960::SB36,4214 EA,1612,1140,2,1,0,0,3,1029,111,0,0,0,0,0,1143,299,182,119,140,30,58,48,44,37,7,46,5,56,1,22,6,13,1,3,0,0,5,12,0,0,2,0,3,0,1
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gemeentehuis 15-3,1960::SB39,4191KH,0,640,1,0,0,0,1,565,74,0,0,0,0,0,640,147,69,102,65,26,32,31,25,19,2,57,3,13,1,35,2,3,2,0,0,0,0,4,1,0,0,0,1,0,0
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Burcht van Haeften 15-3,1960::SB40,4175 HA,0,205,1,0,0,0,0,178,28,0,0,0,0,0,206,32,29,31,13,7,18,12,10,0,2,32,5,3,0,6,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau MFC Huis op Hemert 15-3,1960::SB41,4061AR,0,103,0,0,0,0,0,94,9,0,0,0,0,0,103,26,13,14,8,3,9,5,8,6,4,3,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Dorpshuis EMM 15-3,1960::SB42,4147BJ,0,219,0,0,0,0,1,196,22,0,0,0,0,0,219,46,38,27,25,3,15,9,5,7,0,23,0,4,0,9,2,3,0,1,0,0,0,1,0,0,0,0,1,0,0
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gemeentehuis 16-3,1960::SB43,4191KH,0,705,0,0,0,0,3,622,80,0,0,0,0,0,705,179,79,80,76,20,30,33,19,24,7,81,3,18,2,34,0,16,1,0,0,0,0,0,0,3,0,0,0,0,0
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Burcht van Haeften 16-3,1960::SB44,4175HA,0,222,0,0,0,0,0,199,23,0,0,0,0,0,222,44,37,31,16,4,20,8,15,4,3,18,0,8,1,7,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau MFC Huis op Hemert 16-3,1960::SB45,4061AR,0,133,0,2,0,2,0,122,11,0,2,0,0,0,133,34,16,12,19,5,3,12,6,7,4,5,0,5,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Dorpshuis EMM 16-3,1960::SB46,4147BJ,0,271,0,0,0,0,0,233,38,0,0,0,0,0,271,76,33,23,23,7,12,7,27,9,1,24,0,11,0,9,0,2,0,0,0,2,1,3,0,0,0,0,1,0,0
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Telstembureau briefstem 10 tot 16 maart,1960::SB48,,0,2939,3,1,0,3,0,0,0,0,0,3,0,0,2946,665,286,595,177,59,137,378,160,77,79,225,2,24,2,41,1,12,0,0,1,1,0,7,2,5,0,2,1,0,0
Nijmegen,West Betuwe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Telstembureau 17 maart,1960::SB49,,0,77,0,0,0,0,0,0,0,0,0,0,0,0,77,11,14,15,3,0,3,12,3,2,3,7,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
