contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,Trots op Nederland (TROTS),U-Buntu Connected Front,DE FEESTPARTIJ (DFP),Vrij en Sociaal Nederland,Wij zijn Nederland
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kerkcentrum De Ark,0394::SB15,2134 SR,1552,1533,6,6,0,2,0,1363,184,0,0,2,0,0,1547,292,206,97,226,91,116,74,28,62,22,4,37,137,21,38,10,25,5,6,0,8,8,6,2,2,1,6,2,0,0,1
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sociaal Cultureel Centrum De Boskern,0394::SB16,2134 SB,2012,957,3,6,0,1,0,842,125,0,0,1,0,0,967,241,108,55,137,43,67,34,22,47,16,4,40,55,5,33,11,18,6,5,0,2,3,1,0,1,0,2,0,0,1,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal De Bosrank,0394::SB17,2134 SB,2005,562,1,1,0,0,2,496,66,0,0,0,0,0,564,127,77,42,78,32,40,19,11,12,7,2,21,41,5,15,3,10,7,3,0,2,2,1,0,1,2,2,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal De Schulp,0394::SB18,2134 DD,2126,1079,2,5,0,1,0,998,89,0,0,1,0,0,1087,278,118,77,178,64,82,52,17,41,14,3,6,58,4,32,1,19,2,3,3,3,7,7,2,2,2,2,0,2,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sociaal Cultureel Centrum De Veste,0394::SB20,2135 GJ,1789,1305,2,4,0,1,5,1163,142,0,1,0,0,0,1310,419,138,96,215,43,53,43,24,51,14,7,19,81,10,32,9,26,9,0,0,2,6,0,1,1,1,4,0,0,1,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Nederlands Transport Museum,0394::SB21,2152 CZ,1281,1879,4,3,0,1,1,1691,195,0,0,1,0,0,1887,540,193,140,325,85,78,64,47,62,14,12,24,116,11,60,7,44,9,6,0,9,12,7,2,0,0,10,0,2,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal Noorderdreef,0394::SB22,2152 AA,944,419,2,0,0,0,2,383,36,0,0,0,0,0,421,120,43,17,70,13,27,20,21,14,3,11,2,34,0,9,3,6,1,0,0,1,0,2,0,0,0,1,0,1,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Zalencentrum Het Trefpunt,0394::SB23,2153 LS,1462,749,0,2,0,0,2,672,77,0,0,0,0,0,751,181,102,94,84,31,26,19,42,26,4,13,11,55,6,18,2,11,4,3,0,1,5,3,1,2,1,2,0,2,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal Papaverstraat,0394::SB24,2153 BV,1426,680,0,0,0,6,0,613,61,0,0,0,0,0,674,184,89,58,89,26,42,21,25,20,5,9,8,48,6,12,2,21,1,2,1,0,3,5,0,2,0,1,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Zorgcentrum Westerkim,0394::SB25,2151 CK,1331,647,0,0,0,0,1,588,58,0,0,0,0,0,647,197,58,57,106,20,15,13,17,17,8,10,7,57,4,24,3,19,1,0,0,2,4,3,1,1,0,2,0,1,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkcentrum Linquenda,0394::SB26,2151 VC,1472,1147,3,5,0,0,4,1045,106,0,0,0,0,0,1155,279,146,77,153,49,53,49,36,42,15,19,20,107,9,25,12,27,8,1,2,3,5,4,0,2,0,3,0,1,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal Linquenda,0394::SB27,2151 TA,1545,732,1,0,0,0,3,662,68,0,0,0,0,0,733,204,97,41,89,32,35,30,24,31,13,3,11,51,7,19,4,17,7,5,0,1,1,6,0,0,1,3,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis Het Praatpunt,0394::SB28,2157 NC,851,580,1,1,0,0,0,529,53,0,0,0,0,0,582,149,111,53,36,11,34,19,17,20,8,21,4,26,2,34,8,7,0,1,0,1,3,12,1,2,0,0,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis De Ontmoeting,0394::SB29,2158 MC,392,281,0,0,0,0,1,264,16,0,0,0,0,0,281,88,44,42,34,2,17,6,2,3,3,8,0,12,1,5,1,3,0,2,1,0,1,2,0,3,0,1,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal Azollastraat,0394::SB30,2165 XP,1465,802,0,0,0,0,1,717,84,0,0,0,0,0,802,272,78,67,106,22,24,24,29,23,17,25,2,48,4,25,0,21,0,2,0,2,3,5,0,0,0,2,0,1,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis De Meerkoet,0394::SB31,2165 XG,1270,1188,1,1,0,0,0,1078,112,0,0,0,0,0,1190,322,175,80,143,24,46,40,50,47,10,70,2,70,3,55,3,20,0,3,0,4,3,14,0,1,0,3,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis Het Eiland,0394::SB32,2144 KA,844,644,2,1,0,0,0,597,50,0,0,0,0,0,647,166,101,49,83,20,26,20,9,31,12,1,2,59,5,31,4,6,2,1,0,1,8,1,0,3,0,2,0,1,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis De Oase,0394::SB33,2136 NG,1577,1054,1,1,0,1,1,1056,0,0,0,1,0,0,1057,376,111,69,167,27,27,19,23,46,6,19,2,64,3,31,9,23,0,2,1,2,5,10,0,0,4,7,0,1,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis 't Oude Fort,0394::SB34,2142 EA,629,416,1,0,0,0,2,385,30,0,0,0,0,0,417,157,40,35,80,5,9,10,7,15,1,1,0,18,0,14,3,15,0,0,0,0,2,3,1,0,0,0,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Cruquiushoeve,0394::SB35,2142 ED,350,172,1,0,0,0,1,159,13,0,0,0,0,0,173,28,27,15,26,5,14,7,4,12,3,0,3,11,2,6,1,1,0,0,0,0,1,3,0,1,0,1,0,0,1,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sportvereniging DSOV,0394::SB36,2141 VA,1170,1055,3,4,0,0,1,937,124,0,0,0,0,0,1062,313,121,81,202,51,32,23,15,39,11,3,17,52,10,29,4,34,0,3,2,2,1,6,2,0,0,1,0,1,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Verenigingsgebouw De Luifel,0394::SB37,2141 AM,1521,592,0,0,0,2,1,535,58,0,0,2,0,0,594,189,65,51,94,23,23,17,12,27,2,3,1,33,2,20,1,9,0,1,0,3,3,7,1,1,0,2,0,2,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal Kinheim,0394::SB38,1161 AP,1355,553,0,3,0,0,0,484,72,0,0,0,0,0,556,155,131,21,40,12,23,17,5,23,6,0,14,58,1,22,4,4,3,4,0,1,1,4,1,0,0,3,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Clubhuis De Bataaf,0394::SB39,1161 AN,1327,368,0,0,0,0,5,328,35,0,0,0,0,0,368,81,101,21,38,11,16,8,2,9,2,0,4,38,1,22,2,6,1,1,0,0,0,0,1,0,0,3,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis Zwanenburg,0394::SB41,1161 CN,1836,1456,2,1,0,0,5,1291,163,0,0,0,0,0,1459,358,306,79,167,36,70,41,9,66,14,6,16,134,10,84,4,35,1,4,0,2,5,3,1,0,0,4,0,1,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau V.V. Zwanenburg,0394::SB42,1161 SP,1109,760,1,3,0,2,0,669,97,0,0,2,0,0,766,214,176,61,74,16,26,21,5,17,6,0,12,60,1,37,5,12,2,0,0,1,2,5,1,0,0,6,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dr. Plesmanschool,0394::SB46,1171 TK,1203,686,0,0,0,0,1,634,52,0,0,1,0,0,687,216,59,39,144,29,10,18,8,30,11,1,10,44,8,16,4,26,2,0,0,2,4,1,0,0,2,2,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis Badhoevedorp,0394::SB47,1171 CZ,2144,1845,1,3,0,8,3,1628,226,0,0,8,0,0,1857,577,217,92,356,50,57,62,16,73,15,3,41,127,14,53,4,50,18,0,1,6,7,0,3,0,1,2,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Ontmoetingscentrum Karavanserai,0394::SB48,1171 HA,1469,1452,4,1,0,1,3,1320,133,0,1,0,0,0,1456,465,107,78,369,78,25,51,16,54,6,2,8,64,13,33,2,66,0,3,1,3,6,0,1,0,0,0,0,1,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau SC Badhoevedorp,0394::SB49,1171 HE,1209,323,1,0,0,0,0,287,37,0,0,0,0,0,324,104,39,18,57,11,11,8,4,11,3,0,5,21,4,7,3,8,1,2,1,1,1,0,2,0,1,0,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Buurthuis Rehoboth,0394::SB50,1171 NS,322,348,1,1,0,0,0,330,20,0,0,0,0,0,350,105,55,15,40,15,9,5,6,18,3,0,3,21,6,17,4,14,4,1,0,1,1,2,0,0,0,2,0,1,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Café-Restaurant Wink,0394::SB51,1438 AE,535,307,1,0,0,0,4,279,25,0,0,0,0,0,308,109,40,28,22,6,11,8,12,18,6,2,0,18,1,18,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau NGK Lichtbaken,0394::SB53,1435 EK,1550,415,2,0,0,0,0,376,41,0,0,0,0,0,417,132,41,62,48,8,10,7,40,12,3,9,0,15,2,9,2,5,0,1,0,0,0,3,0,0,2,3,0,1,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis De Reede,0394::SB54,1435 KN,1690,1425,3,0,0,0,0,1261,167,0,0,0,0,0,1428,366,230,136,153,54,56,44,45,40,27,9,23,119,5,61,6,25,1,3,2,3,2,8,1,1,0,4,0,1,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis Marijke,0394::SB55,2154 MG,512,344,1,0,0,0,0,311,34,0,0,0,0,0,345,89,51,59,35,13,9,8,14,7,3,6,0,18,0,13,1,3,0,2,0,0,2,9,0,0,0,1,0,0,1,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis De Kern,0394::SB56,2156 LA,412,318,1,0,0,0,1,288,30,0,0,0,0,0,319,116,28,44,23,6,20,6,9,11,0,2,0,20,1,23,0,2,0,0,0,1,0,6,0,0,0,0,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau KSH,0394::SB57,2135 BA,1799,1276,4,5,0,8,1,1158,118,0,8,0,0,0,1277,328,170,92,237,48,55,37,19,48,17,1,23,76,19,38,2,29,3,6,3,2,9,6,0,1,1,5,0,0,0,1
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Modelwoning Tudorpark,0394::SB59,2135 AA,1486,1076,1,1,0,8,0,1086,0,0,0,8,0,0,1086,410,81,47,194,46,22,13,17,41,9,7,40,49,8,33,4,31,10,3,0,1,3,0,2,1,0,3,0,1,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkcentrum De Amazone,0394::SB60,2135 MC,2050,1122,3,3,0,0,0,1007,121,0,0,0,0,0,1128,300,137,76,180,53,46,42,30,45,18,5,21,52,12,42,8,28,8,3,0,3,7,0,1,1,0,3,0,1,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kerkcentrum De Lichtkring,0394::SB61,2135 DV,1468,1936,3,2,0,1,2,1723,217,0,0,1,0,0,1942,555,220,137,350,90,72,85,36,72,31,10,18,88,18,57,13,42,4,5,0,6,17,2,1,0,2,4,0,1,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau ROC Airport,0394::SB63,2132 XV,561,330,0,2,0,0,0,320,12,0,0,0,0,0,332,52,17,12,74,29,21,5,2,9,3,2,17,24,34,14,1,4,3,2,0,1,3,0,1,0,0,0,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Braambos II gymzaal,0394::SB64,2134 XL,1996,880,2,1,0,0,1,778,104,0,0,0,0,0,883,240,56,44,174,49,37,31,22,26,13,2,47,37,20,29,4,16,4,6,0,5,7,3,1,0,3,2,1,1,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal Sandestein,0394::SB65,2151 KG,2044,1206,1,0,0,13,5,1060,129,0,13,0,0,0,1194,340,121,90,252,47,39,41,41,35,10,7,12,70,4,49,6,22,3,2,0,3,6,2,1,1,0,2,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sportzaal Sandestein,0394::SB66,2151 KG,1859,1231,4,3,0,0,0,1092,151,2,0,5,0,3,1243,414,106,79,227,57,39,48,28,42,7,8,21,61,7,30,5,34,3,1,1,3,0,2,1,0,2,5,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Buurtcentrum het Contact,0394::SB67,2151 KG,1962,1170,2,1,0,3,1,1034,135,0,3,0,0,0,1170,381,123,89,210,51,33,32,25,29,17,10,14,57,5,37,7,30,4,2,1,4,3,3,0,0,0,1,0,2,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Openbare Bibliotheek,0394::SB68,2134 CG,2274,954,0,5,0,0,1,850,108,0,0,0,0,0,959,303,93,60,183,41,36,24,32,23,9,5,15,42,4,28,6,30,6,1,0,5,2,1,1,0,1,0,1,2,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kinderdagverblijf Op Stoom,0394::SB69,2152 EV,1844,1033,7,1,0,0,2,920,119,0,0,0,0,0,1041,343,111,52,148,38,40,36,16,34,10,4,31,71,17,26,4,23,15,1,0,4,1,0,2,0,1,5,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Openbare Bibliotheek,0394::SB70,2134 CG,2313,1158,5,3,0,0,1,1025,140,0,0,0,0,0,1166,373,104,71,244,36,42,44,37,26,9,0,19,55,14,38,5,22,9,0,0,4,2,0,0,0,0,3,0,1,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal Het Braambos,0394::SB71,2134 XL,1734,1115,3,13,0,0,0,996,135,0,0,0,0,0,1131,301,105,54,216,42,51,41,37,42,18,4,55,48,9,31,3,37,3,3,2,1,3,2,0,2,0,4,0,1,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sportzaal Floriande midden,0394::SB72,2134 XS,1963,1651,4,7,0,5,1,1440,226,0,0,5,0,0,1667,484,152,86,331,92,45,52,33,56,21,0,81,82,17,39,12,30,11,7,2,2,4,2,2,1,1,5,0,1,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gebouw Sarabande,0394::SB73,2152 TB,1744,1192,4,5,14,0,5,1062,120,0,14,0,0,0,1187,392,96,102,200,44,43,44,15,21,6,3,41,62,16,54,3,18,9,7,0,3,2,6,0,1,0,0,0,2,1,1
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal in de Breedte,0394::SB74,2134 DL,1962,1938,3,0,0,7,3,1710,235,0,0,7,0,0,1948,621,170,133,364,76,99,64,49,59,15,7,56,93,13,41,5,32,11,8,4,2,3,1,1,2,1,7,0,1,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Het Brandpunt,0394::SB75,2132 BW,980,542,2,2,0,0,1,507,38,0,0,0,0,0,546,148,66,30,90,25,13,29,11,29,4,2,17,31,7,9,3,14,3,2,0,0,2,2,0,1,0,3,0,1,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkgebouw Rietland,0394::SB76,1171 XL,1482,686,3,1,0,0,0,635,56,0,0,0,0,0,691,194,107,29,111,24,22,18,4,30,15,3,7,56,4,19,3,20,7,0,1,3,3,1,1,0,0,3,0,0,1,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Soc. Cult. Centrum het P-Punt,0394::SB77,2132 VJ,1051,372,4,3,2,0,1,341,39,0,0,2,0,0,381,62,35,16,59,14,24,25,10,9,5,7,29,22,7,9,3,12,12,1,0,2,2,1,1,2,2,0,1,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Zalencentrum De Poterne,0394::SB78,2141 CT,1099,518,1,0,0,0,0,472,47,0,0,0,0,0,519,142,43,31,96,23,27,26,10,34,2,2,5,26,1,19,4,13,0,1,0,3,3,4,0,0,1,2,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Eetcafé & Partyzaal Tijnes,0394::SB79,2132 CR,1714,1291,2,4,0,0,0,1171,126,0,0,0,0,0,1297,434,122,104,207,53,47,44,20,30,7,1,20,63,9,62,6,30,8,4,0,2,8,5,3,0,0,1,0,0,0,1
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkcentrum De Amazone,0394::SB80,2135 MC,2364,1097,2,5,0,5,1,984,124,0,0,5,0,0,1109,311,107,70,202,67,50,53,29,35,14,2,32,49,12,18,6,11,3,3,0,3,5,2,1,2,3,3,3,0,1,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Mobiel stembureau,0394::SB82,2132 TZ,0,274,1,0,0,1,0,250,26,0,0,1,0,0,276,94,49,15,33,11,17,4,3,6,2,3,1,12,0,8,1,10,0,0,0,3,2,0,0,0,0,0,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpscentrum Spaarndam,0394::SB102,2064 KK,1800,1219,1,2,0,0,4,1094,124,0,0,0,0,0,1222,385,122,66,228,75,32,46,12,57,7,0,13,70,8,23,11,32,0,5,1,3,7,8,0,1,0,5,0,1,1,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Buurthuis De Stoep,0394::SB103,2065 AK,429,302,1,0,0,0,0,275,28,0,0,0,0,0,303,94,25,25,51,19,11,13,3,10,1,0,0,13,1,4,1,17,0,3,0,1,0,10,0,0,0,0,0,0,0,0
Haarlem,Haarlemmermeer,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau School Jong Geleerd,0394::SB104,1165 HB,1405,618,1,2,0,1,3,547,72,0,0,1,0,0,622,170,96,48,77,33,24,21,4,28,14,1,8,39,5,24,2,13,2,1,0,0,5,2,0,0,0,1,0,0,0,0
