contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,Trots op Nederland (TROTS),U-Buntu Connected Front,Partij van de Eenheid,Vrij en Sociaal Nederland,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Scoutinggroep Ferguson,0518::SB139,2555 NB,1971,1111,0,0,0,3,3,1017,94,0,0,3,0,0,1114,269,79,60,277,62,31,47,16,83,6,8,0,52,5,33,12,47,0,5,0,1,10,2,4,2,0,0,0,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau SV Loosduinen,0518::SB142,2553 EC,993,468,1,0,0,2,0,414,57,0,0,2,0,0,471,175,58,23,76,12,6,7,9,10,4,1,0,38,2,19,4,9,4,1,0,1,3,5,1,0,0,0,0,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Ockenburgh,0518::SB143,2554 BX,327,273,0,1,0,0,9,239,26,0,0,0,0,0,274,77,34,7,68,13,6,15,0,13,1,0,1,10,1,4,8,5,0,2,0,0,2,0,0,0,0,6,0,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau SV Wings,0518::SB144,2555 JK,888,357,0,0,0,0,3,319,35,0,0,0,0,0,357,79,51,12,51,17,15,20,4,31,7,1,9,30,0,8,9,10,0,1,0,0,0,0,0,2,0,0,0,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stichting de Madelief,0518::SB148,2553 ED,1005,592,2,0,0,0,1,513,80,0,0,0,0,0,594,208,47,44,131,23,4,11,5,17,1,2,7,23,1,18,3,35,1,1,1,0,2,4,0,0,0,3,0,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Popradar Den Haag,0518::SB149,2552 AW,2203,933,3,0,0,0,2,848,86,0,0,0,0,0,936,174,195,56,109,41,48,49,19,63,7,6,6,72,1,20,38,9,4,4,0,0,4,1,0,1,0,4,1,0,1,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Boulderhal de Campus,0518::SB151,2544 CV,1161,440,1,0,0,1,1,375,64,0,1,0,0,0,440,89,62,7,51,29,18,30,9,19,0,7,48,29,4,7,10,9,7,2,0,1,1,0,0,0,0,1,0,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Uithof,0518::SB152,2544 NL,472,578,2,1,0,0,2,495,84,0,0,0,0,0,581,171,89,23,92,22,12,13,7,23,3,2,24,39,3,16,16,15,4,1,1,0,1,0,0,0,0,1,0,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Maris College Kijkduin,0518::SB153,2551 CA,790,381,0,0,0,0,2,332,47,0,0,0,0,0,381,88,65,20,49,13,20,17,7,22,1,0,9,35,0,13,18,2,0,0,1,0,0,0,0,0,0,0,1,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Zuid-West College,0518::SB154,2542 JR,1389,425,0,3,0,0,0,351,77,0,0,0,0,0,428,44,50,19,46,25,20,30,7,10,4,2,115,19,9,2,4,2,13,1,0,0,1,0,0,1,0,0,0,1,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkvereniging Zuiderpark,0518::SB155,2547 GA,2561,1460,3,7,0,9,6,1270,185,0,9,0,0,0,1461,193,312,39,204,96,57,58,22,68,23,7,95,118,42,14,34,39,19,1,0,3,5,0,2,0,1,7,0,1,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Budosportcomplex Lu Gia Jen,0518::SB156,2546 SK,1715,909,2,3,0,0,0,804,110,0,0,0,0,0,914,152,192,18,132,68,34,36,13,51,11,6,31,71,5,21,29,23,3,3,0,2,3,0,1,1,0,3,0,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Bibliotheek Escamp,0518::SB157,2545 HA,2106,1521,8,24,0,1,1,1338,210,1,4,0,2,0,1549,202,212,34,153,118,83,85,21,56,12,3,318,80,37,16,23,5,48,1,0,2,1,1,1,2,4,1,0,2,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Bibliotheek Loosduinen,0518::SB158,2552 AE,3822,1195,2,26,0,3,2,1100,118,0,3,0,0,0,1220,181,276,45,151,55,66,55,17,63,8,6,42,117,14,30,39,13,4,3,0,3,4,1,0,0,0,2,0,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Bibliotheek Wateringse Veld,0518::SB160,2548 CL,1022,1295,4,6,0,1,0,1063,243,0,0,1,0,0,1306,296,168,54,209,84,50,60,17,23,8,0,144,65,12,29,20,14,22,1,0,0,5,2,3,2,4,1,1,1,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau OBS Erasmus,0518::SB162,2542 ED,2177,1146,2,7,2,1,0,915,243,0,0,3,0,0,1158,124,118,32,121,84,70,46,14,35,9,1,336,40,22,7,16,15,42,2,1,1,3,0,0,0,2,3,1,1,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Zwembad de Waterthor,0518::SB164,2564 BZ,1414,989,3,1,0,1,2,907,85,0,0,1,0,0,994,241,87,57,243,62,27,42,10,47,4,4,5,51,10,29,32,30,0,1,0,2,2,1,1,0,0,0,0,1,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Zwembad het Zuiderpark,0518::SB166,2533 SP,0,223,1,2,0,0,2,179,45,0,0,0,0,0,226,30,25,6,32,10,9,4,7,6,1,0,51,10,7,2,6,4,9,0,1,1,0,1,0,0,1,0,0,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Milieueducatiefcentrum Zuiderpark,0518::SB167,2533 SW,0,186,0,0,0,0,0,176,10,0,0,0,0,0,186,27,23,13,29,22,10,5,5,20,0,0,4,4,5,2,2,10,1,0,0,0,1,0,0,1,0,2,0,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wellantcollege Madestein,0518::SB169,2553 EC,0,461,0,5,0,0,0,411,55,0,0,0,0,0,466,168,61,13,84,8,11,8,10,25,6,1,4,26,3,4,10,15,1,0,3,0,0,0,0,0,0,0,0,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau sv Houtwijk,0518::SB173,2552 JG,20,308,0,0,0,0,0,280,28,0,0,0,0,0,308,56,67,8,37,11,24,22,7,9,3,2,4,27,2,10,6,3,0,1,1,0,6,0,1,0,0,1,0,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Servicepunt Arbeid Leyweg,0518::SB175,2545 GK,148,500,2,2,0,0,4,435,65,0,0,0,0,0,504,48,58,20,67,42,24,39,10,13,1,1,94,35,15,2,8,3,15,1,0,0,1,1,1,0,0,0,1,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Jeu de Boules Club De Goede Worp,0518::SB178,2544 GH,1126,482,1,0,0,0,0,403,80,0,0,0,0,0,483,56,62,12,57,33,26,28,3,10,4,2,112,26,11,1,11,9,13,3,0,0,2,0,0,0,0,0,0,1,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Theater en Filmhuis Dakota,0518::SB179,2545 VP,1967,870,4,4,0,0,0,772,107,1,0,1,0,0,879,166,144,34,108,60,40,57,7,40,8,6,81,33,15,11,20,17,6,2,0,3,7,0,0,1,0,2,0,0,2,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Leger Des Heils,0518::SB181,2553 VH,1752,559,0,6,0,0,1,511,53,0,0,0,0,0,565,83,141,15,62,13,37,31,9,31,5,0,6,58,3,9,29,12,2,1,0,2,3,2,0,1,2,2,0,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Budosportcomplex Lu Gia Jen,0518::SB182,2546 SK,1690,725,0,8,0,1,1,652,81,0,0,1,0,0,734,127,120,21,101,47,43,32,20,31,5,4,30,54,6,29,27,16,3,2,0,2,3,1,0,0,1,0,0,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Bibliotheek Loosduinen,0518::SB183,2552 AE,0,1021,3,2,1,5,1,918,101,0,6,0,0,0,1020,181,247,47,104,42,74,33,17,56,6,8,26,86,7,23,31,14,4,4,0,2,4,1,0,0,0,3,1,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Maris College Kijkduin,0518::SB184,2551 CA,0,213,0,1,0,0,2,195,17,0,0,0,0,0,214,61,31,14,29,5,8,7,2,11,2,5,0,16,1,3,9,5,1,0,0,0,2,1,0,0,0,0,0,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Basketbalveld Laan van Wateringseveld,0518::SB186,2548 TX,4102,1618,3,7,0,5,2,1355,276,0,0,5,0,0,1633,355,216,70,216,86,76,80,18,40,14,1,189,103,21,39,21,22,30,1,2,1,2,2,0,1,0,11,0,0,1,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Krajicek Playground Bouwlust (stemtent),0518::SB187,2544 VA,3405,1320,3,18,1,0,0,1282,60,0,0,1,0,0,1342,186,132,21,85,101,58,96,7,36,7,6,413,61,16,10,17,7,47,2,0,1,0,0,2,0,2,0,1,5,1,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Basketbalveld Waldeck Streetsport,0518::SB189,2551 ZR,439,779,1,4,0,0,1,674,109,0,0,0,0,0,784,138,185,27,78,45,35,29,17,30,6,3,36,58,9,16,34,11,9,5,1,1,1,2,0,1,2,0,0,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Grasveld 1e Strausspad (stemtent),0518::SB190,2551 WL,1579,677,2,0,0,0,1,601,77,0,0,0,0,0,679,100,140,22,83,58,29,28,13,42,10,5,27,50,9,16,17,10,4,7,1,0,1,1,2,0,0,2,0,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stichting Amadeus Den Haag,0518::SB191,2555 VG,1483,819,0,2,0,2,1,750,72,0,0,2,0,0,823,182,70,59,160,51,40,38,17,65,9,6,0,38,7,21,17,30,0,2,0,1,1,2,3,0,0,0,0,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Besloten stembureau route 1,0518::SB192,2517 JW,0,45,0,0,0,0,0,45,0,0,0,0,0,0,45,10,3,3,7,5,1,3,1,6,1,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Besloten stembureau route 2,0518::SB193,2517 JW,0,76,1,2,0,0,1,69,9,0,0,0,0,0,79,13,15,2,12,5,6,5,1,6,2,0,3,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Besloten stembureau route 3,0518::SB194,2517 JW,0,97,0,1,0,0,0,89,9,0,0,0,0,0,98,14,16,13,15,3,2,10,1,4,3,1,1,4,3,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Parkeerplaats Houtwijklaan,0518::SB196,2552 ZX,0,735,0,5,1,1,2,657,79,0,2,0,0,0,738,147,78,37,146,59,32,39,29,36,5,3,18,30,16,17,20,13,4,1,1,0,0,0,1,1,2,0,0,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Parkeerplaats Zandvoortselaan (stemtent),0518::SB197,2554 EK,0,624,2,4,0,2,3,572,57,0,0,2,0,0,632,242,76,31,103,20,7,12,10,35,6,2,5,27,0,15,9,14,5,0,0,1,0,1,1,1,1,0,0,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Grasveld A. Kortekaasplantsoen,0518::SB198,2552 DG,2239,1172,4,6,0,8,1,1010,179,0,0,8,0,0,1190,318,227,64,106,52,60,48,24,37,11,7,20,79,3,25,35,19,20,3,0,1,2,2,4,0,1,4,0,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Hockey Club Wateringse Veld,0518::SB199,2548 AE,0,410,0,0,0,1,1,350,58,0,1,0,0,0,409,135,33,22,74,21,16,10,4,12,2,1,35,14,6,5,6,6,3,3,0,1,1,0,0,0,0,0,0,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau OBS De la Reyschool,0518::SB202,2571 GH,2418,1127,2,8,0,2,3,920,212,0,2,0,0,0,1135,171,83,27,118,91,54,71,23,35,9,15,282,55,22,8,8,18,30,2,0,2,1,0,1,0,0,0,0,1,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau OBS De Gelderlandschool,0518::SB204,2573 BA,2098,581,1,5,0,0,1,518,67,0,1,0,1,0,586,72,101,22,72,37,49,32,12,21,2,2,70,38,5,11,8,14,2,2,0,0,3,1,2,0,0,3,0,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau RK Rosa Basisschool,0518::SB205,2573 BA,282,632,0,6,0,1,1,547,91,0,0,1,0,0,639,86,90,25,89,54,26,49,8,30,1,4,58,41,19,6,7,16,16,3,0,2,1,1,0,0,0,0,0,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Musicon,0518::SB211,2574 AL,2360,1428,8,6,1,0,4,1284,153,0,1,0,0,0,1441,214,239,40,242,129,76,59,39,89,4,6,27,93,25,26,44,36,3,10,0,3,17,0,0,1,0,6,0,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau OBS De la Reyschool Voorthuizenstraat,0518::SB212,2573 AH,1943,697,3,0,0,0,1,616,83,0,0,0,0,0,700,85,90,18,133,74,29,39,11,57,2,4,47,26,15,13,6,29,2,3,0,1,6,0,0,2,1,0,0,0,4,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sportzaal Andre Castens,0518::SB213,2546 XE,1908,986,2,7,0,3,1,902,95,0,0,3,0,0,998,167,230,37,118,49,48,40,22,46,14,3,24,76,10,21,38,26,4,4,2,1,5,0,0,0,0,1,0,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Tamarschool,0518::SB217,2545 NL,1757,634,3,8,0,0,0,562,83,0,0,0,0,0,645,69,121,13,42,53,48,33,36,19,8,4,93,39,12,7,9,7,14,1,0,0,2,0,0,0,1,3,0,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau CBS Leyenburg,0518::SB218,2547 VR,2752,912,1,2,0,0,1,797,117,0,0,0,0,0,915,188,160,38,126,46,46,51,17,38,13,4,42,56,13,18,26,18,0,3,0,2,3,1,0,1,1,1,0,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Allekanten,0518::SB220,2543 XZ,455,496,2,7,0,8,0,406,91,0,8,0,0,0,497,45,59,9,59,34,24,15,8,21,4,4,139,24,7,1,9,8,18,0,0,0,0,0,1,0,0,6,0,0,1,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau SBO De Springplank,0518::SB232,2542 XH,2370,849,5,10,0,3,1,747,119,0,0,3,0,0,867,97,142,26,73,74,39,40,20,25,5,4,161,49,10,12,20,9,33,2,0,0,1,1,0,0,2,3,1,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Blokpoelschool,0518::SB234,2543 VS,3236,733,3,6,0,0,1,597,144,0,0,0,0,0,742,98,93,13,69,56,41,43,13,17,1,1,212,17,4,6,10,8,28,1,0,0,1,1,0,0,0,0,0,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Parkoers Stichting VTV,0518::SB236,2533 SX,1012,309,2,1,1,0,0,284,27,0,1,0,0,0,311,30,43,13,47,30,22,10,10,25,0,0,22,14,5,4,10,12,3,2,0,2,1,1,0,1,0,1,0,0,1,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Ontmoetingscentrum Morgenstond,0518::SB242,2541 JG,1945,551,2,2,0,0,0,488,67,0,0,0,0,0,555,87,109,21,47,44,34,31,10,23,4,0,60,25,6,5,18,4,9,0,1,0,1,2,1,4,0,0,2,3,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau HTTV-070,0518::SB248,2545 VX,1527,867,2,5,0,0,0,737,139,2,2,0,0,0,876,139,117,41,124,60,42,39,12,20,3,6,162,27,13,14,17,8,13,3,0,0,2,0,1,0,1,1,2,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Maria Montessorischool,0518::SB262,2548 NT,1719,920,1,2,0,2,5,799,123,2,0,4,0,0,927,247,96,35,202,51,25,24,19,21,2,3,57,57,1,30,14,19,15,0,0,0,1,0,0,0,0,0,0,0,1,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau RKBS De Fontein,0518::SB265,2548 CK,2145,1012,0,11,0,3,1,866,159,0,0,3,0,0,1026,235,160,27,133,56,38,27,9,16,12,3,115,81,12,28,22,10,15,0,1,1,1,0,2,1,1,4,0,1,1,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Roemer Visscher College,0518::SB275,2533 VG,1864,843,0,7,0,2,0,732,116,0,2,0,0,0,848,87,98,21,75,73,41,61,23,20,2,1,236,28,14,2,21,5,24,1,0,1,1,2,1,0,4,0,0,1,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau SCSV De Ster,0518::SB276,2531 VE,2002,713,2,1,0,0,2,606,108,0,0,0,0,0,716,76,83,12,78,50,40,38,19,30,8,13,133,39,23,3,11,14,17,0,3,2,6,0,1,3,3,1,6,0,1,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau OBS De Drentse Hoek,0518::SB277,2545 SL,1767,768,0,2,0,5,0,634,141,0,0,5,0,0,775,116,83,22,105,40,49,42,11,22,6,0,180,28,10,5,4,7,24,4,1,0,2,1,0,1,4,0,1,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau ISV Kameleon,0518::SB281,2543 RT,1221,503,1,2,0,0,0,408,98,0,0,0,0,0,506,74,34,23,56,41,20,25,12,17,2,2,104,26,15,6,8,13,16,5,0,1,2,0,0,0,0,1,0,0,0,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau The Student Hotel,0518::SB283,2526 BN,2713,846,1,19,0,0,4,759,103,0,0,0,0,0,866,77,29,18,157,93,45,44,20,45,1,3,158,33,43,2,5,47,7,9,1,2,1,0,0,0,0,3,2,0,1,,
's-Gravenhage,'s-Gravenhage,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stadsboerderij Op den Dijk,0518::SB286,2548 AX,0,1177,4,4,0,0,3,1046,134,0,2,0,0,0,1183,315,147,58,217,57,23,55,17,42,8,3,21,63,7,50,31,34,13,1,1,2,4,3,1,2,0,2,0,0,0,,
