contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),P.v.d.A./Europese Sociaaldemocraten,VVD,Democraten 66 (D66) - ALDE,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Artikel50,"IQ, de Rechten-Plichten-Partij",Piratenpartij,50PLUS,De Groenen,Anti  EU(ro)  Partij,Liberaal Democratische Partij,JEZUS LEEFT,ikkiesvooreerlijk.eu,Partij voor de Dieren,Aandacht en Eenvoud,uncounted_geen briefstembiljetten,uncounted_te veel briefstembiljetten
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Koos Meindertsschool,0518::SB112,,984,444,1,0,1,0,0,390,54,0,0,1,0,0,0,444,37,109,46,38,62,31,49,15,6,0,7,14,4,0,1,3,2,20,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Koos Meindertsschool,0518::SB113,,1199,315,0,0,0,0,1,277,37,0,0,0,0,0,0,315,30,79,35,39,42,25,28,16,2,0,1,3,1,3,0,0,0,11,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau WZH Zorgcentrum Nieuw Berkendael,0518::SB114,,1209,380,4,2,0,0,1,335,50,0,0,0,0,0,0,386,34,124,39,35,41,24,32,9,5,0,2,17,0,1,0,3,1,13,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Florence Zorgcentrum Houthaghe,0518::SB117,,2774,845,1,1,1,0,0,760,86,0,0,1,0,0,0,846,99,263,77,52,81,38,98,27,3,0,8,45,0,3,0,10,0,41,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Verpleeghuis Houtwijk,0518::SB118,,1460,640,3,2,1,0,1,575,70,0,0,0,1,0,0,646,80,97,89,63,114,44,53,22,1,0,5,27,2,0,1,0,0,41,1,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Chr. Basisschool Leyenburg,0518::SB119,,1547,471,3,2,2,0,0,417,61,0,0,0,2,0,0,478,40,116,37,50,66,34,48,23,6,0,4,18,1,0,2,2,0,24,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Katholieke basisschool De Oase,0518::SB120,,2479,1026,4,6,0,0,2,913,121,0,0,0,0,0,0,1036,103,174,110,124,197,76,93,17,13,0,11,37,2,1,1,3,1,63,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Tuincentrum Onings,0518::SB122,,1894,866,6,0,0,0,0,641,232,0,0,0,1,0,0,873,100,110,69,126,174,76,62,21,6,0,2,56,4,1,4,0,0,55,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Gezondheidscentrum Nieuw Waldeck,0518::SB123,,1632,347,2,0,0,0,0,304,45,0,0,0,0,0,0,349,33,111,32,10,33,20,48,7,1,0,5,14,0,0,0,1,0,31,1,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Centrum de Geest,0518::SB125,,1251,390,0,2,0,0,0,343,49,0,0,0,0,0,0,392,18,117,31,21,45,35,49,8,3,1,4,18,4,4,0,4,0,28,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Humanitas Woonzorgplus Den Haag,0518::SB126,,665,406,2,1,0,0,0,379,30,0,0,0,0,0,0,409,62,80,44,47,57,23,23,10,1,0,3,28,0,2,1,1,1,23,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Woon- zorgcentrum Tabitha,0518::SB127,,2356,1021,2,2,0,0,0,941,84,0,0,0,0,0,0,1025,146,196,83,166,160,35,58,41,7,0,8,53,1,3,3,3,1,57,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Verzorgingshuis Loosduinse Hof,0518::SB128,,2229,637,3,4,0,0,0,572,72,0,0,0,0,0,0,644,53,190,63,37,87,34,71,12,3,0,4,42,4,0,0,0,0,36,1,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Serviceflat Dekkershaghe,0518::SB131,,499,386,2,2,0,0,0,361,29,0,0,0,0,0,0,390,71,56,35,57,55,22,30,10,1,0,2,20,0,0,2,0,2,22,1,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Middin, AC Waldeck",0518::SB134,,110,71,0,0,0,0,0,65,6,0,0,0,0,0,0,71,10,20,3,3,12,2,10,0,0,0,0,3,1,0,0,0,0,6,1,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau De Eshof,0518::SB135,,642,302,1,1,0,0,0,274,30,0,0,0,0,0,0,304,32,61,35,21,54,15,38,8,5,0,7,3,0,0,0,1,1,21,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau OBS De La Reyschool,0518::SB202,,2064,395,1,2,0,0,1,333,64,0,0,0,0,0,0,398,34,76,71,17,63,24,67,12,0,0,6,12,0,2,0,1,2,8,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau OBS De Gelderlandschool,0518::SB204,,1065,208,0,1,0,0,0,176,33,0,0,0,0,0,0,209,23,62,10,13,25,12,29,13,0,1,1,1,0,2,1,1,1,13,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau R.K. Rosabasisschool,0518::SB205,,1229,289,1,1,1,0,0,255,35,0,0,1,0,0,0,290,24,78,27,13,33,20,38,18,3,0,3,6,0,0,0,5,0,21,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Middin Steinmetz de Compaan,0518::SB206,,1701,350,1,2,0,1,0,303,49,0,0,1,0,0,0,352,25,123,29,17,48,14,45,9,2,2,8,12,1,2,0,0,0,12,1,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Middin Steinmetz de Compaan,0518::SB207,,1889,350,1,2,0,1,0,303,49,0,0,1,0,0,0,352,25,123,29,17,48,14,45,9,2,2,8,12,1,2,0,0,0,12,1,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau OBS Het Galjoen,0518::SB209,,1725,326,2,3,0,0,0,282,49,0,0,0,0,0,0,331,51,57,60,17,58,11,49,4,1,0,4,7,0,1,0,0,1,5,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Zorgcentrum Zuiderpark,0518::SB210,,1996,435,1,3,0,0,0,437,2,0,0,0,0,0,0,439,25,113,38,24,65,45,58,17,3,0,8,13,2,1,1,2,0,20,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Musicon,0518::SB211,,1070,438,4,5,0,0,1,383,63,0,0,0,0,0,0,447,25,103,36,33,69,52,43,31,2,0,6,5,0,1,0,0,0,31,1,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau OBS De Gelderlandschool,0518::SB212,,678,327,0,1,1,0,0,327,0,0,0,1,0,0,0,327,22,97,40,11,50,21,35,17,2,0,3,9,0,0,1,0,0,19,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Andre Castens Sportzaal,0518::SB213,,2484,590,2,0,0,0,0,521,72,0,0,0,1,0,0,593,41,230,45,43,66,28,40,18,6,0,4,19,2,5,0,0,2,40,1,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau CBS de Ark,0518::SB215,,1668,517,2,0,0,0,1,450,68,0,0,0,0,0,0,519,35,156,52,30,59,28,60,25,4,1,7,21,0,0,0,1,1,37,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Daltonbasisschool Helen Parkhurst,0518::SB216,,1287,332,1,1,0,0,1,289,44,0,0,0,0,0,0,334,18,98,32,22,52,11,52,14,0,0,4,14,1,0,0,0,1,13,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Chr. Basisschool Leyenburg,0518::SB218,,1009,398,1,1,0,0,0,366,34,0,0,0,0,0,0,400,41,103,39,26,68,19,34,17,2,0,2,14,1,1,2,0,0,29,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Verzorgingshuis Swaenesteijn,0518::SB219,,2794,952,2,1,0,0,0,858,97,0,0,0,0,0,0,955,91,169,101,92,156,61,89,46,3,0,7,46,0,3,4,0,1,82,1,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Verzorgingshuis Swaenehove,0518::SB221,,2020,658,1,3,0,0,1,604,57,0,0,0,0,0,0,662,73,171,72,49,77,30,72,24,2,0,4,36,1,3,1,4,2,37,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau S.V. Houd Moedig Stand Den Haag,0518::SB222,,1358,180,0,0,0,0,1,160,19,0,0,0,0,0,0,180,13,39,31,8,16,10,31,12,0,0,0,8,3,2,0,1,0,6,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Wijkcentrum Bouwlust,0518::SB225,,1131,224,5,2,0,0,0,196,35,0,0,0,0,0,0,231,13,44,17,12,34,9,45,6,0,0,4,11,4,2,0,0,0,22,1,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Stichting Haags Kinderatelier,0518::SB226,,889,71,0,0,0,0,0,62,9,0,0,0,0,0,0,71,6,20,11,0,7,6,12,1,0,0,0,3,0,0,1,0,1,3,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau R.K. Basisschool de Zuidwester,0518::SB227,,1374,344,0,3,0,0,0,310,37,0,0,0,0,0,0,347,44,78,45,17,39,14,51,13,4,0,3,14,0,1,0,1,0,20,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Verpleeghuis De Lozerhof,0518::SB228,,2217,494,0,1,0,0,0,428,67,0,0,0,0,0,0,495,68,168,63,16,45,11,59,7,1,0,2,20,1,1,0,3,4,24,1,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Verpleeghuis Gulden Huis -Florence,0518::SB230,,1112,321,5,0,0,0,0,288,38,0,0,0,0,0,0,326,35,98,33,21,43,4,40,10,3,0,1,20,0,0,0,3,0,10,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Centrum Carel van den Oever,0518::SB231,,1160,265,1,0,0,0,0,239,32,0,5,0,5,0,0,271,32,77,37,10,27,10,33,8,0,0,0,16,2,0,0,0,1,11,1,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Pr. Chr. Basisschool De Springplank,0518::SB232,,1383,485,0,3,0,0,0,427,61,0,0,0,0,0,0,488,39,146,51,37,73,14,66,13,1,2,9,10,1,2,0,1,1,19,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Blokpoelschool,0518::SB234,,2231,418,1,3,0,0,3,357,62,0,0,0,0,0,0,422,53,105,54,20,57,21,48,10,4,0,3,18,0,3,0,0,2,19,1,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Verpleeghuis Vrederust-West,0518::SB235,,1410,428,3,2,0,0,0,385,48,0,0,0,0,0,0,433,58,100,55,26,43,17,55,17,2,1,0,23,2,0,2,0,4,23,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Parkoers Stichting VTV,0518::SB236,,1146,149,0,0,0,0,0,136,13,0,0,0,0,0,0,149,9,37,7,7,21,11,20,5,2,1,1,2,0,0,0,0,1,25,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Zorg-en Verpleegcentrum Loevestein,0518::SB238,,1380,304,1,0,0,0,0,305,0,0,0,0,0,0,0,305,36,90,26,23,27,10,35,8,1,0,1,23,0,0,0,0,3,21,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Stadsdeelkantoor Escamp,0518::SB239,,800,362,4,3,0,0,5,328,36,0,0,0,0,0,0,369,16,93,56,28,54,14,53,7,2,0,6,10,1,2,1,1,0,17,1,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau EBS Tamar,0518::SB241,,1151,229,0,0,0,0,1,201,27,0,0,0,0,0,0,229,12,65,32,3,33,11,27,18,0,0,0,7,1,0,1,1,1,17,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Ontmoetingscentrum Morgenstond,0518::SB242,,1280,242,2,1,0,0,1,219,25,0,0,0,0,0,0,245,21,59,42,10,43,8,26,4,1,0,1,17,0,0,0,0,0,10,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau R.K. Basisschool de Krullevaar,0518::SB243,,1171,268,1,1,0,0,0,230,40,0,0,0,0,0,0,270,21,65,39,13,48,9,40,6,2,0,3,12,0,0,0,0,0,10,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Gemiva-SVG Groep,0518::SB244,,623,120,0,0,0,0,1,110,9,0,0,0,0,0,0,120,6,40,6,6,15,10,16,2,0,0,1,8,1,3,0,0,0,6,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Zorgcentrum Middin,0518::SB245,,1789,292,0,1,0,0,2,268,23,0,0,0,0,0,0,293,34,73,34,12,27,6,48,13,0,0,0,27,0,3,0,1,0,14,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau De Mondriaan Onderwijsgroep,0518::SB246,,1383,412,0,3,0,0,1,365,49,0,0,0,0,0,0,415,42,95,37,37,69,22,39,17,3,0,6,15,1,0,0,2,1,26,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau De Mondriaan Onderwijsgroep,0518::SB247,,1835,394,0,1,0,1,0,325,69,0,0,1,0,0,0,394,32,92,47,34,63,22,40,3,1,0,6,18,0,1,0,4,3,28,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Partycentrum Ons Huis,0518::SB250,,1531,322,0,0,0,0,3,285,34,0,0,0,0,0,0,322,17,118,21,19,28,17,43,17,3,0,3,8,0,0,0,1,5,21,1,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau OBS De Kleine Wereld,0518::SB251,,2344,413,1,1,0,0,0,372,43,0,0,0,0,0,0,415,24,114,54,18,68,18,61,12,1,0,7,13,0,3,0,2,0,17,1,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Ds. D.A. van den Boschschool,0518::SB253,,791,217,0,3,0,0,0,195,25,0,0,0,0,0,0,220,20,51,32,12,30,6,21,11,2,0,5,8,1,0,0,1,0,17,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Woonzorgcentrum Moerwijk,0518::SB254,,1236,285,3,2,0,0,0,275,15,0,0,0,0,0,0,290,16,89,47,15,22,8,47,8,0,0,3,11,0,1,0,0,0,17,1,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Woonzorgcentrum CoornhertCentrum,0518::SB258,,2387,416,3,3,0,0,0,391,31,0,0,0,0,0,0,422,32,123,75,14,49,6,56,9,3,0,5,14,3,1,0,4,1,21,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Jongerenruimte Wijkcentrum Moerwijk,0518::SB259,,2279,441,1,6,0,0,0,403,45,0,0,0,0,0,0,448,35,116,59,22,40,22,76,13,2,0,3,23,2,0,0,5,0,23,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Verzorgingshuis De Waterhof,0518::SB261,,1511,255,1,2,0,0,0,224,34,0,0,0,0,0,0,258,25,64,29,24,26,9,32,8,0,0,1,18,0,0,0,0,1,18,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Maria Montessorischool,0518::SB262,,629,280,0,0,0,0,1,233,46,0,0,0,0,0,0,280,23,48,21,58,72,17,10,10,3,0,5,6,0,1,0,0,1,5,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Sporthal Hogeveld,0518::SB263,,607,168,0,1,0,0,0,136,33,0,0,0,0,0,0,169,15,47,18,27,25,8,11,2,0,0,0,7,1,0,0,0,0,7,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Openbare Daltonschool De Vijver,0518::SB264,,2597,500,0,0,0,0,1,397,102,0,0,0,0,0,0,500,41,164,33,62,87,18,37,10,7,2,5,14,0,2,0,1,0,17,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau R.K. Basisschool De Fontein,0518::SB265,,1865,398,1,0,1,0,0,326,74,0,0,0,1,0,0,400,40,97,28,64,95,12,23,6,2,0,4,7,1,1,2,1,1,14,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau R.K. Basisschool De Fontein,0518::SB266,,946,481,0,3,0,0,95,388,1,0,0,0,0,0,0,484,48,110,46,81,92,19,35,7,5,0,8,7,0,4,4,0,0,15,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau WZH Hoge Veld,0518::SB268,,1482,271,2,1,0,1,2,243,30,0,0,0,1,0,0,275,33,58,27,38,49,16,20,3,0,0,1,10,0,5,0,2,0,9,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Zomers Hof Middin,0518::SB269,,1851,199,0,0,0,0,0,181,18,0,0,0,0,0,0,199,22,58,18,12,27,15,25,4,0,0,3,7,0,1,0,1,0,6,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Basisschool de Gantel,0518::SB270,,3041,968,3,1,0,4,3,831,134,0,0,4,0,0,0,968,116,171,89,172,211,52,60,26,3,0,7,16,2,2,2,2,2,35,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Openbare Daltonschool de Vijver,0518::SB271,,2168,613,0,1,0,3,0,514,103,0,0,0,3,0,0,617,39,164,46,70,120,36,50,15,12,0,4,23,0,4,0,0,1,29,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Middin Guntersteinweg,0518::SB272,,1513,271,3,1,0,0,0,240,35,0,0,0,0,0,0,275,9,72,34,16,39,10,33,16,3,0,4,6,0,1,0,2,0,25,1,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Zorghuis Dr. W. Drees,0518::SB301,,1205,623,0,4,0,0,1,560,66,0,0,0,0,0,0,627,52,62,51,91,172,64,34,16,8,0,6,24,0,2,1,0,0,40,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Wijkvereniging de Kruin,0518::SB302,,1619,690,6,1,0,0,1,626,70,0,0,0,0,0,0,697,30,67,76,46,182,95,67,26,3,0,10,18,2,0,1,0,1,65,1,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau OBS De Klimop,0518::SB303,,752,407,1,2,0,0,4,356,50,0,0,0,0,0,0,410,19,73,48,22,76,47,60,10,2,0,8,11,3,2,0,2,0,24,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau OBS De Bonte Vlinder,0518::SB304,,1238,477,2,3,0,0,0,431,51,0,0,0,0,0,0,482,30,40,63,49,125,60,41,7,4,0,5,12,3,1,2,2,3,30,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Wijkcentrum Eltheto,0518::SB305,,744,368,0,1,0,0,0,329,40,0,0,0,0,0,0,369,20,33,56,34,81,58,26,19,2,0,8,5,3,2,0,0,1,20,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau OBS De Zonnebloem,0518::SB307,,940,536,1,2,0,0,0,484,55,0,0,0,0,0,0,539,39,35,40,98,144,71,38,4,4,0,2,22,1,1,0,0,0,37,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Wijkcentrum De Hyacint,0518::SB308,,1181,556,5,0,1,0,3,508,51,0,0,0,1,0,0,562,41,71,50,53,127,64,28,28,5,1,8,21,3,1,0,1,0,54,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Wijkcentrum De Hyacint,0518::SB309,,1356,460,0,1,0,0,1,419,41,0,0,0,0,0,0,461,30,78,42,59,91,53,36,14,3,1,4,6,3,2,1,2,1,34,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Chr. College De Populier,0518::SB310,,1447,699,4,3,0,0,2,633,72,0,1,0,1,0,0,707,66,62,63,67,166,86,54,23,9,0,7,24,4,1,0,3,2,62,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau OBS Houtrust,0518::SB311,,1203,663,1,2,0,0,0,499,168,0,1,0,1,0,0,667,51,49,48,145,188,66,36,14,4,0,1,13,0,0,2,0,0,46,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Nutsschool Laan van Poot,0518::SB313,,1416,911,0,2,0,0,2,798,113,0,0,0,0,0,0,913,70,69,63,249,268,84,22,29,1,0,2,17,0,0,3,0,0,34,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Verzorgingshuis Huize Eykenburg,0518::SB314,,1240,566,0,2,0,0,0,508,60,0,0,0,0,0,0,568,52,67,50,77,122,65,41,18,7,0,5,14,0,1,0,0,0,47,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Florence Woonzorgcentrum Uitzicht,0518::SB316,,637,309,0,1,0,0,2,276,32,0,0,0,0,0,0,310,43,23,26,55,73,14,11,14,4,0,0,19,2,0,0,1,0,24,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Sporthal Loosduinen,0518::SB317,,491,177,0,0,0,0,0,160,17,0,0,0,0,0,0,177,22,29,19,35,30,5,10,4,2,1,1,15,0,0,0,1,0,3,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau RKBS de Parkiet,0518::SB318,,1541,809,1,0,0,0,3,689,118,0,0,0,0,0,0,810,95,66,46,205,223,65,18,18,6,0,1,17,0,5,5,2,1,36,0,,
,'s-Gravenhage,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Chr. Basisschool de Elout,0518::SB322,,1830,551,0,1,0,0,60,490,2,0,0,0,0,0,0,552,23,36,61,47,161,103,44,11,3,1,10,6,1,3,0,0,1,40,0,,
