contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterschapspartij Hollandse Delta,CDA,VVD,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,Staatkundig Gereformeerde Partij (SGP),ChristenUnie,50PLUS,AWP niet politiek wel deskundig,Hollandse Delta Natuurlijk
Hollandse Delta,Barendrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau 12 Recreatieruimte De Boeg,0489::SB12,2991 DL,1326,663,11,6,0,0,0,627,53,0,0,0,0,0,680,163,114,66,62,55,45,50,54,23,31
Hollandse Delta,Barendrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau 13 Dependance De Draaimolen,0489::SB13,2992 GK,1906,801,20,5,0,0,0,748,78,0,0,0,0,0,826,253,90,121,63,43,41,34,62,40,54
Hollandse Delta,Barendrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau 14 Eben Haezerkerk (bibliotheek),0489::SB14,2992 AM,1745,1154,22,6,0,1,0,1058,125,0,0,1,0,0,1183,279,137,170,64,71,157,110,72,36,58
Hollandse Delta,Barendrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau 15 R.K. basisschool De Trinoom,0489::SB15,2993 GG,2054,1035,18,3,0,0,0,932,124,0,0,0,0,0,1056,302,80,225,76,65,17,39,113,50,68
Hollandse Delta,Barendrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau 16 Sporthal Waterpoort 1,0489::SB16,2993 DL,2153,964,15,3,8,0,0,858,116,0,8,0,0,0,974,289,89,141,80,74,22,39,92,75,63
Hollandse Delta,Barendrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau 17 Sporthal Waterpoort 2,0489::SB17,2993 DL,2208,1112,23,4,14,0,0,1020,133,0,0,14,0,0,1153,334,97,149,99,54,27,43,140,87,82
Hollandse Delta,Barendrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau 18 P.C. Basisschool Smitshoek,0489::SB18,2993 XJ,1143,653,18,1,0,1,0,600,73,0,0,1,0,0,673,180,53,154,54,51,11,34,47,31,38
Hollandse Delta,Barendrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau 19 Sporthal Waterpoort 3,0489::SB19,2993 DL,2104,958,26,3,9,0,0,872,106,0,9,0,0,0,978,288,65,148,86,58,14,42,129,62,66
Hollandse Delta,Barendrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau 20 openb. basisschool De Driehoek,0489::SB20,2994 AS,848,501,14,1,0,0,0,453,63,0,0,0,0,0,516,163,36,79,41,34,24,25,38,33,28
Hollandse Delta,Barendrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau 21 Het Hart van Vrijenburg,0489::SB21,2994 CD,1906,698,12,1,0,2,0,622,87,0,2,0,0,0,709,218,50,96,85,44,20,26,59,58,42
Hollandse Delta,Barendrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau 22 Portakabin bij gem. gemaal,0489::SB22,,2018,787,21,5,0,0,0,738,75,0,0,0,0,0,813,256,66,142,69,43,10,29,85,41,46
Hollandse Delta,Barendrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau 23 jongerencentrum BLOK 0180,0489::SB23,2992 ZB,1097,602,17,8,1,2,0,544,80,0,3,0,0,0,624,163,77,109,29,38,58,50,34,21,23
Hollandse Delta,Barendrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau 24 Portakabin bij het NS station,0489::SB24,2991 RN,876,678,20,0,0,0,0,644,56,0,0,2,0,0,700,165,68,93,55,64,37,48,41,48,59
Hollandse Delta,Barendrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau 25 jongerencentrum BLOK 0180  2,0489::SB25,2992 ZB,1312,584,7,5,1,0,0,524,73,0,0,1,0,0,597,142,49,121,33,39,49,43,45,25,38
Hollandse Delta,Barendrecht,AB2019_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2019,16,Hollandse Delta,2019-03-20,Stembureau 26 Triomfatorkerk 2,0489::SB26,2991 CH,944,670,8,0,0,0,1,612,65,0,0,0,0,0,678,145,68,93,40,71,62,69,28,45,49
