contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,50PLUS,VVD,Staatkundig Gereformeerde Partij (SGP),Water Natuurlijk,Gemeentebelangen Drenthe~Overijssel,ChristenUnie,AWP niet politiek wel deskundig,CDA
Drents Overijsselse Delta,Raalte,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Gemeenschapscentrum Elckerlyc,0177::SB11,8105 AR,1731,1044,19,0,0,0,0,946,117,0,0,0,0,0,1063,54,143,11,107,165,16,47,501
Drents Overijsselse Delta,Raalte,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Gemeenschapscentrum De Schalm,0177::SB12,8106 AD,1231,684,8,1,0,0,0,609,84,0,0,0,0,0,693,17,93,4,63,116,10,33,348
Drents Overijsselse Delta,Raalte,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau MFA De Belte,0177::SB13,8112 AD,942,540,6,2,0,1,0,500,47,0,1,0,0,0,547,13,57,8,37,162,13,12,238
Drents Overijsselse Delta,Raalte,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau KulturhusTrefpunt,0177::SB14,8111 AD,1483,1015,8,3,0,1,0,930,95,0,1,0,0,0,1025,23,109,7,104,198,17,48,509
Drents Overijsselse Delta,Raalte,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau ZGR Stevenskamp,0177::SB15,8111 AR,1489,784,10,1,0,0,0,722,73,0,0,0,0,0,795,37,72,6,60,115,11,20,463
Drents Overijsselse Delta,Raalte,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Café De Hoppe,0177::SB16,8107 AD,1027,583,10,0,0,0,0,556,37,0,0,0,0,0,593,22,104,5,75,94,10,41,232
Drents Overijsselse Delta,Raalte,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau KBS De Rietkraag,0177::SB17,8103 BM,1805,766,14,1,0,0,0,727,54,0,0,0,0,0,781,51,127,7,146,156,27,64,188
Drents Overijsselse Delta,Raalte,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Dorpshuis het Trefpunt,0177::SB18,8055 PZ,502,357,9,1,0,0,0,354,13,0,0,0,0,0,367,13,23,21,62,31,77,31,99
Drents Overijsselse Delta,Raalte,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Zaal-restaurant De Remise,0177::SB19,8141 PX,812,442,5,0,0,0,0,401,46,0,0,0,0,0,447,32,65,1,87,49,10,33,165
Drents Overijsselse Delta,Raalte,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Woonzorglocatie Het Wooldhuis,0177::SB20,8141 RV,1427,858,29,3,0,0,0,830,60,0,0,0,0,0,890,80,113,4,158,137,43,102,221
Drents Overijsselse Delta,Raalte,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Dorpshuus Heino,0177::SB21,8141 GA,1628,1100,14,5,0,0,0,1039,79,0,1,0,1,0,1118,77,178,8,197,154,42,109,335
Drents Overijsselse Delta,Raalte,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Sporthal Hoogerheyne,0177::SB22,8141 HN,1748,1144,22,5,0,1,0,1091,81,0,0,1,0,0,1172,73,207,18,197,161,66,136,286
