contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,VVD,Partij van de Arbeid (P.v.d.A.),AWP niet politiek wel deskundig,50PLUS,Ouderen Appèl - Hart voor Water
Aa en Maas,Boxmeer,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau MFA Knillus,0756::SB11,5827 AL,543,336,4,0,0,0,0,307,33,0,0,0,0,0,340,157,65,44,28,13,18,11
Aa en Maas,Boxmeer,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Café 't Trefpunt,0756::SB12,5824 AB,415,239,3,3,0,0,0,222,23,0,0,0,0,0,245,80,55,46,18,21,15,4
Aa en Maas,Boxmeer,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Plein 27,0756::SB13,5823 AB,735,361,8,8,0,1,0,347,32,1,0,2,0,0,379,140,87,39,31,20,35,9
Aa en Maas,Boxmeer,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Koningskerkje,0756::SB14,5821 BB,995,654,18,4,0,1,0,580,97,0,0,1,0,0,677,336,105,62,52,59,25,15
Aa en Maas,Boxmeer,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Café de Zandpoort,0756::SB15,5826 AD,357,194,5,0,0,0,0,177,22,0,0,0,0,0,199,107,35,19,9,10,11,3
Aa en Maas,Boxmeer,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Gemeenschapshuis De Pit (1),0756::SB16,5825 CC,1620,750,15,0,0,2,0,694,73,0,0,2,0,0,767,312,154,122,54,28,60,20
Aa en Maas,Boxmeer,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Gemeenschapshuis De Pit (2),0756::SB17,5825 CC,1519,894,34,3,0,2,0,815,118,0,0,2,0,0,933,364,188,129,66,56,66,25
Aa en Maas,Boxmeer,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau ABAB-kantoor,0756::SB18,5831 PJ,1235,625,10,1,0,0,0,584,53,1,0,1,0,0,637,168,182,116,51,59,37,12
Aa en Maas,Boxmeer,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Zaal  't Drummerke,0756::SB19,5831 GK,1398,528,11,4,0,0,0,489,54,0,0,0,0,0,543,148,124,137,53,32,27,7
Aa en Maas,Boxmeer,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Gemeenschapshuis Joffershof,0756::SB20,5821 AW,1042,490,6,2,0,0,0,457,41,0,0,0,0,0,498,288,84,29,24,23,37,5
Aa en Maas,Boxmeer,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Gemeentehuis,0756::SB21,5831 JX,0,344,8,3,0,0,0,329,26,0,0,0,0,0,355,88,101,66,35,17,26,11
Aa en Maas,Boxmeer,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Mobiel stembureau,0756::SB22,5831 JM,0,87,0,0,0,0,0,84,3,0,0,0,0,0,87,62,11,5,3,1,4,1
