contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),VVD,CDA,AWP niet politiek wel deskundig,50PLUS,ChristenUnie
Hunze en Aa's,Midden-Groningen,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Ruitenvelder,1952::SB23,9619 PL,887,463,6,0,0,0,0,424,45,0,0,0,0,0,469,162,74,59,37,58,34,39
Hunze en Aa's,Midden-Groningen,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Tijdelijke voorziening Rehoboth,1952::SB24,9628 CG,1402,655,4,1,0,5,0,593,62,0,5,0,0,0,655,201,92,95,97,70,37,63
Hunze en Aa's,Midden-Groningen,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau 't Hof van Scharmer,1952::SB25,9616 TE,1417,450,9,0,0,0,0,418,41,0,0,0,0,0,459,134,89,93,31,42,27,34
Hunze en Aa's,Midden-Groningen,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau De Graankorrel,1952::SB26,9617 AB,817,479,10,0,0,0,0,450,39,0,0,0,0,0,489,155,76,57,43,47,45,56
Hunze en Aa's,Midden-Groningen,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Gemeentehuis Muntendam,1952::SB27,9649 GR,2187,1115,23,4,0,1,0,1031,112,0,0,1,0,0,1143,368,205,92,53,151,161,85
Hunze en Aa's,Midden-Groningen,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Burg. Verkruisenschool,1952::SB28,9649 BL,1822,632,16,1,0,0,0,587,62,0,0,0,0,0,649,203,153,45,30,72,87,42
Hunze en Aa's,Midden-Groningen,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Gockingaheem,1952::SB29,9635 CL,1562,720,17,4,0,3,0,661,83,0,0,3,0,0,744,244,125,105,51,77,68,50
Hunze en Aa's,Midden-Groningen,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Gebouw Muziekvereniging,1952::SB30,9636 CL,1739,786,9,2,0,0,0,723,74,0,0,0,0,0,797,237,122,123,71,100,81,52
Hunze en Aa's,Midden-Groningen,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau De Broeckhof,1952::SB31,9636 BS,1209,740,11,1,0,0,0,686,62,0,4,0,4,0,748,211,137,91,55,78,104,64
Hunze en Aa's,Midden-Groningen,AB2019_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2019,3,Hunze en Aa's,2019-03-20,Stembureau Dorpshuis Meeden,1952::SB32,9651 BW,1389,732,17,2,0,0,0,685,66,0,0,0,0,0,751,258,123,72,75,85,79,40
