contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,VVD,Partij van de Arbeid (P.v.d.A.),AWP niet politiek wel deskundig,50PLUS,Ouderen Appèl - Hart voor Water
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau SV Ruwaard,0828::SB15,5344 KW,1513,684,21,1,0,0,0,656,50,0,0,0,0,0,706,90,200,58,120,64,119,33
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Horizonschool De Komeet,0828::SB16,5344 GK,1513,512,25,4,0,0,0,501,40,0,0,0,0,0,541,61,131,44,110,33,111,22
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Rode Kruisgebouw,0828::SB17,5345 AA,1513,683,29,3,3,0,0,635,77,0,3,0,0,0,712,84,212,108,103,35,118,23
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Basisschool De Korenaer,0828::SB18,5345 TA,1513,1444,54,2,0,6,0,1493,1,0,6,0,0,0,1494,208,450,222,194,114,194,62
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Wijkcentrum De Hille,0828::SB19,5345 WB,1513,1466,47,6,0,3,0,1392,130,0,0,3,0,0,1522,175,456,163,232,126,245,69
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Basisschool De Lockaert,0828::SB20,5345 JG,1513,1246,34,5,0,0,1,1170,114,0,0,0,0,0,1285,159,361,205,193,86,180,62
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Openbare Basisschool Mettegeupel,0828::SB21,5346 JD,1513,1106,39,1,0,0,0,1024,122,0,0,0,0,0,1146,138,322,280,124,83,127,32
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau St. Gemeenschapshuis Acropolis,0828::SB22,5366 BE,1513,749,30,3,0,0,0,702,80,0,0,0,0,0,782,129,253,130,68,63,68,38
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Gemeenschapshuis Haren,0828::SB23,5368 AM,1513,353,11,0,0,0,0,319,45,0,0,0,0,0,364,105,83,72,25,16,40,12
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Gemeenschapshuis De Bongerd,0828::SB24,5367 AA,1513,337,12,1,0,0,0,314,36,0,0,0,0,0,350,90,81,53,32,21,47,13
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,"Stembureau Unit Park Mikkeldonk, ingang bij straat: Inlaat",0828::SB25,,1513,564,20,4,0,0,0,540,47,0,0,0,0,0,587,80,198,106,43,37,77,23
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Dorpshuis 't Slotje,0828::SB26,5373 BC,1513,1013,24,6,0,0,0,926,117,0,0,0,0,0,1043,158,180,455,70,55,80,15
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Gemeenschapshuis Onder d'n Plag,0828::SB27,5354 KC,1513,534,8,1,0,0,0,490,53,0,0,0,0,0,543,134,122,157,39,43,30,9
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Parochiezaal St. Antonius Abt,0828::SB28,5357 PH,1513,351,7,1,0,1,0,320,40,0,0,1,0,0,360,76,63,163,20,11,13,5
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Gemeenschapshuis De Berchplaets,0828::SB29,5351 BZ,1513,1238,33,6,0,0,0,1139,133,0,5,0,5,0,1272,238,348,235,107,60,207,43
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Zalencentrum De Merx,0828::SB30,5351 AR,1513,661,13,4,0,3,0,598,83,0,0,3,0,0,681,153,164,119,56,37,112,20
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Gemeenschapshuis De Hoeve,0828::SB31,5397 BJ,1513,1271,19,8,0,0,2,1143,153,0,0,0,0,0,1298,227,439,223,97,113,127,45
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Gemeenschapshuis Avanti,0828::SB32,5396 PN,1513,516,7,3,0,2,0,457,67,0,2,0,0,0,524,204,120,70,22,50,42,8
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Gemeenschapshuis Hart van Oijen,0828::SB33,5394 AK,1513,554,13,0,0,0,0,497,70,0,0,0,0,0,567,156,136,108,40,28,68,18
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Gemeenschaphuis De Nolder,0828::SB34,5398 HK,1513,619,19,4,0,2,0,549,95,0,0,2,0,0,644,200,154,101,39,38,64,23
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Basisschool De Fonkeling,0828::SB35,5351 LB,1513,1135,11,0,0,0,0,1017,129,0,0,0,0,0,1146,154,317,329,117,68,105,45
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau V.V. Nooit Gedacht Geffen,0828::SB36,5386 AJ,1513,409,13,0,0,0,0,364,58,0,0,0,0,0,422,92,116,77,30,20,55,19
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau MFC De Koppellinck,0828::SB37,5386 AS,1513,1453,57,7,0,0,0,1515,2,0,0,0,0,0,1517,411,333,235,128,73,210,63
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau 't Woud,0828::SB38,5343 XA,1513,484,14,1,0,0,0,448,48,0,3,0,3,0,496,83,164,39,73,40,63,22
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Daltonschool De Evenaar,0828::SB39,5346 JH,1513,717,20,7,0,1,0,660,83,0,1,0,0,0,743,94,206,155,109,57,75,21
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Het Oude Raadhuis,0828::SB40,5371 AJ,1513,1256,24,9,0,0,0,1147,142,0,0,0,0,0,1289,274,321,269,149,129,84,30
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Golfbaan Oijense Zij,0828::SB41,5346 JG,1513,177,3,0,0,0,0,163,17,0,0,0,0,0,180,41,59,34,12,17,12,2
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau IKC Regenboog,0828::SB42,5348 HL,1513,402,13,2,0,0,0,370,47,0,0,0,0,0,417,43,108,48,85,39,66,13
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Brabantzorg Katwijk,0828::SB43,5341 HB,1513,450,13,0,0,0,0,425,38,0,0,0,0,0,463,62,133,56,65,20,85,29
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Brabantzorg De Ruwaard,0828::SB44,5344 BT,1513,382,14,0,0,0,0,356,34,0,6,0,0,0,390,60,121,41,52,25,61,22
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Brabantzorg Loovelt,0828::SB45,5345 LH,1513,229,7,2,0,0,0,209,29,0,0,0,0,0,238,30,45,32,33,22,50,17
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Brabantzorg Sterrebos,0828::SB46,5344 AR,1513,296,14,1,0,0,0,292,19,0,0,0,0,0,311,36,83,34,53,13,62,15
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Brabantzorg Maasland,0828::SB47,5373 AD,1513,239,6,1,0,0,1,222,23,0,0,0,0,0,246,37,37,103,19,11,19,13
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Brabantzorg Wilberthof,0828::SB48,5351 EV,1513,290,10,0,0,0,0,265,35,0,0,0,0,0,300,60,60,48,33,13,56,20
Aa en Maas,Oss,AB2019_AaenMaas,Algemeen bestuur van het waterschap Aa en Maas 2019,20,Aa en Maas,2019-03-20,Stembureau Sportpark V.V. Ravenstein,0828::SB49,5371 DZ,1513,441,12,1,0,0,0,408,46,0,0,0,0,0,454,120,114,98,41,30,22,16
