contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,50PLUS,VVD,Staatkundig Gereformeerde Partij (SGP),Water Natuurlijk,Gemeentebelangen Drenthe~Overijssel,ChristenUnie,AWP niet politiek wel deskundig,CDA
Drents Overijsselse Delta,Kampen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Stembureau Bazuinkerk,0166::SB17,8265 RL,1371,937,16,1,0,1,0,871,84,0,0,1,0,0,955,90,176,71,158,52,197,40,153
Drents Overijsselse Delta,Kampen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Stembureau CNS de Groenling,0166::SB18,8271 LB,1590,910,9,1,0,0,1,820,99,0,0,0,0,0,920,38,117,222,81,37,212,47,156
Drents Overijsselse Delta,Kampen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Stembureau Maarlenhof,0166::SB19,8271 TB,1301,984,16,1,0,0,0,918,83,0,0,0,0,0,1001,72,72,295,94,60,222,40,129
Drents Overijsselse Delta,Kampen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Stembureau De Bron,0166::SB20,8271 BB,1428,1061,10,2,0,1,0,967,107,0,0,1,0,0,1074,66,80,253,111,71,273,48,159
Drents Overijsselse Delta,Kampen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Stembureau De Hoeksteen,0166::SB21,8271 GB,1448,1464,10,1,0,0,0,1315,160,0,0,0,0,0,1475,81,146,376,128,70,373,59,231
Drents Overijsselse Delta,Kampen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Stembureau Basisschool Ichthus,0166::SB22,8271 EM,1424,905,6,4,0,1,2,821,91,0,1,0,0,0,914,51,61,222,71,52,281,41,126
Drents Overijsselse Delta,Kampen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Stembureau Hervormd Verenigingsgebouw,0166::SB23,8277 AA,1660,1044,6,1,0,0,0,911,140,0,0,0,0,0,1051,30,114,582,32,24,128,32,102
Drents Overijsselse Delta,Kampen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Stembureau N.H. Verenigingsgebouw,0166::SB24,8274 AN,710,520,3,4,0,0,0,477,50,0,0,0,0,0,527,21,35,93,53,23,142,16,137
Drents Overijsselse Delta,Kampen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Stembureau De Kandelaar,0166::SB25,8275 AH,631,458,1,1,0,1,0,418,43,0,0,1,0,0,461,13,28,89,25,18,108,16,161
Drents Overijsselse Delta,Kampen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Stembureau An de Steege,0166::SB26,8276 AG,562,429,4,1,0,0,0,408,26,0,0,0,0,0,434,14,21,86,56,15,139,16,82
Drents Overijsselse Delta,Kampen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Stembureau Quintus,0166::SB27,8261 GC,1429,830,23,9,0,0,0,802,60,0,0,0,0,0,862,60,121,46,235,52,152,71,93
Drents Overijsselse Delta,Kampen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Stembureau O.J.S. Het Scala,0166::SB28,8262 SX,1469,538,8,2,0,0,0,484,64,0,0,0,0,0,548,97,50,49,94,71,65,32,80
Drents Overijsselse Delta,Kampen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Stembureau Almere College/ISK,0166::SB29,8265 HZ,1285,595,8,1,0,0,1,557,46,0,0,0,0,0,604,71,57,47,144,42,126,44,64
Drents Overijsselse Delta,Kampen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Stembureau Villa Nova,0166::SB30,8266 KL,1058,481,8,1,0,3,0,447,46,0,0,3,0,0,493,26,105,59,78,30,103,23,57
Drents Overijsselse Delta,Kampen,AB2019_DrentsOverijsselseDelta,Algemeen bestuur van het waterschap Drents Overijsselse Delta 2019,24,Drents Overijsselse Delta,2019-03-20,Stembureau Stembureau Oosterholthoeve,0166::SB31,8271 PS,1523,580,8,2,0,0,0,524,66,0,0,0,0,0,590,20,76,193,40,18,141,23,69
