contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Leefbaar Ridderkerk,Staatkundig Gereformeerde Partij (SGP),Partij van de Arbeid (P.v.d.A.),VVD,Democraten 66 (D66)/GROENLINKS,CDA,ChristenUnie,Partij 18PLUS,EVR (Echt Voor Ridderkerk)
,Ridderkerk,GR2014_Ridderkerk,Gemeenteraad Ridderkerk 2014,0597,Ridderkerk,2014-03-19,Stembureau De Korenbloem,0597::SB17,,560,326,0,0,0,0,0,283,43,0,0,0,0,0,0,326,31,111,16,30,29,20,21,11,57
,Ridderkerk,GR2014_Ridderkerk,Gemeenteraad Ridderkerk 2014,0597,Ridderkerk,2014-03-19,Stembureau Cbs de Klimop (Rijsoord),0597::SB18,,1029,657,0,1,0,0,0,590,67,0,0,1,0,0,0,657,75,101,27,37,46,83,48,21,219
,Ridderkerk,GR2014_Ridderkerk,Gemeenteraad Ridderkerk 2014,0597,Ridderkerk,2014-03-19,Stembureau Kerk Rijsoord,0597::SB19,,1383,814,1,1,0,0,0,709,107,0,0,0,0,0,0,816,42,162,21,63,43,86,72,17,308
,Ridderkerk,GR2014_Ridderkerk,Gemeenteraad Ridderkerk 2014,0597,Ridderkerk,2014-03-19,Stembureau Cbs de Bongerd,0597::SB20,,1586,724,1,0,0,0,0,636,89,0,0,0,0,0,0,725,175,76,77,43,69,63,78,41,102
,Ridderkerk,GR2014_Ridderkerk,Gemeenteraad Ridderkerk 2014,0597,Ridderkerk,2014-03-19,Stembureau Obs de Botter,0597::SB21,,1384,531,0,1,0,0,0,469,63,0,0,0,0,0,0,532,137,46,59,46,69,23,36,17,98
,Ridderkerk,GR2014_Ridderkerk,Gemeenteraad Ridderkerk 2014,0597,Ridderkerk,2014-03-19,Stembureau Reijerheem,0597::SB22,,1153,593,2,1,0,0,0,534,62,0,0,0,0,0,0,596,122,88,85,24,50,60,37,35,92
,Ridderkerk,GR2014_Ridderkerk,Gemeenteraad Ridderkerk 2014,0597,Ridderkerk,2014-03-19,Stembureau Verpleeghuis Salem,0597::SB23,,1161,670,0,0,0,0,0,586,84,0,0,0,0,0,0,670,137,191,40,47,39,51,61,26,78
,Ridderkerk,GR2014_Ridderkerk,Gemeenteraad Ridderkerk 2014,0597,Ridderkerk,2014-03-19,Stembureau 't Ronde Sant,0597::SB24,,1458,852,0,0,0,0,0,724,128,0,0,0,0,0,0,852,220,102,74,66,76,95,47,43,129
,Ridderkerk,GR2014_Ridderkerk,Gemeenteraad Ridderkerk 2014,0597,Ridderkerk,2014-03-19,Stembureau Obs de Piramide,0597::SB25,,1133,528,1,3,0,1,0,465,65,0,0,2,0,1,0,530,82,141,56,37,58,40,37,28,49
,Ridderkerk,GR2014_Ridderkerk,Gemeenteraad Ridderkerk 2014,0597,Ridderkerk,2014-03-19,Stembureau Maranathakerk,0597::SB26,,1614,800,2,1,0,0,0,715,88,0,0,0,0,0,0,803,134,196,52,53,60,55,99,56,95
,Ridderkerk,GR2014_Ridderkerk,Gemeenteraad Ridderkerk 2014,0597,Ridderkerk,2014-03-19,Stembureau Ichthuskerk,0597::SB27,,1474,840,3,2,0,0,0,759,86,0,0,0,0,0,0,845,153,100,88,64,65,101,74,50,145
,Ridderkerk,GR2014_Ridderkerk,Gemeenteraad Ridderkerk 2014,0597,Ridderkerk,2014-03-19,Stembureau Cbs de Klimop (Centrum),0597::SB28,,1257,473,0,3,0,0,0,418,58,0,0,0,0,0,0,476,90,91,39,16,34,65,64,25,49
