contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),VVD,Democraten 66 (D66),GROENLINKS,CDA,Haagse Stadspartij,SP (Socialistische Partij),Politieke Partij Scheveningen (PPS),Partij voor de Dieren,Islam Democraten,Libertarische Partij (LP),ChristenUnie-SGP,Groep de Mos / Ouderen Partij Den Haag,Ouderenpartij HOOP,OPA,Partij van de Eenheid,FAMILIA (Directe Democraten),19
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Koos Meindertsschool,0518::SB112,,1075,682,1,0,0,0,0,606,79,2,0,0,2,0,0,685,70,146,35,80,24,59,57,64,3,10,4,1,21,87,10,0,10,0,1
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Koos Meindertsschool,0518::SB113,,1294,535,0,1,0,0,0,467,69,0,0,0,0,0,0,536,49,123,38,55,21,50,55,36,2,19,6,0,22,51,5,1,2,0,0
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau WZH Zorgcentrum Nieuw Berkendael,0518::SB114,,1341,585,2,2,1,0,0,530,60,0,0,0,1,0,0,590,69,181,38,39,17,45,41,25,1,14,10,3,12,76,3,5,6,0,0
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Florence Zorgcentrum Houthaghe,0518::SB117,,1417,872,2,4,0,1,0,788,91,0,0,0,1,0,0,879,86,212,35,58,25,91,55,77,6,19,14,0,24,141,16,2,11,0,0
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Verpleeghuis Houtwijk,0518::SB118,,1559,943,1,3,0,1,0,844,104,0,0,0,1,0,0,948,110,125,87,124,43,105,102,58,5,25,9,0,32,105,4,3,4,1,1
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Chr. Basisschool Leyenburg,0518::SB119,,1645,777,0,1,0,1,0,696,81,0,0,1,0,0,0,777,67,179,49,121,23,72,55,64,0,19,9,0,23,80,11,0,5,0,0
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Katholieke basisschool De Oase,0518::SB120,,3287,1607,3,5,0,16,0,1478,164,0,2,0,27,0,0,1642,142,224,138,267,84,166,206,124,10,38,0,5,25,156,14,1,2,3,2
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Tuincentrum Onings,0518::SB122,,2021,1264,0,2,0,15,0,1169,112,0,0,0,15,0,0,1281,91,149,137,158,79,106,196,66,1,38,0,1,25,193,15,0,2,4,3
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Gezondheidscentrum Nieuw Waldeck,0518::SB123,,1745,591,0,3,0,0,0,526,68,0,0,0,0,0,0,594,57,156,19,35,14,42,55,58,4,16,6,0,14,98,8,0,8,1,0
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Centrum de Geest,0518::SB125,,1362,653,1,0,0,0,0,580,73,0,0,1,0,1,0,653,63,160,17,61,25,47,63,52,5,20,12,1,21,81,17,0,8,0,0
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Humanitas Woonzorgplus Den Haag,0518::SB126,,755,570,1,0,0,0,0,571,0,0,0,0,0,0,0,571,55,110,57,50,13,82,64,30,8,15,0,0,10,62,12,0,2,0,0
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Woon- zorgcentrum Tabitha,0518::SB127,,2501,1493,4,4,0,0,0,1382,119,0,0,0,0,0,0,1501,115,278,174,155,43,212,156,73,7,38,0,3,45,172,21,1,0,0,0
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Verzorgingshuis Loosduinse Hof,0518::SB128,,1346,696,1,2,0,0,0,624,76,0,1,0,1,0,0,700,74,217,31,66,14,46,52,49,7,15,2,0,12,89,18,2,2,0,0
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Verzorgingshuis Loosduinse Hof,0518::SB129,,1181,433,4,6,0,0,0,404,39,0,0,0,0,0,0,443,44,120,16,41,17,34,33,30,9,17,5,0,7,55,4,1,0,0,0
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Serviceflat Dekkershaghe,0518::SB131,,571,449,0,2,0,0,0,421,30,0,0,0,0,0,0,451,39,55,44,59,16,70,57,34,0,5,2,0,13,44,9,0,0,2,0
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Wijkcentrum Bokkefort,0518::SB132,,2219,1072,5,3,0,0,0,959,123,0,0,0,2,0,0,1082,104,236,59,105,55,72,93,100,6,15,41,1,20,122,18,2,22,1,0
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau OBS De La Reyschool,0518::SB202,,1761,665,4,2,0,1,0,557,115,0,0,0,1,0,0,672,123,85,6,63,29,36,39,33,3,8,132,0,25,29,3,1,46,2,2
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau R.K. Rosabasisschool,0518::SB203,,1894,581,1,3,0,0,0,510,75,0,0,0,0,0,0,585,70,122,15,60,50,28,38,31,3,12,54,1,21,46,4,0,23,2,1
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau OBS De Gelderlandschool,0518::SB204,,1218,403,0,0,0,0,0,346,57,0,0,0,0,0,0,403,36,89,16,56,26,16,31,30,4,4,29,2,23,32,2,0,5,0,2
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau R.K. Rosabasisschool,0518::SB205,,1472,620,2,1,0,0,0,528,95,0,0,0,0,0,0,623,65,107,18,71,41,37,28,49,1,12,81,2,47,44,5,0,9,0,3
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Middin Steinmetz de Compaan,0518::SB206,,2233,724,0,3,0,0,0,632,95,0,0,0,0,0,0,727,91,170,27,70,25,39,64,47,3,19,23,3,25,94,6,0,16,0,2
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Middin Steinmetz de Compaan,0518::SB207,,2239,686,2,3,0,1,0,600,92,0,0,0,1,0,0,692,97,208,25,50,22,37,49,52,6,11,26,0,16,73,4,1,8,0,1
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau OBS Het Galjoen,0518::SB209,,1913,1262,1,14,0,0,0,958,316,0,0,3,0,3,0,1274,217,75,11,144,60,67,26,16,1,2,397,1,12,77,6,0,148,1,1
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Zorgcentrum Zuiderpark,0518::SB210,,1091,588,5,1,0,9,0,513,72,0,0,9,0,0,0,585,101,98,21,58,49,39,50,46,2,10,42,0,6,47,8,1,9,0,1
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Musicon,0518::SB211,,1196,747,2,3,0,0,0,664,88,0,0,0,0,0,0,752,59,166,33,104,42,46,93,59,6,18,7,1,40,57,7,0,8,0,1
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau OBS De Gelderlandschool,0518::SB212,,532,475,0,0,0,3,0,409,69,0,0,0,3,0,0,478,47,122,11,47,34,14,34,31,2,4,57,1,12,41,3,2,12,0,1
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Andre Castens Sportzaal,0518::SB213,,1323,599,0,5,5,0,0,532,67,0,0,5,0,0,0,599,49,189,33,57,17,41,51,30,1,22,11,2,20,66,3,2,4,0,1
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Andre Castens Sportzaal,0518::SB214,,1460,484,1,5,5,0,0,442,53,0,0,0,5,0,0,495,33,150,27,58,12,28,39,26,3,12,14,0,8,53,11,1,8,0,1
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau CBS de Ark,0518::SB215,,1837,909,0,0,0,0,0,819,95,0,0,0,5,0,0,914,74,263,44,97,28,56,71,64,7,23,17,2,30,110,15,0,6,0,2
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Daltonbasisschool Helen Parkhurst,0518::SB216,,1408,606,2,2,0,0,0,554,60,3,1,0,4,0,0,614,47,156,27,90,26,29,51,47,6,14,18,0,13,67,10,2,2,1,0
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Chr. Basisschool Leyenburg,0518::SB218,,1119,657,3,1,1,0,0,598,64,0,0,0,1,0,0,662,80,148,38,79,23,57,49,42,1,9,4,0,26,84,10,2,5,0,0
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Verzorgingshuis Swaenesteijn,0518::SB219,,2018,961,1,5,0,0,0,879,88,0,0,0,0,0,0,967,114,204,45,94,14,95,96,76,9,26,6,1,46,110,18,0,6,0,1
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Verzorgingshuis Swaenehove,0518::SB221,,2085,1106,7,4,1,0,0,997,121,0,0,0,1,0,0,1118,116,274,58,111,25,129,72,91,6,25,5,0,30,142,14,0,6,1,1
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau S.V. Houd Moedig Stand Den Haag,0518::SB222,,516,225,1,2,0,0,0,191,37,0,0,0,0,0,0,228,32,29,5,23,10,5,8,29,2,7,21,0,7,17,3,0,26,0,1
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau S.V. Houd Moedig Stand Den Haag,0518::SB224,,1116,244,0,6,0,0,0,216,34,0,0,0,0,0,0,250,39,38,7,15,9,17,11,26,0,4,15,1,6,15,2,1,38,0,0
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Wijkcentrum Bouwlust,0518::SB225,,1293,691,3,6,0,0,0,572,128,0,0,0,0,0,0,700,166,65,11,59,39,23,18,56,1,10,95,1,13,24,3,1,104,2,0
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Stichting Haags Kinderatelier,0518::SB226,,1026,202,0,1,1,0,0,167,37,0,0,0,1,0,0,204,30,34,1,13,15,9,5,18,0,4,29,2,1,8,0,0,33,0,0
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau R.K. Basisschool de Zuidwester,0518::SB227,,1556,681,2,6,0,0,0,597,92,0,0,0,0,0,0,689,116,118,29,62,16,39,32,68,1,12,57,0,18,70,3,0,40,0,0
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Verpleeghuis De Lozerhof,0518::SB228,,1286,537,1,2,0,0,0,478,62,0,0,0,0,0,0,540,87,146,12,31,15,45,33,28,1,16,23,0,8,71,5,0,16,0,0
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Verpleeghuis De Lozerhof,0518::SB229,,1122,375,0,1,0,0,0,305,71,0,0,0,0,0,0,376,60,85,8,14,10,30,19,21,0,11,40,0,2,50,6,0,19,0,0
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Verpleeghuis Gulden Huis -Florence,0518::SB230,,1203,584,2,2,0,0,0,512,76,0,0,0,0,0,0,588,96,119,13,45,15,57,24,50,1,11,19,2,14,73,16,0,29,0,0
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Centrum Carel van den Oever,0518::SB231,,1322,550,3,1,0,1,0,479,76,0,0,0,1,0,0,555,97,100,12,45,18,49,17,64,1,7,40,2,12,45,4,2,33,1,1
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Pr. Chr. Basisschool De Springplank,0518::SB232,,1543,1042,0,11,0,16,0,889,148,0,0,16,0,0,0,1037,174,198,48,106,37,66,29,64,3,20,107,2,16,66,9,0,96,0,1
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Blokpoelschool,0518::SB234,,2435,818,2,12,0,0,0,702,130,0,0,0,0,0,0,832,127,159,28,89,29,36,32,65,5,12,82,1,15,82,7,1,48,0,0
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Verpleeghuis Vrederust-West,0518::SB235,,1544,695,4,2,0,0,0,620,81,0,0,0,0,0,0,701,118,151,30,38,26,64,21,62,3,13,37,0,30,69,14,2,17,0,0
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Parkoers Stichting VTV,0518::SB236,,1253,258,1,0,0,0,0,228,31,0,0,0,0,0,0,259,26,68,6,14,5,24,19,27,5,12,5,2,4,31,2,0,6,1,1
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Zorg-en Verpleegcentrum Loevestein,0518::SB238,,1547,586,6,2,0,0,0,539,55,0,0,0,0,0,0,594,88,143,29,41,12,41,33,35,2,14,31,0,8,82,11,0,16,0,0
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Stadsdeelkantoor Escamp,0518::SB239,,973,837,4,8,0,1,0,757,91,0,0,1,0,0,0,848,172,120,29,93,41,46,48,72,4,11,64,2,16,35,7,1,75,1,0
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau EBS Tamar,0518::SB241,,1255,484,0,1,0,0,0,415,70,0,0,0,0,0,0,485,72,104,10,37,6,26,19,47,3,8,37,1,31,55,7,0,20,1,0
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Ontmoetingscentrum Morgenstond,0518::SB242,,1493,466,1,4,0,0,0,426,46,1,0,0,1,0,0,472,90,90,22,44,28,28,19,33,0,15,24,0,12,33,7,0,21,0,0
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau R.K. Basisschool de Krullevaar,0518::SB243,,1237,645,1,1,1,1,0,545,104,0,0,0,2,0,0,649,128,113,26,84,17,28,18,40,3,9,64,0,21,53,3,1,35,0,2
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Gemiva-SVG Groep,0518::SB244,,768,156,1,0,0,0,0,142,15,0,0,0,0,0,0,157,21,35,4,11,7,10,14,14,0,3,4,0,1,23,3,0,6,0,0
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Zorgcentrum Middin,0518::SB245,,1942,433,0,2,0,0,0,394,41,0,0,0,0,0,0,435,66,90,18,37,14,38,19,36,4,11,6,2,15,60,14,0,3,0,0
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau De Mondriaan Onderwijsgroep,0518::SB246,,1491,913,1,11,0,2,0,804,123,0,0,0,2,0,0,927,139,178,60,84,33,64,48,52,3,26,46,2,19,124,8,2,24,1,0
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau De Mondriaan Onderwijsgroep,0518::SB247,,1965,511,0,3,0,0,0,439,75,0,0,0,0,0,0,514,52,106,37,75,25,22,43,24,3,11,30,1,9,50,7,0,16,0,0
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Partycentrum Ons Huis,0518::SB250,,1875,671,1,4,0,0,0,584,92,0,0,0,0,0,0,676,101,163,29,51,33,28,29,42,2,11,68,0,20,70,7,1,15,1,0
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau OBS De Kleine Wereld,0518::SB251,,2676,853,1,10,0,0,0,757,107,0,0,0,0,0,0,864,146,155,23,111,29,47,42,88,2,18,49,0,25,51,10,7,45,3,2
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Ds. D.A. van den Boschschool,0518::SB253,,927,497,0,9,0,0,0,447,59,0,0,0,0,0,0,506,129,52,12,56,17,33,8,46,5,9,33,3,20,24,0,1,49,0,0
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Woonzorgcentrum Moerwijk,0518::SB254,,1233,486,6,0,0,0,0,436,56,0,0,0,0,0,0,492,101,89,16,32,17,25,25,53,0,12,23,1,18,31,11,2,28,1,1
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Basisschool Grote Beer,0518::SB255,,2176,763,0,5,0,5,0,667,96,0,0,5,0,0,0,763,138,133,31,93,20,38,39,59,1,22,41,1,37,37,7,1,62,0,3
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Woonzorgcentrum CoornhertCentrum,0518::SB258,,2611,762,2,11,0,0,0,678,97,0,0,0,0,0,0,775,161,158,17,41,19,74,25,71,3,22,37,2,15,47,15,1,54,0,0
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Jongerenruimte Wijkcentrum Moerwijk,0518::SB259,,704,466,1,6,0,0,0,424,49,0,0,0,0,0,0,473,98,88,10,39,13,28,10,37,0,6,33,0,16,44,7,0,36,1,0
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Jongerenruimte Wijkcentrum Moerwijk,0518::SB260,,1549,477,0,5,0,0,0,415,67,0,0,0,0,0,0,482,109,92,11,25,14,24,19,40,2,11,38,0,11,20,12,0,48,1,0
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Verzorgingshuis De Waterhof,0518::SB261,,1420,439,0,1,0,1,0,397,44,0,0,0,1,0,0,441,81,95,23,40,8,36,16,32,1,13,11,1,11,50,6,0,15,0,0
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Maria Montessorischool,0518::SB262,,710,436,1,1,0,0,0,375,64,0,1,0,1,0,0,439,38,65,73,84,17,42,23,12,2,4,25,1,13,19,4,2,11,0,1
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Sporthal Hogeveld,0518::SB263,,684,325,0,0,0,0,0,261,64,0,0,0,0,0,0,325,42,62,29,57,5,35,13,27,1,5,10,0,5,28,1,0,4,0,1
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau Openbare Daltonschool De Vijver,0518::SB264,,4913,1992,7,8,0,6,0,1687,329,0,0,0,9,0,3,2016,259,462,186,313,49,142,72,114,8,26,59,5,52,188,20,1,35,1,0
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau R.K. Basisschool De Fontein,0518::SB265,,1975,739,1,3,0,0,0,620,123,0,0,0,0,0,0,743,99,133,91,140,19,77,25,24,2,10,18,2,14,58,4,0,22,0,1
,'s-Gravenhage,GR2014_sGravenhage,Gemeenteraad 's-Gravenhage 2014,0518,'s-Gravenhage,2014-03-19,Stembureau R.K. Basisschool De Fontein,0518::SB266,,1018,1044,1,4,1,0,0,878,172,0,0,0,1,0,0,1050,118,206,141,155,42,102,45,50,6,24,17,2,22,67,12,3,31,0,1
