contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,ChristenUnie,Partij van de Arbeid (P.v.d.A.),VVD,OpKoers.nu,GROENLINKS,Liberaal Hardenberg,Democraten 66 (D66)
,Hardenberg,GR2014_Hardenberg,Gemeenteraad Hardenberg 2014,0160,Hardenberg,2014-03-19,Stembureau R.K. kerk H. Alphonsus de Liguori,0160::SB25,,995,471,1,2,0,0,0,443,31,0,0,0,0,0,0,474,142,20,127,47,47,18,30,40
,Hardenberg,GR2014_Hardenberg,Gemeenteraad Hardenberg 2014,0160,Hardenberg,2014-03-19,Stembureau Ons Trefpunt   Schuinesloot,0160::SB28,,771,389,4,0,0,0,0,361,32,0,0,0,0,0,0,393,173,43,43,35,33,11,21,30
,Hardenberg,GR2014_Hardenberg,Gemeenteraad Hardenberg 2014,0160,Hardenberg,2014-03-19,Stembureau Zorgcentrum  Oostloorn,0160::SB29,,1446,879,3,3,0,0,0,814,71,0,0,0,0,0,0,885,346,158,87,72,106,38,29,43
,Hardenberg,GR2014_Hardenberg,Gemeenteraad Hardenberg 2014,0160,Hardenberg,2014-03-19,Stembureau Ver.gebouw Pro Rege,0160::SB30,,1410,719,1,0,0,0,0,658,62,0,0,0,0,0,0,720,222,172,86,53,65,17,40,64
,Hardenberg,GR2014_Hardenberg,Gemeenteraad Hardenberg 2014,0160,Hardenberg,2014-03-19,Stembureau Kerk.Geref.Centrum,0160::SB31,,1242,657,7,1,0,0,0,603,62,0,0,0,0,0,0,665,230,97,101,70,23,25,40,71
,Hardenberg,GR2014_Hardenberg,Gemeenteraad Hardenberg 2014,0160,Hardenberg,2014-03-19,Stembureau Chr. Geref. Kerk.,0160::SB32,,1329,667,5,3,0,0,0,635,40,0,0,0,0,0,0,675,221,125,104,54,45,27,29,62
,Hardenberg,GR2014_Hardenberg,Gemeenteraad Hardenberg 2014,0160,Hardenberg,2014-03-19,Stembureau O.b.s.  De Eiber,0160::SB34,,1326,564,2,2,0,0,0,518,50,0,0,0,0,0,0,568,132,79,118,59,45,38,33,60
,Hardenberg,GR2014_Hardenberg,Gemeenteraad Hardenberg 2014,0160,Hardenberg,2014-03-19,Stembureau Zwembad De Kiefer,0160::SB35,,901,591,2,1,0,0,0,534,60,0,0,0,0,0,0,594,150,95,76,75,42,31,41,81
,Hardenberg,GR2014_Hardenberg,Gemeenteraad Hardenberg 2014,0160,Hardenberg,2014-03-19,Stembureau van Dedem Marke,0160::SB36,,1361,665,1,3,0,0,0,622,47,0,0,0,0,0,0,669,229,126,80,59,44,26,27,74
,Hardenberg,GR2014_Hardenberg,Gemeenteraad Hardenberg 2014,0160,Hardenberg,2014-03-19,Stembureau C.b.s. Groen van Prinsterer,0160::SB37,,1420,705,0,0,0,0,0,630,75,0,0,0,0,0,0,705,219,86,75,112,55,26,32,100
,Hardenberg,GR2014_Hardenberg,Gemeenteraad Hardenberg 2014,0160,Hardenberg,2014-03-19,Stembureau CNS,0160::SB38,,1679,968,0,2,0,4,0,878,96,0,0,0,4,0,0,974,258,268,94,138,71,22,24,93
,Hardenberg,GR2014_Hardenberg,Gemeenteraad Hardenberg 2014,0160,Hardenberg,2014-03-19,Stembureau O.b.s.  Oud Avereest,0160::SB39,,1143,546,2,1,0,0,0,477,72,0,0,0,0,0,0,549,131,122,60,98,22,30,26,57
,Hardenberg,GR2014_Hardenberg,Gemeenteraad Hardenberg 2014,0160,Hardenberg,2014-03-19,Stembureau O.b.s   't Spectrum,0160::SB40,,1468,1050,3,3,0,0,0,982,74,0,0,0,0,0,0,1056,308,331,113,73,88,43,24,70
,Hardenberg,GR2014_Hardenberg,Gemeenteraad Hardenberg 2014,0160,Hardenberg,2014-03-19,Stembureau Marslanden - Restaurant Het Heemse,0160::SB41,,861,569,1,0,0,0,0,506,64,0,0,0,0,0,0,570,149,197,29,83,35,10,20,46
,Hardenberg,GR2014_Hardenberg,Gemeenteraad Hardenberg 2014,0160,Hardenberg,2014-03-19,Stembureau Gemeentehuis,0160::SB42,,851,582,0,2,0,0,0,537,47,0,0,0,0,0,0,584,153,145,74,40,48,32,38,52
,Hardenberg,GR2014_Hardenberg,Gemeenteraad Hardenberg 2014,0160,Hardenberg,2014-03-19,Stembureau Hardenberg Buurtkamer,0160::SB43,,979,551,3,2,0,0,0,522,34,0,0,0,0,0,0,556,200,111,63,50,40,17,33,37
,Hardenberg,GR2014_Hardenberg,Gemeenteraad Hardenberg 2014,0160,Hardenberg,2014-03-19,Stembureau Dorpshuis De Heujmansbelt,0160::SB45,,840,521,1,1,0,0,0,476,47,0,0,0,0,0,0,523,171,132,24,30,99,20,16,29
,Hardenberg,GR2014_Hardenberg,Gemeenteraad Hardenberg 2014,0160,Hardenberg,2014-03-19,Stembureau Geref.Ver.gebouw 't Kruispunt,0160::SB46,,1152,764,0,0,0,0,0,722,42,0,0,0,0,0,0,764,207,400,26,18,63,9,18,23
,Hardenberg,GR2014_Hardenberg,Gemeenteraad Hardenberg 2014,0160,Hardenberg,2014-03-19,Stembureau Herv.Ver.gebouw  Rheezerveen,0160::SB47,,639,297,0,1,0,0,0,258,40,0,0,0,0,0,0,298,84,100,19,40,15,5,20,14
,Hardenberg,GR2014_Hardenberg,Gemeenteraad Hardenberg 2014,0160,Hardenberg,2014-03-19,Stembureau Jeugdgebouw  Kronkelhonk,0160::SB48,,1312,546,1,5,0,0,0,508,44,0,0,0,0,0,0,552,149,31,170,65,50,28,19,34
,Hardenberg,GR2014_Hardenberg,Gemeenteraad Hardenberg 2014,0160,Hardenberg,2014-03-19,Stembureau Sportzaal  De Kamp,0160::SB50,,1239,889,4,1,0,0,0,833,61,0,0,0,0,0,0,894,211,232,95,72,109,66,41,63
,Hardenberg,GR2014_Hardenberg,Gemeenteraad Hardenberg 2014,0160,Hardenberg,2014-03-19,Stembureau Ver.gebouw Hoogenweg,0160::SB51,,407,295,0,1,0,0,0,264,32,0,0,0,0,0,0,296,97,30,28,36,71,6,17,10
,Hardenberg,GR2014_Hardenberg,Gemeenteraad Hardenberg 2014,0160,Hardenberg,2014-03-19,Stembureau Ver.gebouw  De Bo,0160::SB52,,1307,712,3,0,0,0,0,643,72,0,0,0,0,0,0,715,182,346,26,47,66,10,7,28
,Hardenberg,GR2014_Hardenberg,Gemeenteraad Hardenberg 2014,0160,Hardenberg,2014-03-19,Stembureau Ver.geb.a/d Lutteresweg  Lutten,0160::SB53,,556,288,0,2,0,0,0,265,25,0,0,0,0,0,0,290,111,64,29,18,42,3,7,14
,Hardenberg,GR2014_Hardenberg,Gemeenteraad Hardenberg 2014,0160,Hardenberg,2014-03-19,Stembureau Wijkcentrum De Wiekstee,0160::SB54,,1578,802,0,2,0,0,0,744,63,0,0,0,3,0,0,807,229,231,91,73,79,27,21,51
,Hardenberg,GR2014_Hardenberg,Gemeenteraad Hardenberg 2014,0160,Hardenberg,2014-03-19,Stembureau Wijkcentrum Baalder,0160::SB55,,1251,660,4,0,0,0,0,619,45,0,0,0,0,0,0,664,142,217,94,33,70,45,18,41
,Hardenberg,GR2014_Hardenberg,Gemeenteraad Hardenberg 2014,0160,Hardenberg,2014-03-19,Stembureau De Wingerd,0160::SB56,,906,641,2,1,0,0,0,590,54,0,0,0,0,0,0,644,159,353,24,33,20,15,16,21
,Hardenberg,GR2014_Hardenberg,Gemeenteraad Hardenberg 2014,0160,Hardenberg,2014-03-19,Stembureau Dedemsvaart - CBS de Ark,0160::SB57,,1099,392,1,0,0,0,0,363,30,0,0,0,0,0,0,393,91,93,66,42,28,22,18,32
,Hardenberg,GR2014_Hardenberg,Gemeenteraad Hardenberg 2014,0160,Hardenberg,2014-03-19,Stembureau Dedemsvaart - Clubgebouw Korfbal,0160::SB58,,971,336,0,2,0,0,0,324,14,0,0,0,0,0,0,338,92,73,56,30,24,13,10,38
