contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid (P.v.d.A.),SDH/OH/HELMONDSE BELANGEN/LH,VVD,SP (Socialistische Partij),HELDER HELMOND,GROENLINKS,Democraten 66 (D66),Helmond Aktief,ChristenUnie,Senioren 2013
,Helmond,GR2014_Helmond,Gemeenteraad Helmond 2014,0794,Helmond,2014-03-19,Stembureau WOONZORGCENTRUM RIVIERENHOF,0794::SB504,5704 NP,2179,877,2,6,0,0,0,786,99,0,0,0,0,0,0,885,101,70,63,55,222,123,43,56,32,55,57
,Helmond,GR2014_Helmond,Gemeenteraad Helmond 2014,0794,Helmond,2014-03-19,Stembureau WIJKGEBOUW DE ZONNESTEEN,0794::SB505,5704 HZ,1537,547,6,3,0,0,0,494,62,0,0,0,0,0,0,556,67,63,33,56,134,54,26,30,22,44,18
,Helmond,GR2014_Helmond,Gemeenteraad Helmond 2014,0794,Helmond,2014-03-19,Stembureau BASISSCHOOL 'T BAKEN,0794::SB601,5706 BT,2417,1024,12,4,0,0,0,932,108,0,0,0,0,0,0,1040,159,57,171,127,182,81,46,57,85,10,49
,Helmond,GR2014_Helmond,Gemeenteraad Helmond 2014,0794,Helmond,2014-03-19,Stembureau DE GESELDONK,0794::SB602,5706 XC,2291,890,5,4,0,0,0,789,110,0,0,0,0,0,0,899,128,71,151,48,174,73,41,47,104,11,42
,Helmond,GR2014_Helmond,Gemeenteraad Helmond 2014,0794,Helmond,2014-03-19,Stembureau DE KONING (CAFEGEDEELTE),0794::SB603,5707 AK,1873,873,7,3,0,0,0,779,104,0,0,0,0,0,0,883,150,54,118,101,125,78,38,49,124,5,31
,Helmond,GR2014_Helmond,Gemeenteraad Helmond 2014,0794,Helmond,2014-03-19,Stembureau BASISSCHOOL DE VENDELIER,0794::SB604,5706 KH,2393,1204,7,1,0,0,0,1057,155,0,0,0,0,0,0,1212,236,84,91,330,78,71,71,159,42,12,30
,Helmond,GR2014_Helmond,Gemeenteraad Helmond 2014,0794,Helmond,2014-03-19,Stembureau WOONZORGCENTRUM ALPHONSUS,0794::SB605,5706 AP,2019,1097,2,11,0,0,0,984,126,0,0,0,0,0,0,1110,220,63,130,91,157,68,60,58,189,4,57
,Helmond,GR2014_Helmond,Gemeenteraad Helmond 2014,0794,Helmond,2014-03-19,Stembureau WIJKHUIS 'T BRANDPUNT,0794::SB606,5708 ZD,1753,892,5,0,3,0,0,773,127,0,0,0,3,0,0,900,134,40,59,245,85,46,60,131,30,10,52
,Helmond,GR2014_Helmond,Gemeenteraad Helmond 2014,0794,Helmond,2014-03-19,Stembureau WIJKHUIS 'T BRANDPUNT,0794::SB607,5708 ZD,1810,881,5,1,0,0,0,765,120,0,0,2,0,0,0,885,166,66,61,244,65,38,46,104,32,15,44
,Helmond,GR2014_Helmond,Gemeenteraad Helmond 2014,0794,Helmond,2014-03-19,Stembureau WIJKHUIS WESTWIJZER,0794::SB701,5707 TJ,1858,680,1,3,0,0,0,595,89,0,0,0,0,0,0,684,92,115,69,52,107,64,68,28,63,3,19
,Helmond,GR2014_Helmond,Gemeenteraad Helmond 2014,0794,Helmond,2014-03-19,Stembureau KANTINE SPEELTUIN HELMOND WEST,0794::SB702,5707 TK,1582,361,1,1,0,0,0,319,44,0,0,0,0,0,0,363,40,31,49,19,52,40,20,15,77,1,17
,Helmond,GR2014_Helmond,Gemeenteraad Helmond 2014,0794,Helmond,2014-03-19,Stembureau SOCIETEIT GEZELLIGHEID,0794::SB801,5707 HJ,954,881,2,0,0,0,0,796,89,0,0,0,2,0,0,885,274,30,58,233,43,34,60,82,32,9,26
,Helmond,GR2014_Helmond,Gemeenteraad Helmond 2014,0794,Helmond,2014-03-19,Stembureau WILHELMINASCHOOL,0794::SB802,5707 RM,1157,798,5,1,0,1,0,715,90,0,0,0,1,0,0,805,250,23,69,233,36,41,31,66,20,4,25
,Helmond,GR2014_Helmond,Gemeenteraad Helmond 2014,0794,Helmond,2014-03-19,Stembureau ZALENCENTRUM DE SMED,0794::SB901,5708 GJ,1227,793,11,1,0,0,0,740,65,0,0,0,0,0,0,805,155,30,213,123,74,38,35,51,19,13,42
,Helmond,GR2014_Helmond,Gemeenteraad Helmond 2014,0794,Helmond,2014-03-19,"Stembureau CAFE "" DE SPORT""",0794::SB902,5708 GJ,1514,1003,13,3,0,0,0,913,106,0,0,0,0,0,0,1019,219,30,210,229,86,60,36,74,19,2,38
,Helmond,GR2014_Helmond,Gemeenteraad Helmond 2014,0794,Helmond,2014-03-19,Stembureau ST. TRUDOSCHOOL,0794::SB903,5708 GL,1489,981,4,2,0,1,0,867,121,0,0,0,1,0,0,988,221,31,142,303,56,27,57,79,19,5,41
,Helmond,GR2014_Helmond,Gemeenteraad Helmond 2014,0794,Helmond,2014-03-19,Stembureau MOBIEL STEMBUREAU,0794::SB910,,0,114,1,0,0,0,0,103,12,0,0,0,0,0,0,115,12,9,15,21,12,11,6,14,8,1,5
