contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VV2000/Leefbaar Vlaardingen,VVD,CDA,GROENLINKS,SP (Socialistische Partij),Democraten 66 (D66),ChristenUnie/SGP,StadsBelangen Vlaardingen,Trots,Algemeen Ouderen Verbond (AOV),ONS Vlaardingen,LokaalVlaardingen
,Vlaardingen,GR2014_Vlaardingen,Gemeenteraad Vlaardingen 2014,0622,Vlaardingen,2014-03-19,Stembureau Nederlandse Rode Kruis afd. NWN,0622::SB11,3132 HN,1747,605,3,3,1,0,0,542,70,0,0,0,1,0,0,612,51,126,35,36,24,105,42,51,21,12,35,60,7
,Vlaardingen,GR2014_Vlaardingen,Gemeenteraad Vlaardingen 2014,0622,Vlaardingen,2014-03-19,Stembureau Dienstencentrum West (Valkenhof),0622::SB12,3132 JE,1588,647,7,5,0,6,0,614,51,0,0,0,6,0,0,665,56,95,39,43,34,88,49,47,21,16,62,88,9
,Vlaardingen,GR2014_Vlaardingen,Gemeenteraad Vlaardingen 2014,0622,Vlaardingen,2014-03-19,Stembureau O.B.S. de Wereldwijzer,0622::SB13,3132 EL,1659,754,4,1,0,1,0,670,90,0,0,0,1,0,0,760,67,109,48,67,53,132,46,39,27,19,25,114,8
,Vlaardingen,GR2014_Vlaardingen,Gemeenteraad Vlaardingen 2014,0622,Vlaardingen,2014-03-19,Stembureau Wijkcentrum West,0622::SB14,3132 AZ,1740,590,3,1,0,0,0,517,77,0,0,0,0,0,0,594,118,62,23,19,24,127,33,17,21,13,46,83,4
,Vlaardingen,GR2014_Vlaardingen,Gemeenteraad Vlaardingen 2014,0622,Vlaardingen,2014-03-19,Stembureau Marnixflat,0622::SB15,3132 PL,1270,500,3,0,0,0,0,461,42,0,0,0,0,0,0,503,67,54,19,45,25,78,41,37,12,11,33,69,9
,Vlaardingen,GR2014_Vlaardingen,Gemeenteraad Vlaardingen 2014,0622,Vlaardingen,2014-03-19,Stembureau Het Spectrum,0622::SB16,3134 CR,1566,643,0,0,0,0,0,595,48,0,0,0,0,0,0,643,61,99,31,41,44,106,59,56,32,35,17,49,13
,Vlaardingen,GR2014_Vlaardingen,Gemeenteraad Vlaardingen 2014,0622,Vlaardingen,2014-03-19,Stembureau Basisschool De Klinker,0622::SB17,3134 NH,1616,747,1,6,0,0,0,683,71,0,0,0,0,0,0,754,98,125,52,38,55,150,56,41,33,25,20,40,14
,Vlaardingen,GR2014_Vlaardingen,Gemeenteraad Vlaardingen 2014,0622,Vlaardingen,2014-03-19,Stembureau Schietvereniging Wilhelmina,0622::SB18,3134 CG,938,664,1,1,0,0,0,599,67,0,0,0,0,0,0,666,81,66,39,52,94,59,98,49,40,24,16,38,8
,Vlaardingen,GR2014_Vlaardingen,Gemeenteraad Vlaardingen 2014,0622,Vlaardingen,2014-03-19,Stembureau Basisschool Rehoboth,0622::SB19,3135 PS,1429,653,2,2,0,1,0,584,72,0,0,1,0,0,0,656,80,104,22,40,29,129,42,55,34,10,32,58,18
,Vlaardingen,GR2014_Vlaardingen,Gemeenteraad Vlaardingen 2014,0622,Vlaardingen,2014-03-19,Stembureau De Brasserie,0622::SB20,3135 BK,1711,512,3,6,0,0,0,476,45,0,0,0,0,0,0,521,102,82,29,40,26,78,40,18,20,7,42,21,7
,Vlaardingen,GR2014_Vlaardingen,Gemeenteraad Vlaardingen 2014,0622,Vlaardingen,2014-03-19,Stembureau Bethelkerk,0622::SB21,3135 KZ,1347,962,2,1,0,0,0,867,98,0,0,0,0,0,0,965,68,98,96,128,103,85,114,98,44,14,38,58,18
,Vlaardingen,GR2014_Vlaardingen,Gemeenteraad Vlaardingen 2014,0622,Vlaardingen,2014-03-19,Stembureau Kerkgenootschap Leger des Heils,0622::SB22,3135 VR,1382,490,4,6,0,0,0,454,46,0,0,0,0,0,0,500,103,64,16,26,35,108,35,25,14,8,28,23,5
,Vlaardingen,GR2014_Vlaardingen,Gemeenteraad Vlaardingen 2014,0622,Vlaardingen,2014-03-19,Stembureau Basisschool Jan Ligthart,0622::SB23,3135 HM,1741,1126,2,2,0,1,0,1035,96,0,0,0,1,0,0,1131,110,135,120,115,90,136,141,55,61,9,70,65,19
,Vlaardingen,GR2014_Vlaardingen,Gemeenteraad Vlaardingen 2014,0622,Vlaardingen,2014-03-19,Stembureau Campanile Hotel,0622::SB24,3135 GP,1437,664,1,0,0,3,0,602,60,0,0,3,0,0,0,662,52,87,63,97,51,55,74,34,34,16,32,59,10
,Vlaardingen,GR2014_Vlaardingen,Gemeenteraad Vlaardingen 2014,0622,Vlaardingen,2014-03-19,Stembureau Zorgcentrum De Meerpaal,0622::SB25,3136 AS,941,590,1,1,0,0,0,543,49,0,0,0,0,0,0,592,57,68,64,109,35,46,42,40,16,10,70,28,5
,Vlaardingen,GR2014_Vlaardingen,Gemeenteraad Vlaardingen 2014,0622,Vlaardingen,2014-03-19,Stembureau Vaartland,0622::SB26,3136 EA,922,570,0,1,1,0,0,525,46,0,0,1,0,0,0,571,69,54,47,79,48,35,54,37,25,9,51,52,10
,Vlaardingen,GR2014_Vlaardingen,Gemeenteraad Vlaardingen 2014,0622,Vlaardingen,2014-03-19,Stembureau Zorgcombinatie Nieuwe Maas,0622::SB27,3136 EA,811,412,0,3,0,0,0,380,35,0,0,0,0,0,0,415,51,54,18,37,25,64,33,19,11,14,52,32,2
,Vlaardingen,GR2014_Vlaardingen,Gemeenteraad Vlaardingen 2014,0622,Vlaardingen,2014-03-19,Stembureau Kerk van de Nazarener,0622::SB28,3136 GZ,1463,379,0,2,0,0,0,351,30,0,0,0,0,0,0,381,59,45,16,24,14,53,23,25,17,16,37,40,10
,Vlaardingen,GR2014_Vlaardingen,Gemeenteraad Vlaardingen 2014,0622,Vlaardingen,2014-03-19,Stembureau Drieënhuysen,0622::SB29,3136 AZ,1369,778,1,4,1,0,0,711,71,0,0,1,0,0,0,782,59,82,67,101,38,85,72,53,30,17,95,75,4
,Vlaardingen,GR2014_Vlaardingen,Gemeenteraad Vlaardingen 2014,0622,Vlaardingen,2014-03-19,Stembureau Kerkcentrum Holy,0622::SB30,3136 JJ,1687,1074,5,3,0,2,0,986,98,0,0,0,2,0,0,1084,118,127,63,113,42,163,64,65,23,24,130,132,10
,Vlaardingen,GR2014_Vlaardingen,Gemeenteraad Vlaardingen 2014,0622,Vlaardingen,2014-03-19,Stembureau Sport & Fitness Tino Hoogendijk,0622::SB31,3136 VH,1494,587,3,6,0,0,0,550,46,0,0,0,0,0,0,596,76,94,21,43,16,85,32,29,20,11,67,88,5
,Vlaardingen,GR2014_Vlaardingen,Gemeenteraad Vlaardingen 2014,0622,Vlaardingen,2014-03-19,Stembureau Zorgcentrum Uitzicht,0622::SB32,1377 XB,1412,843,1,4,0,1,0,774,73,0,0,1,0,0,0,847,66,106,79,82,39,72,84,164,23,25,45,53,5
,Vlaardingen,GR2014_Vlaardingen,Gemeenteraad Vlaardingen 2014,0622,Vlaardingen,2014-03-19,Stembureau Gymzaal,0622::SB33,3137 LR,1767,900,1,2,0,0,0,820,83,0,0,0,0,0,0,903,129,127,71,69,36,143,70,39,32,23,76,74,11
,Vlaardingen,GR2014_Vlaardingen,Gemeenteraad Vlaardingen 2014,0622,Vlaardingen,2014-03-19,Stembureau Wijkcentrum de Hoeve,0622::SB34,3137 RP,1550,566,0,1,0,2,0,504,65,0,0,0,2,0,0,569,66,75,28,23,20,128,41,37,25,9,61,42,11
,Vlaardingen,GR2014_Vlaardingen,Gemeenteraad Vlaardingen 2014,0622,Vlaardingen,2014-03-19,Stembureau Basisschool Holy De Singel,0622::SB35,3137 WD,1615,1058,3,4,0,2,0,957,106,0,0,2,0,0,0,1063,100,164,114,85,56,122,157,33,58,22,52,73,22
,Vlaardingen,GR2014_Vlaardingen,Gemeenteraad Vlaardingen 2014,0622,Vlaardingen,2014-03-19,Stembureau Portocabin,0622::SB36,,1569,386,1,0,0,0,0,349,38,0,0,0,0,0,0,387,38,43,45,27,21,35,66,30,19,6,26,27,3
,Vlaardingen,GR2014_Vlaardingen,Gemeenteraad Vlaardingen 2014,0622,Vlaardingen,2014-03-19,Stembureau De Wouthof,0622::SB37,3137 RL,1665,820,0,4,0,2,0,750,76,0,0,0,2,0,0,826,104,116,26,46,41,130,64,49,33,20,103,80,8
,Vlaardingen,GR2014_Vlaardingen,Gemeenteraad Vlaardingen 2014,0622,Vlaardingen,2014-03-19,Stembureau De Hoeksteen RK Basisschool,0622::SB38,3130 DB,1235,1213,2,1,0,9,0,1115,110,0,0,0,9,0,0,1225,100,183,151,134,71,88,172,61,59,19,62,95,18
,Vlaardingen,GR2014_Vlaardingen,Gemeenteraad Vlaardingen 2014,0622,Vlaardingen,2014-03-19,Stembureau Waterweg Wonen,0622::SB39,3134 ZB,0,176,1,1,0,0,0,163,15,0,0,0,0,0,0,178,19,22,23,9,20,32,14,10,3,3,11,9,1
,Vlaardingen,GR2014_Vlaardingen,Gemeenteraad Vlaardingen 2014,0622,Vlaardingen,2014-03-19,Stembureau Stadsgehoorzaal,0622::SB40,3134 BB,985,409,4,1,0,0,0,364,50,0,0,0,0,0,0,414,36,61,35,27,52,37,42,14,27,13,19,43,3
