contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),VVD,SP (Socialistische Partij),CDA,GROENLINKS,Stadspartij Leiden Ontzet,Leefbaar Leiden,ChristenUnie,Partij voor de Dieren,Libertarische Partij (LP),Partij van Tegenwoordig,(PS) Partij Sleutelstad
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Serviceflat Schouwenhove,0546::SB14,,1287,761,0,1,0,0,0,701,61,0,0,0,0,0,0,762,172,73,114,115,92,43,28,63,23,29,1,4,4
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau ID College,0546::SB15,,1283,414,6,0,0,0,0,377,43,0,0,0,0,0,0,420,80,48,32,91,20,35,9,61,18,7,1,1,11
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Maranathawijkgemeente,0546::SB16,,1628,673,3,7,0,1,0,622,62,0,0,0,1,0,0,684,151,95,62,120,81,30,18,64,21,22,0,3,6
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Woonzorgcentrum Robijnhof,0546::SB17,,1753,873,4,2,0,1,0,794,86,0,0,0,1,0,0,880,186,116,112,98,116,53,27,82,31,34,4,6,8
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Bonaventuracollege,0546::SB18,,1269,631,2,1,0,0,0,603,31,0,0,0,0,0,0,634,199,70,88,42,41,123,9,17,12,17,3,3,7
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau De Leidse Houtschool,0546::SB19,,2107,1167,2,1,1,0,0,1043,128,0,0,0,0,0,0,1171,382,127,203,64,80,180,13,20,26,57,4,7,4
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau SBO School De Vlieger,0546::SB20,,1675,741,3,3,0,0,0,699,48,0,0,0,0,0,0,747,197,78,77,82,49,128,34,19,19,40,2,6,10
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Vrije school Mareland,0546::SB21,,2286,1044,1,4,0,3,0,949,97,0,0,3,0,0,0,1046,313,102,122,148,69,168,28,31,22,26,2,7,6
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Dienstencentrum Rondedans,0546::SB22,,2052,741,0,1,0,0,0,664,77,0,0,1,0,0,0,741,182,89,51,139,52,65,20,74,18,28,4,11,8
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Verpleeghuis Overrhyn,0546::SB23,,1239,457,3,9,0,0,0,404,65,0,0,0,0,0,0,469,91,113,24,89,18,34,4,31,14,20,1,4,14
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Het Gebouw,0546::SB24,,1394,832,1,10,0,10,0,741,92,0,0,10,0,0,0,833,182,156,53,157,43,65,17,87,16,28,2,9,17
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Dienstencentrum Zijloever,0546::SB26,,1746,498,2,2,0,0,0,463,40,0,1,0,1,0,0,503,81,69,31,101,34,38,18,87,14,16,1,3,5
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Marecollege,0546::SB27,,1375,336,1,0,0,1,0,301,37,0,0,0,1,0,0,338,65,49,31,64,16,21,9,49,7,18,1,0,6
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Buurtcentrum De Kooi,0546::SB28,,1567,537,7,7,0,0,0,509,42,0,0,0,0,0,0,551,102,66,40,117,26,42,16,77,21,13,0,6,11
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Kinderdagverblijf Admiraal de Ruyter,0546::SB29,,1629,667,3,2,0,3,0,600,75,0,0,0,3,0,0,675,142,78,60,123,33,75,26,75,16,31,1,1,6
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Kinderdagverblijf De Batavieren,0546::SB30,,1327,745,3,5,0,1,0,696,58,0,0,0,1,0,0,754,202,73,76,113,88,62,29,48,22,27,2,1,2
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Buurtcentrum Matilo,0546::SB31,,1566,850,6,5,0,1,0,785,78,0,1,0,2,0,0,863,198,93,149,102,107,73,32,39,14,31,0,4,8
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Stedelijk Gymnasium Leiden,0546::SB32,,1500,1106,4,3,0,0,0,1010,105,0,0,0,2,0,0,1115,370,99,117,114,88,162,23,44,33,41,0,13,2
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau RK Basisschool Sint Joseph,0546::SB33,,1379,905,3,1,0,0,0,838,71,0,0,0,0,0,0,909,276,89,87,102,109,131,16,17,22,32,5,11,8
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau O.B.S. Lorentzschool,0546::SB34,,1358,961,3,4,0,5,0,879,94,0,0,0,5,0,0,973,319,109,123,95,79,131,11,19,39,30,0,2,4
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Zorgcentrum Lorentzhof,0546::SB35,,1225,846,0,3,0,0,0,765,84,0,0,0,0,0,0,849,301,100,90,83,79,100,10,14,30,31,0,3,5
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Het Trefpunt,0546::SB36,,1402,779,1,2,5,0,0,708,69,0,0,5,0,0,0,777,219,70,66,108,99,109,13,28,23,42,1,0,1
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau ROC Leiden,0546::SB37,,1284,517,1,0,0,1,0,466,53,0,0,0,1,0,0,519,141,46,56,67,48,55,12,42,15,28,1,1,5
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,"Stembureau Speeltuinvereniging ""Zuiderkwartier""",0546::SB38,,1326,501,3,1,0,0,0,451,54,0,0,0,0,0,0,505,121,54,44,116,34,38,13,32,12,32,2,3,0
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Servicecentrum Herenstraat,0546::SB40,,1632,1121,4,1,0,0,0,1048,79,0,1,0,1,0,0,1127,326,118,92,186,76,176,21,33,31,39,3,12,8
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Woonzorgcentrum Groenhoven,0546::SB41,,1804,995,4,1,0,0,0,931,69,0,0,0,0,0,0,1000,369,130,124,78,70,106,23,16,23,38,3,7,8
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Speeltuinvereniging Westerkwartier,0546::SB42,,1305,661,3,2,0,0,0,593,73,0,0,0,0,0,0,666,150,88,78,67,23,75,16,112,9,28,4,5,6
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau kunstcentrum Haagweg Vier,0546::SB43,,1607,682,3,1,0,4,0,634,48,0,0,4,0,0,0,682,272,55,90,55,30,91,4,28,20,26,1,3,7
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Speeltuinvereniging De Vijf Hoven,0546::SB44,,1794,789,5,9,0,1,0,714,90,0,0,0,1,0,0,804,215,108,61,138,41,51,13,72,23,31,1,3,32
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Stichting Rosenburch,0546::SB45,,1990,1131,4,6,0,0,0,1046,95,0,0,0,0,0,0,1141,321,128,125,125,113,65,37,112,35,50,3,5,12
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Auris College Leiden,0546::SB47,,1442,445,0,5,0,4,0,397,49,0,0,4,0,0,0,446,106,80,21,87,22,22,4,58,14,18,1,4,8
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Verpleeghuis Zuydtwijck,0546::SB48,,1461,942,0,3,0,0,0,852,95,0,0,0,2,0,0,947,231,146,116,109,100,57,19,98,31,25,2,5,3
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Woonzorgcentrum Haagwijk,0546::SB49,,1858,892,4,8,0,0,0,833,71,0,0,0,0,0,0,904,225,118,103,111,93,38,33,80,37,38,2,8,6
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau De Parelvissers,0546::SB50,,1649,727,2,1,0,1,0,672,57,0,0,1,0,0,0,729,148,77,81,113,97,36,24,75,27,38,1,1,9
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Wijkservicecentrum De Lepelaar,0546::SB51,,1523,864,3,3,0,0,0,813,58,0,0,0,1,0,0,871,204,70,96,106,143,43,15,108,28,35,4,3,9
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Buurtcentrum Op Eigen Wieken,0546::SB52,,1964,800,2,13,0,0,0,716,99,0,0,0,0,0,0,815,141,150,56,189,54,46,7,77,22,22,0,9,27
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Openbare basisschool De Meerpaal,0546::SB54,,1504,754,1,1,0,0,0,679,77,0,0,0,0,0,0,756,229,117,91,97,47,81,14,33,20,16,0,1,8
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Sporthal Broekplein,0546::SB55,,1461,1174,5,6,0,4,0,1086,103,0,0,0,4,0,0,1189,357,116,166,117,141,101,18,49,68,24,2,6,9
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau OBS De Dukdalf,0546::SB56,,1286,607,1,4,0,0,0,556,56,0,0,0,0,0,0,612,181,77,83,69,75,58,4,18,12,20,0,5,5
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Katholieke Basisschool De Tweemaster,0546::SB57,,1259,848,1,4,0,2,0,795,60,0,0,0,2,0,0,855,252,95,103,96,114,70,10,40,28,25,1,4,10
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,"Stembureau Kerkelijk Centrum ""De Regenboog""",0546::SB58,,1623,1135,4,4,0,0,0,1011,132,0,0,0,0,0,0,1143,264,171,118,176,149,66,14,95,31,37,3,4,7
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau LTV De Merenwijk,0546::SB59,,1871,849,3,0,0,3,0,776,79,0,0,0,3,0,0,855,256,114,116,104,67,37,13,53,34,28,0,13,14
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Buurtcentrum Stevenshof,0546::SB60,,1685,1055,1,4,0,0,0,965,95,0,0,0,0,0,0,1060,212,161,120,136,94,83,30,129,25,42,1,6,16
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Speeltuinvereniging Stevenshof,0546::SB61,,1688,681,2,6,0,0,0,614,75,0,0,0,0,0,0,689,107,97,59,108,50,40,25,125,11,40,0,7,12
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau OBS De Stevenshof,0546::SB62,,1239,505,1,2,1,0,0,449,60,0,0,0,1,0,0,509,82,75,48,95,56,28,7,74,8,18,3,1,10
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Prot. Chr. basisschool De Zwaluw,0546::SB63,,1527,826,2,0,0,0,0,743,85,0,0,0,0,0,0,828,145,123,71,132,82,63,18,110,23,44,0,1,14
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,"Stembureau Sociëteit ""de Dobbegaarde""",0546::SB64,,1669,838,1,9,0,0,0,771,77,0,0,0,0,0,0,848,170,135,77,104,68,73,20,120,21,33,2,3,12
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau OBS Anne Frank,0546::SB65,,1314,666,3,0,0,0,0,601,68,0,0,0,0,0,0,669,125,99,57,60,51,77,27,115,14,26,5,5,5
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau OBS De Arcade,0546::SB66,,1839,1071,3,0,1,0,0,975,99,0,0,1,0,0,0,1074,336,89,253,73,106,68,20,57,22,36,2,7,2
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau NS Station Leiden Centraal,0546::SB100,,0,2327,16,6,0,0,0,2245,107,1,2,0,3,0,0,2352,848,215,284,210,139,294,40,60,100,98,5,20,14
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Openbare Bibliotheek,0546::SB101,,0,269,1,2,0,1,0,253,20,0,0,0,1,0,0,273,76,27,23,28,12,63,7,6,5,17,1,3,1
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Kinderboerderij Merenwijk,0546::SB103,,0,162,3,0,0,0,0,149,16,0,0,0,0,0,0,165,53,15,12,23,10,25,5,2,2,11,0,1,3
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Meelfabriek,0546::SB104,,0,383,0,1,0,0,0,358,26,0,0,0,0,0,0,384,121,35,30,62,25,57,8,18,9,10,0,8,0
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Academiegebouw,0546::SB105,,0,678,4,1,0,0,0,646,37,0,0,0,0,0,0,683,258,84,76,47,48,91,19,10,15,21,2,5,2
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau mobiel stembureau,0546::SB106,,0,362,1,0,0,0,0,341,22,0,0,0,0,0,0,363,133,36,38,29,27,45,4,16,17,9,4,1,3
