contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,SGP/ChristenUnie,Partij van de Arbeid (P.v.d.A.),GROENLINKS,Democraten 66 (D66),EVB (Echt voor Barendrecht)
,Barendrecht,GR2014_Barendrecht,Gemeenteraad Barendrecht 2014,0489,Barendrecht,2014-03-19,"Stembureau 11 Basisschool ""De Tweemaster""",0489::SB11,2991 JN,1216,843,1,1,0,0,0,758,87,0,0,0,0,0,0,845,120,164,95,56,39,122,247
,Barendrecht,GR2014_Barendrecht,Gemeenteraad Barendrecht 2014,0489,Barendrecht,2014-03-19,"Stembureau 12 Recreatieruimte ""De Boeg""",0489::SB12,2991 DL,1317,769,0,2,0,0,0,695,76,0,0,0,0,0,0,771,67,194,66,57,47,86,252
,Barendrecht,GR2014_Barendrecht,Gemeenteraad Barendrecht 2014,0489,Barendrecht,2014-03-19,"Stembureau 13 Dependance ""De Draaimolen""",0489::SB13,2992 GK,1849,891,6,2,0,0,0,811,88,0,0,0,0,0,0,899,184,166,74,68,23,111,265
,Barendrecht,GR2014_Barendrecht,Gemeenteraad Barendrecht 2014,0489,Barendrecht,2014-03-19,Stembureau 14 Eben Haezerkerk (bibliotheek),0489::SB14,2992 HC,1643,1094,3,4,0,0,0,986,115,0,0,0,0,0,0,1101,175,184,258,43,37,101,296
,Barendrecht,GR2014_Barendrecht,Gemeenteraad Barendrecht 2014,0489,Barendrecht,2014-03-19,"Stembureau 15 R.K. basisschool ""De Trinoom""",0489::SB15,2993 GG,2001,952,0,8,0,0,0,829,131,0,0,0,0,0,0,960,254,136,55,96,40,127,244
,Barendrecht,GR2014_Barendrecht,Gemeenteraad Barendrecht 2014,0489,Barendrecht,2014-03-19,"Stembureau 16 Voorzieningencluster""Waterpoort""",0489::SB16,2993 DL,3141,1515,8,5,0,0,0,1337,191,0,0,0,0,0,0,1528,269,214,114,180,86,212,440
,Barendrecht,GR2014_Barendrecht,Gemeenteraad Barendrecht 2014,0489,Barendrecht,2014-03-19,Stembureau 18 P.C. Basisschool Smitshoek,0489::SB18,2993 XE,1119,647,4,0,0,0,0,570,81,0,0,0,0,0,0,651,167,88,54,56,29,104,149
,Barendrecht,GR2014_Barendrecht,Gemeenteraad Barendrecht 2014,0489,Barendrecht,2014-03-19,"Stembureau 19 Zorgcentrum ""De Elf Ranken""",0489::SB19,2993 DL,3072,1403,10,9,0,0,0,1256,166,0,0,0,0,0,0,1422,329,215,92,112,42,187,426
,Barendrecht,GR2014_Barendrecht,Gemeenteraad Barendrecht 2014,0489,Barendrecht,2014-03-19,"Stembureau 20 openb. basisschool ""De Driehoek""",0489::SB20,2994 AS,833,446,1,3,0,0,0,396,54,0,0,0,0,0,0,450,107,63,53,42,15,75,91
,Barendrecht,GR2014_Barendrecht,Gemeenteraad Barendrecht 2014,0489,Barendrecht,2014-03-19,Stembureau 21 Het Hart van Vrijenburg,0489::SB21,2994 CD,1824,662,8,1,0,0,0,557,114,0,0,0,0,0,0,671,133,100,36,110,34,92,157
,Barendrecht,GR2014_Barendrecht,Gemeenteraad Barendrecht 2014,0489,Barendrecht,2014-03-19,Stembureau 022 Portakabin bij gem. gemaal,0489::SB22,,1831,682,6,1,0,0,0,613,76,0,0,0,0,0,0,689,147,91,45,51,36,91,221
,Barendrecht,GR2014_Barendrecht,Gemeenteraad Barendrecht 2014,0489,Barendrecht,2014-03-19,Stembureau 23 Kantine sporthal Lagewei,0489::SB23,2992 ZC,1808,785,1,2,0,0,0,675,113,0,0,0,0,0,0,788,124,124,132,37,25,103,240
,Barendrecht,GR2014_Barendrecht,Gemeenteraad Barendrecht 2014,0489,Barendrecht,2014-03-19,Stembureau 24 Portakabin bij het NSstation,0489::SB24,,0,543,3,2,0,0,0,501,47,0,0,0,0,0,0,548,95,69,63,34,44,68,170
