contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),Leefbaar Rotterdam,VVD,Democraten 66 (D66),GROENLINKS,CDA,SP (Socialistische Partij),ChristenUnie-SGP,Partij voor de Dieren,Rotterdamse Ouderen Partij (ROP),OPA Rotterdam,Nida Rotterdam,Libertarische Partij (LP),Seniorenpartij Rotterdam,Lijst Van Gerdingen,Rotterdams Turks Belang,Regionaal Lokaal
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Statensingel 103,0599::SB11,3039 LH,1479,844,4,1,0,0,0,777,72,0,0,0,0,0,0,849,89,135,69,255,82,50,112,20,19,3,1,1,2,3,1,1,1
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Bergwegplantsoen 10,0599::SB12,3037 SK,1108,732,3,4,0,0,0,677,62,0,0,0,0,0,0,739,128,171,41,111,41,41,103,17,26,11,7,20,1,5,3,6,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau De Vliegerstraat 55 (links),0599::SB13,3021 ZN,1655,597,3,7,0,1,0,557,51,0,0,0,1,0,0,608,116,71,42,150,75,19,66,11,18,2,2,23,0,1,1,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Achillesstraat 290,0599::SB14,3054 RL,1305,760,2,8,0,0,0,678,73,0,0,19,0,0,0,751,85,302,81,57,22,67,70,10,21,12,6,10,0,14,2,0,1
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Dempostraat 143 (links),0599::SB15,3029 CL,1175,399,2,1,1,0,0,328,75,0,0,0,1,0,0,403,148,65,2,11,20,11,44,2,6,3,4,74,0,2,2,5,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Nicolaas Beetsstraat 2,0599::SB16,3027 AR,1838,893,3,14,0,1,0,731,180,0,0,0,1,0,0,911,268,89,14,51,59,50,97,20,8,2,0,213,0,2,1,19,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Vrijenbansestraat 48,0599::SB17,3037 VZ,938,512,3,10,0,1,0,458,68,0,0,0,1,0,0,526,105,64,19,89,49,29,48,10,16,3,1,70,1,5,0,3,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Snauwstraat 7,0599::SB18,3028 HV,1652,453,5,5,0,0,0,416,47,0,0,0,0,0,0,463,91,98,14,44,23,21,74,26,13,6,0,28,1,10,0,4,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Oostzeedijk 276,0599::SB19,3063 CA,1429,983,3,2,1,0,0,905,84,0,0,0,1,0,0,989,107,222,180,219,53,56,64,13,26,6,3,26,2,5,1,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Hoogstraat 108 (links),0599::SB20,3011 PV,1570,1031,0,4,0,2,0,962,75,0,0,0,2,0,0,1037,110,250,176,255,63,42,75,17,16,12,0,11,1,2,1,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Jacques Dutilthweg 494A (links),0599::SB21,3065 HJ,1454,522,0,0,1,0,0,471,52,0,0,0,1,0,0,523,62,174,73,69,30,27,44,16,12,2,4,5,0,1,0,3,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Schommelstraat 69 (links),0599::SB22,3035 CG,1564,456,1,3,7,0,0,428,39,0,0,0,7,0,0,467,83,63,20,67,43,32,73,12,10,1,5,38,0,6,0,3,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Westerstraat 10,0599::SB23,3016 DH,1006,700,1,1,0,0,0,626,70,0,0,6,0,0,0,696,72,183,137,169,28,42,29,13,13,6,1,6,0,1,0,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Noorderhavenkade 8 (links),0599::SB24,3038 XG,1206,573,5,2,4,0,0,530,46,0,0,4,0,0,0,576,68,110,43,149,67,20,67,23,17,1,1,4,1,2,0,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Meidoornstraat 55 (links),0599::SB25,3036 WC,1312,515,9,10,0,0,0,449,87,0,0,0,0,0,0,536,119,73,11,47,40,40,67,4,14,7,0,75,1,4,0,13,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Pergolesilaan 7,0599::SB26,3055 SK,847,617,3,0,0,0,0,551,66,0,0,3,0,3,0,617,26,178,159,132,33,46,11,6,18,1,0,0,0,7,0,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Josephstraat 10 (links),0599::SB27,3014 TP,1133,537,11,13,2,0,0,475,92,2,2,0,6,0,0,567,130,64,13,66,49,19,87,6,13,8,1,81,0,0,0,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Ruivenstraat 39,0599::SB28,3036 DD,1259,429,3,4,0,1,0,363,74,0,0,0,1,0,0,437,68,69,15,54,34,19,63,8,8,3,1,82,3,0,0,2,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Engelsestraat 40 (links),0599::SB29,3028 CH,1426,454,6,7,0,0,0,419,47,0,0,1,0,0,0,466,96,120,12,35,20,19,70,18,19,10,1,16,2,3,0,12,1
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau 's-Gravenwetering 98,0599::SB30,3062 SJ,1165,719,0,5,0,0,0,633,91,0,0,0,0,0,0,724,43,134,277,158,22,34,22,9,10,4,3,1,0,2,0,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Hooglandstraat 67,0599::SB31,3036 PD,1522,596,4,11,0,0,0,541,73,0,0,0,3,0,0,614,120,63,13,68,35,18,98,14,13,5,1,133,0,3,2,9,1
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Ringvaartweg 125 (links),0599::SB32,3065 AC,1756,883,1,4,0,0,0,774,114,0,0,0,0,0,0,888,109,257,168,163,47,48,39,26,11,7,0,2,0,5,1,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Schouwburgplein 25,0599::SB33,3012 CL,1663,792,3,5,2,0,0,746,56,0,0,0,2,0,0,802,111,175,84,178,67,28,87,9,27,4,6,8,3,4,0,0,1
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Kleine Schoolstraat 9,0599::SB34,3151 AD,1637,709,7,0,0,0,0,639,77,0,0,0,0,0,0,716,49,188,127,32,6,76,47,23,22,12,1,0,0,8,0,0,118
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Jacques Dutilhweg 494A (midden),0599::SB35,3065 HJ,1302,724,4,2,0,0,0,643,87,0,0,0,0,0,0,730,78,270,79,100,26,50,74,19,10,4,3,1,2,8,0,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Boompjes 680,0599::SB36,3011 XZ,1598,812,1,2,0,0,0,737,78,0,0,0,0,0,0,815,101,213,148,193,34,36,52,3,14,6,0,4,1,7,0,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Zevenkampse Ring 40,0599::SB37,3068 PZ,1583,803,4,5,0,0,0,743,69,0,0,0,0,0,0,812,150,279,55,65,26,42,96,30,14,17,3,7,1,12,1,4,1
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Van Speykstraat 107,0599::SB38,3014 VG,1304,571,3,17,0,0,0,515,79,0,3,0,3,0,0,594,196,30,11,45,29,41,101,1,13,5,1,82,0,3,0,13,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Erasmusstraat 26 (links),0599::SB39,3035 LE,1552,635,3,18,0,10,0,566,80,0,0,10,0,0,0,646,107,111,26,93,49,32,104,16,18,3,1,65,0,3,0,6,1
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Rijnwaterstraat 11 (links),0599::SB40,3063 HC,1339,712,1,4,0,0,0,643,74,0,0,0,0,0,0,717,101,201,64,88,41,41,89,20,26,13,2,14,1,10,1,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Ben Websterstraat 9,0599::SB41,3069 XJ,1538,714,2,1,0,0,0,641,76,0,0,0,0,0,0,717,95,290,33,73,24,28,101,22,14,6,1,3,4,12,6,1,1
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Jan Greshoffstraat 5 (links),0599::SB42,3069 WG,1435,530,1,1,0,1,0,487,44,0,0,1,0,0,0,531,96,172,15,33,26,15,87,23,16,15,3,5,0,7,16,1,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Larikslaan 200 (rechts),0599::SB43,3053 LG,1647,1297,7,3,1,0,0,1197,109,0,0,1,0,0,0,1306,130,313,162,272,111,100,103,29,40,14,4,11,2,6,0,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Rodaristraat 31,0599::SB44,3066 LA,1340,653,1,7,1,0,0,602,60,0,0,0,1,0,0,662,100,272,24,35,14,44,63,30,16,18,9,1,4,22,0,1,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Paradijslaan 1 (links),0599::SB45,3034 SL,1113,471,1,4,0,0,0,432,46,0,0,0,2,0,0,478,77,93,33,74,42,7,91,4,5,4,0,38,0,2,0,1,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Apollostraat 311-561,0599::SB46,3054 TC,1319,734,2,1,0,0,0,654,82,0,0,1,0,0,0,736,62,262,113,92,21,61,56,15,14,14,4,1,0,17,1,0,1
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Isaäc Hubertstraat 153 (links),0599::SB47,3034 CS,1566,626,5,17,0,4,0,551,101,0,0,0,4,0,0,652,179,117,14,53,26,19,68,3,7,7,0,119,1,1,0,12,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Schepenstraat 69 (links),0599::SB48,3039 NC,1174,622,4,3,0,0,0,567,62,0,0,0,0,0,0,629,87,105,41,136,73,34,82,24,10,5,1,20,1,2,1,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Boezemsingel 100,0599::SB49,3034 CA,1526,698,7,14,51,0,0,585,83,0,0,51,0,0,0,668,141,219,29,60,30,35,75,16,15,5,5,50,5,12,0,1,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Tattistraat 23,0599::SB50,3066 CE,1535,781,0,1,1,0,0,692,89,0,0,1,0,0,0,781,133,315,37,80,41,44,62,14,11,10,3,6,6,17,1,1,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Nwe Ommoordseweg 97 (links),0599::SB51,3068 BS,1168,507,3,2,0,0,0,455,57,0,0,0,0,0,0,512,51,251,27,46,17,39,30,16,11,6,0,4,1,8,0,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Hamakerstraat 77,0599::SB52,3052 JA,1420,487,3,5,0,0,0,454,42,0,1,0,1,0,0,496,114,117,20,37,22,28,64,14,11,9,3,36,0,9,0,2,1
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Wilgenplaslaan 196 (links),0599::SB53,3052 SL,1109,446,4,6,0,0,0,392,64,0,0,0,0,0,0,456,75,84,33,77,17,32,51,21,18,3,0,32,0,2,0,0,1
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Thomas Mannplaats 150,0599::SB54,3069 NE,1274,832,2,4,0,0,0,785,55,0,0,0,2,0,0,840,112,332,56,73,30,69,62,26,21,21,3,0,1,21,5,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau 's-Gravendijkwal 36,0599::SB55,3014 EC,880,236,0,1,0,0,0,220,16,0,0,1,0,0,0,236,44,32,18,45,23,8,34,4,3,0,1,23,0,1,0,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Hofdijk 651,0599::SB56,3032 CG,1667,809,3,4,0,0,0,744,68,0,0,4,0,0,0,812,123,201,62,144,58,29,115,14,27,4,1,21,1,7,2,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Adriaan Kluitstraat 170,0599::SB57,3052 RJ,1314,514,0,3,0,0,0,472,46,0,0,0,1,0,0,518,80,146,29,57,30,34,76,12,15,6,0,14,0,12,0,2,1
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Goudseweg 17 (rechts),0599::SB58,3031 XH,1604,626,1,2,2,0,0,573,58,0,0,0,2,0,0,631,99,155,50,101,18,29,79,5,13,4,0,65,1,6,0,0,1
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Van Vlooswijkstraat 2A (links),0599::SB59,3039 TP,1533,916,7,6,0,6,0,848,87,0,0,0,6,0,0,935,104,193,87,247,100,27,86,29,21,6,4,3,2,6,1,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Michelangelostraat 98,0599::SB60,3066 NM,1178,534,2,2,0,0,0,505,35,0,0,0,2,0,0,540,59,161,31,48,13,30,47,122,9,3,5,3,0,2,0,1,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Hesseplaats 441 (links),0599::SB61,3069 EA,1305,657,5,5,0,0,0,611,56,0,0,0,0,0,0,667,64,242,33,59,25,57,75,19,18,23,5,5,0,29,0,3,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Paulus Potterstraat 76 (links),0599::SB62,3061 ZW,1150,433,2,5,0,0,0,387,49,0,0,4,0,0,0,436,68,80,49,86,23,15,42,15,16,5,1,28,3,1,0,1,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Valenciadreef 6,0599::SB63,3067 WL,1401,494,2,1,0,0,0,446,53,0,0,0,2,0,0,499,100,169,18,36,17,23,69,24,13,3,4,10,0,6,0,2,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Merkelbachstraat 2 (links),0599::SB64,3067 AL,1524,562,1,0,0,0,0,511,52,0,0,0,0,0,0,563,124,185,20,30,19,42,60,25,12,10,2,7,0,23,2,1,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Cordell Hullplaats 22,0599::SB65,3068 VH,887,435,2,3,0,0,0,411,29,0,0,0,0,0,0,440,55,190,18,29,11,24,54,17,9,8,4,1,0,15,0,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Slaak 15 (links),0599::SB66,3061 CR,1273,528,3,11,0,0,0,486,56,0,0,0,0,0,0,542,109,103,51,84,27,22,71,10,15,3,1,24,0,3,1,3,1
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Vaasahof 75,0599::SB67,3067 DX,1475,703,2,4,0,2,0,642,69,0,0,0,2,0,0,711,84,302,38,60,30,29,82,29,17,10,5,5,3,7,1,0,1
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Jaffahof 75 (links),0599::SB68,3061 KZ,1515,664,4,11,1,7,0,601,87,0,1,0,9,0,0,688,132,111,82,94,37,32,73,12,19,4,0,59,1,2,0,5,1
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Van Bassenstraat 19 (links),0599::SB69,3067 XC,1366,616,3,1,0,0,0,574,50,0,0,0,4,0,0,624,68,212,44,78,35,43,57,36,16,3,7,7,3,4,0,3,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Jaffahof 75 (rechts),0599::SB70,3061 KZ,1491,750,2,8,0,1,0,668,93,0,0,0,1,0,0,761,139,130,73,126,53,32,84,12,26,6,0,60,2,5,0,2,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Josephstraat 10 (rechts),0599::SB71,3014 TP,1288,268,2,4,2,2,0,240,30,0,0,4,0,0,0,270,60,24,5,45,25,6,44,7,6,4,0,39,1,2,0,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Willem Ruyslaan 17 (links),0599::SB72,3061 TT,1300,646,3,3,0,0,0,581,73,0,0,0,652,0,0,654,93,133,88,141,37,35,64,11,9,5,1,23,2,3,0,0,1
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Schimmelpenninckstraat 31,0599::SB73,3039 KS,1703,1048,1,6,2,0,0,959,98,0,0,0,2,0,0,1057,116,189,107,250,123,61,107,36,30,10,7,6,1,5,0,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Weteringstraat 225,0599::SB74,3061 PN,1276,635,1,7,0,0,0,569,74,0,0,0,0,0,0,643,119,118,38,92,28,36,91,15,20,6,0,59,0,10,2,0,1
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Pieter de Hoochstraat 52,0599::SB75,3024 CS,1202,489,6,2,0,0,0,461,36,0,0,0,0,0,0,497,89,84,29,127,39,17,50,13,15,3,0,15,4,1,1,2,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Westzeedijk 5,0599::SB76,3015 AA,1785,595,2,2,0,1,0,559,41,0,0,0,1,0,0,600,68,118,113,183,34,19,33,9,5,1,3,1,3,5,0,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Sionstraat 42 (zijingang),0599::SB77,3061 ES,1086,481,0,3,0,0,0,447,36,0,0,1,0,0,0,483,69,76,57,97,29,31,64,17,8,6,0,15,1,6,1,4,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Oranjestraat 6 (links),0599::SB78,3043 TN,1395,537,2,3,0,0,0,484,58,0,0,0,0,0,0,542,42,219,38,48,29,51,54,17,15,12,1,2,1,7,0,1,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Sint-Jobskade 14,0599::SB79,3024 EN,1836,1041,3,1,3,0,0,964,84,0,0,0,3,0,0,1048,161,214,119,306,73,33,76,18,20,8,0,3,4,5,0,1,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Hilleniussingel 23,0599::SB80,3054 EX,703,508,0,2,6,0,0,439,77,0,0,0,6,0,0,516,45,110,122,135,17,27,18,12,14,4,0,1,0,3,0,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Vredehofweg 13,0599::SB81,3062 EK,1692,959,3,4,1,0,0,860,105,0,0,1,0,0,0,965,83,157,272,273,55,48,28,20,13,0,2,3,2,2,1,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Overschiese Kleiweg 555,0599::SB82,3045 LJ,1070,472,1,0,0,0,0,411,59,0,0,3,0,3,0,470,45,119,89,78,45,31,32,14,9,4,1,2,0,3,0,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Waterloostraat 164,0599::SB83,3062 TX,1710,858,0,14,4,2,0,769,97,0,0,6,0,0,0,866,90,135,226,239,48,34,36,10,23,3,0,9,3,2,0,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Catharina Beersmansstraat 78,0599::SB84,3025 EJ,1654,672,6,9,0,0,0,573,114,0,0,0,0,0,0,687,247,76,10,45,36,38,76,11,11,7,0,105,0,4,0,6,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Oostzeedijk Beneden 5,0599::SB85,3062 VJ,1694,946,3,0,0,7,0,874,82,0,0,0,7,0,0,956,78,272,191,230,39,31,43,20,17,16,0,1,1,7,0,0,0
