contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),GROENLINKS,VVD,SP (Socialistische Partij),CDA,Ouderen Partij Haarlem,TROTS,Actiepartij,ChristenUnie,Sociaal Lokaal,OPA,Haarlem Plus,partij voor de jeugd
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Basisschool de Zuiderpolder,0392::SB18,2033 TM,1547,462,0,2,0,3,0,398,63,0,0,3,0,0,0,461,52,63,42,31,65,78,44,25,11,11,18,2,9,11
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Reinaldahuis,0392::SB19,2033 TA,1215,775,8,3,1,0,0,705,80,0,0,1,0,0,0,785,54,121,56,54,87,126,152,23,26,10,24,17,23,2
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Basisschool de Zuiderpolder,0392::SB20,2033 CE,1498,825,1,5,0,1,0,735,97,0,0,0,1,0,0,832,134,145,104,52,98,67,67,28,37,20,30,4,19,20
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Buurthuis De Zuidparker,0392::SB21,2033 ZD,1165,396,0,3,0,0,0,367,32,0,0,0,0,0,0,399,42,66,34,56,29,36,22,10,48,21,12,6,13,1
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Blauwe Wetering,0392::SB22,2033 PZ,1198,413,1,4,0,0,0,367,51,0,0,0,0,0,0,418,50,52,48,31,72,31,41,13,33,9,10,8,9,6
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Speeltuinvereniging Kindervreugd,0392::SB23,2033 NH,1589,547,1,3,0,0,0,494,57,0,0,0,0,0,0,551,74,62,61,51,95,42,57,20,30,15,14,7,9,10
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau De Hamelink,0392::SB24,2033 LG,1362,542,0,8,0,0,0,515,35,0,0,0,0,0,0,550,44,96,39,25,106,40,76,16,60,8,12,4,15,1
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Wijkcentrum De Brug,0392::SB25,2031 VG,1165,447,2,2,0,0,0,392,59,0,0,0,0,0,0,451,103,61,28,114,25,33,16,16,22,8,5,8,0,8
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau ECL,0392::SB26,2012 KN,1744,1092,5,3,0,0,0,994,106,0,0,0,0,0,0,1100,332,183,112,200,48,93,17,9,35,10,10,10,12,21
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Lyceum Sancta Maria,0392::SB27,2012 MN,1751,797,2,3,0,0,0,713,89,0,0,0,0,0,0,802,277,109,67,203,25,45,15,2,16,11,4,4,6,13
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau RIBW-KAM Vitae Vesper,0392::SB28,2012 JN,673,569,2,0,0,0,0,509,62,0,0,0,0,0,0,571,167,57,44,129,34,53,22,4,26,14,3,2,7,7
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Verpleeghuis Zuiderhout,0392::SB29,2012 PK,1349,985,1,1,0,2,0,867,122,0,0,0,2,0,0,989,355,80,54,303,32,88,15,4,18,11,4,5,7,9
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Spaar en Hout,0392::SB30,2012 CG,1490,808,2,2,0,0,0,733,79,0,0,0,0,0,0,812,244,105,63,192,18,67,9,6,42,22,3,9,20,8
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Woon- en Zorgcentrum De Roos,0392::SB31,2012 XJ,1612,771,1,1,0,1,0,685,89,0,0,0,1,0,0,774,187,115,133,80,86,34,27,10,50,14,4,16,8,7
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Buurtcentrum de Tulp,0392::SB32,2012 XZ,1209,503,2,1,0,0,0,462,44,0,0,0,0,0,0,506,88,75,63,37,64,28,49,14,43,11,6,3,8,14
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Het Dolhuys,0392::SB33,2021 GE,2044,1198,4,2,0,0,0,1099,106,0,1,0,1,0,0,1205,330,168,159,149,94,94,58,13,79,15,2,1,22,14
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Willem van Oranjeschool,0392::SB34,2021 CG,1041,508,1,2,0,0,0,467,44,0,0,0,0,0,0,511,72,62,35,33,56,64,37,19,31,42,8,2,37,10
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Buurtcentrum de Fjord,0392::SB35,2021 BN,2320,897,3,7,0,0,0,827,80,0,0,0,0,0,0,907,164,135,89,81,113,61,56,43,68,20,12,13,28,14
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Speeltuinvereniging Elba,0392::SB36,2021 AD,2248,904,3,5,0,0,0,829,83,0,0,0,0,0,0,912,154,138,116,92,117,71,39,50,45,16,12,15,17,22
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Basisschool de Cirkel,0392::SB37,2022 BL,1455,819,5,2,0,0,0,760,67,0,1,0,1,0,0,827,168,93,104,113,105,72,47,16,40,14,6,5,17,19
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Speeltuin Zaanenoord,0392::SB38,2022 CH,991,565,1,1,0,0,0,511,56,0,0,0,0,0,0,567,108,89,87,57,51,64,16,26,27,10,4,2,17,7
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Wijkgebouw Indischebuurt Noord,0392::SB39,2022 VV,2024,893,4,2,0,6,0,826,79,0,0,0,6,0,0,905,128,137,111,60,123,77,77,25,48,16,18,9,44,20
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau De Horizon,0392::SB40,2022 DM,2182,818,3,5,0,1,0,736,91,0,0,0,1,0,0,827,98,115,85,75,107,68,64,50,43,32,19,14,26,22
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Nova College,0392::SB41,2023 XM,2219,1270,2,1,0,0,0,1151,122,0,0,0,0,0,0,1273,346,225,142,180,96,121,19,23,51,18,3,6,17,23
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Basisschool Ter Cleeff (Gymzaal),0392::SB42,2023 DN,1895,1329,1,3,0,2,0,1225,110,0,0,0,2,0,0,1335,336,232,149,151,108,142,25,12,66,32,7,2,43,24
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Haarlemse Korfbal Club,0392::SB43,2023 KW,1622,780,3,2,0,0,0,714,71,0,0,0,0,0,0,785,224,128,117,88,56,64,29,6,23,9,6,4,21,5
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Hervormd Jeugdhuis de Schakel,0392::SB44,2023 VN,1281,899,0,4,0,4,0,821,86,0,0,0,4,0,0,907,180,148,114,132,94,92,22,12,41,13,12,4,18,17
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Gemeente van Christus,0392::SB45,2023 SC,1656,963,0,1,0,3,0,859,108,0,0,0,3,0,0,967,211,116,121,118,104,106,65,26,31,23,18,3,15,6
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Backstop,0392::SB46,2024 BW,813,565,0,0,0,0,0,496,69,0,0,0,0,0,0,565,145,57,48,115,29,96,15,7,20,15,7,2,8,1
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Posthuis Zaanenpark,0392::SB47,2024 TL,1963,1262,2,2,0,5,0,1156,115,0,0,0,5,0,0,1271,319,152,154,161,99,131,56,19,53,42,16,12,33,15
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Zorgcentrum Nieuw Delftweide,0392::SB48,2024 JH,983,424,3,2,0,0,0,408,21,0,0,0,0,0,0,429,47,65,35,49,55,67,41,13,13,17,5,6,7,4
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau S.H.D.H. locatie Schoterhof,0392::SB49,2024 HT,1005,674,4,3,0,0,0,642,39,0,0,0,0,0,0,681,98,91,35,69,78,97,75,19,24,34,10,6,27,11
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Clubgebouw Watervrienden (planeet),0392::SB50,2024 EZ,2066,1384,7,3,0,7,0,1247,154,0,0,0,7,0,0,1401,337,185,179,184,130,148,46,31,30,50,11,4,37,12
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Speeltuin D.V.S.,0392::SB51,2025 BP,1687,1151,2,2,1,0,0,1045,109,0,0,1,0,0,0,1154,188,144,224,101,139,141,44,21,46,50,13,6,24,10
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Rode Kruis Haarlem,0392::SB52,2025 TK,2035,1034,2,5,0,1,0,956,86,0,0,0,1,0,0,1042,153,125,146,91,150,90,56,32,68,64,12,13,23,11
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau de Dolfijn (gymzaal),0392::SB53,2023 JC,1956,847,4,3,0,0,0,777,77,0,0,0,0,0,0,854,105,129,64,91,112,111,75,34,37,31,9,10,30,9
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Johan Limpershof,0392::SB54,2025 EL,2143,851,2,4,0,1,0,785,73,0,0,0,1,0,0,858,107,107,46,72,133,95,131,26,29,35,13,18,34,5
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau St. Wijkgebouw Hof van Eden,0392::SB55,2026 AW,1972,951,1,3,0,0,0,866,89,0,0,0,0,0,0,955,109,138,140,79,173,83,63,26,51,31,14,5,22,17
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau RK Basisschool Sint Bavo,0392::SB56,2026 SJ,2083,1147,5,1,0,0,0,1040,113,0,0,0,0,0,0,1153,164,179,156,119,118,133,92,23,48,48,20,9,19,19
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Dienstgebouw Oude Kerk,0392::SB57,2063 JR,496,304,1,0,0,0,0,274,31,0,0,0,0,0,0,305,43,40,54,54,29,24,30,8,11,2,4,1,0,4
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Brandweerkazerne,0392::SB58,2015 CK,1402,952,4,2,0,2,0,884,76,0,0,0,2,0,0,960,281,146,85,172,71,77,13,10,43,26,3,5,12,8
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau De Blinkert,0392::SB59,2015 ED,2029,1366,2,3,0,0,0,1245,126,0,0,0,0,0,0,1371,395,173,175,197,94,123,45,11,82,18,7,8,30,8
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Professor van Gilseschool,0392::SB60,2015 KN,740,528,0,0,0,0,0,463,65,0,0,0,0,0,0,528,129,63,41,148,23,73,15,2,13,7,0,4,9,1
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Mgr. Huibersschool,0392::SB61,2034 BC,2124,1017,5,1,3,0,0,926,100,0,0,0,3,0,0,1026,125,135,141,72,156,90,79,27,73,38,42,12,13,14
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Rozemarijn KDC,0392::SB62,2034 CB,2136,935,4,5,0,2,0,818,128,0,0,0,2,0,0,946,123,133,95,79,111,128,138,17,29,17,37,10,10,8
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Wijkcentrum Europawijk,0392::SB63,2034 SB,1705,821,2,5,0,0,0,741,87,0,0,0,0,0,0,828,94,116,49,38,131,108,153,10,35,23,34,8,16,6
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Hildebrandschool,0392::SB64,2034 EM,2047,941,2,4,0,0,0,857,90,0,0,0,0,0,0,947,116,148,71,102,133,104,96,24,42,21,39,14,20,11
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Verpleeghuis Boerhaave,0392::SB65,2035 RJ,1573,608,5,3,0,0,0,542,74,0,0,0,0,0,0,616,70,82,89,48,89,68,45,25,18,31,22,3,10,8
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Wijkcentrum de Ringvaart,0392::SB66,2035 VD,1744,787,3,6,0,0,0,672,124,0,0,0,0,0,0,796,69,114,87,52,92,106,112,17,24,24,57,7,19,7
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Zorgcentrum Schalkweide,0392::SB67,2035 VB,1674,814,5,3,0,1,0,711,112,0,0,0,1,0,0,823,71,100,71,54,152,123,97,16,26,26,38,7,20,13
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Rozemarijn werkplaatscentrum,0392::SB68,2037 EA,1902,673,3,5,0,11,0,572,98,0,0,11,0,0,0,670,57,104,77,51,91,103,80,7,28,21,31,10,10,3
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Wijkcentrum Meerwijkcentrum,0392::SB69,2037 RR,2208,1235,6,10,0,0,0,1088,163,0,0,0,0,0,0,1251,138,168,122,68,169,214,142,30,32,36,70,13,24,9
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Basisschool de Meer,0392::SB70,2037 LA,2051,530,6,3,0,0,0,471,68,0,0,0,0,0,0,539,42,99,83,24,66,79,58,8,21,13,19,4,10,4
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Verenigingsgebouw,0392::SB71,2036 NE,1546,920,3,3,0,0,0,843,83,0,0,0,0,0,0,926,151,148,65,132,106,87,73,43,33,19,22,10,18,13
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau De Molenburg,0392::SB72,2036 EN,1302,946,6,7,4,0,0,855,108,0,0,0,4,0,0,963,189,129,58,131,90,154,68,21,25,28,13,10,17,13
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Stadsbibliotheek Schalkwijk,0392::SB73,2036 AM,1626,465,1,0,0,0,0,427,39,0,0,0,0,0,0,466,59,88,35,29,63,55,56,19,13,17,14,3,6,8
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Basischool De Wadden,0392::SB74,2026 NK,1673,697,1,5,0,0,0,623,80,0,0,0,0,0,0,703,89,101,47,80,113,84,79,13,25,20,16,10,10,10
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Bibliotheek op het station,0392::SB75,2011 LR,1,1583,5,6,0,3,0,1518,79,0,0,0,3,0,0,1597,463,263,273,198,100,57,16,13,95,36,10,2,20,37
