contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid (P.v.d.A.),FNP,VVD,GROENLINKS,GemeenteBelangen Súdwest Fryslân (GB),Democraten 66 (D66),ChristenUnie,TOTAAL LOKAAL (T.T.L),SP (Socialistische Partij),Partij voor de bijstand
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Brede School Duinterpen I  sporthal,1900::SB11,8607 GM,1470,886,4,0,0,0,0,820,70,0,0,0,0,0,0,890,117,169,49,152,41,45,119,61,63,65,5
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau De Schuttersheuvel,1900::SB12,8602 TM,1049,434,2,2,0,0,0,395,43,0,0,0,0,0,0,438,47,111,47,26,19,6,27,20,25,103,3
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Ontmoetingsruimte De Spil,1900::SB13,8608 WD,1705,867,1,2,0,0,0,819,51,0,0,0,0,0,0,870,114,202,67,33,48,49,95,66,53,134,6
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau De Keats,1900::SB14,8608 CL,1687,535,4,6,0,0,0,503,42,0,0,0,0,0,0,545,71,148,52,18,16,22,25,25,45,102,11
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau t Convenant (vm Conventschool),1900::SB15,8602 XW,927,437,2,3,0,0,0,413,29,0,0,0,0,0,0,442,74,87,53,13,25,13,48,20,29,68,7
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Johannes Postschool,1900::SB16,8602 BK,1728,846,3,2,0,0,0,778,73,0,0,0,0,0,0,851,139,169,59,99,37,33,82,54,40,127,7
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Brede School Duinterpen II sporthal,1900::SB17,8607 GM,1846,845,0,1,0,0,0,760,86,0,0,0,0,0,0,846,118,156,46,128,40,67,101,57,61,70,1
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Wurkwinkel Noorderbrug (zij-ingang),1900::SB18,8604 CA,1537,963,1,1,0,0,0,883,82,0,0,0,0,0,0,965,175,175,73,160,37,36,121,45,56,82,3
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau HR de Daaldersplaats (zij-ingang),1900::SB19,8601 GG,584,494,0,3,0,0,0,469,28,0,0,0,0,0,0,497,91,88,50,68,34,25,70,21,10,32,5
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau De Zwetser,1900::SB20,8603 BP,1514,994,2,3,0,0,0,912,87,0,0,0,0,0,0,999,185,247,84,87,40,35,128,59,51,75,3
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau It Roefke,1900::SB21,8605 AV,1162,619,3,2,0,0,0,585,39,0,0,0,0,0,0,624,139,125,57,40,17,45,49,40,35,65,7
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Gemeentehuis,1900::SB22,8651 AC,1143,684,1,2,0,0,0,624,63,0,0,0,0,0,0,687,155,60,111,39,19,102,42,56,24,71,5
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,"Stembureau ""Het Wapen van IJlst""",1900::SB23,8651 EB,1279,840,0,1,0,1,0,780,60,0,0,1,0,0,0,840,186,130,103,58,36,134,103,33,33,22,2
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau m.f.c. De Driuwpolle,1900::SB24,8551 NW,1266,736,0,2,0,0,0,659,79,0,0,0,0,0,0,738,194,43,92,79,39,130,42,42,31,44,0
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Woonzorgcentrum Talma State,1900::SB25,8621 CX,1728,1048,1,0,0,0,0,941,108,0,0,0,0,0,0,1049,325,82,204,94,32,126,61,46,19,57,2
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau m.f.c. De Mande,1900::SB26,8771 RS,828,521,2,1,0,0,0,480,44,0,0,0,0,0,0,524,139,30,122,40,14,48,42,22,27,35,2
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau m.f.c. It Joo,1900::SB27,8614 AE,556,378,1,0,0,0,0,344,35,0,0,0,0,0,0,379,99,16,120,9,10,74,15,13,5,17,0
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Dorpshuis Scharnegoutum,1900::SB28,8629 RV,1393,811,1,0,0,0,0,742,70,0,0,0,0,0,0,812,215,81,147,59,23,66,65,60,26,67,2
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau m.f.c. It Harspit,1900::SB29,8625 HE,1192,780,3,0,0,0,0,716,67,0,0,0,0,0,0,783,207,38,205,88,33,50,55,34,30,39,1
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Dorpshuis Oan it Far,1900::SB30,8622 XV,699,409,1,0,0,0,0,367,43,0,0,0,0,0,0,410,122,20,99,35,5,36,18,14,23,36,1
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Woonzorgcentrum Teatskehûs,1900::SB31,8615 LM,596,411,0,0,0,0,0,357,54,0,0,0,0,0,0,411,109,22,196,17,5,11,7,6,14,24,0
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Dorpshuis It Himsterhûs,1900::SB32,8618 NK,789,420,0,0,0,0,0,381,39,0,0,0,0,0,0,420,111,22,110,18,14,64,19,25,11,26,0
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Dorpshuis Ús Doarpshûs,1900::SB33,8611 JP,229,165,0,0,0,0,0,150,15,0,0,0,0,0,0,165,48,9,48,9,3,17,15,4,0,11,1
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Dorpshuis De Kosterij,1900::SB34,8628 EP,459,320,0,1,0,0,0,279,42,0,0,0,0,0,0,321,83,21,90,32,4,9,22,18,17,23,1
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Woonzorgcentrum Aylva State,1900::SB35,8748 CC,1365,809,2,1,0,0,0,736,76,0,0,0,0,0,0,812,254,144,110,72,23,29,47,24,45,56,5
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Dorpshuis De Nije Bân,1900::SB36,8749 GV,459,276,3,0,0,0,0,260,19,0,0,0,0,0,0,279,39,33,29,32,39,30,20,5,19,27,3
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau t Lokaal,1900::SB37,8822 VD,825,452,0,2,0,0,0,420,34,0,0,0,0,0,0,454,98,110,58,38,12,20,24,28,28,36,0
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau De Bolle en de Hynst,1900::SB38,8821 LD,480,271,2,1,0,0,0,246,28,0,0,0,0,0,0,274,25,58,34,31,15,24,16,3,34,31,0
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau It Anker,1900::SB39,8754 CX,1339,928,2,0,0,0,0,840,91,0,1,0,1,0,0,931,228,112,171,84,26,40,74,28,83,77,5
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Woonzorgcentrum Avondrust,1900::SB40,8754 EB,1593,764,2,4,0,0,0,698,72,0,0,0,0,0,0,770,224,83,138,44,15,33,54,44,71,57,1
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Dorpshuis It Doniahûs,1900::SB41,8742 KR,417,238,1,1,0,0,0,222,18,0,0,0,0,0,0,240,56,24,72,19,13,9,3,4,27,11,0
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Dorpshuis De Fûke,1900::SB42,8757 JW,382,222,1,0,0,0,0,196,27,0,0,0,0,0,0,223,114,10,27,24,9,6,7,5,13,7,0
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Dorpshuis It Waltahûs,1900::SB43,8765 LJ,404,263,0,0,0,0,0,237,26,0,0,0,0,0,0,263,81,21,72,17,8,5,14,14,16,15,0
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Dorpshuis It Honk,1900::SB44,8759 LE,409,285,0,1,0,0,0,270,16,0,0,0,0,0,0,286,115,26,43,16,13,8,8,20,18,18,0
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Johannes de Doperkerk,1900::SB45,8763 MK,424,266,0,1,0,0,0,243,24,0,0,0,0,0,0,267,108,10,58,19,10,12,9,11,11,18,0
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Dorpshuis De Nije Haven,1900::SB46,8823 SP,266,159,0,0,0,0,0,143,16,0,0,0,0,0,0,159,74,8,31,16,0,5,7,9,2,7,0
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Dorpshuis De Utwyk,1900::SB47,8746 NH,603,357,2,1,0,0,0,318,42,0,0,0,0,0,0,360,144,29,58,19,7,6,21,19,29,24,1
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Dorpshuis It String,1900::SB48,8751 TH,180,105,0,0,0,0,0,94,11,0,0,0,0,0,0,105,16,23,5,3,6,4,17,4,20,7,0
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Cultureel Centrum De Klameare,1900::SB49,8711 CN,1897,1136,5,2,0,0,0,1040,103,0,0,0,0,0,0,1143,337,92,167,107,59,31,61,50,171,58,3
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Woonzorgcentrum Nij Mariënacker,1900::SB50,8711 CB,1567,1094,4,2,0,0,0,1020,80,0,0,0,0,0,0,1100,367,86,136,94,37,23,42,71,156,80,2
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Dorpshuis It Swaeigat,1900::SB51,8724 LH,253,178,0,0,0,0,0,153,25,0,0,0,0,0,0,178,93,6,35,9,2,1,5,10,13,3,1
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Gemeenschapscentrum De Foeke,1900::SB52,8713 JN,697,417,1,0,0,0,0,382,36,0,0,0,0,0,0,418,58,149,42,45,3,9,21,22,40,28,0
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Dorpscultuurhuis De Spylder,1900::SB53,8715 EM,627,419,1,4,0,0,0,373,51,0,0,0,0,0,0,424,63,23,131,33,14,9,64,9,42,30,1
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Woonzorgcentrum Finke,1900::SB54,8723 CC,1210,786,1,0,0,0,0,720,67,0,0,0,0,0,0,787,242,60,153,54,28,63,30,51,61,42,2
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau De Doarpskeamer,1900::SB55,8722 HR,262,160,0,2,0,0,0,149,13,0,0,0,0,0,0,162,44,13,39,15,6,9,6,13,8,7,0
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Multifunctioneel Centrum De Kaap,1900::SB56,8715 JC,750,440,2,0,0,0,0,411,31,0,0,0,0,0,0,442,100,33,78,73,17,19,23,28,27,39,3
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,"Stembureau Dorpshuis ""de Begine""",1900::SB57,8584 VC,442,273,0,0,0,0,0,242,31,0,0,0,0,0,0,273,50,12,71,15,14,8,24,17,35,26,1
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Dorpshuis De Klink,1900::SB58,8723 CW,958,528,0,2,0,0,0,480,50,0,0,0,0,0,0,530,131,33,144,27,21,43,10,28,41,50,0
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Doopsgezinde Kerk,1900::SB59,8701 KM,1285,693,2,2,0,0,0,648,49,0,0,0,0,0,0,697,157,109,56,78,50,55,40,25,66,49,8
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Verzorgingshuis Huylckenstein,1900::SB60,8701 LT,1417,913,0,5,0,0,0,849,69,0,0,0,0,0,0,918,249,145,76,53,40,73,44,47,77,102,7
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau CBS De Bron,1900::SB61,8701 LV,1406,764,0,0,0,0,0,695,69,0,0,0,0,0,0,764,220,104,56,76,42,75,49,34,85,21,2
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Appartementencomplex 't Heechhout,1900::SB62,8701 CP,1381,700,2,3,0,0,0,664,41,0,0,0,0,0,0,705,210,96,77,31,28,58,18,19,71,83,9
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Verpleeghuis Bloemkamp,1900::SB63,8701 AK,1487,756,0,1,0,0,0,688,69,0,0,0,0,0,0,757,210,127,71,44,42,57,42,47,48,67,1
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Centrum Gasthuiskerk,1900::SB64,8701 BL,947,491,2,5,0,0,0,450,48,0,0,0,0,0,0,498,105,69,49,26,54,36,22,31,46,51,2
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Doarpshûs Raerd,1900::SB65,9012 DH,714,462,1,0,0,0,0,428,35,0,0,0,0,0,0,463,74,104,90,40,24,37,38,4,14,37,0
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,"Stembureau OBS ""De Lege Geaën"" (Skoalle)",1900::SB66,8647 SM,539,321,0,0,0,0,0,291,30,0,0,0,0,0,0,321,84,46,106,24,9,7,16,4,7,16,2
