contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,GBLV/Gemeentebelangen,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),GROENLINKS,ChristenUnie-SGP
,Leidschendam-Voorburg,GR2014_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2014,1916,Leidschendam-Voorburg,2014-03-19,Stembureau Mondriaan,1916::SB11,2274 XL,1667,983,4,3,0,0,0,881,107,0,0,2,0,0,0,988,225,111,206,223,105,87,26
,Leidschendam-Voorburg,GR2014_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2014,1916,Leidschendam-Voorburg,2014-03-19,Stembureau Corbulocollege,1916::SB12,2273 CB,2147,1008,2,3,0,0,0,914,99,0,0,0,0,0,0,1013,248,123,201,218,106,78,34
,Leidschendam-Voorburg,GR2014_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2014,1916,Leidschendam-Voorburg,2014-03-19,Stembureau Koningkerk,1916::SB13,2273 KR,1996,1205,6,9,0,7,0,1138,89,0,0,0,7,0,0,1227,231,135,246,266,143,138,46
,Leidschendam-Voorburg,GR2014_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2014,1916,Leidschendam-Voorburg,2014-03-19,Stembureau Wijkcentrum de Groene Loper,1916::SB14,2273 VD,2525,996,3,6,0,0,0,888,119,0,0,0,2,0,0,1007,204,115,232,167,84,140,54
,Leidschendam-Voorburg,GR2014_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2014,1916,Leidschendam-Voorburg,2014-03-19,Stembureau Basisschool Dijsselbloem,1916::SB15,2273 CS,2321,1078,3,14,0,0,0,1018,74,0,0,3,0,0,0,1092,196,160,254,160,136,115,57
,Leidschendam-Voorburg,GR2014_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2014,1916,Leidschendam-Voorburg,2014-03-19,Stembureau Sporthal Essesteijn,1916::SB16,2272 CB,1482,943,0,6,0,0,0,847,102,0,0,0,0,0,0,949,245,139,130,214,104,78,33
,Leidschendam-Voorburg,GR2014_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2014,1916,Leidschendam-Voorburg,2014-03-19,Stembureau Sporthal Essesteijn,1916::SB17,2272 CB,1640,935,5,3,0,0,0,850,93,0,0,0,0,0,0,943,243,117,186,217,87,62,23
,Leidschendam-Voorburg,GR2014_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2014,1916,Leidschendam-Voorburg,2014-03-19,"Stembureau Verzorgingscentrum ""De Mantel""",1916::SB18,2272 BV,1499,961,4,5,0,0,0,917,51,0,0,2,0,0,0,968,200,201,188,175,87,48,62
,Leidschendam-Voorburg,GR2014_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2014,1916,Leidschendam-Voorburg,2014-03-19,Stembureau Stadskantoor,1916::SB19,2264 BM,1541,1262,3,2,0,0,0,1136,131,0,0,0,0,0,0,1267,341,161,360,216,77,74,33
,Leidschendam-Voorburg,GR2014_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2014,1916,Leidschendam-Voorburg,2014-03-19,Stembureau Stadskantoor,1916::SB20,2264 BM,1775,868,2,3,0,0,0,787,86,0,0,0,0,0,0,873,184,112,229,179,72,77,15
,Leidschendam-Voorburg,GR2014_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2014,1916,Leidschendam-Voorburg,2014-03-19,Stembureau Wijkgebouw De Blauwe Tram,1916::SB21,2265 CA,1710,901,0,3,0,0,0,814,90,0,0,0,0,0,0,904,223,111,254,171,67,57,18
,Leidschendam-Voorburg,GR2014_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2014,1916,Leidschendam-Voorburg,2014-03-19,Stembureau Wijkgebouw Het Koophuys,1916::SB22,2266 KN,910,459,5,0,0,0,0,420,45,0,5,0,1,0,0,465,104,46,173,58,32,33,13
,Leidschendam-Voorburg,GR2014_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2014,1916,Leidschendam-Voorburg,2014-03-19,Stembureau Verzorgingshuis Schoorwijck,1916::SB23,2265 WZ,1638,964,1,1,0,0,0,886,80,0,0,0,0,0,0,966,208,151,313,117,91,64,20
,Leidschendam-Voorburg,GR2014_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2014,1916,Leidschendam-Voorburg,2014-03-19,Stembureau Wijkgebouw Ons Tolhuis,1916::SB24,2266 CN,2268,1108,1,4,0,0,0,981,132,0,0,0,0,0,0,1113,140,179,433,135,99,81,41
,Leidschendam-Voorburg,GR2014_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2014,1916,Leidschendam-Voorburg,2014-03-19,Stembureau Wijkcentrum de Poort,1916::SB25,2261 HD,1497,903,2,2,0,0,0,856,50,0,0,1,0,0,0,906,160,150,306,125,77,50,35
,Leidschendam-Voorburg,GR2014_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2014,1916,Leidschendam-Voorburg,2014-03-19,Stembureau Dorpshuis Stompwijk,1916::SB26,2266 EW,1821,899,7,18,0,0,0,797,127,0,0,0,0,0,0,924,120,254,327,72,24,71,31
,Leidschendam-Voorburg,GR2014_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2014,1916,Leidschendam-Voorburg,2014-03-19,Stembureau Wijkcentrum De Plint,1916::SB27,2263 GZ,1941,901,2,3,0,0,0,838,69,0,0,0,1,0,0,907,91,115,278,113,210,58,36
,Leidschendam-Voorburg,GR2014_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2014,1916,Leidschendam-Voorburg,2014-03-19,Stembureau Wijkgebouw De Heuvel,1916::SB28,2262 EB,1916,923,4,4,0,0,0,846,84,0,0,1,0,0,0,930,169,134,289,125,95,79,32
,Leidschendam-Voorburg,GR2014_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2014,1916,Leidschendam-Voorburg,2014-03-19,Stembureau Gymnastieklokaal,1916::SB29,2264 KW,2211,1181,3,3,0,0,0,1056,128,0,0,3,0,0,0,1184,227,131,379,182,145,77,40
,Leidschendam-Voorburg,GR2014_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2014,1916,Leidschendam-Voorburg,2014-03-19,Stembureau Kerkgebouw,1916::SB30,2261 ET,1839,1202,4,1,0,0,0,1068,139,0,0,0,0,0,0,1207,368,190,240,223,78,61,42
,Leidschendam-Voorburg,GR2014_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2014,1916,Leidschendam-Voorburg,2014-03-19,Stembureau Stichting WZH locatie Prinsenhof,1916::SB31,2263 AA,1965,1033,2,4,0,0,0,936,103,0,0,0,0,0,0,1039,219,160,330,151,64,70,39
,Leidschendam-Voorburg,GR2014_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2014,1916,Leidschendam-Voorburg,2014-03-19,Stembureau Sporthal De Fluit,1916::SB32,2262 ED,1910,708,8,8,0,0,0,653,71,0,0,0,0,0,0,724,68,86,238,99,111,75,31
,Leidschendam-Voorburg,GR2014_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2014,1916,Leidschendam-Voorburg,2014-03-19,Stembureau De Schuitejager,1916::SB33,2265 BE,1276,518,3,2,0,0,0,469,54,0,0,0,0,0,0,523,147,57,144,83,44,29,14
