contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,G.O.B.,CDA,Stadspartij,GROENLINKS,Partij van de Arbeid (P.v.d.A.),VVD,Democraten 66 (D66),SP (Socialistische Partij),DNA Partij,OPA
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,"Stembureau Buurthuis  ""De Oase""",1883::SB12,6137 RX,2124,1086,1,5,0,0,0,993,99,0,0,0,0,0,0,1092,45,276,136,121,114,50,94,170,41,39
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau Gemeenschapshuis De Baandert,1883::SB13,6136 JH,2018,1113,3,7,0,0,0,992,131,0,0,0,0,0,0,1123,56,194,328,97,58,44,75,156,33,72
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau Sportpark Overhoven,1883::SB14,6136 XX,1234,528,5,2,0,0,0,461,74,0,0,0,0,0,0,535,27,130,138,27,41,8,44,50,20,43
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau Gemeenschapshuis Oos Kaar,1883::SB15,6136 AS,1808,1067,3,3,0,0,0,928,145,0,0,0,0,0,0,1073,50,218,262,97,67,30,65,146,38,94
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau Activiteitencentrum Sittard,1883::SB16,6135 EN,1033,493,2,1,0,0,0,431,65,0,0,0,0,0,0,496,27,90,68,39,53,18,29,83,20,66
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau Buurtcentrum Limbrichterveld,1883::SB17,6135 BN,1703,646,3,8,0,0,0,576,81,0,0,0,0,0,0,657,30,75,119,75,63,19,28,149,20,68
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau Zorgcentrum Hoogstaete,1883::SB18,6135 JL,1979,1129,7,4,0,0,0,1005,135,0,0,0,0,0,0,1140,80,316,128,79,80,86,129,97,58,76
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau Basisschool de Lemborgh,1883::SB19,6141 LK,1094,729,3,0,0,0,0,646,86,0,3,0,0,0,0,732,110,228,87,39,69,34,66,50,24,22
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau Gemeenschapshuis Limbricht,1883::SB20,6141 AG,1019,625,2,2,0,0,0,563,66,0,0,0,0,0,0,629,85,208,66,41,47,27,40,54,23,34
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau Gemeenschapshuis Tuurhoes,1883::SB21,6143 BC,1010,632,6,3,0,0,0,553,88,0,0,0,0,0,0,641,178,254,17,20,63,20,21,30,13,16
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau Gemeenschapshuis Klaverblad,1883::SB22,6142 BR,1132,757,2,2,0,0,0,675,86,0,0,0,0,0,0,761,93,261,37,23,44,117,83,37,28,34
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau Jeugdhuis Scouting Munstergeleen,1883::SB23,6151 BX,1915,1007,9,3,0,0,0,895,124,0,0,0,0,0,0,1019,260,218,89,72,68,38,79,92,63,28
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau Gemeenschapshuis 't Trefpunt,1883::SB24,6151 CD,2061,1413,3,2,0,0,0,1226,194,0,0,0,2,0,0,1420,475,249,179,86,68,36,73,121,57,69
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau Gemeentehuis Geleen,1883::SB25,6161 GE,1667,1277,5,1,0,0,0,1106,177,0,0,0,0,0,0,1283,98,282,134,60,88,62,57,118,292,86
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau Heemkundegebouw,1883::SB26,6161 XD,1329,624,1,4,0,0,0,537,92,0,0,0,0,0,0,629,29,149,83,45,39,33,9,87,115,35
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau VuMaasland,1883::SB27,6162 XZ,2037,721,2,2,0,0,0,627,99,0,0,0,1,0,0,726,97,114,118,25,37,29,50,77,125,49
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau WZC Olympiastaete,1883::SB28,6162 ED,1696,693,5,4,0,0,0,628,74,0,0,0,0,0,0,702,71,154,50,43,46,29,29,74,146,51
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau Basisschool de Springplank,1883::SB29,6163 XW,1689,740,5,6,0,0,0,615,136,0,0,0,0,0,0,751,85,133,90,85,45,8,14,102,51,127
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau Gemeenschapshuis 't Volkshoes,1883::SB30,6163 BW,2038,1193,1,4,0,0,0,1009,189,0,0,0,0,0,0,1198,166,364,132,66,68,31,30,165,110,61
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau WBC Lindenheuvel,1883::SB31,6163 GK,1661,392,1,0,0,0,0,326,67,0,1,0,0,0,0,393,49,112,48,17,27,5,10,49,51,24
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau Basisschool de Hoefer,1883::SB32,6164 GM,2150,1014,2,5,0,0,0,925,96,0,0,0,0,0,0,1021,96,242,55,84,64,46,42,105,224,56
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau WZC Bunderhof,1883::SB33,6164 EM,1816,929,2,1,0,0,0,819,113,0,0,0,0,0,0,932,134,302,56,37,32,44,30,91,141,62
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau Basisschool de Duizendpoot,1883::SB34,6165 TV,2314,953,4,6,0,0,0,833,130,0,0,0,0,0,0,963,116,195,112,52,68,35,31,94,207,43
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau Basisschool de Kluis,1883::SB35,6165 SW,1932,1165,4,1,0,0,0,1033,137,0,0,0,0,0,0,1170,136,249,39,73,59,75,87,89,337,21
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau SBO- De Blinker,1883::SB36,6166 XM,1509,677,3,1,0,0,0,586,95,0,0,0,0,0,0,681,133,125,50,35,26,28,31,76,133,40
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau WZC Oud Geleen,1883::SB37,6166 CT,1697,937,4,4,0,0,0,805,140,0,0,0,0,0,0,945,288,154,60,43,49,32,20,102,116,73
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau Basisschool de Driesprong,1883::SB38,6166 EG,1787,1328,0,2,0,0,0,1142,188,0,0,0,0,0,0,1330,286,276,115,73,70,54,73,103,213,65
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau Orbis Medisch Centrum,1883::SB39,6162 BG,1935,670,1,0,0,0,0,584,88,0,0,0,1,0,0,672,97,124,74,53,60,39,45,57,93,28
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau Gemeenschapshuis Buchten,1883::SB40,6122 CK,1712,1110,5,2,0,0,0,974,143,0,0,0,0,0,0,1117,720,128,81,25,12,20,37,38,13,36
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau Gemeenschapshuis Holtum,1883::SB41,6123 AL,1008,694,2,0,0,0,0,621,75,0,0,0,0,0,0,696,483,78,30,13,11,3,10,29,6,31
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau Zorgcentrum St. Maarten,1883::SB42,6121 LH,1148,600,1,1,0,0,0,516,86,0,0,0,0,0,0,602,329,118,25,27,25,22,11,19,6,18
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau Gemeenschapshuis Born,1883::SB43,6121 JE,1129,957,8,2,0,0,0,836,132,0,0,0,1,0,0,968,505,159,76,43,20,14,44,55,12,29
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau Stadsarchief Born,1883::SB44,6121 XK,2360,1095,3,2,0,0,0,945,156,0,0,0,1,0,0,1101,529,146,76,56,33,50,100,56,19,30
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau Harmoniezaal Obbicht,1883::SB45,6125 BE,1549,1019,2,0,0,0,1021,882,139,0,2,0,0,0,0,0,723,103,23,18,21,30,20,55,15,11
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau Gemeenschapshuis Grevenbicht,1883::SB46,6127 BG,1300,971,0,2,0,0,0,831,142,0,0,0,0,0,0,973,623,108,49,45,18,14,21,58,8,27
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau Zaal Aurora Grevenbicht,1883::SB47,6127 BL,1315,843,0,1,0,0,0,740,104,0,0,0,0,0,0,844,614,63,37,31,4,22,18,32,15,7
