contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),GROENLINKS,VVD,Onafhankelijk Delft,CDA,STIP,Stadsbelangen,SP (Socialistische Partij),ChristenUnie,DOP,Partij v. Sociale en Maatsch. Vernieuwing
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau Woonzorgcentrum Delfshove,0503::SB31,2624 DS,2122,639,5,5,0,0,0,585,64,0,0,0,0,0,0,649,73,101,92,32,84,55,31,36,82,20,14,19
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau Marcuskerk,0503::SB32,2624 TH,1876,666,3,1,0,0,0,612,58,0,0,0,0,0,0,670,103,41,75,49,63,57,127,34,38,55,12,12
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau Woonzorgcentrum Abtswoude,0503::SB33,2624 LJ,1455,727,6,3,1,0,0,688,48,0,0,0,0,0,0,736,133,84,53,72,96,89,24,54,57,41,20,4
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,"Stembureau Gemeente Delft, ""Torenhove""",0503::SB34,2624 ES,1231,1059,2,12,1,0,0,991,84,0,0,0,2,0,1,1075,177,101,132,84,105,96,125,62,94,43,22,18
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau Buurthuis Het Voorhof,0503::SB35,2624 XL,1708,733,8,4,0,1,0,678,68,0,0,0,1,0,0,746,140,67,98,45,99,48,57,33,73,40,12,21
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau Woonzorgcentrum Stefanna,0503::SB37,2624 LW,1469,721,0,5,0,0,0,678,48,0,0,0,0,0,0,726,107,86,51,73,81,109,13,51,70,44,33,3
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau Woonzorgcentrum Vijverhof,0503::SB38,2625 PM,1516,889,4,1,0,0,0,811,83,0,0,0,0,0,0,894,128,84,43,65,124,105,37,101,92,66,35,9
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau Delftse Daltonschool,0503::SB39,2625 KX,1509,916,5,1,0,0,0,823,99,0,0,0,0,0,0,922,193,86,99,132,81,119,34,58,40,54,12,8
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau Jongerencentrum The Culture,0503::SB40,2625 CZ,1339,517,0,4,0,0,0,473,48,0,0,0,0,0,0,521,34,67,49,25,102,51,4,42,69,19,35,20
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau Wooncentrum Die Buytenweye,0503::SB41,2625 TD,1604,693,4,9,0,0,0,630,76,0,0,0,0,0,0,706,50,141,75,33,92,58,13,32,88,44,28,39
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau Wijkcentrum Het Buitenhuis,0503::SB42,2625 RE,1257,636,4,3,0,0,0,598,45,0,0,0,0,0,0,643,95,66,54,57,75,30,100,40,64,15,24,16
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau Bewonersruimte Lisztflat,0503::SB43,2625 BJ,1762,695,2,8,0,1,0,643,63,0,0,0,1,0,0,706,105,110,94,20,79,29,82,38,84,27,6,21
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau Vierhovenkerk,0503::SB45,2625 XN,1783,624,3,4,0,0,0,572,59,0,0,0,0,0,0,631,80,87,54,35,124,59,26,43,69,20,23,4
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau Simon Carmiggeltschool,0503::SB46,2623 MX,1774,1014,2,6,0,0,0,921,101,0,0,0,0,0,0,1022,157,113,97,81,170,69,30,114,114,40,26,3
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau Basisschool De Regenboog,0503::SB47,2623 MZ,1599,788,3,4,0,0,0,717,78,0,0,0,0,0,0,795,139,81,57,68,133,50,34,76,84,31,22,13
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau School De Ark,0503::SB48,2623 NW,1768,943,1,5,0,0,0,862,87,0,0,0,0,0,0,949,151,101,93,56,145,94,32,77,101,62,23,8
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau School De Eglantier Tanthof,0503::SB49,2622 HB,2070,1032,6,3,0,1,0,991,49,0,0,1,0,0,0,1040,157,108,97,83,158,76,31,93,125,56,30,18
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau Rkbs  De Bonte Pael,0503::SB51,2622 EE,2469,1310,3,9,0,3,0,1211,114,0,0,0,3,0,0,1325,212,138,94,97,249,113,42,146,128,57,25,9
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau Basisschool De Bron,0503::SB52,2622 EA,2257,927,2,5,1,0,0,817,118,0,0,0,1,0,0,935,173,69,79,95,156,62,19,94,120,38,18,4
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,"Stembureau Gemeente Delft, ""Stadhuis""",0503::SB53,2611 GS,1,1208,5,2,0,0,0,1124,91,0,0,0,0,0,0,1215,313,80,142,103,50,45,340,27,66,34,5,3
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau TU Fac Elektrotechn Wisk & Informat,0503::SB54,2628 CD,1,1416,6,8,3,0,0,1363,64,0,0,3,0,0,0,1427,343,48,96,105,20,33,679,15,24,52,1,0
