contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,ChristenUnie,VVD,CDA,Staatkundig Gereformeerde Partij (SGP),Partij van de Arbeid (P.v.d.A.),Lokaal Veenendaal,Democraten 66 (D66),GROENLINKS,SP (Socialistische Partij),ProVeenendaal
,Veenendaal,GR2014_Veenendaal,Gemeenteraad Veenendaal 2014,0345,Veenendaal,2014-03-19,Stembureau School Het Baken I,0345::SB11,3904 RS,1573,1153,2,1,0,0,0,997,159,0,0,0,0,0,0,1156,322,112,108,123,45,67,166,52,61,97
,Veenendaal,GR2014_Veenendaal,Gemeenteraad Veenendaal 2014,0345,Veenendaal,2014-03-19,Stembureau Overstag (voorheen school Achtbaan),0345::SB12,3904 RG,1684,782,0,4,0,0,0,693,93,0,0,0,0,0,0,786,201,77,75,48,37,34,150,28,53,79
,Veenendaal,GR2014_Veenendaal,Gemeenteraad Veenendaal 2014,0345,Veenendaal,2014-03-19,Stembureau School Het Baken II,0345::SB13,3904 NT,1784,1464,2,1,0,1,0,1300,168,0,0,0,1,0,0,1468,390,158,177,125,63,81,195,62,75,138
,Veenendaal,GR2014_Veenendaal,Gemeenteraad Veenendaal 2014,0345,Veenendaal,2014-03-19,Stembureau School De Vuurvlinder (west),0345::SB14,3905 SG,1697,953,0,1,0,0,0,851,103,0,0,0,0,0,0,954,234,66,65,72,61,57,150,51,66,131
,Veenendaal,GR2014_Veenendaal,Gemeenteraad Veenendaal 2014,0345,Veenendaal,2014-03-19,Stembureau School De Grondtoon (dep.),0345::SB15,3905 WK,1827,1107,0,2,0,0,0,961,148,0,0,0,0,0,0,1109,254,110,93,123,51,85,144,39,72,136
,Veenendaal,GR2014_Veenendaal,Gemeenteraad Veenendaal 2014,0345,Veenendaal,2014-03-19,Stembureau Johannes Calvijnschool,0345::SB16,3905 AS,1427,816,3,4,0,0,0,691,132,0,0,0,0,0,0,823,152,30,54,156,51,52,88,42,107,84
,Veenendaal,GR2014_Veenendaal,Gemeenteraad Veenendaal 2014,0345,Veenendaal,2014-03-19,Stembureau Buurthuis 't Turfke,0345::SB17,3905 ZC,1303,667,0,4,0,0,0,591,80,0,0,0,0,0,0,671,148,31,45,138,28,55,62,25,57,78
,Veenendaal,GR2014_Veenendaal,Gemeenteraad Veenendaal 2014,0345,Veenendaal,2014-03-19,Stembureau Jul.v.Stolbergschool (hoofdgebouw),0345::SB18,3905 LD,2019,1134,2,7,0,0,0,1004,139,0,0,0,0,0,0,1143,309,99,110,209,21,76,106,39,67,98
,Veenendaal,GR2014_Veenendaal,Gemeenteraad Veenendaal 2014,0345,Veenendaal,2014-03-19,Stembureau Rehobothschool,0345::SB19,3905 GJ,1963,1497,4,4,0,1,0,1292,214,0,0,0,1,0,0,1506,531,92,119,338,38,81,105,37,59,97
,Veenendaal,GR2014_Veenendaal,Gemeenteraad Veenendaal 2014,0345,Veenendaal,2014-03-19,Stembureau Zorgcentrum 't Boveneind,0345::SB20,3905 JD,1630,980,1,1,0,0,0,866,116,0,0,0,0,0,0,982,258,58,94,305,37,47,59,26,37,59
,Veenendaal,GR2014_Veenendaal,Gemeenteraad Veenendaal 2014,0345,Veenendaal,2014-03-19,Stembureau School Het Mozaïek,0345::SB21,3902 CZ,1433,1116,1,2,1,0,0,1001,118,0,0,0,0,0,0,1119,310,101,99,178,59,69,123,37,41,99
,Veenendaal,GR2014_Veenendaal,Gemeenteraad Veenendaal 2014,0345,Veenendaal,2014-03-19,Stembureau Wijkcentrum Aller Erf,0345::SB22,3902 CZ,1484,1076,6,5,0,0,0,955,132,0,0,0,0,0,0,1087,245,95,95,162,38,95,124,24,78,120
,Veenendaal,GR2014_Veenendaal,Gemeenteraad Veenendaal 2014,0345,Veenendaal,2014-03-19,Stembureau Dienstencentrum Kleine Beer,0345::SB23,3901 SH,1642,967,2,3,0,0,0,873,99,0,0,0,0,0,0,972,228,105,99,155,55,53,85,24,67,96
,Veenendaal,GR2014_Veenendaal,Gemeenteraad Veenendaal 2014,0345,Veenendaal,2014-03-19,Stembureau Buurthuis De Driehoek,0345::SB24,3902 XX,1361,742,3,6,0,0,0,675,76,0,0,0,0,0,0,751,178,73,58,73,48,46,109,30,54,73
,Veenendaal,GR2014_Veenendaal,Gemeenteraad Veenendaal 2014,0345,Veenendaal,2014-03-19,Stembureau School Achtbaan,0345::SB25,3906 AD,1583,1056,2,1,0,0,0,958,101,0,0,0,0,0,0,1059,274,93,66,105,46,82,157,34,82,117
,Veenendaal,GR2014_Veenendaal,Gemeenteraad Veenendaal 2014,0345,Veenendaal,2014-03-19,Stembureau School De Grondtoon (hoofdgebouw),0345::SB26,3906 BW,1846,1329,4,1,0,1,0,1210,122,0,0,2,0,1,0,1332,353,200,147,95,49,81,179,37,43,145
,Veenendaal,GR2014_Veenendaal,Gemeenteraad Veenendaal 2014,0345,Veenendaal,2014-03-19,Stembureau School De Burcht,0345::SB27,3903 WK,1349,749,1,1,0,0,0,635,116,0,0,0,0,0,0,751,199,138,72,61,18,42,97,15,29,78
,Veenendaal,GR2014_Veenendaal,Gemeenteraad Veenendaal 2014,0345,Veenendaal,2014-03-19,Stembureau School Het Mozaïek,0345::SB28,3903 WK,1527,935,2,0,0,0,0,804,133,0,0,0,0,0,0,937,185,155,63,75,39,69,145,22,47,135
,Veenendaal,GR2014_Veenendaal,Gemeenteraad Veenendaal 2014,0345,Veenendaal,2014-03-19,Stembureau Brede Wijkvoorz. 't SpeelKwartier,0345::SB29,3902 JA,1323,905,1,2,0,0,0,779,129,0,0,0,0,0,0,908,182,157,53,106,31,63,170,26,40,77
,Veenendaal,GR2014_Veenendaal,Gemeenteraad Veenendaal 2014,0345,Veenendaal,2014-03-19,Stembureau Gemeentehuis,0345::SB30,3901 GA,821,644,0,5,0,0,0,580,69,0,0,0,0,0,0,649,98,69,63,33,40,48,108,39,47,99
,Veenendaal,GR2014_Veenendaal,Gemeenteraad Veenendaal 2014,0345,Veenendaal,2014-03-19,Stembureau Chr. Geref. Pniëlkerk,0345::SB31,3902 KD,1410,718,3,2,0,0,0,619,104,0,0,0,0,0,0,723,194,86,55,132,14,38,74,25,35,65
,Veenendaal,GR2014_Veenendaal,Gemeenteraad Veenendaal 2014,0345,Veenendaal,2014-03-19,Stembureau MS-De Meent (10-12 uur),0345::SB32,3902 HK,0,80,0,0,0,0,0,72,8,0,0,0,0,0,0,80,21,4,15,16,3,6,6,0,5,4
