contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,FNP,Partij van de Arbeid (P.v.d.A.),VVD,GrienLinks,ChristenUnie,Gemeentebelangen Tietjerksteradeel
,Tytsjerksteradiel,GR2014_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2014,0737,Tytsjerksteradiel,2014-03-19,Stembureau Zalencentr. Jan Wester,0737::SB11,,288,182,0,1,0,0,0,166,17,0,0,0,0,0,0,183,50,52,30,26,13,6,5
,Tytsjerksteradiel,GR2014_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2014,0737,Tytsjerksteradiel,2014-03-19,Stembureau Dorpshuis Suderfinne,0737::SB12,,477,330,2,0,0,0,0,296,36,0,0,0,0,0,0,332,163,29,21,42,39,30,6
,Tytsjerksteradiel,GR2014_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2014,0737,Tytsjerksteradiel,2014-03-19,Stembureau Cult centr Yn 'e Mande,0737::SB13,,1228,763,6,0,0,0,0,691,78,0,0,0,0,0,0,769,131,116,131,149,119,59,58
,Tytsjerksteradiel,GR2014_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2014,0737,Tytsjerksteradiel,2014-03-19,Stembureau Bennemastate,0737::SB14,,710,325,2,1,0,0,0,328,0,0,0,0,0,0,0,328,64,55,46,43,45,38,34
,Tytsjerksteradiel,GR2014_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2014,0737,Tytsjerksteradiel,2014-03-19,Stembureau MFC It Maskelyn,0737::SB15,,1597,902,3,3,0,0,0,841,67,0,0,0,0,0,0,908,153,110,167,104,192,80,96
,Tytsjerksteradiel,GR2014_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2014,0737,Tytsjerksteradiel,2014-03-19,Stembureau Nieuw Perspectief,0737::SB16,,1515,952,1,4,0,0,0,882,75,0,0,0,0,0,0,957,178,113,193,111,163,89,105
,Tytsjerksteradiel,GR2014_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2014,0737,Tytsjerksteradiel,2014-03-19,Stembureau De Einekoer,0737::SB17,,617,377,0,0,0,0,0,345,32,0,0,0,0,0,0,377,97,61,50,58,60,30,21
,Tytsjerksteradiel,GR2014_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2014,0737,Tytsjerksteradiel,2014-03-19,Stembureau De Canterlanden,0737::SB18,,921,586,3,2,0,0,0,536,55,0,0,0,0,0,0,591,96,104,179,103,45,19,40
,Tytsjerksteradiel,GR2014_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2014,0737,Tytsjerksteradiel,2014-03-19,Stembureau Dorpshuis De Mounestien,0737::SB19,,551,312,2,2,0,0,0,276,40,0,0,0,0,0,0,316,75,69,52,43,35,12,26
,Tytsjerksteradiel,GR2014_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2014,0737,Tytsjerksteradiel,2014-03-19,Stembureau Nieuw Heemstrastate,0737::SB20,,1424,955,4,0,0,0,0,882,77,0,0,0,0,0,0,959,254,121,254,103,105,59,59
,Tytsjerksteradiel,GR2014_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2014,0737,Tytsjerksteradiel,2014-03-19,Stembureau Ver. gebouw Oerein,0737::SB21,,514,330,1,1,0,0,0,305,27,0,0,0,0,0,0,332,36,56,132,47,23,12,24
,Tytsjerksteradiel,GR2014_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2014,0737,Tytsjerksteradiel,2014-03-19,Stembureau De Skûle,0737::SB22,,189,115,0,0,0,0,0,105,10,0,0,0,0,0,0,115,18,13,29,13,22,9,11
,Tytsjerksteradiel,GR2014_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2014,0737,Tytsjerksteradiel,2014-03-19,Stembureau Bibliotheek,0737::SB23,,897,510,0,1,0,0,0,465,46,0,0,0,0,0,0,511,81,103,124,84,64,33,21
,Tytsjerksteradiel,GR2014_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2014,0737,Tytsjerksteradiel,2014-03-19,Stembureau Werf8,0737::SB24,,1389,654,1,4,0,0,0,600,59,0,0,0,0,0,0,659,188,136,108,52,49,78,43
,Tytsjerksteradiel,GR2014_Tytsjerksteradiel,Gemeenteraad Tytsjerksteradiel 2014,0737,Tytsjerksteradiel,2014-03-19,Stembureau Het Martinushuis,0737::SB25,,820,349,0,0,0,0,0,349,0,0,0,0,0,0,0,349,82,52,60,62,28,39,26
