contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Democraten 66 (D66),HAP,Partij van de Arbeid (P.v.d.A.),GROENLINKS,Forza! Haarlemmermeer,ChristenUnie-SGP,Sociaal Rechts Haarlemmermeer (SRH),Christen-Democratische Volkspartij (CDVP),EEN Haarlemmermeer
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Verpleeghuis Bornholm,0394::SB11,,1979,982,4,0,0,0,0,866,120,0,0,0,0,0,0,986,198,95,152,134,87,79,139,43,19,14,22
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau School Vesterhavet,0394::SB12,,1526,722,3,2,0,0,0,650,78,0,0,0,1,0,0,728,115,89,111,116,64,72,83,24,12,18,18
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Wijkcentrum 't Kattegat,0394::SB13,,1654,831,6,9,0,0,0,776,70,0,0,0,0,0,0,846,128,72,98,137,102,107,75,52,23,18,19
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau IJwegschool,0394::SB14,,1573,828,0,3,0,0,0,737,94,0,0,0,0,0,0,831,156,79,109,135,77,85,89,48,19,18,13
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Kerkcentrum De Ark,0394::SB15,,1620,994,4,5,0,0,0,912,91,0,0,0,0,0,0,1003,90,70,135,206,123,114,135,39,36,13,33
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Soc. Cult Centrum De Boskern,0394::SB16,,1615,670,5,9,0,1,0,613,72,0,0,0,1,0,0,685,87,67,93,112,92,67,79,19,21,18,15
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau School de Bosbouwers,0394::SB17,,1712,656,0,5,0,0,0,604,57,0,0,0,0,0,0,661,67,62,84,136,77,60,89,27,21,14,19
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau School De Regenboog,0394::SB18,,1883,629,1,2,0,0,0,570,62,0,0,0,0,0,0,632,96,58,100,95,84,48,70,34,18,11,15
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau School De Tovercirkel,0394::SB19,,1631,756,4,0,0,0,0,674,86,0,0,0,0,0,0,760,94,68,106,151,90,69,94,25,26,9,24
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Soc. cult Centrum De Vetse,0394::SB20,,1835,999,2,2,0,0,0,898,105,0,0,0,0,0,0,1003,238,110,150,126,73,96,100,38,16,32,20
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Herbert Visserscollege,0394::SB21,,1882,873,1,3,0,1,0,783,94,0,0,0,1,0,0,877,147,148,122,127,66,51,105,33,17,39,18
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Joh. Weststeijnschool,0394::SB22,,1448,747,3,6,0,9,0,681,84,0,0,0,9,0,0,765,107,131,70,133,48,30,74,74,9,52,19
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Het Trefpunt,0394::SB23,,1305,646,2,5,0,0,0,598,55,0,0,0,0,0,0,653,83,136,52,129,34,24,66,59,22,16,25
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Rehobothschool,0394::SB24,,1493,757,1,3,0,0,0,694,67,0,0,0,0,0,0,761,56,179,59,143,47,42,67,90,21,39,14
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Verz. centrum Westerkim,0394::SB25,,1501,962,2,4,0,2,0,879,91,0,0,0,2,0,0,970,136,202,96,163,67,48,66,90,11,69,14
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Wijkcentrum Linquenda,0394::SB26,,1565,887,2,2,0,0,0,798,93,0,0,0,0,0,0,891,114,96,97,232,81,55,93,43,24,30,22
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau School De Polderrakkers,0394::SB27,,1608,822,5,2,0,6,0,733,90,0,0,6,0,0,0,823,109,107,80,178,66,60,80,34,29,40,39
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Dorpshuis Het Praatpunt,0394::SB28,,841,451,1,1,0,0,0,404,49,0,0,0,0,0,0,453,49,60,30,124,17,12,74,47,8,11,19
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Dorpshuis De Ontmoeting,0394::SB29,,376,216,0,2,0,0,0,197,21,0,0,0,0,0,0,218,41,51,17,55,5,5,7,10,11,7,7
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Clubhiuis vv Kagia,0394::SB30,,1544,777,0,4,0,0,0,689,92,0,0,0,0,0,0,781,120,93,83,185,30,40,57,119,39,1,10
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Dorpshuis De Meerkoet,0394::SB31,,1239,691,1,1,0,0,0,616,77,0,0,0,0,0,0,693,88,64,60,206,40,38,43,77,66,2,7
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Dorpshuis Het Eiland,0394::SB32,,823,390,2,1,0,1,0,355,37,0,0,1,0,0,0,392,60,46,59,87,17,27,47,6,12,6,23
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Dorpshuis De Oase,0394::SB33,,1413,723,5,0,0,0,0,643,85,0,0,0,0,0,0,728,172,105,99,82,23,79,63,49,29,6,16
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Dorpshuis 't Oude Fort,0394::SB34,,582,322,2,0,0,0,0,291,33,0,0,0,0,0,0,324,85,46,54,24,26,18,28,10,21,4,6
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Cruquiushoeve,0394::SB35,,321,136,1,0,0,0,0,124,13,0,0,0,0,0,0,137,16,26,10,8,7,28,19,10,4,0,8
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Clubhuis sportver. D.S.O.V.,0394::SB36,,1169,948,4,1,0,0,0,853,101,0,0,0,1,0,0,954,179,162,157,105,93,93,96,14,25,13,11
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Veren.gebouw De Luifel,0394::SB37,,1283,613,3,4,0,0,0,570,50,0,0,0,0,0,0,620,122,119,84,71,38,53,62,33,16,7,8
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau School Aldoende,0394::SB38,,1142,483,4,1,0,0,0,440,48,0,0,0,0,0,0,488,53,47,54,78,36,28,136,6,19,9,17
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau De Bataaf,0394::SB39,,955,393,0,0,0,0,0,361,32,0,0,0,0,0,0,393,63,49,33,39,23,18,120,10,24,1,13
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Verz.huis Eigen Haard,0394::SB40,,1428,818,5,3,0,0,0,754,72,0,0,0,0,0,0,826,90,156,82,137,46,61,180,19,22,6,19
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Cult Centr. De Olm,0394::SB41,,1413,687,6,0,0,0,0,640,53,0,0,0,0,0,0,693,96,94,71,129,39,50,130,18,30,5,25
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Clubhuis vv Zwanenburg,0394::SB42,,1188,446,5,0,0,0,0,400,51,0,0,0,0,0,0,451,69,74,53,75,28,28,97,6,9,1,6
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Dorpshuis De Vluchthaven,0394::SB43,,786,314,1,4,0,0,0,281,38,0,0,0,0,0,0,319,74,56,36,27,20,24,35,3,10,2,27
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Schuilhoeve,0394::SB44,,1401,764,3,6,0,0,0,694,79,0,0,0,0,0,0,773,147,90,106,101,74,39,102,5,12,3,85
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Verz.huis Meerwende,0394::SB45,,1000,674,1,0,0,0,0,616,59,0,0,0,0,0,0,675,212,166,105,41,29,28,46,7,8,1,31
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Dr. Plesmanschool,0394::SB46,,1230,601,2,7,0,0,0,547,63,0,0,0,0,0,0,610,114,57,110,102,49,63,51,11,5,1,38
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Dorpshuis Het Dorpshuis,0394::SB47,,1410,768,1,7,0,0,0,700,76,0,0,0,0,0,0,776,153,76,111,83,67,79,90,7,17,4,81
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Karavanserai,0394::SB48,,1336,875,4,5,0,0,0,793,91,0,0,0,0,0,0,884,278,80,180,77,56,65,44,7,13,3,72
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Tyndale Seminary,0394::SB49,,1323,628,3,5,0,0,0,595,41,0,0,0,0,0,0,636,110,65,84,62,54,54,61,16,18,9,95
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Veren. gebouw Rehoboth,0394::SB50,,345,174,1,1,0,0,0,161,15,0,0,0,0,0,0,176,31,11,19,13,9,19,14,1,6,1,50
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Buurthuis Het Dijkhuis,0394::SB51,,578,237,1,2,0,0,0,216,24,0,0,0,0,0,0,240,54,27,16,25,18,11,35,25,13,2,11
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau De Zevensprong,0394::SB53,,1655,788,0,1,0,0,0,708,81,0,0,0,0,0,0,789,132,156,87,99,78,42,87,53,23,15,16
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Dorpshuis De Reede,0394::SB54,,1668,872,2,3,0,0,0,783,94,0,0,0,0,0,0,877,129,142,112,116,104,42,95,59,36,11,26
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Dorpshuis Marijke,0394::SB55,,456,284,0,0,0,0,0,260,24,0,0,0,0,0,0,284,40,93,15,32,11,17,30,19,17,5,5
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Dorpshuis De Kern,0394::SB56,,450,286,1,1,0,0,0,258,30,0,0,0,0,0,0,288,37,59,13,90,21,7,34,13,5,5,2
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Kath. Scholengemeenschap,0394::SB57,,1787,706,2,0,8,0,0,630,70,0,0,8,0,0,0,700,118,67,96,150,58,50,86,30,15,19,17
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau School Het Kompas,0394::SB58,,1857,818,5,9,0,0,0,732,100,0,0,0,0,0,0,832,126,87,129,110,80,87,90,25,25,45,14
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Soc. Cult Amazone,0394::SB59,,1534,814,5,10,0,0,0,716,113,0,0,0,0,0,0,829,144,71,103,144,88,61,102,38,14,33,16
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Soc. Cult. Amazone,0394::SB60,,1729,632,1,3,2,0,0,567,71,0,0,0,2,0,0,638,117,88,98,89,72,52,42,31,6,25,12
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Kerk. centrum De Lichtkring,0394::SB61,,1537,1048,6,4,0,0,0,970,88,0,0,0,0,0,0,1058,190,101,136,192,88,82,123,38,19,49,30
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Woonvoorziening Getsewoud,0394::SB62,,1838,922,1,2,0,0,0,821,104,0,0,0,0,0,0,925,229,107,147,118,78,49,90,26,18,37,23
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau ROC Airport,0394::SB63,,626,82,0,1,0,0,0,80,3,0,0,0,0,0,0,83,12,4,25,8,6,13,2,9,2,1,0
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Schoollokalen,0394::SB64,,2018,614,8,0,0,0,0,532,90,0,0,0,0,0,0,622,99,58,121,71,73,45,70,36,12,19,10
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Gymzaal bij scholen,0394::SB65,,1990,807,1,0,0,0,0,682,126,0,0,0,0,0,0,808,187,85,125,97,55,56,96,34,22,30,20
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Gymzaal bij scholen,0394::SB66,,2105,848,1,2,0,1,0,707,143,0,0,1,0,0,0,850,207,107,109,128,47,60,70,59,19,17,25
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Gymzaal bij scholen,0394::SB67,,2055,862,5,5,2,4,0,755,124,0,1,0,7,0,0,879,193,104,135,129,73,46,79,44,10,17,32
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Openbare Bibliotheek,0394::SB68,,1461,847,2,5,0,0,0,740,116,0,2,0,2,0,0,856,183,84,118,129,73,66,105,33,17,9,30
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau KDV Op Stoom,0394::SB69,,1907,712,0,1,0,0,0,611,103,0,0,0,1,0,0,714,181,77,87,117,66,24,59,34,24,16,27
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Openbare Bibliotheek,0394::SB70,,1444,711,4,5,0,0,0,627,93,0,0,0,0,0,0,720,189,50,120,82,60,50,78,35,9,20,18
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Het Braambos,0394::SB71,,1757,901,6,1,0,2,0,806,105,0,1,0,3,0,0,911,190,66,155,130,93,70,84,29,19,40,25
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau School De Optimist,0394::SB72,,2013,963,0,3,0,0,0,814,152,0,0,0,0,0,0,966,209,91,169,118,93,86,78,22,24,20,53
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau School Merlijn,0394::SB73,,1573,807,2,3,0,0,0,691,121,0,0,0,0,0,0,812,226,101,103,107,62,38,62,35,23,27,23
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Wijkcentrum Floriande,0394::SB74,,1895,1045,1,3,0,0,0,905,144,0,0,0,0,0,0,1049,214,110,188,135,91,84,106,41,23,23,30
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Het Brandpunt,0394::SB75,,949,282,1,1,0,0,0,255,29,0,0,0,0,0,0,284,49,23,35,43,43,28,27,6,4,13,11
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Servicecentum Noord,0394::SB76,,1350,686,1,1,0,0,0,621,67,0,0,0,0,0,0,688,149,67,123,55,70,51,75,5,18,2,71
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Wijkcentrum De Nieuwe Silo,0394::SB77,,1171,597,7,7,0,0,0,530,81,0,0,0,0,0,0,611,80,33,79,129,83,57,66,24,14,17,15
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau De Poterne,0394::SB78,,1157,417,4,3,0,0,0,361,63,0,0,0,0,0,0,424,97,66,70,32,37,38,33,13,16,6,9
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau De Wissel,0394::SB79,,1211,630,1,4,0,0,0,578,57,0,0,0,0,0,0,635,162,64,76,114,45,46,85,20,7,7,4
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Soc. Cult. Amazone,0394::SB80,,1433,603,2,2,0,0,0,559,48,0,0,0,0,0,0,607,110,42,105,84,57,56,75,26,14,20,14
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Openbare Bibliotheek,0394::SB81,,1447,321,0,2,0,0,0,292,31,0,0,0,0,0,0,323,64,24,57,42,41,32,27,15,4,6,9
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau mobiel,0394::SB82,,0,212,2,0,0,0,0,197,17,0,0,0,0,0,0,214,36,22,41,29,18,32,20,4,3,4,3
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau NS Station Hoofddorp,0394::SB83,,0,310,4,0,0,0,0,297,17,0,0,0,0,0,0,314,40,15,59,28,50,64,20,13,6,8,7
