contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Partij van de Arbeid (P.v.d.A.),Senioren Hollands Kroon,Lokaal Alternatief Democratie Anders ( LADA ),Democraten 66 (D66),ChristenUnie,GROENLINKS,Progressief Hollands Kroon
,Hollands Kroon,GR2014_HollandsKroon,Gemeenteraad Hollands Kroon 2014,1911,Hollands Kroon,2014-03-19,Stembureau Café De Harmonie,1911::SB16,1777 CD,1281,605,2,3,0,0,0,536,74,0,0,0,0,0,0,610,97,39,57,128,178,71,7,12,16
,Hollands Kroon,GR2014_HollandsKroon,Gemeenteraad Hollands Kroon 2014,1911,Hollands Kroon,2014-03-19,Stembureau Zorgcentrum Lelypark,1911::SB21,1771 CA,1497,939,5,2,0,0,0,870,76,0,0,0,0,0,0,946,92,131,91,225,72,72,95,22,139
,Hollands Kroon,GR2014_HollandsKroon,Gemeenteraad Hollands Kroon 2014,1911,Hollands Kroon,2014-03-19,Stembureau JC De Dukdalf,1911::SB22,1771 CX,1450,611,0,4,0,0,0,563,52,0,0,0,0,0,0,615,52,67,79,159,45,52,52,15,90
,Hollands Kroon,GR2014_HollandsKroon,Gemeenteraad Hollands Kroon 2014,1911,Hollands Kroon,2014-03-19,Stembureau rsg Wiringherlant,1911::SB23,1771 AB,1480,811,2,6,0,0,0,724,95,0,0,0,0,0,0,819,119,124,60,147,73,100,54,18,116
,Hollands Kroon,GR2014_HollandsKroon,Gemeenteraad Hollands Kroon 2014,1911,Hollands Kroon,2014-03-19,Stembureau Ver.geb. De Schakel,1911::SB24,1774 AJ,1572,773,3,1,0,0,0,706,71,0,0,0,0,0,0,777,101,163,73,122,61,67,73,10,103
,Hollands Kroon,GR2014_HollandsKroon,Gemeenteraad Hollands Kroon 2014,1911,Hollands Kroon,2014-03-19,Stembureau MFC De Doorbraak,1911::SB25,1773 AK,883,286,0,0,0,0,0,256,30,0,0,0,0,0,0,286,66,50,14,36,19,19,49,4,29
,Hollands Kroon,GR2014_HollandsKroon,Gemeenteraad Hollands Kroon 2014,1911,Hollands Kroon,2014-03-19,Stembureau De Meerbaak,1911::SB26,1775 BH,1485,793,1,3,0,0,0,737,60,0,0,0,0,0,0,797,98,151,64,159,58,71,65,37,90
,Hollands Kroon,GR2014_HollandsKroon,Gemeenteraad Hollands Kroon 2014,1911,Hollands Kroon,2014-03-19,Stembureau Wijksteunpunt De Kroon,1911::SB27,1775 BX,1394,751,3,2,0,0,0,695,61,0,0,0,0,0,0,756,132,156,37,128,56,56,45,33,108
,Hollands Kroon,GR2014_HollandsKroon,Gemeenteraad Hollands Kroon 2014,1911,Hollands Kroon,2014-03-19,Stembureau Café Beentjes,1911::SB31,1731 RJ,1216,692,4,1,0,0,0,628,69,0,0,0,0,0,0,697,128,57,90,45,254,66,13,19,20
,Hollands Kroon,GR2014_HollandsKroon,Gemeenteraad Hollands Kroon 2014,1911,Hollands Kroon,2014-03-19,Stembureau Dorpshuis De Lutters,1911::SB32,1732 LS,616,343,2,2,0,0,0,304,43,0,0,0,0,0,0,347,59,30,54,28,108,25,13,17,9
,Hollands Kroon,GR2014_HollandsKroon,Gemeenteraad Hollands Kroon 2014,1911,Hollands Kroon,2014-03-19,Stembureau Basisschool De Snip,1911::SB33,1733 AR,1570,812,2,3,0,0,0,742,75,0,0,0,0,0,0,817,124,73,125,75,252,102,13,29,19
,Hollands Kroon,GR2014_HollandsKroon,Gemeenteraad Hollands Kroon 2014,1911,Hollands Kroon,2014-03-19,Stembureau Dorpshuis Harmonie,1911::SB34,1735 GK,1877,1068,5,1,0,0,0,972,102,0,0,0,0,0,0,1074,115,196,65,129,444,76,11,24,8
,Hollands Kroon,GR2014_HollandsKroon,Gemeenteraad Hollands Kroon 2014,1911,Hollands Kroon,2014-03-19,Stembureau Rijvereniging Bucephalus,1911::SB35,1768 BL,864,451,2,2,0,0,0,406,49,0,0,0,0,0,0,455,103,29,56,46,99,44,6,52,16
,Hollands Kroon,GR2014_HollandsKroon,Gemeenteraad Hollands Kroon 2014,1911,Hollands Kroon,2014-03-19,Stembureau Dorpshuis De Nieuwe Horn,1911::SB36,1767 CJ,798,412,0,2,0,0,0,378,36,0,0,0,0,0,0,414,53,17,174,42,50,21,6,37,12
,Hollands Kroon,GR2014_HollandsKroon,Gemeenteraad Hollands Kroon 2014,1911,Hollands Kroon,2014-03-19,Stembureau Woon- en Zorgcomplex De Trambaan,1911::SB37,1733 BG,1456,743,0,2,0,0,0,673,73,0,0,0,1,0,0,746,105,74,76,59,245,141,17,23,3
,Hollands Kroon,GR2014_HollandsKroon,Gemeenteraad Hollands Kroon 2014,1911,Hollands Kroon,2014-03-19,Stembureau Brede school De Oude Boomgaard,1911::SB38,1733 AZ,1195,561,2,0,0,0,0,507,56,0,0,0,0,0,0,563,75,51,68,21,234,72,13,16,11
