contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,Democraten 66 (D66),CDA,Burgerbelangen Enschede (BBE),GROENLINKS,SP (Socialistische Partij),ChristenUnie,Enschede Solidair,EnschedeAnders.nl,Liberaal053,Stadspartij,Ouderen Politiek Actief ( OPA )
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau OBS Het Wooldrik,0153::SB103,,1620,839,0,0,0,0,0,731,108,0,0,0,0,0,0,839,66,226,143,114,81,51,56,52,1,22,8,3,16
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau Prinseschool,0153::SB104,,1175,714,0,0,0,0,0,649,65,0,0,0,0,0,0,714,95,106,98,69,92,64,59,57,11,27,8,6,22
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau De Roef,0153::SB105,,1670,655,4,1,0,0,0,582,78,0,0,0,0,0,0,660,84,78,103,70,73,46,84,50,4,28,4,15,16
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau Speeltuin 't Varvik,0153::SB106,,1741,794,3,2,0,2,0,731,70,0,0,0,2,0,0,801,93,94,85,79,165,39,134,27,8,20,5,14,31
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau Zorgcentrum de Bleekhof,0153::SB201,,1868,593,2,2,0,0,0,557,40,0,0,0,0,0,0,597,127,54,70,53,71,28,61,56,9,36,1,12,15
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau OBS Europa,0153::SB202,,1590,670,1,3,0,0,0,614,60,0,0,0,0,0,0,674,142,40,79,51,77,40,94,82,22,21,1,3,18
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau Geert de Leeuwhuis,0153::SB203,,1597,660,1,1,0,0,0,611,51,0,0,0,0,0,0,662,113,44,71,56,75,30,89,110,9,24,0,9,30
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau CBS de Koning,0153::SB204,,1553,500,2,0,0,0,0,463,39,0,0,0,0,0,0,502,74,19,57,30,73,28,99,46,13,21,4,16,20
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau Speeltuin Stevenfenne,0153::SB205,,1648,376,1,0,0,0,0,335,42,0,0,0,0,0,0,377,42,35,50,48,45,14,53,50,4,7,4,11,13
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau Pathmosschool,0153::SB206,,1634,541,3,0,0,0,0,496,48,0,0,0,0,0,0,544,88,31,78,30,63,25,134,21,12,25,3,7,24
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau Speeltuin Stadsveld,0153::SB207,,1657,430,1,0,0,0,0,384,47,0,0,0,0,0,0,431,61,24,52,33,69,27,58,36,12,30,0,7,21
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau OBS Het Stadsveld,0153::SB208,,1882,560,3,1,0,0,0,522,42,0,0,0,0,0,0,564,97,38,75,29,72,23,107,57,5,27,3,9,18
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau De Triangel,0153::SB209,,1683,845,0,2,0,0,0,766,81,0,0,0,0,0,0,847,170,74,99,94,107,40,100,74,12,34,7,11,23
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau Zorgcentrum de Hatteler,0153::SB210,,1546,1024,4,2,0,0,0,928,102,0,0,0,0,0,0,1030,159,117,206,132,95,73,74,79,8,31,7,7,36
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau School De Wissel,0153::SB211,,1688,497,1,0,0,0,0,460,38,0,0,0,0,0,0,498,92,39,85,39,63,29,53,56,3,14,0,9,15
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau vv Rigtersbleek,0153::SB301,,1674,771,6,2,0,0,0,710,69,0,0,0,0,0,0,779,129,93,148,37,82,97,100,36,8,18,1,4,18
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau Stichting de Melkweg,0153::SB302,,1688,690,9,2,0,0,0,660,43,0,2,0,2,0,0,703,92,47,83,50,136,52,100,51,17,20,2,14,26
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau OBS Twekkelerveld,0153::SB303,,1352,555,0,3,0,0,0,518,40,0,0,0,0,0,0,558,91,41,76,42,70,45,109,34,6,15,3,9,14
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau Zorgcentrum Twekkelerveld,0153::SB304,,1863,665,7,2,0,0,0,621,53,0,0,0,0,0,0,674,123,26,114,51,79,34,111,59,12,13,3,6,34
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau Stichting Enschedese Speeltuinen,0153::SB305,,1641,505,0,0,0,0,0,460,45,0,0,0,0,0,0,505,83,47,94,33,65,29,61,46,10,13,1,8,15
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau U.T. De Bastille (Atrium),0153::SB306,,2198,1495,17,2,0,2,0,1442,74,0,0,0,2,0,0,1516,112,219,760,70,26,155,52,66,6,10,7,7,5
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau Het Roessingh/Revalidatiecentrum,0153::SB401,,1841,962,3,2,0,0,0,883,84,0,0,0,0,0,0,967,107,123,220,73,100,139,102,48,8,16,6,5,15
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau Clubgebouw EMOS,0153::SB402,,1654,1099,1,4,0,1,0,1020,85,0,0,0,1,0,0,1105,109,196,266,153,57,167,52,46,6,18,6,8,15
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau Basisschool Anna van Buren,0153::SB403,,1738,997,5,5,0,0,0,916,93,0,2,0,2,0,0,1009,147,107,212,96,93,87,85,106,9,19,0,9,27
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau AriënsZorgpalet Ariënsstaete,0153::SB404,,1826,933,4,3,0,1,0,858,83,0,0,0,1,0,0,941,131,74,142,158,132,56,102,55,5,22,9,10,37
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau Basisschool Roombeek (dep),0153::SB405,,1765,694,4,9,2,0,0,651,58,0,0,0,2,0,0,709,104,50,72,80,95,42,127,62,13,12,1,13,23
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau AriënsZorgpalet De Dollard,0153::SB406,,1916,565,7,1,0,0,0,523,50,0,0,0,0,0,0,573,92,30,68,79,52,33,98,57,7,15,2,7,25
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau Enschedese Schoolvereniging,0153::SB407,,1668,648,0,2,0,0,0,603,47,0,0,0,0,0,0,650,73,92,110,82,63,42,90,41,9,10,4,12,20
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau AriënsZorgpalet Het Achtervoort,0153::SB408,,1506,584,0,0,0,0,0,531,53,0,0,0,0,0,0,584,72,47,86,95,82,46,81,30,6,16,2,4,17
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau Voetbalvereniging VOSTA,0153::SB501,,1504,554,0,2,0,0,0,502,54,0,0,0,0,0,0,556,56,53,82,45,67,36,98,57,9,5,10,5,31
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau Schoolgebouw Dotterbloemstraat,0153::SB502,,1548,488,4,0,0,0,0,449,43,0,0,0,0,0,0,492,96,36,40,36,78,32,95,29,7,14,1,9,15
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau OBS Park Stokhorst,0153::SB503,,1629,920,2,2,0,0,0,851,73,0,0,0,0,0,0,924,117,140,162,108,95,88,90,40,6,25,5,13,31
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau AriënsZorgpalet Het Florapark,0153::SB504,,1557,346,1,1,0,0,0,325,23,0,0,0,0,0,0,348,47,25,38,43,52,19,52,31,2,8,4,4,21
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau Paus Joannesschool,0153::SB505,,1199,1081,0,4,0,1,0,968,118,0,0,0,1,0,0,1086,106,303,167,179,91,84,56,37,8,15,8,9,18
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau OBS Het Vastert,0153::SB601,,1737,844,1,2,0,0,0,763,84,0,0,0,0,0,0,847,130,76,118,83,133,49,81,100,9,32,5,5,23
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau Wooncentrum Het Veldhof,0153::SB602,,1696,1109,2,4,0,1,0,995,121,0,0,0,0,0,0,1116,145,133,133,116,178,63,132,95,22,29,2,17,44
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau OBS Het Stroink,0153::SB603,,1901,483,0,1,0,0,0,421,63,0,0,0,0,0,0,484,63,47,40,59,85,20,94,26,16,7,4,8,14
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau Stroinkshuis,0153::SB604,,1745,450,2,0,0,0,0,391,61,0,0,0,0,0,0,452,47,48,45,48,105,22,56,41,6,17,0,3,12
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau De Regenboog,0153::SB606,,1703,759,2,0,0,0,0,690,71,0,0,0,0,0,0,761,86,38,60,97,126,53,120,84,6,26,2,21,40
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau Bonhoeffer College,0153::SB607,,1661,332,0,2,0,0,0,292,42,0,0,0,0,0,0,334,48,11,28,32,52,13,54,30,8,9,3,27,17
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau OBS Het Lang,0153::SB608,,1697,715,0,3,5,5,0,665,63,0,0,0,10,0,0,728,155,33,43,59,145,22,119,49,21,9,5,15,40
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau Zorgcentrum De Posten,0153::SB609,,1665,962,4,12,0,0,0,866,112,0,0,0,0,0,0,978,179,30,58,173,128,37,154,84,22,15,7,19,56
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau OBS De Broekheurne,0153::SB610,,1833,658,0,0,0,0,0,610,48,0,0,0,0,0,0,658,108,67,55,125,67,25,76,74,8,19,4,11,19
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau Zorgcentrum Broekheurnerstede,0153::SB611,,1107,587,1,3,0,0,0,543,48,0,0,0,0,0,0,591,111,65,35,77,99,31,58,51,6,15,4,4,31
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau OBS Het Bijvank,0153::SB612,,1742,523,8,3,0,0,0,468,66,0,0,0,0,0,0,534,94,19,54,64,106,19,92,20,10,13,0,7,25
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau Victoria '28,0153::SB613,,1767,528,3,2,0,0,0,472,61,0,0,0,0,0,0,533,86,28,40,70,104,21,93,45,8,9,2,12,10
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau Mediant Helmerzijde,0153::SB614,,1828,902,4,0,0,0,0,800,106,0,0,0,0,0,0,906,94,98,147,138,114,52,87,75,13,28,9,12,35
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau OBS De Helmerhoek,0153::SB615,,1748,693,2,2,0,0,0,633,64,0,0,0,0,0,0,697,72,63,76,63,113,29,141,65,14,22,4,6,25
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau Weth v.d. Heijdenschool,0153::SB616,,1611,613,1,0,0,0,0,559,55,0,0,0,0,0,0,614,85,53,89,55,68,49,66,60,10,16,4,8,50
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau OBS De Averbeke,0153::SB617,,1684,838,5,1,0,0,0,764,80,0,0,0,0,0,0,844,150,78,119,84,87,65,94,74,12,28,4,8,35
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau AriënsZorgpalet Dr. Ariënshuis,0153::SB801,,1624,489,0,2,0,0,0,441,50,0,0,0,0,0,0,491,44,36,29,163,53,17,58,13,12,12,7,25,20
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau BSO De Boomhut,0153::SB802,,1676,517,2,1,0,0,0,462,58,0,0,0,0,0,0,520,63,18,30,99,92,18,90,23,6,12,4,47,15
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau OBS Glanerbrug Zuid,0153::SB803,,1554,651,2,4,0,0,0,560,97,0,0,0,0,0,0,657,89,41,55,138,95,33,96,25,10,19,3,26,21
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau CBS Drakensteyn,0153::SB804,,1568,409,0,2,0,1,0,362,50,0,0,0,1,0,0,412,28,48,48,64,54,21,59,33,6,18,4,16,10
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau Verpleeghuis Bruggerbosch,0153::SB805,,1726,684,0,0,0,0,0,618,66,0,0,0,0,0,0,684,81,85,96,79,129,28,97,39,6,18,5,4,17
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau OBS De Esmarke,0153::SB806,,1782,939,1,2,3,0,0,829,110,0,0,3,0,0,0,939,120,108,137,99,202,36,99,61,9,13,7,7,41
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau BSO 't Kraaiennest,0153::SB807,,1589,492,6,0,0,0,0,449,49,0,0,0,0,0,0,498,61,60,48,74,82,14,65,29,10,11,2,22,14
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau Meijer's Hoes,0153::SB808,,1282,554,3,1,0,0,0,504,55,1,0,0,1,0,0,559,56,28,37,159,85,12,82,21,2,16,4,26,26
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau Usselerschool,0153::SB901,,764,463,1,0,0,0,0,420,44,0,0,0,0,0,0,464,36,113,70,68,44,37,37,14,4,16,1,8,15
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau OBS Molenbeek dep,0153::SB902,,1530,977,3,4,4,0,0,913,75,0,0,0,4,0,0,988,89,212,172,154,88,74,77,24,9,43,3,8,24
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau Marcellinusschool Boekelo,0153::SB903,,1098,618,1,2,0,0,0,552,69,0,0,0,0,0,0,621,44,104,131,129,34,57,52,26,3,22,1,1,14
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau Dorpshuis Lonneker,0153::SB904,,1162,762,4,0,0,1,0,681,86,0,0,0,1,0,0,767,38,96,132,269,68,66,31,17,5,14,6,5,15
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau St. Liduinaschool,0153::SB905,,1042,486,1,4,0,0,0,436,55,0,0,0,0,0,0,491,26,94,75,163,35,24,25,19,2,11,6,0,6
