contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,GROENLINKS,Leefbaar Tynaarlo/EVZ-2000,Democraten 66 (D66),Gemeentebelangen Tynaarlo,CDA,ChristenUnie
,Tynaarlo,GR2014_Tynaarlo,Gemeenteraad Tynaarlo 2014,1730,Tynaarlo,2014-03-19,Stembureau Sprookjeshof,1730::SB15,9471 AR,1227,684,2,0,0,0,0,634,52,0,0,0,0,0,0,686,90,154,34,122,79,54,84,67
,Tynaarlo,GR2014_Tynaarlo,Gemeenteraad Tynaarlo 2014,1730,Tynaarlo,2014-03-19,Stembureau Sporthal De Zwet,1730::SB16,9472 RN,1318,885,3,1,0,0,0,815,74,0,0,0,0,0,0,889,120,113,104,131,147,106,69,95
,Tynaarlo,GR2014_Tynaarlo,Gemeenteraad Tynaarlo 2014,1730,Tynaarlo,2014-03-19,Stembureau Geref.Kerk Vrijgemaakt,1730::SB17,9471 PR,1375,823,3,1,0,0,0,782,45,0,0,0,0,0,0,827,96,92,98,89,80,35,134,199
,Tynaarlo,GR2014_Tynaarlo,Gemeenteraad Tynaarlo 2014,1730,Tynaarlo,2014-03-19,Stembureau Tienelswolde Woon Zorg Centrum,1730::SB18,9471 JD,1314,756,3,3,0,0,0,697,65,0,0,0,0,0,0,762,101,128,62,81,119,49,127,89
,Tynaarlo,GR2014_Tynaarlo,Gemeenteraad Tynaarlo 2014,1730,Tynaarlo,2014-03-19,Stembureau Rest. De Gasterie,1730::SB19,9475 PA,289,208,1,0,0,0,0,185,24,0,0,0,0,0,0,209,26,39,36,16,60,6,13,12
,Tynaarlo,GR2014_Tynaarlo,Gemeenteraad Tynaarlo 2014,1730,Tynaarlo,2014-03-19,Stembureau Soc.Cult.Gebouw,1730::SB20,9474 PD,253,170,1,0,0,0,0,154,17,0,0,0,0,0,0,171,16,31,11,70,9,3,17,13
,Tynaarlo,GR2014_Tynaarlo,Gemeenteraad Tynaarlo 2014,1730,Tynaarlo,2014-03-19,Stembureau Gemeentehuis,1730::SB21,9481 AW,1156,549,0,0,0,0,0,495,54,0,0,0,0,0,0,549,78,103,70,120,62,17,64,35
,Tynaarlo,GR2014_Tynaarlo,Gemeenteraad Tynaarlo 2014,1730,Tynaarlo,2014-03-19,Stembureau Openbare Bibliotheek,1730::SB22,9761 BA,1354,743,2,3,0,0,0,680,68,0,0,0,0,0,0,748,158,77,65,53,91,225,49,25
,Tynaarlo,GR2014_Tynaarlo,Gemeenteraad Tynaarlo 2014,1730,Tynaarlo,2014-03-19,Stembureau O.b.s. De Ekkel,1730::SB23,9761 HJ,1266,823,1,2,0,0,0,744,82,0,0,0,0,0,0,826,140,107,112,44,173,150,62,35
,Tynaarlo,GR2014_Tynaarlo,Gemeenteraad Tynaarlo 2014,1730,Tynaarlo,2014-03-19,Stembureau De Synagoge,1730::SB24,9471 KJ,1316,819,3,3,0,0,0,764,64,0,3,0,3,0,0,828,88,168,65,131,114,62,95,96
