contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),CDA,ChristenUnie,VVD,Eérste Lokale Partij (ELP),FNP,SP (Socialistische Partij),GROENLINKS,Democraten 66 (D66),Smallingerlands Belang
,Smallingerland,GR2014_Smallingerland,Gemeenteraad Smallingerland 2014,0090,Smallingerland,2014-03-19,Stembureau Basisschool 't Tweespan,0090::SB19,9205 BN,1962,1116,1,5,0,0,0,1047,75,0,0,0,0,0,0,1122,196,138,165,96,115,25,126,57,117,81
,Smallingerland,GR2014_Smallingerland,Gemeenteraad Smallingerland 2014,0090,Smallingerland,2014-03-19,Stembureau Dorpshuis 't Bynt Boornbergum,0090::SB20,9212 PK,1396,855,0,1,0,0,0,793,63,0,0,0,0,0,0,856,101,126,166,47,110,109,90,21,48,37
,Smallingerland,GR2014_Smallingerland,Gemeenteraad Smallingerland 2014,0090,Smallingerland,2014-03-19,Stembureau Lokaliteit De Nije Kompe Dr.comp.,0090::SB21,9222 NA,875,531,0,1,0,0,0,479,53,0,0,0,0,0,0,532,69,105,101,28,26,66,68,15,23,30
,Smallingerland,GR2014_Smallingerland,Gemeenteraad Smallingerland 2014,0090,Smallingerland,2014-03-19,Stembureau Dorpshuis De Huchte Houtigehage,0090::SB22,9223 LB,719,359,2,4,0,0,0,308,57,0,0,0,0,0,0,365,84,32,23,11,8,60,89,11,16,25
,Smallingerland,GR2014_Smallingerland,Gemeenteraad Smallingerland 2014,0090,Smallingerland,2014-03-19,Stembureau Dorpshuis Op 'e Jister Nijega,0090::SB23,9217 RL,333,210,0,0,0,0,0,191,19,0,0,0,0,0,0,210,21,94,29,10,8,20,11,0,10,7
,Smallingerland,GR2014_Smallingerland,Gemeenteraad Smallingerland 2014,0090,Smallingerland,2014-03-19,Stembureau Dorpshuis De Wringe Opeinde,0090::SB24,9218 PP,1298,866,0,1,0,0,0,781,86,0,0,0,0,0,0,867,111,228,145,39,46,56,92,19,49,81
,Smallingerland,GR2014_Smallingerland,Gemeenteraad Smallingerland 2014,0090,Smallingerland,2014-03-19,"Stembureau ""De Skippersseal"" Oudega",0090::SB25,9216 WP,1292,781,0,0,0,0,0,692,89,0,0,0,0,0,0,781,79,299,67,51,27,83,72,18,42,43
,Smallingerland,GR2014_Smallingerland,Gemeenteraad Smallingerland 2014,0090,Smallingerland,2014-03-19,Stembureau Dorpshuis It Tiksel Rottevalle,0090::SB26,9221 TG,1070,709,1,0,0,0,0,650,60,0,0,0,0,0,0,710,142,144,77,44,25,97,92,26,36,26
,Smallingerland,GR2014_Smallingerland,Gemeenteraad Smallingerland 2014,0090,Smallingerland,2014-03-19,Stembureau Galerie Buitengewoon De Wilgen,0090::SB27,9213 VG,609,462,0,1,0,0,0,411,52,0,0,0,0,0,0,463,63,92,44,69,103,21,13,11,42,4
,Smallingerland,GR2014_Smallingerland,Gemeenteraad Smallingerland 2014,0090,Smallingerland,2014-03-19,Stembureau De Naturij,0090::SB28,9204 WS,1257,574,0,0,0,0,0,528,46,0,0,0,0,0,0,574,108,56,77,62,67,11,71,38,56,28
,Smallingerland,GR2014_Smallingerland,Gemeenteraad Smallingerland 2014,0090,Smallingerland,2014-03-19,Stembureau Dorpshuis De Tike,0090::SB29,9219 WM,256,147,1,0,0,0,0,139,9,0,0,0,0,0,0,148,24,36,23,9,10,15,16,3,6,5
,Smallingerland,GR2014_Smallingerland,Gemeenteraad Smallingerland 2014,0090,Smallingerland,2014-03-19,Stembureau It Polderhûs,0090::SB30,9215 VZ,233,158,0,0,0,0,0,134,24,0,0,0,0,0,0,158,29,24,26,30,10,18,9,5,5,2
,Smallingerland,GR2014_Smallingerland,Gemeenteraad Smallingerland 2014,0090,Smallingerland,2014-03-19,Stembureau Vitalis,0090::SB31,9207 GL,1250,567,2,1,0,0,0,505,65,0,0,0,0,0,0,570,65,107,103,73,51,16,46,15,50,41
,Smallingerland,GR2014_Smallingerland,Gemeenteraad Smallingerland 2014,0090,Smallingerland,2014-03-19,Stembureau Sporthal De Drait,0090::SB32,9204 CM,847,494,4,3,0,0,0,472,29,0,0,0,0,0,0,501,96,64,66,24,82,9,55,17,51,30
,Smallingerland,GR2014_Smallingerland,Gemeenteraad Smallingerland 2014,0090,Smallingerland,2014-03-19,Stembureau Gemeentehuis (Raadzaal),0090::SB33,9203 RM,923,668,0,0,0,0,0,608,60,0,0,0,0,0,0,668,127,102,81,63,65,20,92,19,69,30
,Smallingerland,GR2014_Smallingerland,Gemeenteraad Smallingerland 2014,0090,Smallingerland,2014-03-19,Stembureau PCBO Het Anker,0090::SB34,9207 CZ,1023,488,1,2,0,0,0,444,47,0,0,0,0,0,0,491,66,78,108,22,41,20,59,18,47,29
