contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Beter Voor Dordt,Partij van de Arbeid (P.v.d.A.),VVD,GROENLINKS,CDA,ChristenUnie-SGP,Democraten 66 (D66),WEK Dordrecht,SP (Socialistische Partij),Verenigde Senioren Partij
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Wooncentrum Watersteijn,0505::SB54,3317 NV,1046,560,0,1,0,0,0,490,71,0,0,0,0,0,0,561,168,34,96,16,52,50,59,9,25,51
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Postillion Hotel,0505::SB55,3316 EH,610,279,0,1,0,1,0,244,35,0,0,1,0,0,0,279,84,20,38,5,38,31,12,10,32,9
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Wooncentrum de Klockelaer,0505::SB60,3317 JS,1155,507,0,5,0,0,0,463,48,0,1,1,0,0,0,511,204,52,24,10,34,33,15,5,42,88
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau J.F. Kennedyschool,0505::SB61,3317 KM,1233,458,0,3,0,0,0,411,50,0,0,0,0,0,0,461,139,76,26,15,32,49,34,5,39,43
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Trefpunt de Nieuwe Stoof,0505::SB63,3317 LA,1450,619,1,3,0,0,0,574,49,0,0,0,0,0,0,623,217,82,21,15,58,31,44,5,78,68
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Kerk van de Nazarener,0505::SB64,3317 RD,1091,324,1,2,0,0,0,297,30,0,0,0,0,0,0,327,67,61,11,10,42,30,17,7,52,27
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Schoolgebouw,0505::SB65,3317 LC,1218,147,0,2,0,0,0,133,16,0,0,0,0,0,0,149,41,34,11,0,9,7,13,3,18,11
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Zorgcentrum Vreedonk,0505::SB66,3317 HS,784,544,0,1,0,0,0,489,56,0,0,0,0,0,0,545,143,22,34,9,109,128,35,3,25,36
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Bewonersver. 't Trefpunt,0505::SB70,3318 JJ,1217,776,1,1,0,0,0,696,82,0,0,0,0,0,0,778,289,55,55,19,82,70,60,11,54,81
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Dep J.F. Kennedyschool,0505::SB71,3318 BE,1308,661,1,3,0,0,0,607,58,0,0,0,0,0,0,665,255,68,25,20,71,88,43,6,49,36
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Cultureel Centrum Sterrenburg,0505::SB72,3318 CB,1173,444,0,1,0,0,0,405,40,0,0,0,0,0,0,445,148,59,26,10,39,40,20,10,45,47
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,"Stembureau Wielborgh, het Sterrenwiel",0505::SB73,3318 DA,970,664,1,6,1,0,0,610,60,0,0,1,0,0,0,670,232,81,26,15,55,53,27,2,75,98
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Verpleegtehuis Sterrenlanden,0505::SB74,3328 HN,1493,819,2,1,0,0,0,725,97,0,0,0,0,0,0,822,314,55,65,29,95,87,56,15,65,38
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Polyanderschool,0505::SB75,3328 GA,1373,604,0,3,0,0,0,549,58,0,0,0,0,0,0,607,200,72,18,7,51,115,32,17,41,51
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau School de Driehoek,0505::SB76,3328 KG,1412,759,2,0,0,1,0,713,49,0,0,0,1,0,0,762,287,63,57,24,90,40,81,15,59,43
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau School De Sterrekijker,0505::SB77,3328 KC,1352,734,1,4,1,0,0,649,89,0,0,1,0,0,0,738,282,52,64,28,105,40,82,2,44,35
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau School De Keerkring,0505::SB78,3328 TG,1434,633,4,0,0,0,0,572,65,0,0,0,0,0,0,637,279,38,40,30,45,20,56,7,67,51
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Ontmoetingskerk,0505::SB81,3328 DN,1475,1067,3,0,0,0,0,968,102,0,0,0,0,0,0,1070,418,75,104,56,86,59,129,23,74,43
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau School De Meridiaan,0505::SB82,3328 AE,1432,759,2,1,0,0,0,688,74,0,0,0,0,0,0,762,269,48,86,36,80,25,113,4,62,36
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau School Het Kristal Dependance,0505::SB83,3328 VC,1362,420,0,1,0,0,0,385,36,0,0,0,0,0,0,421,176,31,30,11,54,18,25,6,37,32
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau School Het Kristal,0505::SB84,3328 ME,1434,809,7,0,0,0,0,719,97,0,0,0,0,0,0,816,285,45,56,39,110,85,82,8,70,29
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Verzorgingshuis Dubbelmonde,0505::SB91,3319 PH,1442,1084,1,5,0,1,0,980,109,0,0,1,0,0,0,1089,382,58,114,23,189,125,80,9,38,66
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau De Rank,0505::SB93,3319 EM,1437,973,4,1,0,0,0,855,123,0,0,0,0,0,0,978,402,48,85,20,151,120,53,9,43,42
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Verpleeghuis Het Parkhuis,0505::SB94,3319 GB,1417,865,1,0,0,4,0,761,109,0,0,0,4,0,0,870,341,36,90,17,110,112,69,23,36,31
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau De Rank,0505::SB95,3319 EM,1181,572,0,1,0,0,0,519,54,0,0,0,0,0,0,573,227,16,50,7,98,78,38,13,25,20
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Julianaschool,0505::SB96,3319 TB,1390,983,1,2,0,0,0,881,106,0,1,0,1,0,0,987,414,38,95,12,149,109,80,13,44,29
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Wooncentrum De Gravenhorst,0505::SB97,3319 PK,1515,965,1,1,0,2,0,869,96,0,0,2,0,0,0,965,409,45,118,20,134,93,43,14,40,49
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Hotel de Watertoren,0505::SB98,3319 LC,1528,846,0,0,0,0,0,737,109,0,0,0,0,0,0,846,291,31,153,18,105,92,102,26,14,14
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Gymzaal,0505::SB101,3315 AS,1427,485,0,0,0,0,0,431,54,0,0,0,0,0,0,485,186,48,40,18,50,33,38,3,54,15
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Oranje Nassauschool,0505::SB102,3315 AT,1221,573,3,4,0,0,0,516,64,0,0,0,0,0,0,580,216,53,37,21,46,62,41,11,54,32
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Voormalige Peuterspeelzaal,0505::SB103,3315 TD,1392,663,0,3,0,0,0,591,75,0,0,0,0,0,0,666,227,56,44,23,48,91,68,13,50,43
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Geert Grooteschool,0505::SB104,3315 SB,1250,540,0,2,0,0,0,474,70,0,2,0,2,0,0,544,180,47,53,19,39,54,56,3,45,44
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Geert Grooteschool,0505::SB105,3315 SB,1032,591,1,1,0,0,0,536,57,0,0,0,0,0,0,593,240,48,66,17,61,30,58,4,47,20
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,"Stembureau Wielborgh, het Polderwiel",0505::SB106,3315 KA,841,1014,2,4,0,2,0,924,98,0,0,0,2,0,0,1022,392,76,81,24,97,47,88,12,89,108
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Portacabin,0505::SB107,3315 GM,1402,518,3,2,0,0,0,466,57,0,0,0,0,0,0,523,202,30,34,20,48,61,47,3,41,32
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Portacabin,0505::SB108,3315 GM,1432,459,0,4,0,0,0,420,43,0,0,0,0,0,0,463,188,30,28,16,49,42,41,5,33,27
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Kandelaarkerk,0505::SB109,3315 KW,633,383,3,3,0,0,0,347,42,0,0,0,0,0,0,389,140,18,39,12,44,44,36,7,25,18
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Speeltuin Stadspolders,0505::SB110,3315 TR,1418,564,3,2,0,0,0,510,59,0,0,0,0,0,0,569,226,45,67,18,59,30,54,5,38,22
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau School De Bever,0505::SB111,3315 MB,1590,890,1,1,0,0,0,792,100,0,0,0,0,0,0,892,321,63,116,49,91,55,106,16,43,30
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Johan Frisoschool Dependance,0505::SB112,3315 WX,1530,784,1,2,0,0,0,671,116,0,0,0,0,0,0,787,272,76,108,28,70,63,99,5,30,33
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Portacabin Centraal Station,0505::SB200,3311 JV,0,911,1,5,0,0,0,855,62,0,0,0,0,0,0,917,187,79,72,119,53,80,203,17,84,17
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,"Stembureau Alb. Schweitzerzhs, Dordtwijk",0505::SB210,3318 AT,88,437,0,1,0,0,0,399,39,0,0,0,0,0,0,438,184,38,32,11,38,22,48,6,34,24
