contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Algemeen Belang Zwijndrecht,P.v.d.A.,CDA,ChristenUnie-SGP,Democraten 66 (D66),GROENLINKS,Perengenootschap Zwijndrechtse Waard,Zwijndrechtse Plus Partij
,Zwijndrecht,GR2014_Zwijndrecht,Gemeenteraad Zwijndrecht 2014,0642,Zwijndrecht,2014-03-19,Stembureau Wijgebouw De Wentelwiek,0642::SB11,,1024,588,2,2,0,1,0,525,66,0,0,1,0,0,0,591,60,95,66,73,137,64,27,22,44
,Zwijndrecht,GR2014_Zwijndrecht,Gemeenteraad Zwijndrecht 2014,0642,Zwijndrecht,2014-03-19,Stembureau Wijkcentrum Kort Ambacht Zuid,0642::SB12,,1801,572,3,6,0,0,0,523,58,0,0,0,0,0,0,581,39,111,129,43,117,43,29,13,48
,Zwijndrecht,GR2014_Zwijndrecht,Gemeenteraad Zwijndrecht 2014,0642,Zwijndrecht,2014-03-19,Stembureau School De Bron,0642::SB13,,1770,699,2,1,0,0,0,638,64,0,0,0,0,0,0,702,98,131,89,88,111,57,42,16,67
,Zwijndrecht,GR2014_Zwijndrecht,Gemeenteraad Zwijndrecht 2014,0642,Zwijndrecht,2014-03-19,Stembureau Woonzorgcentrum Swinhove,0642::SB14,,1581,592,3,7,0,0,0,548,54,0,0,0,0,0,0,602,72,122,66,93,87,40,24,21,67
,Zwijndrecht,GR2014_Zwijndrecht,Gemeenteraad Zwijndrecht 2014,0642,Zwijndrecht,2014-03-19,Stembureau Kubiek,0642::SB15,,1939,798,8,2,0,0,0,748,60,0,0,0,0,0,0,808,83,176,106,96,113,95,35,37,57
,Zwijndrecht,GR2014_Zwijndrecht,Gemeenteraad Zwijndrecht 2014,0642,Zwijndrecht,2014-03-19,Stembureau Voormalig John F. Kennedey school,0642::SB16,,1791,785,2,3,0,0,0,707,83,0,0,0,0,0,0,790,116,139,104,102,99,95,39,33,58
,Zwijndrecht,GR2014_Zwijndrecht,Gemeenteraad Zwijndrecht 2014,0642,Zwijndrecht,2014-03-19,Stembureau School De Twee Wieken,0642::SB17,,1792,974,4,6,0,0,0,891,93,0,0,0,0,0,0,984,145,196,89,151,123,119,62,35,54
,Zwijndrecht,GR2014_Zwijndrecht,Gemeenteraad Zwijndrecht 2014,0642,Zwijndrecht,2014-03-19,Stembureau Sportcomplex De Hoge Devel,0642::SB18,,1552,649,4,2,0,0,0,587,68,0,0,0,0,0,0,655,57,128,75,95,89,98,30,26,51
,Zwijndrecht,GR2014_Zwijndrecht,Gemeenteraad Zwijndrecht 2014,0642,Zwijndrecht,2014-03-19,Stembureau Wijkcentrum 't Klankbord,0642::SB19,,1711,950,2,6,0,0,0,866,92,0,0,0,0,0,0,958,159,231,84,129,97,112,38,27,73
,Zwijndrecht,GR2014_Zwijndrecht,Gemeenteraad Zwijndrecht 2014,0642,Zwijndrecht,2014-03-19,Stembureau School De Notenbalk,0642::SB20,,1974,942,7,4,0,1,0,847,105,0,0,1,0,0,0,952,203,206,60,117,127,137,36,11,45
,Zwijndrecht,GR2014_Zwijndrecht,Gemeenteraad Zwijndrecht 2014,0642,Zwijndrecht,2014-03-19,Stembureau Voormalig Gemeentehuis Heerjansdam,0642::SB21,,1340,641,2,10,1,0,0,587,65,0,0,1,0,0,0,652,114,74,55,126,48,164,33,12,15
,Zwijndrecht,GR2014_Zwijndrecht,Gemeenteraad Zwijndrecht 2014,0642,Zwijndrecht,2014-03-19,Stembureau Multifunctioneel gebouw RaJuBiBos,0642::SB22,,1659,992,3,6,0,1,0,907,95,0,0,0,1,0,0,1002,191,104,54,233,65,252,40,16,37
,Zwijndrecht,GR2014_Zwijndrecht,Gemeenteraad Zwijndrecht 2014,0642,Zwijndrecht,2014-03-19,Stembureau NS-station Zwijndrecht,0642::SB23,,0,589,7,6,0,0,0,558,46,0,2,0,2,0,0,604,71,112,69,43,90,96,52,22,34
,Zwijndrecht,GR2014_Zwijndrecht,Gemeenteraad Zwijndrecht 2014,0642,Zwijndrecht,2014-03-19,Stembureau Winkelcentrum Walburg,0642::SB24,,0,427,1,1,0,0,0,400,29,0,0,0,0,0,0,429,56,81,60,52,44,53,31,12,38
