contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Democraten 66 (D66),VVD,Partij van de Arbeid (P.v.d.A.),Gemeentebelangen Berkelland,Ondernemend Berkelland (OBL),GROENLINKS,zonder aanduiding met als 1e kandidaat H. Roverts
,Berkelland,GR2014_Berkelland,Gemeenteraad Berkelland 2014,1859,Berkelland,2014-03-19,Stembureau Zalencentrum de Huve,1859::SB13,7151 BD,1705,1030,0,1,0,0,0,948,83,0,0,0,0,0,0,1031,209,210,104,162,116,127,90,12
,Berkelland,GR2014_Berkelland,Gemeenteraad Berkelland 2014,1859,Berkelland,2014-03-19,Stembureau Woonzorgcentrum de Meergaarden,1859::SB14,7151 DW,1334,999,4,3,0,0,0,933,73,0,0,0,0,0,0,1006,187,169,69,208,148,139,69,10
,Berkelland,GR2014_Berkelland,Gemeenteraad Berkelland 2014,1859,Berkelland,2014-03-19,Stembureau RK Basisschool De Regenboog,1859::SB15,7151 XV,1529,972,4,1,0,0,0,904,73,0,0,0,0,0,0,977,162,178,58,188,130,151,98,7
,Berkelland,GR2014_Berkelland,Gemeenteraad Berkelland 2014,1859,Berkelland,2014-03-19,Stembureau RK Basisschool de Schakel,1859::SB16,7152 BG,1402,653,0,3,0,0,0,587,69,0,0,0,0,0,0,656,126,165,58,103,85,66,48,2
,Berkelland,GR2014_Berkelland,Gemeenteraad Berkelland 2014,1859,Berkelland,2014-03-19,Stembureau OBS De Steege,1859::SB17,7152 BG,1392,869,4,3,0,0,0,801,75,0,0,0,0,0,0,876,185,175,92,135,104,119,57,2
,Berkelland,GR2014_Berkelland,Gemeenteraad Berkelland 2014,1859,Berkelland,2014-03-19,Stembureau Centrum d'n Hof,1859::SB18,7157 AL,1316,723,0,0,0,0,0,652,71,0,0,0,0,0,0,723,220,98,100,62,58,99,79,7
,Berkelland,GR2014_Berkelland,Gemeenteraad Berkelland 2014,1859,Berkelland,2014-03-19,Stembureau Woonzorgcentrum De Hassinkhof,1859::SB19,7156 LL,1067,682,0,2,0,0,0,628,56,0,0,0,0,0,0,684,459,57,59,15,34,40,18,0
,Berkelland,GR2014_Berkelland,Gemeenteraad Berkelland 2014,1859,Berkelland,2014-03-19,Stembureau Dorpshuis de Wanne,1859::SB20,7156 ML,1207,802,0,0,0,0,0,730,72,0,0,0,0,0,0,802,538,56,82,13,36,54,21,2
,Berkelland,GR2014_Berkelland,Gemeenteraad Berkelland 2014,1859,Berkelland,2014-03-19,Stembureau De Hofmaat,1859::SB21,7161 HA,1409,922,8,5,0,0,0,862,73,0,0,0,0,0,0,935,137,337,53,124,124,77,30,40
,Berkelland,GR2014_Berkelland,Gemeenteraad Berkelland 2014,1859,Berkelland,2014-03-19,Stembureau Het Assink Lyceum,1859::SB22,7161 CR,1345,696,1,1,0,0,0,623,81,0,0,0,6,0,0,704,110,287,54,64,68,73,25,15
,Berkelland,GR2014_Berkelland,Gemeenteraad Berkelland 2014,1859,Berkelland,2014-03-19,Stembureau OBS De Hofmaat,1859::SB23,7161 JH,1377,746,2,3,0,0,0,669,82,0,0,0,0,0,0,751,120,258,51,78,91,72,25,51
,Berkelland,GR2014_Berkelland,Gemeenteraad Berkelland 2014,1859,Berkelland,2014-03-19,Stembureau Ontmoetingsruimte de Witte,1859::SB24,7161 CW,1418,902,1,5,0,0,0,833,75,0,0,0,0,0,0,908,167,323,40,96,132,91,14,39
,Berkelland,GR2014_Berkelland,Gemeenteraad Berkelland 2014,1859,Berkelland,2014-03-19,Stembureau Basisschool de Marke,1859::SB25,7161 XZ,1406,827,0,4,0,0,0,750,81,0,0,0,0,0,0,831,156,295,51,99,83,68,42,33
,Berkelland,GR2014_Berkelland,Gemeenteraad Berkelland 2014,1859,Berkelland,2014-03-19,Stembureau Dorpsaccommodatie Rietmolen,1859::SB26,7165 AL,816,560,0,1,0,0,0,508,53,0,0,0,0,0,0,561,409,35,23,6,16,57,11,3
,Berkelland,GR2014_Berkelland,Gemeenteraad Berkelland 2014,1859,Berkelland,2014-03-19,Stembureau Gemeenschaphuis 't Haarhoes,1859::SB27,7161 MX,737,453,0,2,0,0,0,408,47,0,0,0,0,0,0,455,82,101,100,37,69,47,13,4
,Berkelland,GR2014_Berkelland,Gemeenteraad Berkelland 2014,1859,Berkelland,2014-03-19,Stembureau ProWonen,1859::SB28,7151 CE,1412,518,3,1,0,0,0,485,37,0,0,0,0,0,0,522,87,106,46,76,65,89,42,7
,Berkelland,GR2014_Berkelland,Gemeenteraad Berkelland 2014,1859,Berkelland,2014-03-19,Stembureau Kulturhus Ruurlo,1859::SB29,7261 NL,1391,904,5,0,0,0,0,828,81,0,0,0,0,0,0,909,183,220,230,78,86,60,44,3
