contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),CDA,Stadspartij Den Helder,ChristenUnie,GROENLINKS,Behoorlijk Bestuur,Helder Onafhankelijk!,Vrije Socialisten
,Den Helder,GR2014_DenHelder,Gemeenteraad Den Helder 2014,0400,Den Helder,2014-03-19,"Stembureau Amateur tuindersver. ""Texelstroom""",0400::SB11,,1244,525,1,1,0,0,0,478,49,0,0,0,0,0,0,527,49,48,55,45,172,43,30,17,53,13
,Den Helder,GR2014_DenHelder,Gemeenteraad Den Helder 2014,0400,Den Helder,2014-03-19,"Stembureau Buurthuis ""de Kroft""",0400::SB12,,916,296,2,0,0,0,0,277,21,0,0,0,0,0,0,298,20,29,30,24,106,18,16,13,27,13
,Den Helder,GR2014_DenHelder,Gemeenteraad Den Helder 2014,0400,Den Helder,2014-03-19,"Stembureau Muziekvereniging ""Winnubst""",0400::SB13,,1721,832,0,3,0,0,0,763,73,0,1,0,1,0,0,836,85,98,64,103,289,42,44,22,54,31
,Den Helder,GR2014_DenHelder,Gemeenteraad Den Helder 2014,0400,Den Helder,2014-03-19,"Stembureau mfc ""t Wijkhuis""",0400::SB14,,1890,652,3,3,0,0,0,615,43,0,0,0,0,0,0,658,52,59,79,80,191,59,34,13,44,41
,Den Helder,GR2014_DenHelder,Gemeenteraad Den Helder 2014,0400,Den Helder,2014-03-19,"Stembureau Buurthuis ""Zuid-Ooster""",0400::SB15,,2215,993,5,4,0,1,0,915,88,0,0,0,1,0,0,1003,134,154,45,82,310,59,51,29,97,32
,Den Helder,GR2014_DenHelder,Gemeenteraad Den Helder 2014,0400,Den Helder,2014-03-19,"Stembureau Gebouw tennispark naast sporth ""De Brug""",0400::SB16,,1885,715,4,5,0,0,0,673,51,0,0,0,0,0,0,724,134,74,31,65,286,29,21,16,44,15
,Den Helder,GR2014_DenHelder,Gemeenteraad Den Helder 2014,0400,Den Helder,2014-03-19,Stembureau Sticht. Huurdersbelangen De Schooten,0400::SB17,,1323,595,0,1,0,0,0,541,55,0,0,0,0,0,0,596,34,54,57,86,232,28,13,18,48,25
,Den Helder,GR2014_DenHelder,Gemeenteraad Den Helder 2014,0400,Den Helder,2014-03-19,"Stembureau Baptistengemeente ""Het Lichtbaken""",0400::SB18,,1355,554,2,0,0,0,0,512,44,0,0,0,0,0,0,556,56,47,40,66,206,41,17,19,47,15
,Den Helder,GR2014_DenHelder,Gemeenteraad Den Helder 2014,0400,Den Helder,2014-03-19,"Stembureau MFC ""De Boerderij""",0400::SB19,,1803,920,2,2,0,0,0,839,85,0,0,0,0,0,0,924,92,105,74,87,380,43,17,30,62,30
,Den Helder,GR2014_DenHelder,Gemeenteraad Den Helder 2014,0400,Den Helder,2014-03-19,Stembureau De Vredeskerk,0400::SB20,,1728,1010,11,4,0,0,0,1025,0,0,0,0,0,0,0,1025,119,89,64,123,390,35,30,47,85,28
,Den Helder,GR2014_DenHelder,Gemeenteraad Den Helder 2014,0400,Den Helder,2014-03-19,"Stembureau Woon- en zorgcentrum ""Buitenveld""",0400::SB21,,1320,791,1,2,0,1,0,713,82,0,0,0,1,0,0,795,135,62,48,223,189,28,25,32,33,16
,Den Helder,GR2014_DenHelder,Gemeenteraad Den Helder 2014,0400,Den Helder,2014-03-19,"Stembureau buurthuis "" 't Zwanenest """,0400::SB22,,1818,738,4,3,0,0,0,659,86,0,0,0,0,0,0,745,92,76,49,88,235,34,33,24,66,41
,Den Helder,GR2014_DenHelder,Gemeenteraad Den Helder 2014,0400,Den Helder,2014-03-19,"Stembureau Gymzaal OBS ""Vogelwei""",0400::SB23,,1485,713,2,1,1,0,0,636,79,0,0,1,0,0,0,715,124,100,57,80,194,28,26,36,52,16
,Den Helder,GR2014_DenHelder,Gemeenteraad Den Helder 2014,0400,Den Helder,2014-03-19,"Stembureau Gymzaal OBS ""Vogelwei""",0400::SB24,,1198,643,2,2,1,1,0,578,71,0,0,0,2,0,0,649,131,83,38,88,186,18,16,26,43,14
,Den Helder,GR2014_DenHelder,Gemeenteraad Den Helder 2014,0400,Den Helder,2014-03-19,"Stembureau Dorpshuis Julianadorp ""Drooghe Bol""",0400::SB25,,2446,967,6,4,0,0,0,867,110,0,0,0,0,0,0,977,135,123,33,118,309,56,38,31,93,31
,Den Helder,GR2014_DenHelder,Gemeenteraad Den Helder 2014,0400,Den Helder,2014-03-19,"Stembureau Dorpshuis Julianadorp ""Drooghe Bol""",0400::SB26,,1975,920,1,2,0,1,0,830,94,0,0,0,1,0,0,924,142,133,57,108,244,51,41,38,76,30
,Den Helder,GR2014_DenHelder,Gemeenteraad Den Helder 2014,0400,Den Helder,2014-03-19,"Stembureau Wijksteunpunt ""De Verbinding""",0400::SB27,,1303,676,2,1,0,0,0,629,50,0,0,0,0,0,0,679,124,81,31,77,225,26,28,31,41,12
,Den Helder,GR2014_DenHelder,Gemeenteraad Den Helder 2014,0400,Den Helder,2014-03-19,"Stembureau Verenigingsgebouw ""De Jutter""",0400::SB28,,1610,582,1,6,0,0,0,535,54,0,0,0,0,0,0,589,49,55,37,53,229,32,25,13,59,30
,Den Helder,GR2014_DenHelder,Gemeenteraad Den Helder 2014,0400,Den Helder,2014-03-19,"Stembureau Stadhuis Den Helder, kamer Burgemeester",0400::SB29,,0,225,0,4,0,0,0,210,19,0,0,0,0,0,0,229,45,45,10,27,43,6,12,2,23,12
,Den Helder,GR2014_DenHelder,Gemeenteraad Den Helder 2014,0400,Den Helder,2014-03-19,"Stembureau Sport en jeugdcentrum ""De Draaikolk""",0400::SB30,,652,460,0,1,0,0,0,405,56,0,0,0,0,0,0,461,57,38,26,69,154,39,20,38,12,7
,Den Helder,GR2014_DenHelder,Gemeenteraad Den Helder 2014,0400,Den Helder,2014-03-19,Stembureau Koninklijk Instituut v. d. Marine (KIM),0400::SB31,,0,42,1,1,0,0,0,42,2,0,0,0,0,0,0,44,11,3,1,4,7,5,0,5,3,3
,Den Helder,GR2014_DenHelder,Gemeenteraad Den Helder 2014,0400,Den Helder,2014-03-19,"Stembureau Museumonderzeeboot ""Tonijn""",0400::SB32,,0,255,1,1,0,0,0,235,22,0,0,0,0,0,0,257,31,54,13,18,66,3,13,8,38,11
,Den Helder,GR2014_DenHelder,Gemeenteraad Den Helder 2014,0400,Den Helder,2014-03-19,Stembureau Havenkantoor / Verkeerscentrale,0400::SB33,,0,100,0,0,0,0,0,92,8,0,0,0,0,0,0,100,17,19,10,5,32,1,5,2,7,2
,Den Helder,GR2014_DenHelder,Gemeenteraad Den Helder 2014,0400,Den Helder,2014-03-19,"Stembureau ""Admiraalszaal"" in het ""Paleis""",0400::SB34,,0,127,0,0,0,0,0,118,9,0,0,0,0,0,0,127,15,24,15,11,36,5,6,4,5,6
,Den Helder,GR2014_DenHelder,Gemeenteraad Den Helder 2014,0400,Den Helder,2014-03-19,Stembureau De Kustwachttoren,0400::SB35,,0,213,2,0,0,0,0,203,12,0,0,0,0,0,0,215,34,37,10,8,63,11,27,9,11,3
