contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Sterk Meppel (SteM),VVD,Partij van de Arbeid (P.v.d.A.),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,SP (Socialistische Partij)
,Meppel,GR2014_Meppel,Gemeenteraad Meppel 2014,0119,Meppel,2014-03-19,Stembureau Villa Mobila,0119::SB11,,882,354,1,2,0,0,0,330,27,0,0,0,0,0,0,357,77,31,71,28,30,35,24,58
,Meppel,GR2014_Meppel,Gemeenteraad Meppel 2014,0119,Meppel,2014-03-19,Stembureau Woon-zorgcentrum Reestoord,0119::SB12,,901,456,0,1,0,0,0,419,38,0,0,0,0,0,0,457,94,54,74,72,38,53,16,55
,Meppel,GR2014_Meppel,Gemeenteraad Meppel 2014,0119,Meppel,2014-03-19,Stembureau Woon-zorgcentrum A.B.C.,0119::SB13,,1314,778,6,4,0,0,0,736,52,0,0,0,0,0,0,788,145,129,97,110,89,108,26,74
,Meppel,GR2014_Meppel,Gemeenteraad Meppel 2014,0119,Meppel,2014-03-19,Stembureau Sporthal Koedijkslanden,0119::SB14,,1609,730,0,7,0,0,0,690,47,0,0,0,0,0,0,737,209,47,122,89,46,73,30,114
,Meppel,GR2014_Meppel,Gemeenteraad Meppel 2014,0119,Meppel,2014-03-19,Stembureau MFK “Het Palet” (hoofdingang),0119::SB16,,1451,942,3,12,0,0,0,881,76,0,0,0,0,0,0,957,247,118,142,96,59,110,45,125
,Meppel,GR2014_Meppel,Gemeenteraad Meppel 2014,0119,Meppel,2014-03-19,Stembureau Wijkcentrum Oosterboer,0119::SB17,,1099,809,3,0,0,0,0,750,62,0,0,0,0,0,0,812,164,120,98,83,137,93,43,71
,Meppel,GR2014_Meppel,Gemeenteraad Meppel 2014,0119,Meppel,2014-03-19,Stembureau Het Erf (H. van Boeijen),0119::SB18,,1034,620,1,2,0,0,0,571,52,0,0,0,0,0,0,623,121,115,64,71,78,79,26,66
,Meppel,GR2014_Meppel,Gemeenteraad Meppel 2014,0119,Meppel,2014-03-19,Stembureau School 2 Sprong,0119::SB19,,904,598,0,4,0,0,0,551,51,0,0,0,0,0,0,602,137,107,74,70,86,50,25,49
,Meppel,GR2014_Meppel,Gemeenteraad Meppel 2014,0119,Meppel,2014-03-19,Stembureau Verpleeghuis Reggersoord,0119::SB20,,366,196,1,0,0,0,0,176,21,0,0,0,0,0,0,197,53,43,21,24,19,10,14,12
,Meppel,GR2014_Meppel,Gemeenteraad Meppel 2014,0119,Meppel,2014-03-19,Stembureau Clubhuis Blue Devils,0119::SB21,,1634,993,1,2,0,0,0,880,116,0,0,0,0,0,0,996,154,276,91,91,145,154,32,50
,Meppel,GR2014_Meppel,Gemeenteraad Meppel 2014,0119,Meppel,2014-03-19,Stembureau Mobiel Stembureau,0119::SB22,,0,232,0,2,0,0,0,218,16,0,0,0,0,0,0,234,51,42,41,23,24,19,16,16
,Meppel,GR2014_Meppel,Gemeenteraad Meppel 2014,0119,Meppel,2014-03-19,Stembureau Woon-zorgcentrum Het Kerspel,0119::SB30,,1374,861,0,5,0,0,0,794,74,0,0,0,2,0,0,868,183,163,84,198,92,79,20,42
,Meppel,GR2014_Meppel,Gemeenteraad Meppel 2014,0119,Meppel,2014-03-19,Stembureau Dorpshuis de Schalle,0119::SB31,,1513,915,2,3,0,0,0,850,70,0,0,0,0,0,0,920,195,126,66,253,85,69,41,80
