contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,DOS,Communiceren Met Burgers (CMB),CDA,Partij van de Arbeid (P.v.d.A.),Volkspartij voor Vrijheid en Democratie ( VVD ),Democraten 66 (D66),Politieke vereniging Steins Belang
,Stein,GR2014_Stein,Gemeenteraad Stein 2014,0971,Stein,2014-03-19,Stembureau Bramerthof,0971::SB11,6129PV,961,401,0,1,1,0,0,366,37,0,0,0,1,0,0,403,157,61,59,29,19,44,32
,Stein,GR2014_Stein,Gemeenteraad Stein 2014,0971,Stein,2014-03-19,Stembureau Woonzorgcentrum Urmonderhof,0971::SB12,6129PB,1153,704,2,0,0,0,0,615,91,0,0,0,0,0,0,706,241,69,176,37,23,90,68
,Stein,GR2014_Stein,Gemeenteraad Stein 2014,0971,Stein,2014-03-19,Stembureau Fanfarezaal,0971::SB13,6129CR,770,420,3,2,0,0,0,387,38,0,0,0,0,0,0,425,205,33,86,32,9,28,27
,Stein,GR2014_Stein,Gemeenteraad Stein 2014,0971,Stein,2014-03-19,Stembureau Multifuntioneel centrum Berg a/d Maas,0971::SB14,6129PG,913,669,5,5,0,0,0,599,80,0,0,0,0,0,0,679,184,81,249,21,22,32,80
,Stein,GR2014_Stein,Gemeenteraad Stein 2014,0971,Stein,2014-03-19,Stembureau Kantine Sporthal Overmunthe,0971::SB15,6129CE,865,340,1,4,0,0,0,323,22,0,0,0,0,0,0,345,139,27,84,19,24,23,24
,Stein,GR2014_Stein,Gemeenteraad Stein 2014,0971,Stein,2014-03-19,Stembureau Bejaardencentrum La Famille,0971::SB16,6181LB,977,410,2,3,0,0,0,370,45,0,0,0,0,0,0,415,125,133,48,15,40,30,19
,Stein,GR2014_Stein,Gemeenteraad Stein 2014,0971,Stein,2014-03-19,Stembureau Zaal kerk H. Augustinus,0971::SB17,6181CL,856,548,3,3,0,0,0,496,58,0,0,0,0,0,0,554,217,132,53,40,37,39,30
,Stein,GR2014_Stein,Gemeenteraad Stein 2014,0971,Stein,2014-03-19,Stembureau Kantine Tennisvereniging,0971::SB18,6181JG,896,638,5,2,0,0,0,562,83,0,0,0,0,0,0,645,254,130,91,35,83,36,9
,Stein,GR2014_Stein,Gemeenteraad Stein 2014,0971,Stein,2014-03-19,Stembureau Basisschool Sint Jozef,0971::SB19,6181BW,833,478,2,1,0,0,0,424,57,0,0,0,0,0,0,481,137,159,60,38,44,24,16
,Stein,GR2014_Stein,Gemeenteraad Stein 2014,0971,Stein,2014-03-19,Stembureau Maaslandcentrum Elsloo,0971::SB20,6181EA,1014,778,5,8,0,1,0,690,102,0,0,0,1,0,0,792,295,179,65,54,87,35,63
,Stein,GR2014_Stein,Gemeenteraad Stein 2014,0971,Stein,2014-03-19,Stembureau Basisschool Elckerlyc,0971::SB21,6181BP,953,491,0,0,0,0,0,434,57,0,0,0,0,0,0,491,162,101,62,47,55,37,27
,Stein,GR2014_Stein,Gemeenteraad Stein 2014,0971,Stein,2014-03-19,Stembureau Café zaal De Dikke Stein,0971::SB22,6181GN,883,436,1,3,0,0,0,397,43,0,0,0,0,0,0,440,189,90,24,44,23,46,20
