contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Leefbaar Schouwen-Duiveland,Staatkundig Gereformeerde Partij (SGP),CDA,Partij van de Arbeid (P.v.d.A.),alert!,ChristenUnie,GROENLINKS,Democraten 66 (D66),SP (Socialistische Partij),Onafhankelijk Schouwen-Duiveland (ONS)
,Schouwen-Duiveland,GR2014_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2014,1676,Schouwen-Duiveland,2014-03-19,Stembureau De Saele,1676::SB11,4307 LL,932,567,3,0,0,0,0,488,82,0,0,0,0,0,0,570,31,105,261,41,28,16,40,3,7,31,4
,Schouwen-Duiveland,GR2014_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2014,1676,Schouwen-Duiveland,2014-03-19,Stembureau Verenigingsgebouw Ouwerkerk,1676::SB12,4305 AH,518,377,0,1,0,0,0,331,48,0,1,0,1,0,0,379,49,138,15,36,29,10,9,4,22,57,8
,Schouwen-Duiveland,GR2014_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2014,1676,Schouwen-Duiveland,2014-03-19,Stembureau Verenigingsgebouw Sirjansland,1676::SB13,4308 AE,262,220,1,4,0,0,0,190,35,0,0,0,0,0,0,225,21,46,45,37,8,7,10,12,1,11,22
,Schouwen-Duiveland,GR2014_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2014,1676,Schouwen-Duiveland,2014-03-19,"Stembureau Verenigingsgebouw ""De Hoeksteen""",1676::SB14,4322 BA,1102,637,0,2,0,0,0,638,1,0,0,0,0,0,0,639,75,185,34,104,40,36,31,13,34,53,32
,Schouwen-Duiveland,GR2014_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2014,1676,Schouwen-Duiveland,2014-03-19,Stembureau Dorpsuus Ellemeet,1676::SB15,4323 LE,288,172,0,0,0,0,0,153,19,0,0,0,0,0,0,172,32,45,3,18,15,19,6,2,10,15,7
,Schouwen-Duiveland,GR2014_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2014,1676,Schouwen-Duiveland,2014-03-19,Stembureau Dorpshuis 't Zuudende,1676::SB16,4321 AP,786,499,0,2,0,0,0,456,45,0,0,0,0,0,0,501,46,83,102,97,19,24,54,9,14,43,8
,Schouwen-Duiveland,GR2014_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2014,1676,Schouwen-Duiveland,2014-03-19,"Stembureau ""Duinoord""",1676::SB18,4328 GB,1753,1020,1,1,0,0,0,926,96,0,0,0,0,0,0,1022,277,201,48,149,56,75,37,32,72,58,15
,Schouwen-Duiveland,GR2014_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2014,1676,Schouwen-Duiveland,2014-03-19,"Stembureau ""De Schutse""",1676::SB19,4328 AS,913,652,0,3,0,0,0,602,53,0,0,0,0,0,0,655,120,168,39,60,60,51,22,14,22,77,19
,Schouwen-Duiveland,GR2014_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2014,1676,Schouwen-Duiveland,2014-03-19,"Stembureau ""Revasa""",1676::SB20,4328 LJ,1045,686,2,5,0,0,0,610,83,0,0,0,0,0,0,693,204,124,42,85,41,49,33,24,37,38,9
,Schouwen-Duiveland,GR2014_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2014,1676,Schouwen-Duiveland,2014-03-19,Stembureau OBS De Stove,1676::SB21,4326 AE,265,181,0,1,0,0,0,166,16,0,0,0,0,0,0,182,38,42,3,24,13,13,14,3,13,18,0
,Schouwen-Duiveland,GR2014_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2014,1676,Schouwen-Duiveland,2014-03-19,Stembureau Dorpshuis Renesse,1676::SB22,4325 BX,1341,865,0,5,0,0,0,799,71,0,0,0,0,0,0,870,227,240,12,134,45,62,16,24,38,49,18
,Schouwen-Duiveland,GR2014_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2014,1676,Schouwen-Duiveland,2014-03-19,Stembureau Dorpshuis Serooskerke,1676::SB23,4327 AG,245,154,0,1,0,0,0,140,15,0,0,0,0,0,0,155,19,66,7,13,13,10,3,1,13,9,0
,Schouwen-Duiveland,GR2014_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2014,1676,Schouwen-Duiveland,2014-03-19,Stembureau Verenigingsgebouw Chr.Ger.Kerk,1676::SB24,4301 EZ,903,528,1,1,0,0,0,466,64,0,0,0,0,0,0,530,48,93,48,98,39,17,54,18,29,65,19
,Schouwen-Duiveland,GR2014_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2014,1676,Schouwen-Duiveland,2014-03-19,Stembureau De Veste,1676::SB25,4301 BK,1797,763,5,2,0,0,0,670,99,0,0,1,0,1,0,769,102,163,39,114,85,24,37,18,46,95,40
,Schouwen-Duiveland,GR2014_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2014,1676,Schouwen-Duiveland,2014-03-19,"Stembureau Zorgcentrum ""De Wieken""",1676::SB26,4301 KB,1751,925,1,1,0,0,0,795,132,0,0,0,0,0,0,927,142,127,89,233,56,35,52,33,50,67,41
,Schouwen-Duiveland,GR2014_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2014,1676,Schouwen-Duiveland,2014-03-19,Stembureau Multifunctioneel Centrum,1676::SB27,4301 LB,1063,766,5,3,0,0,0,693,81,0,0,0,0,0,0,774,65,160,43,129,70,14,64,30,36,115,40
,Schouwen-Duiveland,GR2014_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2014,1676,Schouwen-Duiveland,2014-03-19,Stembureau Zorgcentrum Borrendamme,1676::SB28,4301 VD,1053,930,0,6,0,0,0,857,79,0,0,0,0,0,0,936,77,198,40,148,89,44,95,32,51,117,39
,Schouwen-Duiveland,GR2014_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2014,1676,Schouwen-Duiveland,2014-03-19,Stembureau Campus Cultura,1676::SB29,4301 XC,1382,798,1,5,0,1,0,727,78,0,0,0,1,0,0,805,64,183,26,132,62,36,46,34,61,118,36
