contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),Velsen Lokaal,Democraten 66 Velsen,LGV,CDA,GROENLINKS,SP (Socialistische Partij),ChristenUnie,Zinnig en Nuttig (ZEN),Forza! IJmond
,Velsen,GR2014_Velsen,Gemeenteraad Velsen 2014,0453,Velsen,2014-03-19,Stembureau KBS De Rozenbeek,0453::SB21,1991 NS,1836,818,2,1,0,0,0,745,76,0,0,0,0,0,0,821,124,78,81,207,57,67,59,63,45,9,28
,Velsen,GR2014_Velsen,Gemeenteraad Velsen 2014,0453,Velsen,2014-03-19,Stembureau Sporthal Het Polderhuis,0453::SB22,1991 RK,1679,903,3,7,0,0,0,832,81,0,0,0,0,0,0,913,135,79,116,195,79,94,54,71,46,6,28
,Velsen,GR2014_Velsen,Gemeenteraad Velsen 2014,0453,Velsen,2014-03-19,Stembureau Stichting OIG-IHD,0453::SB32,1970 AC,1863,926,4,2,0,0,0,849,83,0,0,0,0,0,0,932,80,71,189,142,110,68,33,103,44,17,69
,Velsen,GR2014_Velsen,Gemeenteraad Velsen 2014,0453,Velsen,2014-03-19,Stembureau Sint Fransciscusschool,0453::SB33,1971 PE,1959,768,0,1,0,0,0,683,86,0,0,0,0,0,0,769,74,50,143,108,98,48,38,83,36,5,85
,Velsen,GR2014_Velsen,Gemeenteraad Velsen 2014,0453,Velsen,2014-03-19,Stembureau De Vliegende Hollander,0453::SB35,1972 CC,1865,687,4,9,0,0,0,637,63,0,0,0,0,0,0,700,42,73,137,79,122,38,16,75,36,10,59
,Velsen,GR2014_Velsen,Gemeenteraad Velsen 2014,0453,Velsen,2014-03-19,Stembureau Buurthuis De Spil,0453::SB36,1971 VZ,1202,551,4,2,0,0,0,508,49,0,0,0,0,0,0,557,28,55,86,78,116,24,22,72,15,12,43
,Velsen,GR2014_Velsen,Gemeenteraad Velsen 2014,0453,Velsen,2014-03-19,Stembureau Verpleeghuis Velserduin,0453::SB41,1972 TL,1780,721,4,5,0,0,0,676,54,0,0,0,0,0,0,730,31,89,93,83,117,32,45,129,22,13,67
,Velsen,GR2014_Velsen,Gemeenteraad Velsen 2014,0453,Velsen,2014-03-19,Stembureau CBS Het Kompas,0453::SB42,1973 RA,1524,688,2,4,0,0,0,611,83,0,0,0,0,0,0,694,67,80,107,95,78,49,30,83,31,10,58
,Velsen,GR2014_Velsen,Gemeenteraad Velsen 2014,0453,Velsen,2014-03-19,Stembureau Woon-en zorgcentrum W.F. Visserhuis,0453::SB44,1972 EE,1487,703,9,3,0,1,0,652,64,0,0,0,1,0,0,716,62,76,112,81,108,47,24,70,29,8,86
,Velsen,GR2014_Velsen,Gemeenteraad Velsen 2014,0453,Velsen,2014-03-19,Stembureau IJmuider Zee en Havenmuseum,0453::SB46,1973 AK,1768,754,2,0,0,0,0,670,86,0,0,0,0,0,0,756,79,81,76,98,152,66,28,59,30,14,71
,Velsen,GR2014_Velsen,Gemeenteraad Velsen 2014,0453,Velsen,2014-03-19,Stembureau Woon-en zorgcentrum Breezicht,0453::SB48,1975 EA,2046,727,6,2,0,0,0,670,65,0,0,0,0,0,0,735,58,87,112,95,87,57,30,86,39,10,66
,Velsen,GR2014_Velsen,Gemeenteraad Velsen 2014,0453,Velsen,2014-03-19,Stembureau Woon-en zorgcentrum de Moerberg,0453::SB50,1973 XM,1844,807,3,1,0,0,0,746,65,0,0,0,0,0,0,811,53,113,163,74,134,100,20,75,29,8,38
,Velsen,GR2014_Velsen,Gemeenteraad Velsen 2014,0453,Velsen,2014-03-19,"Stembureau De Pleiaden, ingang schoolplein",0453::SB53,1973 BS,1542,588,1,4,0,0,0,527,66,0,0,0,0,0,0,593,43,72,103,67,90,37,16,67,19,9,65
,Velsen,GR2014_Velsen,Gemeenteraad Velsen 2014,0453,Velsen,2014-03-19,Stembureau Speeltuin Zeewijk,0453::SB55,1974 TW,1777,846,3,2,0,0,0,771,80,0,0,0,0,0,0,851,71,86,128,122,135,68,24,90,43,9,70
,Velsen,GR2014_Velsen,Gemeenteraad Velsen 2014,0453,Velsen,2014-03-19,Stembureau Buurtcentrum de Dwarsligger,0453::SB56,1974 BP,1290,618,5,3,0,0,0,566,60,0,0,0,0,0,0,626,37,88,117,57,102,32,29,74,30,10,42
,Velsen,GR2014_Velsen,Gemeenteraad Velsen 2014,0453,Velsen,2014-03-19,Stembureau Dienstencentrum Zeewijk,0453::SB57,1974 PC,1589,793,7,2,0,0,0,741,61,0,0,0,0,0,0,802,53,109,162,62,114,68,14,98,39,19,55
,Velsen,GR2014_Velsen,Gemeenteraad Velsen 2014,0453,Velsen,2014-03-19,Stembureau Bedrijfsverzamelgebouw IJmond BV,0453::SB81,1951 GW,1290,348,0,2,0,0,0,327,23,0,0,0,0,0,0,350,13,43,143,31,19,11,12,44,7,8,17
,Velsen,GR2014_Velsen,Gemeenteraad Velsen 2014,0453,Velsen,2014-03-19,Stembureau Dienstencentrum De Mel - Watervliet,0453::SB83,1951 GC,1100,601,2,3,0,0,0,555,51,0,0,0,0,0,0,606,14,58,200,38,48,42,22,73,14,17,75
,Velsen,GR2014_Velsen,Gemeenteraad Velsen 2014,0453,Velsen,2014-03-19,Stembureau De Triangel,0453::SB84,1951 EP,1593,605,1,2,0,0,0,549,59,0,0,0,0,0,0,608,20,53,252,54,28,36,18,81,10,10,43
