contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Partij van de Arbeid (P.v.d.A.),Demokraten Swalmen,GROENLINKS,Burgerbelangen Roermond,Democraten 66 (D66),Stadspartij Roermond,Partij Voor De Eenheid (PVDE),OPA,Artikel50,Liberale Volkspartij Roermond (LVR),Partij voor Leefbaarheid en Democratie
,Roermond,GR2014_Roermond,Gemeenteraad Roermond 2014,0957,Roermond,2014-03-19,Stembureau Sporthal Donderberg,0957::SB11,6043 JH,1527,662,0,2,0,0,0,549,115,0,0,0,0,0,0,664,10,57,193,0,27,18,11,10,53,14,10,241,18
,Roermond,GR2014_Roermond,Gemeenteraad Roermond 2014,0957,Roermond,2014-03-19,Stembureau BS Vincent van Gogh,0957::SB12,6044 SX,1844,789,0,17,0,0,0,701,105,0,0,0,0,0,0,806,39,102,160,4,83,15,26,20,23,22,10,270,15
,Roermond,GR2014_Roermond,Gemeenteraad Roermond 2014,0957,Roermond,2014-03-19,Stembureau Gemeenschapshuis 't Sjoolpaad',0957::SB13,6045 AL,1502,824,2,2,0,1,0,750,79,0,0,0,1,0,0,829,61,151,48,8,128,22,84,35,2,27,4,176,78
,Roermond,GR2014_Roermond,Gemeenteraad Roermond 2014,0957,Roermond,2014-03-19,Stembureau Stichting Camillus,0957::SB14,6045 CK,976,412,1,4,0,0,0,375,42,0,0,0,0,0,0,417,28,72,30,3,59,9,35,20,3,9,5,107,32
,Roermond,GR2014_Roermond,Gemeenteraad Roermond 2014,0957,Roermond,2014-03-19,Stembureau Wijkaccommodatie 'Het Trefpunt',0957::SB15,6045 EJ,1084,522,1,11,0,0,0,450,84,0,0,0,0,0,0,534,15,37,58,3,41,26,12,16,23,8,26,217,40
,Roermond,GR2014_Roermond,Gemeenteraad Roermond 2014,0957,Roermond,2014-03-19,Stembureau Wijkaccommodatie 'De Kameleon',0957::SB16,6045 VA,1005,460,0,2,0,0,0,415,48,0,0,0,1,0,0,463,11,45,47,2,40,58,24,25,7,15,17,148,21
,Roermond,GR2014_Roermond,Gemeenteraad Roermond 2014,0957,Roermond,2014-03-19,Stembureau Zaal de Ster,0957::SB17,6042 JK,1107,927,7,1,0,0,0,807,128,0,0,0,0,0,0,935,80,212,60,6,130,37,72,39,6,17,8,249,11
,Roermond,GR2014_Roermond,Gemeenteraad Roermond 2014,0957,Roermond,2014-03-19,Stembureau Basisschool 'De Balans',0957::SB18,6043 RV,1600,574,7,4,0,0,0,562,23,0,0,0,0,0,0,585,57,79,36,3,85,27,41,21,2,12,18,175,18
,Roermond,GR2014_Roermond,Gemeenteraad Roermond 2014,0957,Roermond,2014-03-19,Stembureau Wijkgebouw Tegelarijveld,0957::SB19,6042 XW,1157,481,2,3,0,0,0,431,56,0,0,0,1,0,0,487,12,78,43,5,46,50,17,11,12,16,10,176,5
,Roermond,GR2014_Roermond,Gemeenteraad Roermond 2014,0957,Roermond,2014-03-19,Stembureau 't Brikkenhoes,0957::SB20,6042 GZ,1426,719,1,1,0,2,0,663,60,0,0,0,2,0,0,723,63,210,44,14,83,37,64,24,0,6,11,158,5
,Roermond,GR2014_Roermond,Gemeenteraad Roermond 2014,0957,Roermond,2014-03-19,"Stembureau Basisschool ""Leeve""",0957::SB21,6041 BE,896,587,3,4,0,0,0,525,71,0,0,0,2,0,0,596,42,141,16,2,77,22,28,18,0,16,12,202,11
,Roermond,GR2014_Roermond,Gemeenteraad Roermond 2014,0957,Roermond,2014-03-19,Stembureau Gemeenschapshuis 'De Duup',0957::SB22,6042 LB,757,388,2,2,0,0,0,348,44,0,0,0,0,0,0,392,20,65,9,5,37,9,14,6,0,12,1,202,8
,Roermond,GR2014_Roermond,Gemeenteraad Roermond 2014,0957,Roermond,2014-03-19,Stembureau Wijkaccommodatie 'De Vlonder',0957::SB23,6043 WD,1163,740,4,7,0,0,0,663,88,0,0,0,0,0,0,751,51,102,73,7,99,19,54,25,3,34,23,239,11
,Roermond,GR2014_Roermond,Gemeenteraad Roermond 2014,0957,Roermond,2014-03-19,Stembureau Basisschool De Stapsteen,0957::SB24,6049 AK,1408,943,3,2,0,0,0,858,90,0,0,0,0,0,0,948,110,194,36,9,130,17,69,100,0,17,9,251,1
,Roermond,GR2014_Roermond,Gemeenteraad Roermond 2014,0957,Roermond,2014-03-19,Stembureau Café Zaal de Schuur,0957::SB25,6049 EB,1295,808,3,1,0,0,0,720,92,0,0,0,0,0,0,812,123,121,28,5,88,8,73,60,0,10,6,283,3
,Roermond,GR2014_Roermond,Gemeenteraad Roermond 2014,0957,Roermond,2014-03-19,Stembureau Basisschool Hubertus,0957::SB26,6049 HS,1298,822,5,2,0,1,0,748,82,0,0,0,1,0,0,830,129,166,55,2,91,20,66,43,0,9,10,218,13
,Roermond,GR2014_Roermond,Gemeenteraad Roermond 2014,0957,Roermond,2014-03-19,Stembureau Zorgcentrum 'St. Jan Baptist',0957::SB27,6071 JJ,1248,543,4,1,0,0,0,492,56,0,0,0,0,0,0,548,26,57,15,278,36,5,7,12,1,2,10,85,9
,Roermond,GR2014_Roermond,Gemeenteraad Roermond 2014,0957,Roermond,2014-03-19,Stembureau Kinderdagopvang 'Kiekeboe',0957::SB28,6071 BP,1522,792,1,3,0,0,0,724,81,0,0,0,9,0,0,805,24,38,37,397,97,5,18,11,4,16,36,97,12
,Roermond,GR2014_Roermond,Gemeenteraad Roermond 2014,0957,Roermond,2014-03-19,Stembureau Gemeenschapshuis 'De Robijn',0957::SB29,6071 VX,911,788,2,0,0,0,0,701,89,0,0,0,0,0,0,790,31,57,14,405,74,3,25,14,5,9,17,124,10
,Roermond,GR2014_Roermond,Gemeenteraad Roermond 2014,0957,Roermond,2014-03-19,Stembureau Restaurant 'Maaszicht',0957::SB30,6071 NW,191,147,0,0,0,0,0,132,15,0,0,0,0,0,0,147,10,39,4,27,11,1,7,9,0,3,1,35,0
,Roermond,GR2014_Roermond,Gemeenteraad Roermond 2014,0957,Roermond,2014-03-19,Stembureau Gemeenschapshuis 'de Kamp',0957::SB31,6071 AL,852,536,5,2,0,0,0,499,44,0,0,0,0,0,0,543,26,59,19,231,46,1,19,16,0,2,6,107,4
,Roermond,GR2014_Roermond,Gemeenteraad Roermond 2014,0957,Roermond,2014-03-19,Stembureau Eetcafé 'De Mert',0957::SB32,6071 JD,1342,644,0,1,0,0,0,591,54,0,0,0,0,0,0,645,24,52,27,311,64,3,20,20,2,11,7,87,16
,Roermond,GR2014_Roermond,Gemeenteraad Roermond 2014,0957,Roermond,2014-03-19,Stembureau Eetcafé  'Aod Maerum',0957::SB33,6049 GB,1362,553,1,1,0,1,0,485,71,0,0,0,1,0,0,556,62,119,16,2,78,13,30,35,0,15,16,164,3
,Roermond,GR2014_Roermond,Gemeenteraad Roermond 2014,0957,Roermond,2014-03-19,Stembureau Zalencentrum 'De Donderie',0957::SB34,6043 JA,1213,504,5,1,0,0,0,453,57,0,0,0,0,0,0,510,34,72,55,6,65,8,20,29,10,24,13,159,9
,Roermond,GR2014_Roermond,Gemeenteraad Roermond 2014,0957,Roermond,2014-03-19,Stembureau Basisschool 'Neel',0957::SB35,6042 NG,908,453,2,0,0,0,0,404,51,0,0,0,0,0,0,455,61,96,32,5,44,23,48,10,0,8,4,120,2
,Roermond,GR2014_Roermond,Gemeenteraad Roermond 2014,0957,Roermond,2014-03-19,Stembureau Ontmoetingscentrum 'Het Jeugdgebouw,0957::SB36,6041 KG,1133,353,0,2,0,0,0,336,19,0,0,0,0,0,0,355,30,59,22,1,53,12,27,29,0,13,1,99,7
,Roermond,GR2014_Roermond,Gemeenteraad Roermond 2014,0957,Roermond,2014-03-19,Stembureau Sportcentrum Swalmen,0957::SB37,6071 TV,1045,422,1,5,0,0,0,375,53,0,0,0,0,0,0,428,18,42,21,165,27,1,15,2,2,1,13,107,8
,Roermond,GR2014_Roermond,Gemeenteraad Roermond 2014,0957,Roermond,2014-03-19,Stembureau Mobiel stembureau,0957::SB38,,1,267,3,0,0,0,0,249,22,0,0,0,1,0,0,271,21,61,23,3,35,6,30,17,0,3,0,66,2
