contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,GROENLINKS,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),SP (Socialistische Partij),VVD,CDA,Verenigde Senioren Partij,Gewoon Nijmegen,De Nijmeegse Fractie,Creatieve Partij Nijmegen 2.0,ChristenUnie,Piratenpartij,ONP/PSP'92,OPA
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Parochiehuis Antonius van Paduakerk,0268::SB11,6524 JL,1553,656,3,0,0,0,0,600,59,0,0,0,0,0,0,659,144,58,160,56,110,29,6,11,47,23,7,1,3,1
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Dependance de Buut,0268::SB12,6524 NA,1448,798,2,1,2,0,0,748,55,0,0,0,2,0,0,803,199,65,202,96,103,46,19,10,31,14,12,0,0,1
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Oud Burgeren Gasthuis,0268::SB13,6524 PJ,1377,1047,2,2,0,0,0,981,70,0,0,0,0,0,0,1051,193,119,202,120,160,96,70,12,39,20,7,3,2,4
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau R.K. Basisschool Klein Heyendaal,0268::SB14,6524 NP,1440,912,4,2,0,0,0,859,62,0,0,0,3,0,0,921,164,109,244,65,179,60,14,13,33,11,16,2,2,0
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Karel de Grote College,0268::SB15,6524 AJ,1620,820,1,0,0,0,0,771,50,0,0,0,0,0,0,821,222,82,194,101,102,22,8,13,30,31,9,1,3,2
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Wijkcentrum Daalsehof,0268::SB16,6521 GT,1390,1004,2,0,0,0,0,937,69,0,0,0,0,0,0,1006,245,103,232,178,87,24,16,22,43,37,8,0,7,2
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau De Wintertuin,0268::SB17,6521 EN,1142,612,3,0,0,0,0,569,46,0,0,0,0,0,0,615,193,57,135,99,47,13,10,3,31,17,6,1,0,0
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Het Badhuis,0268::SB18,6523 CD,1353,757,2,1,1,0,0,698,61,0,0,1,0,0,0,759,218,85,135,136,50,35,10,12,37,26,10,0,1,2
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Amrâth Hotel Belvoir,0268::SB19,6522 AX,1680,890,2,0,0,0,0,827,65,0,0,0,0,0,0,892,204,69,231,73,144,40,25,18,46,17,17,2,1,3
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau School de Sterredans,0268::SB20,6522 HE,1701,997,0,2,0,0,0,902,97,0,0,0,0,0,0,999,181,105,241,105,152,98,25,25,44,13,4,3,0,1
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Canisiuscollege,0268::SB21,6522 BK,1520,920,0,2,0,0,0,845,77,0,0,0,0,0,0,922,210,93,150,173,96,31,23,49,57,27,5,1,2,3
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Restaurant Voldaan,0268::SB22,6523 BC,1432,738,1,0,0,0,0,673,66,0,0,0,0,0,0,739,160,59,147,160,78,18,11,35,32,25,7,3,1,2
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Welzorg Nijmegen,0268::SB23,6523 EV,1394,652,2,1,0,0,0,614,41,0,0,0,0,0,0,655,153,72,110,168,19,14,28,27,24,24,7,1,1,4
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Ark van Oost,0268::SB24,6523 HR,1434,949,3,5,0,0,0,896,61,0,0,0,0,0,0,957,197,90,106,284,59,24,27,55,43,47,9,1,0,7
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Erica Terpstra Sportfondsenbad,0268::SB25,6523 MJ,1072,660,3,0,0,0,0,588,75,0,0,0,0,0,0,663,103,36,161,49,171,57,14,18,28,6,12,0,4,1
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau De Waalboog locatie Joachim en Anna,0268::SB26,6523 PA,1372,873,1,1,0,0,0,778,97,0,0,0,0,0,0,875,175,91,181,75,123,93,51,19,43,7,9,0,3,3
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,"Stembureau De Waalboog, locatie Nijevelt",0268::SB27,6525 AH,1582,791,4,2,0,1,0,772,26,0,0,0,1,0,0,798,239,68,219,79,64,43,19,6,8,12,18,2,11,3
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Voorzieningenhart 't Hert,0268::SB28,6531 CS,1472,921,6,7,0,0,0,846,88,0,0,0,0,0,0,934,168,177,146,186,71,19,12,63,37,20,18,2,0,2
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Wijkcentrum de Klokketoren,0268::SB29,6532 AD,1247,748,1,4,0,0,0,702,51,0,0,0,0,0,0,753,173,65,103,181,62,13,38,55,30,15,4,2,5,2
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Diaconie De Haard,0268::SB30,6531 HW,1501,580,0,0,0,0,0,524,56,0,0,0,0,0,0,580,177,55,120,110,41,15,5,22,14,13,7,1,0,0
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Martinus van Beekschool,0268::SB31,6531 RR,1281,998,1,0,0,0,0,920,79,0,0,0,0,0,0,999,241,111,184,122,102,49,64,33,55,13,15,3,3,3
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau VC Nijmegen,0268::SB32,6531 TH,1305,1120,3,2,0,0,0,1026,99,0,0,0,0,0,0,1125,266,105,255,156,96,60,51,29,62,22,13,0,4,1
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau School R.O.C.,0268::SB33,6531 KA,1503,1137,1,0,0,0,0,1034,104,0,0,0,0,0,0,1138,344,130,263,121,107,56,30,17,38,19,6,1,3,2
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,"Stembureau Buurtcentrum ""de Inloop""",0268::SB34,6532 WP,1268,234,2,0,0,0,0,218,18,0,0,0,0,0,0,236,55,27,23,56,16,4,3,24,9,8,1,2,1,5
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Groenschool Nijmegen,0268::SB35,6532 SB,937,642,1,0,0,0,0,584,59,0,0,0,0,0,0,643,111,63,123,112,78,44,34,21,39,8,6,1,0,2
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau De Blikvanger,0268::SB36,6532 DB,1419,499,0,1,0,0,0,461,39,0,0,0,0,0,0,500,78,45,77,109,48,36,38,28,24,8,6,0,0,2
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Praktijkschool De Zonnegaard,0268::SB37,6533 CC,1383,749,3,0,0,0,0,692,60,0,0,0,0,0,0,752,159,87,157,110,92,26,36,30,27,19,4,0,1,1
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Jongerencentrum De Mix,0268::SB38,6533 RG,1658,778,5,1,0,0,0,723,61,0,0,0,0,0,0,784,147,112,99,196,50,16,28,48,56,9,12,1,2,2
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Turks Cultureel Centrum,0268::SB39,6533 SZ,1659,817,3,1,0,0,0,739,82,0,0,0,0,0,0,821,143,101,131,169,90,43,35,44,29,13,9,4,3,3
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Hennes Automobielen BV,0268::SB40,6533 HJ,1712,911,3,1,0,0,0,840,75,0,0,0,0,0,0,915,125,105,123,229,86,35,53,65,62,8,9,7,3,1
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau BSO De Heiweg,0268::SB41,6533 SZ,1314,426,0,0,0,0,0,397,29,0,0,0,0,0,0,426,75,34,64,95,56,21,12,26,27,6,6,0,3,1
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Wijkcentrum de Schakel,0268::SB42,6533 MA,1374,918,4,0,0,1,0,835,88,0,0,0,1,0,0,923,95,112,62,250,51,57,110,86,54,21,6,4,5,5
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Ontmoetingscentrum de Toermalijn,0268::SB43,6534 VZ,1554,565,1,0,0,0,0,528,38,0,0,0,0,0,0,566,85,63,75,123,52,37,39,43,27,14,6,1,0,0
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau School De Vossenburcht,0268::SB44,6535 TK,1654,665,0,6,0,1,0,617,53,0,0,1,0,0,0,670,81,63,67,153,51,38,57,72,65,4,3,5,2,4
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Wijkcentrum Hatert,0268::SB45,6535 RZ,1595,858,5,3,0,0,0,790,76,0,0,0,0,0,0,866,84,104,79,262,34,58,72,66,59,9,22,4,3,2
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Basisschool de Klumpert,0268::SB46,6535 PS,1700,449,2,1,0,0,0,426,26,0,0,0,0,0,0,452,37,69,15,155,17,22,29,41,34,5,18,2,4,1
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Restaurant .. bij de buren,0268::SB47,6535 NB,1745,512,2,2,0,0,0,477,39,0,0,0,0,0,0,516,46,61,41,151,27,35,71,33,31,5,9,0,0,2
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Universiteitsrestaurant De Refter,0268::SB48,6525 HT,427,1674,3,0,0,0,0,1601,76,0,0,0,0,0,0,1677,532,124,556,100,181,50,5,15,20,14,65,5,5,2
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Woonzorgcentrum Boszicht,0268::SB49,6525 TJ,1606,903,6,2,0,0,0,815,96,0,0,0,0,0,0,911,128,98,120,198,79,86,85,34,47,15,9,0,1,3
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Roomsch Leven,0268::SB50,6525 SG,1586,1139,0,1,0,0,0,1140,0,0,0,0,0,0,0,1140,222,103,193,211,90,102,80,31,57,24,24,1,1,0
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,"Stembureau Matchroom Dart, Snooker",0268::SB51,6541 AP,1255,594,2,1,0,0,0,559,38,0,0,0,0,0,0,597,156,30,108,114,38,16,16,61,18,22,7,1,3,4
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Autobedrijf Van Bon,0268::SB52,6541 TL,3334,683,0,0,0,0,0,620,62,0,0,1,0,0,0,682,93,65,65,163,42,24,28,146,24,21,8,1,2,1
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Stadswinkel mobiel,0268::SB53,6511 PS,0,742,5,3,0,0,0,702,48,0,0,0,0,0,0,750,162,65,196,94,133,12,2,15,28,15,8,4,6,2
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau School Aquamarijn,0268::SB54,6541 MC,2173,834,1,1,0,0,0,767,69,0,0,0,0,0,0,836,168,74,135,200,73,15,21,55,32,36,16,4,3,2
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Wijkcentr. Titus Brandsma,0268::SB55,6542 VJ,1182,909,1,0,0,0,0,842,69,0,0,0,1,0,0,911,211,110,150,210,61,27,15,54,17,27,16,5,3,3
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Café Zaal Elmeran,0268::SB56,6542 PE,1449,599,2,1,1,0,0,544,59,0,0,0,1,0,0,603,157,60,91,141,34,7,10,46,18,24,9,1,1,0
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Wijkcentrum Villanova,0268::SB57,6542 JP,1269,484,3,2,0,0,0,464,25,0,0,0,0,0,0,489,120,92,40,118,26,7,12,25,11,15,14,0,1,3
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Brede school De Wieken,0268::SB58,6542 KB,1174,641,1,0,0,0,0,582,60,0,0,0,0,0,0,642,131,114,103,118,39,16,17,55,19,14,9,2,4,0
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Helicon opleidingen,0268::SB59,6543 XV,1065,810,2,0,0,0,0,742,70,0,0,0,0,0,0,812,135,75,126,100,102,80,33,46,80,17,10,3,0,3
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Wijkcentrum Sonnehaert,0268::SB60,6542 SM,1113,595,1,1,0,0,0,539,58,0,0,0,0,0,0,597,93,43,113,93,54,46,34,68,37,8,4,1,0,1
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Wijkcentrum Heseweide,0268::SB61,6543 NA,1596,925,5,7,0,0,0,863,74,0,0,0,0,0,0,937,116,121,117,232,45,41,59,86,58,21,9,2,16,2
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau School  Zonnewende,0268::SB62,6543 RN,1708,705,1,4,0,0,0,657,53,0,0,0,0,0,0,710,133,80,94,127,57,48,22,67,36,23,8,4,3,3
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau School GVO.,0268::SB63,6532 XP,1711,695,5,0,0,0,0,638,62,0,0,0,0,0,0,700,150,84,138,132,64,18,26,23,25,18,9,2,3,3
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Zorgcentrum Huize Rosa,0268::SB64,6543 JG,2433,912,6,2,0,0,0,854,66,0,0,0,0,0,0,920,149,84,150,129,98,112,50,51,44,7,29,2,4,3
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Wijkcentrum de Schalmei,0268::SB65,6544 TN,1494,894,2,5,0,0,0,809,92,0,0,0,0,0,0,901,70,163,67,273,50,39,65,87,46,6,10,2,9,7
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Parochie De Goede Herder,0268::SB66,6544 NS,2318,812,6,2,0,0,0,742,78,0,0,0,0,0,0,820,51,155,84,228,34,46,82,60,39,5,15,2,3,8
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Autobedrijf Van Bon mobiel,0268::SB67,6541 TL,0,567,0,3,0,0,0,515,55,0,0,0,0,0,0,570,131,48,92,119,37,6,5,65,27,17,17,1,2,0
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Stichting Creatief Centrum Nijm.Z,0268::SB68,6537 PN,1665,796,7,0,0,0,0,722,81,0,0,0,0,0,0,803,66,92,83,227,66,37,56,64,66,19,11,5,1,3
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Openwijkschool De Toldijk,0268::SB69,6537 PN,1307,282,1,0,0,0,0,264,19,0,0,0,0,0,0,283,37,36,36,60,23,22,19,23,18,2,4,1,0,1
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Bibliotheek Zwanenveld,0268::SB70,6538 SC,1320,907,3,3,0,0,0,850,63,0,0,0,0,0,0,913,69,85,93,288,68,58,84,82,37,6,21,5,4,7
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau School Prins Maurits,0268::SB71,6538 TN,1362,486,0,1,0,0,0,431,56,0,0,0,0,0,0,487,48,40,57,163,33,20,20,56,23,4,12,1,2,7
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Ontmoetingsruimte Leuvenshof,0268::SB72,6538 ML,1239,314,0,0,0,0,0,289,25,0,0,0,0,0,0,314,17,41,31,87,15,11,25,47,31,0,6,1,0,2
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau School De Meiboom,0268::SB73,6537 HD,1453,537,3,3,0,0,0,481,62,0,0,0,0,0,0,543,32,97,45,178,29,18,39,39,33,2,16,2,2,5
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Wijkcentrum Dukenburg,0268::SB74,6537 EP,1188,501,6,5,0,0,0,491,21,0,0,0,0,0,0,512,38,53,46,141,19,31,69,37,37,11,12,2,1,4
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,"Stembureau Maatschap v. Fysiother. ""Lankforst""",0268::SB75,6538 HA,811,365,0,0,0,0,0,343,22,0,0,0,0,0,0,365,30,43,35,117,25,19,24,30,22,6,11,0,0,3
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Nutsschool Lankforst,0268::SB76,6538 GN,893,402,4,2,1,0,0,372,35,0,0,1,0,0,0,407,47,43,46,140,33,22,21,18,21,3,3,1,2,2
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Open Wijkschool de Aldenhove,0268::SB77,6537 DG,962,428,0,1,0,0,0,398,31,0,0,0,0,0,0,429,35,40,39,111,30,39,33,50,36,1,7,4,3,0
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Bej. centr. De Doekenborg,0268::SB78,6537 AJ,1054,393,1,2,0,0,0,376,20,0,0,0,0,0,0,396,32,52,26,108,27,21,46,50,21,2,0,2,5,1
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,"Stembureau De Orangerie, zorgcentrum",0268::SB79,6538 DM,1076,581,1,3,0,0,0,546,40,0,1,0,1,0,0,586,41,60,46,167,18,69,73,49,34,1,13,4,2,4
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Wijkcentrum De Turf,0268::SB80,6538 DH,760,275,0,0,0,0,0,259,16,0,0,0,0,0,0,275,27,35,16,78,11,24,16,26,21,1,12,1,3,4
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Prins Clausschool,0268::SB81,6536 DB,1438,1110,2,1,0,0,0,1035,78,0,0,0,0,0,0,1113,121,119,176,200,219,84,58,47,40,9,28,1,2,6
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau De Dageraad,0268::SB82,6536 AC,1383,794,3,2,0,0,0,735,64,0,0,0,0,0,0,799,93,82,120,186,74,57,72,40,37,9,20,2,2,0
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau JC de Sprok,0268::SB83,6546 JZ,1452,376,0,0,0,0,0,347,29,0,0,0,0,0,0,376,21,32,40,87,52,15,14,48,39,4,13,4,1,6
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Openwijkschool de Interacker,0268::SB84,6546 HA,1448,393,2,1,0,0,0,359,37,0,0,0,0,0,0,396,36,43,33,129,25,8,15,39,38,5,12,1,3,6
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Sporthal De Horstacker,0268::SB85,6546 EK,1434,599,0,3,0,0,0,543,59,0,0,0,0,0,0,602,53,63,58,212,49,12,32,60,29,6,14,1,5,5
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau School De Luithorst,0268::SB86,6545 LX,1468,721,0,7,3,0,0,650,75,0,0,3,0,0,0,725,86,85,85,182,81,22,35,61,50,10,12,3,0,9
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Parochie Lindenholt,0268::SB87,6545 AW,1337,913,4,2,0,0,0,841,78,0,0,0,0,0,0,919,97,110,121,221,100,64,49,55,59,10,17,2,3,5
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau Beheerdersruimte Portaal,0268::SB88,6545 GK,1424,342,3,3,0,0,0,308,40,0,0,0,0,0,0,348,20,67,27,114,15,15,13,31,17,2,16,0,1,4
,Nijmegen,GR2014_Nijmegen,Gemeenteraad Nijmegen 2014,0268,Nijmegen,2014-03-19,Stembureau School De Wingerd,0268::SB89,6546 XN,1584,572,1,0,0,0,0,513,60,0,0,0,0,0,0,573,32,67,68,126,95,19,32,70,41,4,11,0,2,5
