contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,CDA,Weststellingwerfs Belang,GROENLINKS,Weststellingwerf Natuurlijk!,Vrijheid Voor Allen - VVA
,Weststellingwerf,GR2014_Weststellingwerf,Gemeenteraad Weststellingwerf 2014,0098,Weststellingwerf,2014-03-19,"Stembureau Multifunctioneel Centrum, Nijeholtpade",0098::SB11,8475 CB,351,225,1,1,0,0,0,203,24,0,0,0,0,0,0,227,71,72,24,13,27,12,6
,Weststellingwerf,GR2014_Weststellingwerf,Gemeenteraad Weststellingwerf 2014,0098,Weststellingwerf,2014-03-19,"Stembureau Dorpshuis ""De Tille"", Boijl",0098::SB12,8392 MA,714,359,7,0,0,0,0,331,35,0,0,0,0,0,0,366,60,88,72,64,54,17,4
,Weststellingwerf,GR2014_Weststellingwerf,Gemeenteraad Weststellingwerf 2014,0098,Weststellingwerf,2014-03-19,"Stembureau Openbare Bibliotheek, Noordwolde",0098::SB13,8391 BG,1278,647,2,3,0,0,0,585,67,0,0,0,0,0,0,652,196,146,41,163,49,34,18
,Weststellingwerf,GR2014_Weststellingwerf,Gemeenteraad Weststellingwerf 2014,0098,Weststellingwerf,2014-03-19,"Stembureau Clubgebouw vv Zandhuizen, Zandhuizen",0098::SB14,8389 TH,332,183,0,0,0,0,0,167,16,0,0,0,0,0,0,183,45,47,22,22,31,15,1
,Weststellingwerf,GR2014_Weststellingwerf,Gemeenteraad Weststellingwerf 2014,0098,Weststellingwerf,2014-03-19,"Stembureau OBS ""De Velden"", Noordwolde",0098::SB15,8391 KG,699,382,3,1,0,0,0,355,31,0,0,0,0,0,0,386,81,81,67,68,65,10,10
,Weststellingwerf,GR2014_Weststellingwerf,Gemeenteraad Weststellingwerf 2014,0098,Weststellingwerf,2014-03-19,"Stembureau Dorpscentrum Sonnega-Oldetrijne, Oldetrijne",0098::SB16,8479 HH,394,244,1,1,0,0,0,223,23,0,0,0,0,0,0,246,17,76,91,16,19,16,9
,Weststellingwerf,GR2014_Weststellingwerf,Gemeenteraad Weststellingwerf 2014,0098,Weststellingwerf,2014-03-19,"Stembureau De Krommestede, Noordwolde",0098::SB17,8391 LH,999,410,0,2,0,0,0,371,41,0,2,0,0,0,0,412,100,118,36,91,40,13,12
,Weststellingwerf,GR2014_Weststellingwerf,Gemeenteraad Weststellingwerf 2014,0098,Weststellingwerf,2014-03-19,"Stembureau OBS ""De Klaeter"", De Hoeve",0098::SB18,8394 VL,328,241,0,0,0,0,0,215,26,0,0,0,0,0,0,241,46,57,39,35,46,13,5
,Weststellingwerf,GR2014_Weststellingwerf,Gemeenteraad Weststellingwerf 2014,0098,Weststellingwerf,2014-03-19,"Stembureau Gebouw ""Het Anker"", Steggerda",0098::SB19,8395 PJ,981,538,1,1,0,0,0,501,39,0,0,0,0,0,0,540,85,100,128,107,40,53,25
,Weststellingwerf,GR2014_Weststellingwerf,Gemeenteraad Weststellingwerf 2014,0098,Weststellingwerf,2014-03-19,"Stembureau Gebouw ""'t Centrum"", De Blesse",0098::SB20,8397 GC,1068,588,2,2,0,0,0,541,51,0,0,0,0,0,0,592,78,131,189,106,36,31,17
,Weststellingwerf,GR2014_Weststellingwerf,Gemeenteraad Weststellingwerf 2014,0098,Weststellingwerf,2014-03-19,Stembureau Dorpshuis Oosterstreek,0098::SB21,8388 NE,426,254,0,0,0,0,0,224,30,0,0,0,0,0,0,254,59,96,19,39,22,8,11
,Weststellingwerf,GR2014_Weststellingwerf,Gemeenteraad Weststellingwerf 2014,0098,Weststellingwerf,2014-03-19,"Stembureau Gemeentehuis, Wolvega",0098::SB22,8471 KR,0,367,1,2,0,0,0,338,32,0,0,0,0,0,0,370,83,74,58,54,45,20,33
