contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,GemeenteBelangen,ChristenUnie,VVD,Staatkundig Gereformeerde Partij (SGP),Partij van de Arbeid (P.v.d.A.),OPA Katwijk,KiesKatwijk,Hart Voor Katwijk,Democraten 66 (D66),JEZUS LEEFT
,Katwijk,GR2014_Katwijk,Gemeenteraad Katwijk 2014,0537,Katwijk,2014-03-19,Stembureau Groen van Prinstererschool,0537::SB11,2224 SZ,1863,1197,2,8,0,0,0,1038,169,0,0,0,0,0,0,1207,168,94,226,42,432,45,38,36,78,29,9
,Katwijk,GR2014_Katwijk,Gemeenteraad Katwijk 2014,0537,Katwijk,2014-03-19,Stembureau Sporthal Cleijn Duin,0537::SB12,2224 BN,1590,780,1,3,0,0,0,692,92,0,0,0,0,0,0,784,110,103,121,44,129,43,32,63,88,41,6
,Katwijk,GR2014_Katwijk,Gemeenteraad Katwijk 2014,0537,Katwijk,2014-03-19,Stembureau Pr Willem-Alexanderschool,0537::SB13,2221 SM,1680,693,4,2,1,0,0,616,84,0,0,0,1,0,0,700,96,80,110,28,116,53,25,39,95,39,12
,Katwijk,GR2014_Katwijk,Gemeenteraad Katwijk 2014,0537,Katwijk,2014-03-19,Stembureau Duinrand,0537::SB14,2221 CE,1642,798,4,5,0,0,0,695,112,0,0,0,0,0,0,807,151,100,157,33,155,40,22,27,83,24,6
,Katwijk,GR2014_Katwijk,Gemeenteraad Katwijk 2014,0537,Katwijk,2014-03-19,Stembureau Andreascollege locatie Pieter Groen,0537::SB15,2221 VV,1305,892,3,0,0,0,0,781,114,0,0,0,0,0,0,895,148,104,184,54,128,68,21,27,90,55,13
,Katwijk,GR2014_Katwijk,Gemeenteraad Katwijk 2014,0537,Katwijk,2014-03-19,Stembureau Sporthal Rijnsoever,0537::SB16,2221 EP,1192,353,0,1,0,0,0,316,38,0,0,0,0,0,0,354,68,44,65,16,67,10,8,17,42,15,1
,Katwijk,GR2014_Katwijk,Gemeenteraad Katwijk 2014,0537,Katwijk,2014-03-19,"Stembureau Hockeyclub ""Catwyck""",0537::SB17,2221 KJ,1585,729,1,0,0,0,0,654,76,0,0,0,0,0,0,730,165,98,95,53,76,41,23,29,108,36,5
,Katwijk,GR2014_Katwijk,Gemeenteraad Katwijk 2014,0537,Katwijk,2014-03-19,Stembureau Andreas College locatie Rijnmond,0537::SB18,2224 VT,1560,498,2,0,0,0,0,419,81,0,0,0,0,0,0,500,86,60,90,32,64,33,12,25,61,32,3
,Katwijk,GR2014_Katwijk,Gemeenteraad Katwijk 2014,0537,Katwijk,2014-03-19,Stembureau Sport- en recreatiecentrum De Terp,0537::SB19,2235 BC,1254,815,1,2,0,0,0,736,82,0,0,0,0,0,0,818,167,93,123,65,33,137,15,26,94,60,2
,Katwijk,GR2014_Katwijk,Gemeenteraad Katwijk 2014,0537,Katwijk,2014-03-19,Stembureau Sport- en recreatiecentrum De Terp,0537::SB20,2235 BC,1236,722,1,5,0,0,0,645,83,0,0,0,0,0,0,728,163,67,128,43,32,111,7,36,90,41,4
,Katwijk,GR2014_Katwijk,Gemeenteraad Katwijk 2014,0537,Katwijk,2014-03-19,Stembureau De Burgt,0537::SB21,2231 DA,1418,816,6,4,0,0,0,737,89,0,0,0,0,0,0,826,276,106,140,82,48,45,12,7,50,47,3
,Katwijk,GR2014_Katwijk,Gemeenteraad Katwijk 2014,0537,Katwijk,2014-03-19,Stembureau Maranathakerk,0537::SB22,2231 KW,1470,681,3,4,0,0,0,625,63,0,0,0,0,0,0,688,239,101,119,46,44,34,12,5,40,39,2
,Katwijk,GR2014_Katwijk,Gemeenteraad Katwijk 2014,0537,Katwijk,2014-03-19,Stembureau Petrakerk,0537::SB23,2231 JJ,1238,684,0,3,0,0,0,599,88,0,0,0,0,0,0,687,198,154,114,79,36,26,5,7,25,33,7
,Katwijk,GR2014_Katwijk,Gemeenteraad Katwijk 2014,0537,Katwijk,2014-03-19,Stembureau Gereformeerde Kerk Vrijgemaakt,0537::SB24,2231 SE,1422,864,0,4,0,0,0,757,111,0,0,0,0,0,0,868,245,122,200,49,53,58,12,10,55,54,6
,Katwijk,GR2014_Katwijk,Gemeenteraad Katwijk 2014,0537,Katwijk,2014-03-19,Stembureau Koningin Julianaschool,0537::SB25,2231 TK,1596,845,1,4,0,0,0,747,103,0,0,0,0,0,0,850,301,105,138,75,35,48,4,10,59,67,3
,Katwijk,GR2014_Katwijk,Gemeenteraad Katwijk 2014,0537,Katwijk,2014-03-19,Stembureau Basisschool De Wegwijzer,0537::SB26,2231 VD,1501,864,0,2,0,0,0,739,127,0,0,0,0,0,0,866,244,132,168,91,48,39,12,15,52,59,4
,Katwijk,GR2014_Katwijk,Gemeenteraad Katwijk 2014,0537,Katwijk,2014-03-19,Stembureau Basisschool De Schakel,0537::SB27,2231 ZD,1417,814,2,0,0,0,0,738,78,0,0,0,0,0,0,816,213,123,141,87,38,57,17,9,47,79,3
,Katwijk,GR2014_Katwijk,Gemeenteraad Katwijk 2014,0537,Katwijk,2014-03-19,Stembureau Wellantcollege,0537::SB28,2231 CE,1202,463,0,1,0,0,0,399,65,0,0,0,0,0,0,464,157,64,98,46,7,21,7,7,17,38,1
,Katwijk,GR2014_Katwijk,Gemeenteraad Katwijk 2014,0537,Katwijk,2014-03-19,Stembureau K.v.v. Quick Boys,0537::SB30,2225 SE,1273,477,2,0,0,0,0,425,54,0,0,0,0,0,0,479,90,37,120,33,77,19,14,30,43,14,0
,Katwijk,GR2014_Katwijk,Gemeenteraad Katwijk 2014,0537,Katwijk,2014-03-19,Stembureau Scheepvaart en Transport College,0537::SB31,2225 GV,1499,613,2,1,0,0,0,516,100,0,0,0,0,0,0,616,71,21,140,27,217,13,36,31,37,13,7
,Katwijk,GR2014_Katwijk,Gemeenteraad Katwijk 2014,0537,Katwijk,2014-03-19,Stembureau Sporthal Rijnsoever,0537::SB32,2221 EP,998,703,1,1,0,0,0,620,85,0,0,0,0,0,0,705,115,84,144,29,142,31,18,21,82,34,3
,Katwijk,GR2014_Katwijk,Gemeenteraad Katwijk 2014,0537,Katwijk,2014-03-19,"Stembureau Jeugdhuis ""de Poolster""",0537::SB33,2221 NT,1488,1178,2,0,0,0,0,1021,159,0,0,0,0,0,0,1180,227,120,223,59,265,56,27,49,98,44,10
,Katwijk,GR2014_Katwijk,Gemeenteraad Katwijk 2014,0537,Katwijk,2014-03-19,Stembureau Voetbalvereniging Valken '68,0537::SB34,2235 SL,1143,478,1,0,0,0,0,418,61,0,0,0,0,0,0,479,110,28,69,61,16,62,11,12,48,58,3
