contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),CDA,Wakker Emmen,VVD,Democraten 66 (D66),Drentse Ouderenpartijen - DOP,LEF!,GROENLINKS,ChristenUnie,Vrolijk Emmen,SOPN
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Dorpshuis 't Hoefijzer Zuidbarge,0114::SB11,,786,450,3,2,0,0,0,415,40,0,0,0,0,0,0,455,47,82,79,55,79,15,30,26,32,2,3
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau De Schanskuil,0114::SB12,,949,463,0,1,0,0,0,433,31,0,0,0,0,0,0,464,71,74,136,17,43,38,25,13,31,7,8
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Dorpshuis Weerdinge,0114::SB13,,556,356,0,0,0,0,0,330,26,0,0,0,0,0,0,356,41,27,92,36,36,42,18,14,45,2,3
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau De Marke,0114::SB14,,1246,724,1,0,0,0,0,653,72,0,0,0,0,0,0,725,193,70,182,26,36,98,46,28,33,6,6
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Kerkgebouw het Baken,0114::SB15,,1359,606,2,6,0,0,0,545,69,0,0,0,0,0,0,614,198,47,181,5,30,67,16,17,31,3,11
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Zorgcentrum Heidehiem,0114::SB16,,584,296,1,1,0,0,0,272,26,0,0,0,0,0,0,298,48,50,67,20,36,38,6,6,21,2,2
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau De Voorhof,0114::SB17,,1035,541,2,2,0,0,0,499,46,0,0,0,0,0,0,545,102,79,137,36,39,72,24,19,24,4,5
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Kantine Looackerhof,0114::SB18,,1221,525,4,0,1,0,0,486,44,0,0,0,1,0,0,530,132,47,159,21,27,43,24,26,34,9,3
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Tine Marcusschool,0114::SB19,,991,438,2,5,0,0,0,410,35,0,0,0,0,0,0,445,69,43,124,35,44,40,27,21,27,6,2
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Verpleegtehuis De Horst,0114::SB20,,1010,348,4,0,0,0,0,321,31,0,0,0,0,0,0,352,84,36,102,15,31,19,16,16,20,5,4
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Zorgcentrum De Schans,0114::SB21,,1274,695,0,5,2,0,0,643,55,0,0,2,0,0,0,698,151,83,146,42,88,72,31,29,42,4,7
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,"Stembureau O.b.s. De Kubus, locatie Het Waal",0114::SB22,,1321,719,1,6,0,0,0,666,61,0,0,0,1,0,0,727,157,71,180,27,52,87,21,34,72,10,8
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,"Stembureau O.b.s. De Kubus, locatie Kinholt",0114::SB23,,1314,566,0,1,0,0,0,514,53,0,0,0,0,0,0,567,115,41,188,12,52,52,38,24,27,9,8
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Verpleegtehuis De Bleerinck,0114::SB24,,1182,618,0,5,0,0,0,567,56,0,0,0,0,0,0,623,109,86,146,40,70,30,38,28,57,6,8
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau O.b.s. De Brink,0114::SB25,,1264,533,2,4,0,0,0,507,32,0,0,0,0,0,0,539,101,27,174,20,37,32,32,44,36,9,21
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Zorgcentrum Holtingerhof,0114::SB26,,1030,630,1,1,0,0,0,580,53,0,1,0,1,0,0,633,97,123,119,62,93,38,32,24,38,1,3
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau 't Brinkenhoes,0114::SB27,,1032,672,2,2,0,0,0,622,54,0,0,0,0,0,0,676,124,99,119,50,104,53,35,46,37,3,2
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Kerkgebouw De Bron,0114::SB28,,1129,478,6,0,0,0,0,441,43,0,0,0,0,0,0,484,48,33,181,26,45,34,27,31,41,1,11
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Kantine sporthal,0114::SB29,,744,311,5,2,0,0,0,298,20,0,0,0,0,0,0,318,53,31,69,15,28,18,22,39,23,8,5
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Thriantaschool,0114::SB30,,967,425,3,1,0,0,0,396,34,0,1,0,1,0,0,430,76,45,115,16,38,44,18,26,32,2,13
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Zaal Heegen,0114::SB31,,1081,435,0,1,0,0,0,382,54,0,0,0,0,0,0,436,49,51,161,39,15,22,13,17,41,8,19
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau O.b.s 't Koppel,0114::SB32,,798,346,0,0,0,0,0,306,40,0,0,0,0,0,0,346,71,23,121,19,18,33,10,5,26,10,10
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Multifunctioneel Centrum De Badde,0114::SB33,,998,462,4,0,0,0,0,413,53,0,0,0,0,0,0,466,68,46,174,40,22,24,3,23,46,13,3
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Dorpshuis 't Stadhoes,0114::SB34,,591,259,1,1,0,0,0,238,23,0,0,0,0,0,0,261,26,28,95,34,11,21,16,6,13,6,3
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau O.b.s. De Meent,0114::SB35,,966,444,4,1,0,0,0,403,46,0,0,0,0,0,0,449,34,52,286,11,9,20,7,7,7,1,10
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Kantine Sporthal,0114::SB36,,1211,616,0,0,0,0,0,518,98,0,0,0,0,0,0,616,65,53,441,8,9,22,3,5,5,2,3
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau O.b.s. De Dreef,0114::SB37,,1211,593,1,0,0,0,0,532,62,0,0,0,0,0,0,594,62,57,298,25,25,19,21,26,50,4,6
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Buurtgebouw Ons Dorp,0114::SB38,,1431,704,0,0,0,0,0,607,97,0,0,0,0,0,0,704,94,39,475,14,12,11,12,8,21,10,8
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau O.b.s. De Bente,0114::SB39,,884,479,0,1,0,0,0,428,52,0,0,0,0,0,0,480,30,28,367,18,16,8,2,5,3,0,2
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Dorpshuis De Foxel,0114::SB40,,552,283,0,0,0,0,0,258,25,0,0,0,0,0,0,283,20,12,204,11,9,4,9,5,3,3,3
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Gebouw achter Veenkerk,0114::SB41,,160,117,0,2,0,0,0,101,18,0,0,0,0,0,0,119,12,16,72,4,2,3,3,0,5,0,0
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau De Collink,0114::SB42,,1396,808,1,3,0,0,0,696,116,0,0,0,0,0,0,812,27,74,641,7,6,28,8,6,7,2,2
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Kantine Sporthal De Eendracht,0114::SB43,,1190,544,0,2,0,0,0,482,64,0,0,0,0,0,0,546,73,36,358,4,2,24,18,2,2,2,23
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Dorpshuis De Meerstal,0114::SB44,,1238,583,0,0,0,0,0,499,84,0,0,0,0,0,0,583,71,51,362,5,8,19,23,7,2,3,32
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Gemeentewinkel Klazienaveen,0114::SB45,,922,499,0,0,0,0,0,440,59,0,0,0,0,0,0,499,65,102,256,7,6,36,8,2,12,0,5
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Zorgcentrum Dillehof,0114::SB46,,1381,695,0,2,0,0,0,625,72,0,0,0,0,0,0,697,75,77,396,12,26,47,31,8,9,5,9
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Ons Belang,0114::SB47,,1197,554,0,0,0,0,0,489,65,0,0,0,0,0,0,554,52,56,344,11,10,37,16,3,12,3,10
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Gemeentehuis Locatie 2,0114::SB48,,792,624,2,0,0,0,0,563,63,0,0,0,0,0,0,626,102,92,130,88,70,46,36,14,36,2,8
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau O.b.s. De Spil,0114::SB49,,1336,634,1,3,0,0,0,566,72,0,0,0,0,0,0,638,110,66,339,5,15,51,11,9,8,2,18
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Wijk- en Dienstencentrum Noorderbreedte,0114::SB50,,1021,487,0,1,0,0,0,431,57,0,0,0,0,0,0,488,74,73,225,11,17,53,8,4,7,1,14
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Kantine Sporthal de Zon,0114::SB51,,1214,581,0,1,0,0,0,516,66,0,0,0,0,0,0,582,47,91,294,36,23,24,31,4,16,6,9
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Gebouw achter Protestantse kerk,0114::SB52,,1329,582,2,1,0,0,0,507,78,0,0,0,0,0,0,585,70,83,292,17,22,46,10,16,18,3,5
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Buurthuis 't Hoekje,0114::SB53,,1298,642,0,4,0,0,0,574,72,0,0,0,0,0,0,646,81,66,340,23,31,36,12,19,19,0,15
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Dorpshuis De Klink,0114::SB54,,1329,631,1,0,0,0,0,560,72,0,0,0,0,0,0,632,117,50,289,11,28,105,12,12,5,1,1
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Parc Centrum Sandur Locatie 2,0114::SB55,,860,374,2,0,0,0,0,332,44,0,0,0,0,0,0,376,66,44,85,39,55,15,36,16,12,2,4
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Dorphuis d'Aole Turfstee,0114::SB56,,334,201,0,1,0,0,0,181,21,0,0,0,0,0,0,202,31,18,100,7,8,14,10,6,0,6,1
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau S.K.W. Barnstee,0114::SB57,,1470,753,0,1,0,0,0,661,93,0,0,0,0,0,0,754,116,136,271,37,47,67,35,9,20,7,8
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Kantine S.C. Erica,0114::SB58,,1288,620,1,1,0,0,0,559,64,0,0,0,1,0,0,623,66,111,203,34,33,27,98,9,15,3,21
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau 't Schienvat,0114::SB59,,1204,696,0,1,0,0,0,625,72,0,0,0,0,0,0,697,86,159,167,28,42,70,63,21,29,0,31
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau O.b.s. De Anbrenge,0114::SB60,,1347,630,0,0,0,0,0,556,75,0,1,0,1,0,0,631,63,137,205,54,31,33,49,20,21,0,17
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau O.b.s. De Bascule,0114::SB62,,1319,614,2,3,0,0,0,551,68,0,0,0,0,0,0,619,116,40,308,18,27,37,19,11,27,7,4
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau P.C. b.s. De Bron,0114::SB63,,1343,606,0,2,0,0,0,544,64,0,0,0,0,0,0,608,72,99,275,48,25,27,24,8,17,4,7
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Zorgcentrum Oldersheem,0114::SB64,,1129,615,1,2,0,0,0,554,64,0,0,0,0,0,0,618,81,93,249,45,24,35,30,14,33,5,6
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau O.b.s. Het Rietveld,0114::SB65,,1427,650,4,1,0,1,0,608,48,0,0,0,1,0,0,656,126,75,151,50,90,27,41,35,36,12,7
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Zorgcentrum Valkenhof,0114::SB66,,1464,1054,2,3,0,1,0,982,76,0,0,1,0,0,0,1058,172,154,277,64,125,71,65,56,57,3,10
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,"Stembureau Obs de Lisdodde, locatie Eidereend",0114::SB67,,1388,570,0,0,0,0,0,534,36,0,0,0,0,0,0,570,106,71,123,47,94,20,48,28,23,9,1
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,"Stembureau Obs de Lisdodde, locatie Ganzenveld-1",0114::SB68,,1438,876,1,1,0,0,0,778,100,0,0,0,0,0,0,878,132,134,175,87,128,32,83,30,65,3,7
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Zalencentrum d' Aol Meul,0114::SB69,,966,465,0,0,0,0,0,417,48,0,0,0,0,0,0,465,83,52,245,19,5,24,10,4,15,5,3
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Parc Centrum Sandur Locatie 1,0114::SB70,,806,509,0,1,0,0,0,464,46,0,0,0,0,0,0,510,50,74,149,40,76,28,45,17,25,4,1
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau 't Aole Gemientehoes,0114::SB71,,1122,796,0,2,0,0,0,736,62,0,0,0,0,0,0,798,64,196,267,37,42,32,114,13,17,0,14
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Woonvoorziening d'olde Beke,0114::SB72,,1186,510,0,0,0,0,0,466,44,0,0,0,0,0,0,510,32,168,154,46,19,17,47,10,12,1,4
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Verzorgingscentrum De Anloop,0114::SB73,,1041,599,1,0,0,0,0,551,49,0,0,0,0,0,0,600,31,196,188,34,19,33,60,3,21,3,11
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau De Zwarte Racker,0114::SB74,,995,539,4,2,0,0,0,491,54,0,0,0,0,0,0,545,17,112,324,14,14,26,9,2,6,0,15
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau De Webbe,0114::SB75,,1367,651,2,0,0,0,0,581,72,0,0,0,0,0,0,653,36,93,397,20,8,48,18,3,8,5,15
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Verenigingsgebouw 't Trefpunt,0114::SB76,,510,255,0,0,0,0,0,228,27,0,0,0,0,0,0,255,31,28,119,11,10,11,20,8,8,2,7
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau Drenthe College Locatie Veldlaan,0114::SB77,,1277,554,2,2,0,0,0,503,57,0,2,0,2,0,0,560,133,45,162,15,53,62,24,25,27,4,4
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau St. Gerardusschool,0114::SB78,,1071,526,0,2,0,0,0,456,72,0,0,0,0,0,0,528,35,125,169,39,36,29,51,10,29,0,3
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau S.C.C. De Schalm,0114::SB79,,813,397,2,2,0,0,0,362,39,0,0,0,0,0,0,401,50,27,214,9,16,31,5,4,17,14,10
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau O.B.S. De Lisdodde Locatie Ganzenveld-2,0114::SB80,,1405,726,2,1,0,0,0,658,71,0,0,0,0,0,0,729,93,74,157,70,136,20,83,28,60,4,1
,Emmen,GR2014_Emmen,Gemeenteraad Emmen 2014,0114,Emmen,2014-03-19,Stembureau M.F.A. Het Venster,0114::SB81,,418,254,0,2,0,0,0,225,31,0,0,0,0,0,0,256,27,33,43,37,44,3,34,10,21,0,2
