contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,GemeenteBelang Westland (GBW),CDA,Lokale Politieke Federatie Westland,Westland Verstandig-LEO 2.0,ProgressiefWestland:PvdA/GroenLinks,VVD,ChristenUnie-SGP,Democraten 66 (D66),Nederlandse Volks-Unie (NVU)
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau Naaldwijk De Regenboog,1783::SB11,2672 DR,1455,842,1,0,0,0,0,728,114,0,0,1,0,1,0,842,206,176,135,109,40,109,12,51,4
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau Honselersdijk De Hunselaer,1783::SB12,2675 XJ,1523,872,3,5,0,1,0,787,94,0,0,0,1,0,0,881,99,185,164,190,72,82,19,47,14
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau Honselersdijk Rehoboth,1783::SB13,2675 CL,1663,1203,2,3,0,0,0,1038,170,0,0,0,0,0,0,1208,148,285,222,283,46,135,23,55,6
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau Honselersdijk De Voorhof,1783::SB14,2675 AZ,1335,752,2,5,0,0,0,664,95,0,0,0,0,0,0,759,81,202,136,122,31,126,24,26,4
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau Honselersdijk voorheen JAC De Mixx,1783::SB15,2675 TT,1422,459,0,0,0,0,0,402,57,0,0,0,0,0,0,459,54,86,85,109,54,39,8,22,2
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau Maasdijk Basisschool Het Kompas,1783::SB16,2676 XH,1531,869,0,0,0,0,0,772,99,0,0,0,2,0,0,871,73,187,307,107,33,64,68,30,0
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau Maasdijk Kerkgebouw De Hoeksteen,1783::SB17,2676 VP,1903,1105,0,2,0,0,0,963,144,0,0,0,0,0,0,1107,64,288,348,157,38,111,78,19,2
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau 's-Gravenzande Gemeentehuis,1783::SB18,2691 BE,1660,1018,5,1,0,0,0,888,136,0,0,0,0,0,0,1024,124,223,83,281,61,105,93,39,9
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau 's-Gravenzande Bibliotheek,1783::SB19,2692 AG,1543,992,2,3,0,0,0,881,116,0,0,0,0,0,0,997,123,174,105,249,56,129,97,50,9
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau 's-Gravenzande De Brug,1783::SB20,2691 GC,2134,1196,0,0,0,0,0,1029,166,0,0,1,0,0,0,1195,142,239,130,277,84,112,152,50,10
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau 's-Gravenzande De Kiem,1783::SB21,2691 GC,1494,1008,0,1,0,0,0,891,118,0,0,0,0,0,0,1009,125,177,91,304,85,77,92,50,7
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau 's-Gravenzande Wijkcentrum Larix,1783::SB22,2691 DE,1579,930,3,2,0,0,0,841,94,0,0,0,0,0,0,935,101,198,97,243,53,95,101,28,14
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau 's-Gravenzande De Kreek,1783::SB23,2691 CK,1537,990,0,0,0,0,0,885,105,0,0,0,0,0,0,990,110,194,129,245,61,137,74,35,5
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau 's-Gravenzande Wijkcentr. Kornalijn,1783::SB24,2691 TB,1513,812,3,1,0,0,0,728,88,0,0,0,0,0,0,816,109,132,93,219,61,57,78,57,6
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau 's-Gravenzande Sonnevanck,1783::SB25,2692 BS,1540,856,8,2,10,0,0,761,115,0,0,0,10,0,0,876,89,190,112,186,62,87,98,29,3
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau 's-Gravenzande Pr.W.Alexanderschool,1783::SB26,2694 BW,1513,895,0,1,0,0,0,766,130,0,0,0,0,0,0,896,137,184,113,193,35,127,63,34,9
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau 's-Gravenzande De Kameleon,1783::SB27,2691 LR,1621,702,3,2,0,0,0,615,92,0,0,0,0,0,0,707,59,166,128,180,25,72,47,19,6
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau Monster Gemeentehuis,1783::SB28,2681 AP,1682,1013,1,0,0,1,0,861,152,0,0,1,0,0,0,1013,167,239,110,195,41,98,101,59,3
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau Monster Westland Tapijt,1783::SB29,2681 CC,1747,966,2,4,0,0,0,849,123,0,0,0,0,0,0,972,201,185,101,168,50,80,107,54,20
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau Monster Ichthusschool,1783::SB30,2681 TC,1653,941,4,2,0,0,0,841,106,0,0,0,0,0,0,947,190,148,86,163,78,62,119,58,37
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau Monster De Hoeksteen,1783::SB31,2681 AB,1380,646,1,3,0,1,0,589,62,0,0,0,1,0,0,651,102,163,71,134,23,50,53,35,15
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau Monster Bibliotheek,1783::SB32,2681 NT,1690,1109,2,1,0,0,0,1003,109,0,0,0,0,0,0,1112,229,221,119,197,67,80,98,71,27
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau Monster Sportpark Polanen,1783::SB33,2681 HN,1830,864,4,2,0,0,0,765,105,0,0,0,0,0,0,870,172,159,94,180,63,69,60,52,15
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau Ter Heijde Duinhof,1783::SB34,2684 XM,1567,810,5,0,0,0,0,718,97,0,0,0,0,0,0,815,170,121,103,195,53,56,41,43,28
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau Poeldijk De Leuningjes,1783::SB35,2685 BB,1441,863,2,2,0,0,0,781,86,0,0,0,0,0,0,867,144,197,202,142,58,52,25,32,11
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau Poeldijk De Backerhof,1783::SB36,2685 ES,1795,1093,1,6,0,0,0,957,143,0,0,0,0,0,0,1100,214,252,252,168,41,77,36,46,7
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau Poeldijk Basisschool  De Nieuwe Weg,1783::SB37,2685 WB,1511,777,3,0,0,0,0,690,90,0,0,0,0,0,0,780,151,137,209,145,37,39,10,38,11
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau Wateringen Gemeentehuis,1783::SB38,2291 HN,1424,909,3,5,0,1,0,806,110,0,0,1,0,0,0,916,139,175,130,186,109,95,8,64,3
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau Wateringen Parochiezaal,1783::SB39,2291 SZ,1553,886,5,2,0,0,0,790,103,0,0,0,0,0,0,893,116,214,144,114,94,87,40,72,5
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau Wateringen De Ark,1783::SB40,2291 BD,1600,1034,4,5,0,0,0,933,110,0,0,0,0,0,0,1043,166,249,88,167,142,87,24,106,5
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau Wateringen De Smidse,1783::SB41,2291 CA,1465,1216,3,1,0,0,0,1076,144,0,0,0,0,0,0,1220,151,322,129,195,160,118,35,95,11
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau Wateringen De Kyckert,1783::SB42,2291 LC,1699,717,2,0,0,0,0,634,85,0,0,0,0,0,0,719,94,147,111,103,112,69,14,61,6
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau Wateringen Ontmoetingsplek Joop,1783::SB43,2292 CG,2388,1161,2,3,0,0,0,1028,138,0,0,0,0,0,0,1166,190,212,172,152,136,147,36,106,10
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau Wateringen Scouting Wateringen,1783::SB44,2291 GP,1504,401,0,0,0,0,0,352,49,0,0,0,0,0,0,401,44,104,43,45,55,52,13,41,4
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau Kwintsheul De Lessenaar,1783::SB45,2295 LH,1504,1152,2,1,0,2,0,1049,108,0,0,0,2,0,0,1157,101,339,221,174,88,152,17,54,6
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau Kwintsheul Basisschool Andreashof,1783::SB46,2295 PE,1534,743,1,0,0,0,0,655,89,0,0,0,0,0,0,744,80,173,142,138,71,83,11,40,5
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau De Lier Gemeentehuis,1783::SB47,2678 CK,1652,1086,2,7,0,0,0,966,129,0,0,0,0,0,0,1095,171,317,174,181,48,118,31,38,8
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau De Lier 't Centrum,1783::SB48,2678 CM,1612,968,5,5,1,0,0,862,115,0,0,1,0,0,0,977,120,312,117,178,65,98,38,36,4
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau De Lier PCBS Prins Willem-Alexander,1783::SB49,2678 TX,1335,740,2,0,0,0,0,666,76,0,0,0,0,0,0,742,104,203,97,149,54,65,36,30,2
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau De Lier De Viermaster,1783::SB50,2678 BP,1478,919,1,1,0,0,0,834,87,0,0,0,0,0,0,921,171,235,116,184,59,88,25,37,4
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau De Lier Sportcentrum Vreeloo,1783::SB51,2678 LN,1779,1159,2,1,0,0,0,1012,150,0,0,0,0,0,0,1162,233,278,152,246,54,131,20,42,3
,Westland,GR2014_Westland,Gemeenteraad Westland 2014,1783,Westland,2014-03-19,Stembureau De Lier De Achtsprong,1783::SB52,2678 TC,1396,682,3,3,0,1,0,616,73,0,0,0,1,0,0,689,102,177,98,150,34,63,29,28,1
