contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,CDA,Democraten 66 (D66),GROENLINKS,SP (Socialistische Partij),TROTS,Tilburgse Volkspartij (TVP),Verenigde Senioren Partij Tilburg,Voor Tilburg,Leefbare Wijken & Dorpen,OPA,Lijst Smolders Tilburg (LST),Democratisch Actief Tilburg (DAT)
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Zorgcentrum Padua,0855::SB27,,2306,879,4,2,0,1,0,817,69,0,0,0,1,0,0,886,55,62,69,163,94,154,10,33,39,26,6,14,146,8
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Wijkcentrum de Baselaer,0855::SB28,,2752,992,4,2,0,0,0,904,94,0,0,0,0,0,0,998,88,89,38,208,102,154,27,37,32,43,9,12,137,16
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Parcourse V.S.O.,0855::SB29,,2851,813,1,3,0,0,0,743,74,0,0,0,0,0,0,817,77,69,50,132,108,144,16,38,25,31,3,26,88,6
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Textielmuseum,0855::SB30,,2133,1079,4,5,0,1,0,996,91,0,0,1,0,0,0,1087,108,85,57,229,177,188,15,27,16,35,7,28,96,11
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau De Poorten,0855::SB31,,5137,1534,6,4,0,0,0,1406,138,0,0,0,0,0,0,1544,191,89,90,186,202,322,38,37,61,54,6,29,219,10
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Wijkcentrum de Ypelaer,0855::SB33,,2588,1045,2,5,0,1,0,928,126,0,1,0,2,0,0,1054,279,66,79,67,66,164,37,30,53,32,9,22,135,6
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Basisschool De Lochtenbergh,0855::SB34,,2504,599,7,8,0,0,0,550,64,0,0,0,0,0,0,614,148,26,36,47,40,100,8,26,27,33,3,14,86,5
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Basisschool De Vlashof,0855::SB35,,2055,716,2,3,0,0,0,644,77,0,0,0,0,0,0,721,126,46,76,34,52,122,24,38,30,38,5,11,107,7
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau MFA Symfonie,0855::SB36,,2305,793,5,3,0,0,0,732,69,0,0,0,0,0,0,801,107,62,72,102,65,136,23,34,26,19,6,34,98,9
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,"Stembureau Zwembad de Drieburcht, Wagnerplein 1a",0855::SB37,,2207,1049,3,1,0,0,0,949,104,0,0,0,0,0,0,1053,110,77,113,98,85,205,19,37,47,38,7,26,178,9
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Verzorgingscentrum De Heikant,0855::SB38,,2432,1051,0,6,0,6,0,978,85,0,0,0,6,0,0,1063,120,65,136,86,39,195,18,70,84,26,3,29,173,7
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,"Stembureau 2 College Cobbenhagen, Brittendreef 5",0855::SB39,,795,396,1,1,0,0,0,368,30,0,0,0,0,0,0,398,30,62,45,55,33,70,7,18,7,11,2,9,44,3
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Basisschool D'n Hazennest,0855::SB40,,2585,1069,2,1,0,0,0,954,118,0,0,0,0,0,0,1072,103,91,124,150,66,177,28,58,37,32,1,27,156,19
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau De Rooi Pannen,0855::SB41,,1772,777,1,3,0,0,0,693,88,0,0,0,0,0,0,781,103,52,71,99,66,135,14,26,50,36,5,16,92,12
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Parochiezaal de Goede Herder,0855::SB42,,2491,813,5,0,0,0,0,754,71,0,0,0,0,0,0,825,107,40,81,93,75,125,17,41,57,38,4,13,112,10
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Verpleeghuis De Hazelaar,0855::SB43,,1750,453,2,2,0,0,0,416,42,0,0,0,1,0,0,458,63,39,42,53,26,61,21,34,20,17,4,7,64,2
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Verzorgingscentrum Kievitshorst,0855::SB44,,2110,911,3,3,0,0,0,832,85,0,0,0,0,0,0,917,98,42,94,106,78,152,29,46,67,24,5,23,140,7
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Wijkcentrum 't Sant,0855::SB45,,1962,1011,1,1,0,0,0,915,93,0,0,5,0,0,0,1008,156,80,114,173,84,127,18,36,60,33,4,19,100,7
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Serviceflat De Duynsberg,0855::SB46,,1562,658,1,6,0,0,0,603,62,0,0,0,0,0,0,665,72,53,127,99,57,72,18,20,27,19,0,20,65,9
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau WatTwest,0855::SB47,,2113,1126,2,9,0,0,0,1030,110,0,0,0,2,0,0,1140,139,111,137,172,86,141,12,54,59,24,8,31,145,7
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Voormalig TOG-gebouw,0855::SB48,,2526,553,1,2,0,0,0,491,65,0,0,0,0,0,0,556,78,21,26,52,43,128,24,8,41,36,7,25,61,3
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau The King of Italy,0855::SB49,,2603,967,0,2,0,0,0,858,111,0,0,0,0,0,0,969,65,89,60,137,56,124,28,39,13,29,9,110,193,15
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Wijkcentrum Heyhoef,0855::SB50,,2476,1782,4,8,0,1,0,1607,172,0,0,1,0,0,0,1779,156,196,142,269,121,237,57,78,46,46,32,130,245,27
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Beatrixcollege,0855::SB51,,2093,1088,2,5,0,1,0,956,138,0,0,1,0,0,0,1094,90,181,94,205,54,128,35,37,25,21,12,55,132,19
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Scholencentrum de Grote Beemd,0855::SB52,,2387,1059,1,1,0,0,0,933,128,0,0,0,0,0,0,1061,76,209,72,162,42,104,39,48,27,33,12,59,144,32
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau De Boemerang,0855::SB53,,2444,990,1,1,0,0,0,894,98,0,0,0,0,0,0,992,54,204,62,153,53,105,23,39,20,41,10,56,147,23
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Cafe Kievitshoeve,0855::SB54,,2042,874,0,1,0,0,0,770,105,0,0,0,0,0,0,875,60,134,104,153,39,104,20,36,10,22,14,57,114,7
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Zorgcentrum de Reyshoeve,0855::SB55,,2572,1042,3,5,0,0,0,979,71,0,0,0,0,0,0,1050,92,86,105,130,48,134,41,43,33,33,12,85,188,12
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Openbare Basisschool Gesworen Hoek,0855::SB56,,2356,904,3,5,0,0,0,830,82,0,0,0,0,0,0,912,81,51,50,113,59,165,31,35,40,30,20,68,140,21
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Basisschool de Sporckt,0855::SB57,,2408,764,0,1,0,0,0,646,119,0,0,0,0,0,0,765,58,103,47,136,41,84,26,33,13,27,7,48,125,16
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Openbare Basisschool Bibit,0855::SB58,,2340,660,4,1,0,0,0,585,81,0,0,0,0,0,0,666,47,89,48,123,33,81,30,20,5,23,11,40,98,12
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Basisschool Meander,0855::SB59,,2526,1102,1,2,2,0,0,996,109,0,0,0,0,0,0,1105,68,195,108,163,56,114,35,39,26,42,17,55,158,26
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Wijkcentrum de Schalm,0855::SB60,,2391,1598,2,4,0,0,0,1465,139,0,0,0,0,0,0,1604,77,193,335,282,60,123,20,342,15,29,16,15,79,12
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Zorgcentrum Torentjeshoef,0855::SB61,,2146,1244,1,4,0,1,0,1126,125,0,1,0,2,0,0,1251,65,195,242,288,44,58,2,216,12,19,18,9,73,3
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Sporthal Ruiven,0855::SB62,,1592,955,1,10,0,0,0,872,95,0,1,0,1,0,0,967,53,124,146,246,29,63,5,176,12,12,12,4,64,9
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,"Stembureau Basisschool Berkeloo, ingang Molenstraat",0855::SB63,,2053,1029,1,2,0,0,0,946,86,0,0,0,0,0,0,1032,37,121,164,212,41,88,8,220,8,25,15,13,72,5
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,"Stembureau Stichting de Peppel, locatie Kruisgebouw",0855::SB64,,2170,1101,1,3,0,0,0,1006,99,0,0,0,0,0,0,1105,49,98,197,118,49,106,28,225,16,29,81,25,76,4
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Zorgcentrum De Eikelaar,0855::SB65,,1996,985,4,7,1,0,0,888,107,0,0,0,1,0,0,995,50,92,203,111,39,91,20,207,9,35,65,12,44,7
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Basisschool Achthoeven,0855::SB66,,2298,1254,8,4,0,0,0,1159,107,0,0,0,0,0,0,1266,66,127,190,155,47,127,22,254,9,44,80,21,104,8
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Buurthuis Jeruzalem,0855::SB67,,749,372,1,3,0,0,0,346,30,0,0,0,0,0,0,376,37,19,25,61,39,88,4,8,10,13,1,3,56,8
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Openbare basisschool Koolhoven,0855::SB69,,4675,1061,0,4,0,0,0,951,114,0,0,0,0,0,0,1065,73,258,72,192,62,75,25,28,13,49,8,44,132,30
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Centraal station Tilburg,0855::SB701,,0,1499,13,5,0,0,0,1447,70,0,0,0,0,0,0,1517,118,162,50,570,261,145,14,36,10,38,6,8,69,12
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Interpolis,0855::SB702,,0,479,1,0,0,0,0,429,51,0,0,0,0,0,0,480,51,76,29,149,49,37,10,15,5,12,4,7,32,3
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Bibliotheek Tilburg Centrum,0855::SB703,,0,844,6,5,0,0,0,794,61,0,0,0,0,0,0,855,70,85,56,232,111,143,5,18,13,25,7,13,55,11
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Universiteit van Tilburg,0855::SB704,,0,854,6,2,0,0,0,832,30,0,0,0,0,0,0,862,56,141,37,424,106,38,5,7,0,14,3,1,18,4
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Piusplein,0855::SB705,,0,632,3,3,0,0,0,597,41,0,0,0,0,0,0,638,44,105,24,232,48,67,20,22,2,34,3,7,20,4
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau St. Elisabeth Ziekenhuis,0855::SB706,,0,517,3,0,0,0,0,468,52,0,0,0,0,0,0,520,39,55,50,100,36,76,7,30,15,28,2,9,65,5
,Tilburg,GR2014_Tilburg,Gemeenteraad Tilburg 2014,0855,Tilburg,2014-03-19,Stembureau Tweesteden Ziekenhuis,0855::SB707,,0,354,0,1,1,0,0,314,41,0,0,0,0,0,0,355,28,34,32,77,34,70,6,8,12,10,3,7,29,4
