contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,Zaanse Onafhankelijke Groepering,Democraten 66 (D66),GROENLINKS,SP (Socialistische Partij),CDA,Democratisch Zaanstad,Zaanse Inwoners Partij,Politieke Partij voor Ouderen en Veiligheid,ROSA,ChristenUnie,Partij voor de IJsbaan,Progressief Burgerbelang
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau Speeltuinver. Het Havenkwartier,0479::SB123,,1617,708,2,2,0,0,0,643,69,0,0,0,0,0,0,712,100,103,36,89,46,61,20,61,20,80,69,8,12,3
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau School De Dijk-Oost,0479::SB124,,1654,836,2,3,0,0,0,759,82,0,0,0,0,0,0,841,126,86,36,131,58,103,20,73,12,88,71,18,7,7
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau Zorgcentrum Saenden,0479::SB125,,1578,1044,1,4,0,0,0,956,93,0,0,0,0,0,0,1049,141,107,47,126,84,107,85,80,19,92,75,64,11,6
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau Het Tolhuys,0479::SB126,,1705,718,1,0,0,0,0,655,64,0,0,0,0,0,0,719,72,68,38,86,54,99,24,55,27,45,103,29,9,9
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau Kunstcentrum Zaanstad,0479::SB127,,2044,1109,1,6,0,2,0,1005,109,0,0,2,0,0,0,1114,129,141,36,144,79,91,59,117,17,85,135,40,20,16
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau School De Dijk-West,0479::SB128,,1779,727,3,3,0,0,0,653,80,0,0,0,0,0,0,733,64,76,43,54,59,86,17,112,14,61,99,13,25,4
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau Buurthuis De Zeskanter,0479::SB129,,2068,943,6,4,0,0,0,842,111,0,0,0,0,0,0,953,93,150,39,105,49,99,29,147,46,44,44,46,27,25
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau School De Rietvink,0479::SB130,,1461,700,2,2,0,0,0,625,79,0,0,0,0,0,0,704,94,119,34,98,31,78,25,86,25,50,24,14,16,6
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,"Stembureau Evean Westerwatering, HOOFDINGANG",0479::SB131,,1792,1016,3,2,0,0,0,909,112,0,0,0,0,0,0,1021,146,157,46,111,41,94,49,139,33,102,28,35,21,14
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau Kazerne Brandweer Houtveldweg,0479::SB132,,2623,1101,0,5,0,0,0,983,123,0,0,0,0,0,0,1106,146,183,45,149,77,97,34,148,37,57,51,33,15,29
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau Stadhuis van Zaanstad,0479::SB133,,1361,1096,8,6,0,1,0,1035,76,0,0,0,1,0,0,1111,163,188,52,168,104,106,39,76,22,40,69,31,11,27
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau Kerk van de Nazarener,0479::SB201,,1889,1022,2,2,0,0,0,929,97,0,0,0,0,0,0,1026,113,98,73,78,81,114,62,82,31,116,96,56,14,8
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,"Stembureau Wijksteunpunt Parkzicht, INGANG HOOGSTRAAT",0479::SB202,,1750,857,3,0,0,0,0,799,61,0,0,0,0,0,0,860,101,96,57,86,48,87,40,52,25,105,99,21,21,19
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau Wijkcentrum De Vuister,0479::SB203,,1269,839,3,3,0,0,0,772,73,0,0,0,0,0,0,845,131,102,27,102,47,93,56,64,22,91,32,35,18,19
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau Wijkcentrum De Vuister,0479::SB204,,1288,748,2,4,0,0,0,674,80,0,0,0,0,0,0,754,92,83,31,81,50,76,48,89,22,73,27,46,19,11
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau Dr. M.J. Prinsenstichting,0479::SB205,,1447,838,1,3,0,0,0,759,83,0,0,0,0,0,0,842,113,105,35,117,48,75,56,75,14,89,48,40,16,7
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau School De Golfbreker,0479::SB206,,1388,742,0,1,0,0,0,672,71,0,0,0,0,0,0,743,99,92,28,98,37,86,43,76,15,67,34,40,17,10
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau Culturele werkplaats Zaandijk,0479::SB301,,1119,594,1,2,0,0,0,549,48,0,0,0,0,0,0,597,81,76,20,60,33,59,36,58,14,33,84,17,17,6
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,"Stembureau Wijksteunpunt De Boed, INGANG W. DREESLAAN",0479::SB302,,1449,663,1,2,0,0,0,615,51,0,0,0,0,0,0,666,92,60,38,77,25,95,23,62,15,72,73,16,9,6
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau School De Zoeker,0479::SB303,,1443,337,0,3,0,0,0,301,39,0,0,0,0,0,0,340,52,34,22,38,15,39,19,52,5,21,12,13,12,3
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau Evean Guisveld,0479::SB304,,1313,832,0,2,0,0,0,763,71,0,0,0,0,0,0,834,102,108,40,102,41,77,41,93,23,112,43,18,26,6
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau School De Zoeker,0479::SB305,,1640,991,2,5,0,0,0,900,98,0,0,0,0,0,0,998,132,121,73,127,34,118,39,120,16,77,51,40,36,7
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau Evean Acht Staten,0479::SB401,,1895,961,2,4,0,0,0,885,82,0,0,0,0,0,0,967,75,111,31,86,57,109,37,106,23,91,170,35,18,12
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau Kosterij Protestantse Kerk,0479::SB402,,1948,758,1,2,1,0,0,697,66,0,1,0,2,0,0,763,57,53,21,65,41,64,55,102,19,80,155,23,12,11
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau Pinkstergemeente Ruach,0479::SB403,,1894,768,8,6,0,2,0,722,58,0,0,2,0,0,0,780,69,37,26,53,33,84,41,68,26,174,88,40,8,21
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau Clubgebouw Zwemvereniging De Ham,0479::SB404,,1748,631,7,3,0,0,0,582,59,0,0,0,0,0,0,641,62,62,27,51,33,63,43,63,18,100,87,8,9,5
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,"Stembureau Evean Amandelbloesem, HOOFDINGANG",0479::SB405,,1411,646,5,4,0,0,0,612,43,0,0,0,0,0,0,655,67,39,22,40,31,66,48,69,13,131,58,37,17,8
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,"Stembureau Dorpshuis ""De Noorddam""",0479::SB406,,513,286,1,0,0,0,0,268,19,0,0,0,0,0,0,287,14,47,6,31,15,24,11,80,6,12,33,1,4,2
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,"Stembureau Sint Petruskerk, INGANG KERK",0479::SB501,,1724,1085,11,3,0,0,0,1001,98,0,0,0,0,0,0,1099,102,105,45,126,44,108,85,152,19,76,168,28,15,12
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau Dependance De Evenaar/ Hoeksteen,0479::SB502,,2234,1269,8,2,0,0,0,1157,122,0,0,0,0,0,0,1279,98,248,75,201,58,101,77,186,22,69,79,40,9,6
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,"Stembureau School De Hoeksteen, INGANG SNUIVERSTRAAT",0479::SB503,,1570,860,5,1,0,0,0,806,60,0,0,0,0,0,0,866,107,100,34,89,31,84,46,124,10,98,99,21,13,4
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau Gebouw Heliomare,0479::SB504,,2178,763,3,5,0,0,0,710,61,0,0,0,0,0,0,771,87,55,23,65,26,120,51,89,23,106,86,24,3,5
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,"Stembureau School De Evenaar, ZIJINGANG",0479::SB505,,1430,956,2,2,0,0,0,873,87,0,0,0,0,0,0,960,109,145,39,128,33,98,95,109,19,83,35,48,10,5
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau Odd Fellowhuis,0479::SB506,,1372,711,1,5,0,0,0,669,48,0,0,0,0,0,0,717,66,87,24,79,33,92,82,97,2,49,78,17,4,1
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau Evean Rosariumhorst,0479::SB507,,1820,847,2,3,0,0,0,783,69,0,0,0,0,0,0,852,95,74,40,105,26,105,61,85,22,112,71,38,11,2
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau Buurthuis De Pelikaan,0479::SB508,,1382,601,3,5,0,0,0,565,44,0,0,0,0,0,0,609,52,49,30,107,18,69,46,71,10,90,27,16,11,5
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau School De Dorpsakker,0479::SB601,,1627,661,0,5,0,0,0,593,73,0,0,0,0,0,0,666,57,126,41,70,24,43,36,85,24,59,59,22,11,4
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau Gebouw Brandweer,0479::SB602,,1671,995,0,2,0,3,0,908,92,0,0,0,3,0,0,1000,88,156,42,102,22,108,85,112,36,116,75,23,22,8
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau Tennisvereniging Overdan,0479::SB603,,1744,859,3,4,0,0,0,793,73,0,0,0,0,0,0,866,77,146,37,89,40,58,84,98,19,90,82,17,17,5
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau Evean Festina Lente,0479::SB604,,1263,690,1,2,0,0,0,645,48,0,0,0,0,0,0,693,84,75,19,59,15,94,83,52,15,105,61,11,11,6
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau Gymzaal De Springplank,0479::SB605,,1187,602,1,4,0,0,0,558,49,0,0,0,0,0,0,607,63,73,15,41,32,46,41,93,18,70,74,14,22,0
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau School Ayundo,0479::SB606,,2348,1166,0,3,0,0,0,1028,141,0,0,0,0,0,0,1169,118,302,49,198,40,105,45,147,7,62,20,32,26,15
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau School Het Koraal,0479::SB607,,1941,664,0,2,0,2,0,570,98,0,0,0,2,0,0,668,88,209,25,74,25,27,17,122,7,15,4,20,20,11
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau Buurtcentrum De Kaaik,0479::SB608,,4455,1778,5,11,0,2,0,1531,266,0,0,0,3,1,0,1797,231,404,51,241,90,141,70,260,51,94,43,48,31,23
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau Dorpshuis De Kwaker,0479::SB701,,1603,784,0,3,0,0,0,685,102,0,0,0,0,0,0,787,57,157,22,61,34,55,48,97,11,52,97,72,19,2
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau Wijksteunpunt Lambert Melisz,0479::SB702,,970,520,0,2,0,0,0,489,33,0,0,0,0,0,0,522,57,112,17,54,20,42,34,49,8,59,40,14,10,4
,Zaanstad,GR2014_Zaanstad,Gemeenteraad Zaanstad 2014,0479,Zaanstad,2014-03-19,Stembureau Grote Kerk,0479::SB703,,1042,746,5,4,0,0,0,690,65,0,0,0,0,0,0,755,77,161,23,66,48,65,47,70,13,45,84,23,16,8
