contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid (P.v.d.A.),Gemeentebelangen Hoogeveen en omstreken,VVD,ChristenUnie,SP (Socialistische Partij),GROENLINKS,Democraten 66 (D66),Staatkundig Gereformeerde Partij (SGP)
,Hoogeveen,GR2014_Hoogeveen,Gemeenteraad Hoogeveen 2014,0118,Hoogeveen,2014-03-19,Stembureau De Open Deur,0118::SB21,7916 PC,1063,443,0,1,0,0,0,388,56,0,0,0,0,0,0,444,101,48,136,31,27,52,25,11,12
,Hoogeveen,GR2014_Hoogeveen,Gemeenteraad Hoogeveen 2014,0118,Hoogeveen,2014-03-19,Stembureau Buurthuis 't Vonder,0118::SB22,7916 RA,1073,435,1,1,0,0,0,385,52,0,0,0,0,0,0,437,79,88,147,11,25,50,12,17,6
,Hoogeveen,GR2014_Hoogeveen,Gemeenteraad Hoogeveen 2014,0118,Hoogeveen,2014-03-19,Stembureau Jul. van Stolbergschool,0118::SB23,7902 JD,1700,555,1,0,0,0,0,507,49,0,0,0,0,0,0,556,134,103,108,48,36,82,16,24,4
,Hoogeveen,GR2014_Hoogeveen,Gemeenteraad Hoogeveen 2014,0118,Hoogeveen,2014-03-19,Stembureau Basisschool 't Kofschip,0118::SB24,7908 EE,1394,620,1,1,0,0,0,560,62,0,0,0,0,0,0,622,139,75,93,64,70,110,35,29,5
,Hoogeveen,GR2014_Hoogeveen,Gemeenteraad Hoogeveen 2014,0118,Hoogeveen,2014-03-19,Stembureau Sporthal Trasselt,0118::SB25,7908 PB,1528,1255,2,1,0,0,0,1140,118,0,0,0,0,0,0,1258,338,131,178,187,133,114,50,120,4
,Hoogeveen,GR2014_Hoogeveen,Gemeenteraad Hoogeveen 2014,0118,Hoogeveen,2014-03-19,Stembureau Dorpshuis 't Overschotje,0118::SB26,7931 TL,533,388,1,0,0,1,0,357,31,0,0,1,0,0,0,388,93,34,136,55,16,34,6,11,3
,Hoogeveen,GR2014_Hoogeveen,Gemeenteraad Hoogeveen 2014,0118,Hoogeveen,2014-03-19,Stembureau Ontmoetingscentrum De Wenning,0118::SB27,7933 PW,1265,808,2,1,0,0,0,742,69,0,0,0,0,0,0,811,237,78,144,184,30,79,15,34,7
,Hoogeveen,GR2014_Hoogeveen,Gemeenteraad Hoogeveen 2014,0118,Hoogeveen,2014-03-19,Stembureau MFC De Opsteker,0118::SB28,7918 AX,1056,611,0,0,0,0,0,560,51,0,0,0,0,0,0,611,149,23,255,35,57,59,15,6,12
,Hoogeveen,GR2014_Hoogeveen,Gemeenteraad Hoogeveen 2014,0118,Hoogeveen,2014-03-19,Stembureau Vereniging Ons Dorpshuis,0118::SB29,7934 PE,453,318,0,1,0,0,0,282,37,0,0,0,0,0,0,319,55,47,79,49,14,39,17,12,6
,Hoogeveen,GR2014_Hoogeveen,Gemeenteraad Hoogeveen 2014,0118,Hoogeveen,2014-03-19,Stembureau Dorpshuis De Vuurkörf,0118::SB30,7912 TH,656,421,1,0,0,0,0,391,31,0,0,0,0,0,0,422,180,23,76,20,52,32,5,13,20
,Hoogeveen,GR2014_Hoogeveen,Gemeenteraad Hoogeveen 2014,0118,Hoogeveen,2014-03-19,Stembureau MFC De Eiken,0118::SB31,7936 PB,577,323,0,0,0,0,0,282,41,0,0,0,0,0,0,323,79,20,87,28,37,43,5,11,13
