contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Gemeente Belangen Twenterand,CDA,ChristenUnie,Partij van de Arbeid (P.v.d.A.),VVD,Staatkundig Gereformeerde Partij (SGP),Democraten 66 (D66),GROENLINKS
,Twenterand,GR2014_Twenterand,Gemeenteraad Twenterand 2014,1700,Twenterand,2014-03-19,Stembureau CBS De Regenboog,1700::SB14,7671 ZX,907,559,1,6,0,0,0,512,54,0,0,0,0,0,0,566,110,189,72,31,37,66,35,19
,Twenterand,GR2014_Twenterand,Gemeenteraad Twenterand 2014,1700,Twenterand,2014-03-19,Stembureau RK BS Antonius,1700::SB15,7671 VW,998,779,1,2,0,0,0,726,56,0,0,0,0,0,0,782,136,250,132,45,64,48,47,57
,Twenterand,GR2014_Twenterand,Gemeenteraad Twenterand 2014,1700,Twenterand,2014-03-19,Stembureau Chr.BS Shalom,1700::SB16,7671 ND,1580,976,3,2,0,0,0,900,81,0,0,0,0,0,0,981,210,278,191,47,83,72,60,35
,Twenterand,GR2014_Twenterand,Gemeenteraad Twenterand 2014,1700,Twenterand,2014-03-19,Stembureau Hervormd Centrum De Rank,1700::SB17,7683 BN,1477,907,2,0,0,0,0,810,99,0,0,0,0,0,0,909,229,401,169,12,37,21,24,14
,Twenterand,GR2014_Twenterand,Gemeenteraad Twenterand 2014,1700,Twenterand,2014-03-19,Stembureau Vergaderzaal Geref.Kerk,1700::SB19,7683 AV,1606,1054,0,0,0,1,0,959,96,0,0,0,1,0,0,1055,275,456,194,28,30,32,32,7
,Twenterand,GR2014_Twenterand,Gemeenteraad Twenterand 2014,1700,Twenterand,2014-03-19,"Stembureau Woonzorgcentrum ""Het Liefferdinck""",1700::SB20,7683 VV,1422,991,0,0,0,1,0,926,66,0,0,0,1,0,0,992,294,365,227,22,19,12,44,8
,Twenterand,GR2014_Twenterand,Gemeenteraad Twenterand 2014,1700,Twenterand,2014-03-19,Stembureau Ver.gebouw RK Kerk,1700::SB21,7686 CM,820,457,0,0,0,0,0,408,49,0,0,0,0,0,0,457,244,69,60,24,12,19,12,17
,Twenterand,GR2014_Twenterand,Gemeenteraad Twenterand 2014,1700,Twenterand,2014-03-19,"Stembureau Baptistencentrum ""'t Lieniezer""",1700::SB22,7681 JA,1097,533,2,0,0,0,0,477,58,0,0,0,0,0,0,535,240,127,79,36,24,11,10,6
,Twenterand,GR2014_Twenterand,Gemeenteraad Twenterand 2014,1700,Twenterand,2014-03-19,Stembureau Ons Centrum bij NH Kerk,1700::SB23,7681 DJ,1535,784,3,0,0,0,0,717,70,0,0,0,0,0,0,787,324,230,82,39,54,26,21,8
,Twenterand,GR2014_Twenterand,Gemeenteraad Twenterand 2014,1700,Twenterand,2014-03-19,Stembureau MCC,1700::SB24,7681 AZ,1262,674,0,4,0,0,0,609,70,0,1,0,1,0,0,679,260,162,115,50,43,18,17,9
,Twenterand,GR2014_Twenterand,Gemeenteraad Twenterand 2014,1700,Twenterand,2014-03-19,Stembureau Brandweerkazerne,1700::SB25,7681 XN,1224,455,0,1,0,0,0,402,54,0,0,0,0,0,0,456,219,84,69,40,14,7,11,11
,Twenterand,GR2014_Twenterand,Gemeenteraad Twenterand 2014,1700,Twenterand,2014-03-19,Stembureau PCO school Nieuwoord,1700::SB26,7681 HD,1191,556,2,0,0,0,0,493,65,0,0,0,0,0,0,558,200,147,87,61,24,7,23,7
