contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),CDA,TROTS,Leefbaar Purmerend 2001,Algemeen Ouderen Verbond,STADSPARTIJ,GROENLINKS,Nederlandse Volks-Unie (NVU),Groep Hop
,Purmerend,GR2014_Purmerend,Gemeenteraad Purmerend 2014,0439,Purmerend,2014-03-19,Stembureau Lijn 5 (oude montessorischool),0439::SB11,1444 GE,1762,812,2,1,0,0,0,732,83,0,0,0,0,0,0,815,84,86,141,88,78,54,68,133,68,4,8
,Purmerend,GR2014_Purmerend,Gemeenteraad Purmerend 2014,0439,Purmerend,2014-03-19,Stembureau Wijkplein Where,0439::SB12,1443 BM,1118,993,5,3,0,3,0,932,72,0,0,0,3,0,0,1004,67,116,69,111,59,63,186,217,79,10,16
,Purmerend,GR2014_Purmerend,Gemeenteraad Purmerend 2014,0439,Purmerend,2014-03-19,"Stembureau Prinsenstichting, loc.Rudolf Garrel",0439::SB13,1443 LH,1755,382,4,4,0,0,0,357,33,0,0,0,0,0,0,390,18,58,51,58,16,30,42,81,22,2,4
,Purmerend,GR2014_Purmerend,Gemeenteraad Purmerend 2014,0439,Purmerend,2014-03-19,Stembureau Obs Wheermolen,0439::SB14,1443 WT,1111,637,5,1,0,0,0,593,50,0,0,0,0,0,0,643,45,74,68,64,39,37,82,155,45,13,15
,Purmerend,GR2014_Purmerend,Gemeenteraad Purmerend 2014,0439,Purmerend,2014-03-19,Stembureau Hengelsportvereniging HSV XI,0439::SB15,1443 WJ,1633,540,4,1,0,0,0,488,57,0,0,0,0,0,0,545,30,73,63,33,51,25,60,153,20,6,26
,Purmerend,GR2014_Purmerend,Gemeenteraad Purmerend 2014,0439,Purmerend,2014-03-19,Stembureau Waterlandschool,0439::SB16,1441 SZ,2023,812,5,3,0,0,0,756,64,0,0,0,0,0,0,820,71,101,134,85,36,50,80,124,111,11,9
,Purmerend,GR2014_Purmerend,Gemeenteraad Purmerend 2014,0439,Purmerend,2014-03-19,Stembureau Waterlandziekenhuis,0439::SB17,1441 RN,1772,1013,4,12,0,0,0,920,112,0,2,0,3,0,1,1032,80,119,132,63,75,98,112,203,108,16,7
,Purmerend,GR2014_Purmerend,Gemeenteraad Purmerend 2014,0439,Purmerend,2014-03-19,Stembureau Obs De Ranonkel,0439::SB18,1441 TT,1707,946,8,7,0,0,0,874,87,0,0,0,0,0,0,961,88,104,152,76,70,74,92,181,87,10,12
,Purmerend,GR2014_Purmerend,Gemeenteraad Purmerend 2014,0439,Purmerend,2014-03-19,Stembureau Korfbalvereniging Purmer,0439::SB19,1446 HC,1702,497,0,3,0,0,0,451,49,0,0,0,0,0,0,500,36,49,43,26,40,27,51,176,40,5,4
,Purmerend,GR2014_Purmerend,Gemeenteraad Purmerend 2014,0439,Purmerend,2014-03-19,Stembureau Wijksteunpunt Purmer - Noord,0439::SB20,1445 CW,1851,831,4,7,0,0,0,748,94,0,0,0,0,0,0,842,47,68,81,55,63,59,95,285,50,15,13
,Purmerend,GR2014_Purmerend,Gemeenteraad Purmerend 2014,0439,Purmerend,2014-03-19,Stembureau Obs De Dijk,0439::SB21,1445 HC,1799,800,0,6,0,0,0,727,79,0,0,0,0,0,0,806,57,87,93,58,64,62,80,213,64,8,14
,Purmerend,GR2014_Purmerend,Gemeenteraad Purmerend 2014,0439,Purmerend,2014-03-19,Stembureau Obs De Akker,0439::SB22,1446 CX,2106,832,0,6,0,0,0,734,104,0,0,0,0,0,0,838,42,77,92,38,82,73,78,271,63,6,10
,Purmerend,GR2014_Purmerend,Gemeenteraad Purmerend 2014,0439,Purmerend,2014-03-19,Stembureau R.K.B.S. De Smidse,0439::SB23,1445 KD,1290,387,2,0,0,0,0,346,43,0,0,0,0,0,0,389,36,42,56,15,49,23,40,93,18,6,9
,Purmerend,GR2014_Purmerend,Gemeenteraad Purmerend 2014,0439,Purmerend,2014-03-19,Stembureau C.B.S. De Ploegschaar,0439::SB24,1445 KD,1293,625,1,4,0,0,0,562,68,0,0,0,0,0,0,630,50,61,87,28,51,28,63,196,49,6,6
,Purmerend,GR2014_Purmerend,Gemeenteraad Purmerend 2014,0439,Purmerend,2014-03-19,Stembureau OBS De Boemerang,0439::SB25,1445 NM,1617,639,4,3,0,0,0,598,48,0,0,0,0,0,0,646,40,81,74,26,36,62,71,159,52,12,26
,Purmerend,GR2014_Purmerend,Gemeenteraad Purmerend 2014,0439,Purmerend,2014-03-19,Stembureau Obs De Delta,0439::SB26,1447 AV,1505,755,1,2,0,0,0,675,83,0,0,0,0,0,0,758,64,70,79,34,66,107,59,203,46,15,12
,Purmerend,GR2014_Purmerend,Gemeenteraad Purmerend 2014,0439,Purmerend,2014-03-19,Stembureau Montessori Onderwijs Purmerend,0439::SB27,1447 BT,1370,641,0,3,0,0,0,589,56,0,0,0,1,0,0,645,72,70,88,54,53,63,50,136,35,13,7
,Purmerend,GR2014_Purmerend,Gemeenteraad Purmerend 2014,0439,Purmerend,2014-03-19,Stembureau Squash en Fitness Purmerend,0439::SB28,1447 CP,1546,1029,6,1,0,0,0,899,137,0,0,0,0,0,0,1036,167,101,186,61,74,88,68,202,60,13,9
,Purmerend,GR2014_Purmerend,Gemeenteraad Purmerend 2014,0439,Purmerend,2014-03-19,Stembureau Recreatieruimte De Koggen,0439::SB29,1447 CN,1908,423,0,1,0,0,0,389,35,0,0,0,0,0,0,424,42,59,51,27,30,25,75,76,27,4,7
,Purmerend,GR2014_Purmerend,Gemeenteraad Purmerend 2014,0439,Purmerend,2014-03-19,Stembureau Oec. Basisschool De Vlieger,0439::SB30,1447 EN,2104,1018,0,2,0,0,0,902,118,0,0,0,0,0,0,1020,158,104,127,77,55,103,63,240,66,9,16
,Purmerend,GR2014_Purmerend,Gemeenteraad Purmerend 2014,0439,Purmerend,2014-03-19,"Stembureau De Zorgcirkel, locatie Molentocht",0439::SB31,1447 EG,2048,1195,3,8,1,0,0,1067,140,0,0,0,1,0,0,1207,182,137,155,63,75,110,125,255,76,6,11
,Purmerend,GR2014_Purmerend,Gemeenteraad Purmerend 2014,0439,Purmerend,2014-03-19,Stembureau Obs De Koempoelan,0439::SB32,1448 BV,1858,991,6,4,0,0,0,885,116,0,0,0,0,0,0,1001,157,101,163,81,58,106,81,177,49,11,7
,Purmerend,GR2014_Purmerend,Gemeenteraad Purmerend 2014,0439,Purmerend,2014-03-19,"Stembureau De Zorgcirkel, locatie Zuidland",0439::SB33,1448 NL,1433,545,2,2,0,0,0,502,47,0,0,0,0,0,0,549,72,62,56,62,28,39,92,94,27,8,5
,Purmerend,GR2014_Purmerend,Gemeenteraad Purmerend 2014,0439,Purmerend,2014-03-19,Stembureau Oec. Basisschool De Marimba,0439::SB34,1448 TP,1633,736,3,6,0,0,0,658,87,0,0,0,0,0,0,745,92,77,131,60,63,63,53,144,36,4,13
,Purmerend,GR2014_Purmerend,Gemeenteraad Purmerend 2014,0439,Purmerend,2014-03-19,Stembureau Obs De Nieuwe Wereld,0439::SB35,1448 XW,1859,846,0,3,0,0,0,756,93,0,0,0,0,0,0,849,173,82,142,64,78,58,51,130,47,9,12
,Purmerend,GR2014_Purmerend,Gemeenteraad Purmerend 2014,0439,Purmerend,2014-03-19,Stembureau Brede School De Kraal,0439::SB36,1448 PN,1762,955,9,5,0,0,0,847,122,0,0,0,0,0,0,969,182,118,168,79,71,49,59,161,45,10,13
,Purmerend,GR2014_Purmerend,Gemeenteraad Purmerend 2014,0439,Purmerend,2014-03-19,"Stembureau De Zorgcirkel, locatie Woonstate",0439::SB37,1448 PJ,2016,717,1,2,0,0,0,637,83,0,0,0,0,0,0,720,130,87,113,69,65,55,44,108,33,11,2
,Purmerend,GR2014_Purmerend,Gemeenteraad Purmerend 2014,0439,Purmerend,2014-03-19,Stembureau Brede School De Weide,0439::SB38,1448 JJ,2341,726,3,2,0,0,0,662,69,0,0,0,0,0,0,731,140,55,131,66,37,45,60,133,41,7,11
,Purmerend,GR2014_Purmerend,Gemeenteraad Purmerend 2014,0439,Purmerend,2014-03-19,Stembureau mobiel stembureau,0439::SB39,,0,300,4,2,0,0,0,282,24,0,0,0,0,0,0,306,37,34,35,26,17,35,26,58,29,1,2
