contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid (P.v.d.A.),Senioren Partij Maastricht,GROENLINKS,Democraten 66 (D66),VVD,Stadsbelangen Mestreech,SP (Socialistische Partij),Liberale Partij Maastricht,Maastrichtse Volkspartij (MV),OPA,Partij Veilig Maastricht (PVM)
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Wijkcombinatiegebouw La Bellettsa,0935::SB12,6221 SZ,2276,810,3,3,0,0,0,712,104,0,0,0,0,0,0,816,74,137,111,43,65,28,57,108,7,14,12,154
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Buurtcentrum Sint Pieter,0935::SB13,6212 BT,1139,826,1,6,0,0,0,739,95,0,0,0,1,0,0,834,114,100,133,121,187,93,6,34,6,10,3,19
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Bernard Lievegoed School,0935::SB14,6229 GX,1579,765,2,0,0,0,0,710,59,0,2,0,2,0,0,769,123,78,59,123,134,44,24,101,25,17,9,28
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Pieterkelderke,0935::SB15,6212 CB,1406,833,3,5,0,0,0,760,81,0,0,0,0,0,0,841,130,92,113,134,178,76,20,40,11,14,7,18
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Stichting Moetiara Maloekoe,0935::SB16,6227 RJ,1910,649,5,3,0,0,0,570,87,0,0,0,0,0,0,657,53,80,100,54,44,16,38,141,15,32,16,60
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Sportcafé Jekerdal,0935::SB17,6212 XK,1010,567,6,0,0,0,0,508,63,0,0,2,0,0,0,571,52,78,71,114,100,41,8,60,14,6,5,18
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Envida locatie Croonenhoff,0935::SB18,6227 SZ,1592,902,3,4,0,0,0,798,110,0,0,0,0,0,0,908,160,68,193,45,79,99,39,85,24,43,12,55
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,"Stembureau St. Gerlachus, Mosae Zorggroep",0935::SB19,6213 AL,1302,860,1,0,0,0,0,768,93,0,0,0,0,0,0,861,162,73,134,135,141,108,9,61,11,7,4,15
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Bernard Lievegoed School VO,0935::SB20,6227 AL,1627,651,2,2,0,0,0,594,61,0,0,0,0,0,0,655,80,65,88,55,69,30,47,95,21,24,12,65
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,"Stembureau Campagne, Mosae Zorggroep",0935::SB21,6213 EC,1197,680,2,4,0,0,0,616,70,0,0,0,0,0,0,686,150,71,143,31,94,84,6,42,21,16,9,13
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Gemeenschapshuis Aen de Wan,0935::SB22,6227 BZ,2045,1068,4,2,0,0,0,945,129,0,0,0,0,0,0,1074,204,73,248,70,90,44,60,104,33,62,18,62
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Basisschool Petrus en Paulus,0935::SB23,6213 HM,1224,740,6,0,0,0,0,661,85,0,0,0,0,0,0,746,138,79,136,70,79,62,30,71,17,15,2,41
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Basisschool Anne Frank,0935::SB24,6229 AV,1774,968,3,1,0,0,0,872,100,0,0,0,0,0,0,972,171,90,101,83,157,56,46,127,27,57,8,45
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,"Stembureau Daalhof, Mosae Zorggroep",0935::SB25,6215 BR,2601,1083,8,4,0,0,0,970,125,0,0,0,0,0,0,1095,112,107,214,42,64,38,64,200,34,33,29,146
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Envida locatie La Valence,0935::SB26,6229 VN,2254,745,3,7,0,0,0,671,84,0,0,0,0,0,0,755,107,84,92,42,86,56,51,97,32,44,7,47
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Basisschool Fons Olterdissen,0935::SB27,6215 SW,2798,1129,2,8,0,0,0,1008,131,0,0,0,0,0,0,1139,138,80,272,52,79,44,58,196,22,27,25,136
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Basisschool De Schans,0935::SB28,6228 EA,1735,720,3,5,0,0,0,657,71,0,0,0,0,0,0,728,68,61,88,46,50,25,92,152,24,22,33,59
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Buurtcentrum Ut Förtsje,0935::SB29,6216 PS,1454,717,1,2,0,0,0,646,75,0,0,0,1,0,0,721,87,50,200,29,74,51,28,78,15,22,19,64
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Gymzaal Basisschool De Kring,0935::SB30,6228 GC,1684,853,1,2,0,0,0,771,85,0,0,0,0,0,0,856,95,69,89,57,78,42,141,138,22,18,22,82
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Basisschool Elckerlyc/Hazendans,0935::SB31,6216 TT,1489,650,1,1,0,0,0,565,87,0,0,0,0,0,0,652,83,54,96,36,75,70,47,77,24,12,6,70
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Gebouw Groenekruis Domicura,0935::SB32,6226 CA,2008,917,4,2,0,1,0,833,91,0,0,0,1,0,0,924,95,112,165,85,155,90,38,84,21,21,22,29
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Buurtcentrum Mariaberg,0935::SB33,6214 SW,1527,605,1,2,0,0,0,548,60,0,0,0,0,0,0,608,35,77,57,37,31,23,44,156,15,33,14,83
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Sint Maartenscollege,0935::SB34,6226 NK,2085,1033,1,2,0,0,0,916,120,0,0,0,0,0,0,1036,168,92,142,105,184,111,29,82,31,17,19,53
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,"Stembureau Flat, Elizabeth Gruytersstraat",0935::SB35,6216 EN,1971,769,1,2,0,0,0,680,92,0,0,0,0,0,0,772,112,64,235,39,58,44,32,80,19,27,10,49
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Nutsschool Maastricht,0935::SB36,6224 JR,1807,549,1,2,0,0,0,509,43,0,0,0,0,0,0,552,50,92,58,78,94,48,12,59,11,16,4,27
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Schoolgebouw Elisabeth Strouvenlaan,0935::SB37,6214 AX,2651,728,1,5,0,0,0,652,81,0,0,1,0,0,0,733,57,78,82,71,70,28,36,172,22,27,18,67
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Trefcentrum Wittevrouwenveld,0935::SB38,6224 GK,1455,837,3,5,0,0,0,726,119,0,0,0,0,0,0,845,53,150,56,59,74,23,53,103,13,29,15,209
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Stichting 't Gilde,0935::SB39,6217 KM,1728,799,2,1,0,0,0,723,79,0,0,0,0,0,0,802,107,103,75,147,133,60,4,87,32,11,7,33
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Maris Stella,0935::SB40,6226 XZ,1391,427,3,0,0,0,0,372,58,0,0,0,0,0,0,430,39,77,30,17,28,11,31,71,8,4,10,101
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Zaaltje St. Annakerk,0935::SB41,6217 JJ,1512,503,0,3,0,0,0,449,57,0,0,0,0,0,0,506,72,81,114,39,36,34,18,57,3,13,9,27
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Parochiecentrum Amby,0935::SB42,6225 AJ,1272,737,2,2,0,0,0,657,84,0,0,0,0,0,0,741,96,69,118,54,104,75,27,74,18,26,7,69
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Buurtcentrum De Romein,0935::SB43,6216 VG,2001,699,2,2,0,0,0,622,81,0,0,0,0,0,0,703,60,109,137,22,40,27,41,110,9,21,23,100
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Envida locatie De Zeven Bronnen,0935::SB44,6225 AG,2154,994,3,2,0,0,0,897,102,0,0,0,0,0,0,999,130,66,297,50,98,37,47,110,38,36,12,73
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Bibliotheek Malpertuis,0935::SB45,6217 CG,1905,661,0,8,0,0,0,577,92,0,0,0,0,0,0,669,53,136,106,23,35,27,37,108,15,22,15,84
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Envida locatie Hagerpoort,0935::SB46,6225 GA,1539,879,3,3,0,0,0,788,97,0,0,0,0,0,0,885,102,62,275,45,101,63,15,65,20,31,13,87
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau De Wiemerink,0935::SB47,6217 XL,2762,864,5,11,0,0,0,738,142,0,0,0,0,0,0,880,74,160,127,38,65,21,47,125,23,40,45,99
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Buurtcentrum Nazareth,0935::SB48,6222 TE,2719,864,4,1,0,0,0,773,96,0,0,0,0,0,0,869,123,97,119,47,58,23,51,157,16,30,20,123
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,"Stembureau Scharwyerveld, Mosae Zorggroep",0935::SB49,6218 EM,2060,644,5,3,0,0,0,567,85,0,0,0,0,0,0,652,61,94,154,17,26,14,30,88,13,24,29,94
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Gemeenschapshuis Kap. Lochtmanhuis,0935::SB50,6222 CT,1848,638,1,3,0,0,0,589,53,0,0,0,0,0,0,642,157,62,61,20,73,38,24,78,8,12,15,90
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Centre Magnefiek Malberg,0935::SB51,6218 AV,3069,953,4,11,0,0,0,833,135,0,0,0,0,0,0,968,85,103,202,28,52,36,72,158,29,31,28,129
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Basisschool  De Maasköpkes,0935::SB52,6223 BD,1518,726,5,1,0,0,0,648,84,0,0,0,0,0,0,732,130,61,129,34,52,34,47,95,18,27,17,82
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Centre Ceramique,0935::SB53,6221 KV,0,1271,10,4,2,0,0,1181,106,0,0,0,0,0,0,1287,194,141,160,141,271,152,15,96,28,22,7,44
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Sint Martinushoes,0935::SB54,6223 GX,816,452,2,0,0,0,0,387,67,0,0,0,0,0,0,454,91,15,39,94,22,28,13,81,6,25,8,30
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Wijkcentrum De Luibe,0935::SB55,6218 HK,1180,651,2,2,0,0,0,607,48,0,0,0,0,0,0,655,113,51,100,52,59,66,18,71,17,39,13,52
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau OBS de Perroen,0935::SB56,6228 XZ,1530,556,1,2,0,0,0,491,68,0,0,0,0,0,0,559,48,64,59,47,56,24,66,83,11,26,22,50
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Zaal Onder de Kerk Boschpoort,0935::SB57,6219 AX,1439,758,5,3,0,0,0,671,95,0,0,0,0,0,0,766,193,99,71,56,52,5,30,152,10,8,11,71
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,"Stembureau AZM, centrale hal",0935::SB58,6229 HX,0,831,7,2,0,0,0,775,65,0,0,0,0,0,0,840,76,131,45,97,186,103,16,75,37,18,6,41
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Winkelcentrum Brusselse Poort,0935::SB59,6216 CG,0,570,5,9,0,0,0,540,44,0,0,0,0,0,0,584,90,50,111,34,61,32,17,71,28,8,14,54
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau NS Centraal Station,0935::SB60,6221 BT,0,773,9,2,0,0,0,740,44,0,0,0,0,0,0,784,60,105,53,120,181,80,20,80,17,9,12,36
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Toon Hermans Huis,0935::SB61,6211 TE,0,98,0,2,0,0,0,94,6,0,0,0,0,0,0,100,7,8,7,20,24,15,1,9,2,1,1,3
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau School OBS de Regenboog,0935::SB62,6226 AR,1309,635,1,1,0,0,0,571,67,0,1,0,1,0,0,638,77,75,40,110,141,81,8,43,7,18,5,30
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Centre Magnefiek Malberg,0935::SB63,6218 AV,0,445,0,2,0,0,0,403,44,0,0,0,0,0,0,447,29,60,83,14,22,13,37,74,16,24,13,60
,Maastricht,GR2014_Maastricht,Gemeenteraad Maastricht 2014,0935,Maastricht,2014-03-19,Stembureau Mobiel stembureau L&L en Maasveld,0935::SB64,,0,113,0,3,0,0,0,115,1,0,0,0,0,0,0,116,17,14,30,3,7,0,15,16,2,3,0,6
