contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Heusden ÉÉN,Gemeentebelangen,D.M.P. Heusden,CDA,VVD,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),Heusden Transparant
,Heusden,GR2014_Heusden,Gemeenteraad Heusden 2014,0797,Heusden,2014-03-19,Stembureau Seniorensociëteit,0797::SB12,5256 AD,1296,679,4,9,0,0,0,619,73,0,0,0,0,0,0,692,96,99,72,179,67,64,55,47
,Heusden,GR2014_Heusden,Gemeenteraad Heusden 2014,0797,Heusden,2014-03-19,Stembureau Dorpshuis Herpt,0797::SB13,5256 NJ,789,464,0,0,0,0,0,394,70,0,0,0,0,0,0,464,184,47,44,55,37,44,20,33
,Heusden,GR2014_Heusden,Gemeenteraad Heusden 2014,0797,Heusden,2014-03-19,Stembureau De Kubus,0797::SB14,5256 GV,1141,456,4,5,0,0,0,405,60,0,0,0,0,0,0,465,58,153,56,40,23,67,27,32
,Heusden,GR2014_Heusden,Gemeenteraad Heusden 2014,0797,Heusden,2014-03-19,Stembureau Gemeentehuis Vlijmen,0797::SB15,5251 ED,1181,727,6,7,0,0,0,641,99,0,0,0,0,0,0,740,123,75,123,87,80,75,49,115
,Heusden,GR2014_Heusden,Gemeenteraad Heusden 2014,0797,Heusden,2014-03-19,Stembureau Sint Janshof,0797::SB16,5251 BL,1225,662,2,1,0,0,0,594,71,0,0,0,0,0,0,665,119,43,141,77,100,54,58,70
,Heusden,GR2014_Heusden,Gemeenteraad Heusden 2014,0797,Heusden,2014-03-19,Stembureau Bibliotheek Vlijmen,0797::SB17,5251 CJ,1212,605,2,3,0,0,0,551,59,0,0,0,0,0,0,610,100,56,136,54,77,61,51,70
,Heusden,GR2014_Heusden,Gemeenteraad Heusden 2014,0797,Heusden,2014-03-19,Stembureau De Wilgen,0797::SB18,5252 AW,1322,711,9,2,0,0,0,651,71,0,0,0,0,0,0,722,101,63,172,91,96,56,74,58
,Heusden,GR2014_Heusden,Gemeenteraad Heusden 2014,0797,Heusden,2014-03-19,Stembureau De Bussel,0797::SB19,5251 ER,1252,725,4,2,0,0,0,657,74,0,0,0,0,0,0,731,85,53,106,138,103,61,63,116
,Heusden,GR2014_Heusden,Gemeenteraad Heusden 2014,0797,Heusden,2014-03-19,Stembureau Het Patronaat,0797::SB20,5253 AJ,1449,971,3,4,0,0,0,877,101,0,0,0,0,0,0,978,136,65,357,42,168,71,49,83
,Heusden,GR2014_Heusden,Gemeenteraad Heusden 2014,0797,Heusden,2014-03-19,Stembureau De Harmonie,0797::SB21,5254 JS,783,465,0,2,0,0,0,419,48,0,0,0,0,0,0,467,56,34,247,26,29,11,17,45
,Heusden,GR2014_Heusden,Gemeenteraad Heusden 2014,0797,Heusden,2014-03-19,Stembureau Voetiusschool,0797::SB22,5251 LW,1282,543,2,1,0,0,0,486,60,0,0,0,0,0,0,546,67,71,68,49,65,72,54,97
,Heusden,GR2014_Heusden,Gemeenteraad Heusden 2014,0797,Heusden,2014-03-19,Stembureau Parochiezaal kerk,0797::SB23,5251 JC,1278,370,5,1,0,0,0,337,39,0,0,0,0,0,0,376,41,67,87,28,40,42,24,41
,Heusden,GR2014_Heusden,Gemeenteraad Heusden 2014,0797,Heusden,2014-03-19,Stembureau Bibliotheek Drunen,0797::SB24,5151 CR,1324,524,7,0,0,0,0,472,59,0,0,0,0,0,0,531,28,175,37,54,39,75,49,67
,Heusden,GR2014_Heusden,Gemeenteraad Heusden 2014,0797,Heusden,2014-03-19,"Stembureau Het Water, ontmoetingsruimte",0797::SB25,5152 GC,1536,555,5,4,0,0,0,509,55,0,0,0,0,0,0,564,47,167,24,43,68,41,74,91
,Heusden,GR2014_Heusden,Gemeenteraad Heusden 2014,0797,Heusden,2014-03-19,Stembureau M.F.A. Caleidoscoop,0797::SB26,5251 NG,1152,498,12,1,0,0,0,460,51,0,0,0,0,0,0,511,72,99,102,37,37,59,33,59
,Heusden,GR2014_Heusden,Gemeenteraad Heusden 2014,0797,Heusden,2014-03-19,Stembureau Sportcentrum Die Heygrave,0797::SB27,5251 CJ,1135,407,0,1,0,0,0,372,36,0,0,0,0,0,0,408,88,36,86,45,39,39,31,43
,Heusden,GR2014_Heusden,Gemeenteraad Heusden 2014,0797,Heusden,2014-03-19,Stembureau Partycentrum De Hut,0797::SB28,5254 JD,817,529,4,1,0,0,0,460,74,0,0,0,0,0,0,534,120,37,245,27,30,17,22,31
