contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Algemeen Plaatselijk Belang,CDA,VVD,Ons Etten-Leur,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),JEZUS LEEFT,Leefbaar Etten-leur
,Etten-Leur,GR2014_EttenLeur,Gemeenteraad Etten-Leur 2014,0777,Etten-Leur,2014-03-19,Stembureau Stichting Instuif het Zorgenkind,0777::SB11,,1765,546,1,3,0,0,0,470,80,0,0,0,0,0,0,550,96,103,81,89,62,66,3,46
,Etten-Leur,GR2014_EttenLeur,Gemeenteraad Etten-Leur 2014,0777,Etten-Leur,2014-03-19,Stembureau Tafeltennishal Tanaka,0777::SB12,,1375,520,0,2,0,0,0,459,63,0,0,0,0,0,0,522,115,83,77,101,58,47,2,37
,Etten-Leur,GR2014_EttenLeur,Gemeenteraad Etten-Leur 2014,0777,Etten-Leur,2014-03-19,Stembureau Kantine Gemeentewerf,0777::SB13,,1047,575,0,1,0,0,0,501,75,0,0,0,0,0,0,576,79,142,88,114,37,66,1,48
,Etten-Leur,GR2014_EttenLeur,Gemeenteraad Etten-Leur 2014,0777,Etten-Leur,2014-03-19,Stembureau Wijkgebouw De Gong,0777::SB14,,1818,887,4,2,0,0,0,799,94,0,0,0,0,0,0,893,177,143,96,94,117,163,10,87
,Etten-Leur,GR2014_EttenLeur,Gemeenteraad Etten-Leur 2014,0777,Etten-Leur,2014-03-19,Stembureau Basisschool De Klankhof,0777::SB15,,1941,686,2,6,0,0,0,633,61,0,0,0,0,0,0,694,152,113,106,63,74,104,15,59
,Etten-Leur,GR2014_EttenLeur,Gemeenteraad Etten-Leur 2014,0777,Etten-Leur,2014-03-19,Stembureau Brede school De Vleer I,0777::SB16,,1616,651,4,0,0,0,0,594,61,0,0,0,0,0,0,655,125,103,89,93,59,104,12,66
,Etten-Leur,GR2014_EttenLeur,Gemeenteraad Etten-Leur 2014,0777,Etten-Leur,2014-03-19,Stembureau Brede school Het Voortouw,0777::SB17,,1035,664,0,1,0,0,0,607,58,0,0,0,0,0,0,665,132,132,125,73,40,104,3,55
,Etten-Leur,GR2014_EttenLeur,Gemeenteraad Etten-Leur 2014,0777,Etten-Leur,2014-03-19,Stembureau Brede school D'n Overkant,0777::SB18,,1407,796,3,2,0,0,0,727,74,0,0,0,0,0,0,801,133,184,145,77,61,115,9,72
,Etten-Leur,GR2014_EttenLeur,Gemeenteraad Etten-Leur 2014,0777,Etten-Leur,2014-03-19,Stembureau Trouwkerkje (gemeentelijke trouwzaal),0777::SB19,,1609,1022,3,7,0,0,0,919,113,0,0,0,0,0,0,1032,186,211,148,152,84,141,4,96
,Etten-Leur,GR2014_EttenLeur,Gemeenteraad Etten-Leur 2014,0777,Etten-Leur,2014-03-19,Stembureau Sportpark Lage Banken,0777::SB20,,1447,516,2,3,0,0,0,476,45,0,0,0,0,0,0,521,99,96,80,72,60,62,11,36
,Etten-Leur,GR2014_EttenLeur,Gemeenteraad Etten-Leur 2014,0777,Etten-Leur,2014-03-19,Stembureau Brede school De Vleer II,0777::SB21,,1448,563,8,3,0,0,0,508,66,0,0,0,0,0,0,574,126,86,71,87,53,77,8,55
,Etten-Leur,GR2014_EttenLeur,Gemeenteraad Etten-Leur 2014,0777,Etten-Leur,2014-03-19,Stembureau Brede school De Pijler,0777::SB22,,1662,721,1,1,0,0,0,641,82,0,0,0,0,0,0,723,134,153,160,87,37,106,1,43
,Etten-Leur,GR2014_EttenLeur,Gemeenteraad Etten-Leur 2014,0777,Etten-Leur,2014-03-19,Stembureau Het Turfschip,0777::SB23,,1715,665,4,1,0,0,0,605,65,0,0,0,0,0,0,670,130,157,141,83,55,70,2,27
