contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,Gouda Positief / Gemeentebelangen Gouda,CDA,TROTS,Democraten 66 (D66),GROENLINKS,ChristenUnie,Gouda's 50+ partij,Staatkundig Gereformeerde Partij (SGP),SP (Socialistische Partij),Partij voor de Dieren,OPA
,Gouda,GR2014_Gouda,Gemeenteraad Gouda 2014,0513,Gouda,2014-03-19,Stembureau Gymnastiekzaal Coniferensingel,0513::SB304,,1768,954,6,5,0,0,0,880,85,0,0,0,0,0,0,965,115,75,102,73,39,147,45,75,108,40,95,26,14
,Gouda,GR2014_Gouda,Gemeenteraad Gouda 2014,0513,Gouda,2014-03-19,Stembureau Huis van de Stad,0513::SB305,,749,1191,6,1,0,0,0,1108,90,0,0,0,0,0,0,1198,127,80,109,80,15,256,100,102,49,167,66,34,6
,Gouda,GR2014_Gouda,Gemeenteraad Gouda 2014,0513,Gouda,2014-03-19,Stembureau Dienstencentrum Prinsenhof,0513::SB403,,2157,1063,2,3,0,2,0,964,107,0,1,0,3,0,0,1071,122,99,133,103,22,180,68,103,97,59,47,14,16
,Gouda,GR2014_Gouda,Gemeenteraad Gouda 2014,0513,Gouda,2014-03-19,Stembureau Basisschool het Vlot (Schateiland),0513::SB405,,1926,1090,8,1,0,0,0,998,101,0,0,0,0,0,0,1099,155,97,118,73,18,203,77,70,59,25,139,43,13
,Gouda,GR2014_Gouda,Gemeenteraad Gouda 2014,0513,Gouda,2014-03-19,Stembureau Basisschool De Cirkel,0513::SB406,,1793,840,5,3,0,0,0,745,102,0,0,1,0,0,0,847,121,80,96,69,26,132,33,57,76,23,82,25,20
,Gouda,GR2014_Gouda,Gemeenteraad Gouda 2014,0513,Gouda,2014-03-19,Stembureau Gereformeerde kerk vrijgemaakt,0513::SB407,,2001,1424,3,1,0,1,0,1284,143,0,0,1,0,0,0,1427,178,98,174,141,39,216,69,139,127,61,128,37,17
,Gouda,GR2014_Gouda,Gemeenteraad Gouda 2014,0513,Gouda,2014-03-19,Stembureau Ontmoetingscentrum Watergras,0513::SB408,,1983,1294,1,3,0,1,0,1151,148,0,0,0,1,0,0,1299,153,187,175,122,22,269,78,89,74,36,55,30,4
,Gouda,GR2014_Gouda,Gemeenteraad Gouda 2014,0513,Gouda,2014-03-19,Stembureau Gebouw De Bühne,0513::SB501,,1381,637,0,4,0,0,0,559,82,0,0,0,0,0,0,641,86,45,103,44,11,80,40,47,27,91,37,21,5
,Gouda,GR2014_Gouda,Gemeenteraad Gouda 2014,0513,Gouda,2014-03-19,Stembureau Zorgcentrum Savelberg,0513::SB503,,2106,1220,4,3,0,0,0,1096,131,0,0,0,0,0,0,1227,102,118,163,107,17,217,81,122,68,120,74,23,8
,Gouda,GR2014_Gouda,Gemeenteraad Gouda 2014,0513,Gouda,2014-03-19,Stembureau Speelzaal Weth. H. Luidensschool,0513::SB504,,1858,1146,5,6,0,1,0,1059,97,0,0,1,0,0,0,1156,104,123,182,107,26,186,54,107,80,66,70,32,9
,Gouda,GR2014_Gouda,Gemeenteraad Gouda 2014,0513,Gouda,2014-03-19,Stembureau Pauluskerk ingang De Brug,0513::SB505,,1882,1004,1,2,0,0,0,948,59,0,0,0,0,0,0,1007,78,78,147,104,20,130,48,121,67,107,77,24,3
,Gouda,GR2014_Gouda,Gemeenteraad Gouda 2014,0513,Gouda,2014-03-19,Stembureau De Zuidrandflat,0513::SB603,,1081,771,2,1,0,0,0,689,85,0,0,0,0,0,0,774,122,49,105,65,13,125,46,74,61,22,65,19,5
,Gouda,GR2014_Gouda,Gemeenteraad Gouda 2014,0513,Gouda,2014-03-19,Stembureau Zorgcentrum De Hanepraij,0513::SB604,,918,418,0,3,0,0,0,380,41,0,0,0,0,0,0,421,38,47,36,39,5,76,35,41,9,42,39,8,3
,Gouda,GR2014_Gouda,Gemeenteraad Gouda 2014,0513,Gouda,2014-03-19,Stembureau BSC Nelson Mandela,0513::SB605,,1980,876,3,10,0,0,0,762,126,0,0,1,0,1,0,888,164,52,167,51,39,106,45,73,32,61,69,11,6
,Gouda,GR2014_Gouda,Gemeenteraad Gouda 2014,0513,Gouda,2014-03-19,Stembureau Buurthuis de Kade,0513::SB607,,1751,810,0,1,0,0,0,749,62,0,0,0,0,0,0,811,69,52,105,44,21,138,63,79,63,71,77,27,1
,Gouda,GR2014_Gouda,Gemeenteraad Gouda 2014,0513,Gouda,2014-03-19,Stembureau Gymzaal A.G. de Vrijestraat,0513::SB608,,2121,1217,5,4,0,0,0,1112,114,0,0,0,0,0,0,1226,124,96,121,69,17,265,129,162,40,98,65,27,4
,Gouda,GR2014_Gouda,Gemeenteraad Gouda 2014,0513,Gouda,2014-03-19,Stembureau Samuëlschool,0513::SB701,,1424,582,2,6,0,0,0,526,64,0,0,0,0,0,0,590,93,52,98,44,2,62,31,53,31,36,52,16,12
,Gouda,GR2014_Gouda,Gemeenteraad Gouda 2014,0513,Gouda,2014-03-19,Stembureau OBS 't Palet,0513::SB702,,1790,1010,4,4,0,0,0,894,124,0,0,0,0,0,0,1018,125,134,165,64,37,190,45,100,30,22,64,25,9
,Gouda,GR2014_Gouda,Gemeenteraad Gouda 2014,0513,Gouda,2014-03-19,Stembureau RK Basisschool 't Carillon,0513::SB703,,1874,1115,4,2,0,0,0,1006,115,0,0,0,0,0,0,1121,105,135,160,102,39,218,49,148,55,31,47,18,8
,Gouda,GR2014_Gouda,Gemeenteraad Gouda 2014,0513,Gouda,2014-03-19,"Stembureau OBS 't Palet, van Pruisenlocatie",0513::SB704,,1942,974,4,5,0,0,0,855,128,0,0,0,0,0,0,983,126,102,162,67,51,156,57,70,48,23,78,19,15
,Gouda,GR2014_Gouda,Gemeenteraad Gouda 2014,0513,Gouda,2014-03-19,Stembureau Zorgcentrum Goverwelle,0513::SB705,,1380,986,1,3,0,2,0,890,102,0,0,0,2,0,0,992,142,81,149,80,31,135,55,104,87,24,68,20,10
