contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,BurgerBelang,Gemeentebelangen,Partij van de Arbeid (P.v.d.A.),ChristenUnie,VVD,Democraten 66 (D66),Hellendoorns Onafhankelijke Partij,GROENLINKS
,Hellendoorn,GR2014_Hellendoorn,Gemeenteraad Hellendoorn 2014,0163,Hellendoorn,2014-03-19,Stembureau Leerkamer Protestantse gemeente,0163::SB11,7447 HK,1252,943,3,6,0,0,0,872,80,0,0,0,0,0,0,952,241,167,177,56,43,61,79,42,77
,Hellendoorn,GR2014_Hellendoorn,Gemeenteraad Hellendoorn 2014,0163,Hellendoorn,2014-03-19,Stembureau PC Basisschool De Es,0163::SB12,7447 GB,1264,840,2,1,0,0,0,769,74,0,0,0,0,0,0,843,191,191,149,39,38,81,63,46,42
,Hellendoorn,GR2014_Hellendoorn,Gemeenteraad Hellendoorn 2014,0163,Hellendoorn,2014-03-19,Stembureau Kulturhus Kruidenwijk,0163::SB13,7443 HC,1261,830,6,1,0,0,0,755,82,0,0,0,0,0,0,837,145,138,85,89,75,55,85,85,73
,Hellendoorn,GR2014_Hellendoorn,Gemeenteraad Hellendoorn 2014,0163,Hellendoorn,2014-03-19,Stembureau Dorpshuis Sion,0163::SB14,7443 RB,1544,860,0,1,0,0,0,776,85,0,0,0,0,0,0,861,212,131,150,53,60,75,71,64,44
,Hellendoorn,GR2014_Hellendoorn,Gemeenteraad Hellendoorn 2014,0163,Hellendoorn,2014-03-19,Stembureau OBS De Tormentil,0163::SB15,7443 LA,1340,569,0,0,0,0,0,524,45,0,0,0,0,0,0,569,127,82,58,60,38,37,75,54,38
,Hellendoorn,GR2014_Hellendoorn,Gemeenteraad Hellendoorn 2014,0163,Hellendoorn,2014-03-19,Stembureau Dorpshuis Kadiek,0163::SB16,7688 PW,1091,808,1,2,0,0,0,759,52,0,0,0,0,0,0,811,463,107,8,10,180,16,4,12,8
,Hellendoorn,GR2014_Hellendoorn,Gemeenteraad Hellendoorn 2014,0163,Hellendoorn,2014-03-19,Stembureau Peuterspeelzaal Klein Duimpje,0163::SB17,7687 AR,862,487,0,0,0,0,0,446,42,0,0,0,1,0,0,488,237,102,9,15,77,11,11,14,11
,Hellendoorn,GR2014_Hellendoorn,Gemeenteraad Hellendoorn 2014,0163,Hellendoorn,2014-03-19,Stembureau Sporthal Haarle,0163::SB18,7448 RB,1655,1036,2,0,0,0,0,940,98,0,0,0,0,0,0,1038,395,497,12,14,8,29,21,37,23
,Hellendoorn,GR2014_Hellendoorn,Gemeenteraad Hellendoorn 2014,0163,Hellendoorn,2014-03-19,Stembureau Dorpshuis de Leemkamp,0163::SB19,7447 SP,540,395,0,1,0,0,0,364,32,0,0,0,0,0,0,396,175,122,20,4,42,11,3,16,2
,Hellendoorn,GR2014_Hellendoorn,Gemeenteraad Hellendoorn 2014,0163,Hellendoorn,2014-03-19,Stembureau Jan Barbierschool,0163::SB20,7447 RH,676,320,0,1,0,0,0,289,32,0,0,0,0,0,0,321,112,86,29,7,19,31,7,25,4
,Hellendoorn,GR2014_Hellendoorn,Gemeenteraad Hellendoorn 2014,0163,Hellendoorn,2014-03-19,Stembureau Bunga Tandjung,0163::SB21,7442 LV,1383,645,2,3,0,0,0,598,52,0,0,0,0,0,0,650,207,116,43,63,45,29,41,72,29
,Hellendoorn,GR2014_Hellendoorn,Gemeenteraad Hellendoorn 2014,0163,Hellendoorn,2014-03-19,Stembureau Kulturhus Kruidenwijk,0163::SB22,7443 HC,1297,887,3,1,0,0,0,808,83,0,0,0,0,0,0,891,200,107,103,85,97,57,91,92,55
,Hellendoorn,GR2014_Hellendoorn,Gemeenteraad Hellendoorn 2014,0163,Hellendoorn,2014-03-19,Stembureau Mobiel Stembureau,0163::SB23,7442 MA,0,194,2,1,0,0,0,185,12,0,0,0,0,0,0,197,79,36,7,21,22,4,11,9,5
